NatGrad2Norm,ActionIn1,MountainCar_mu0_higher,BatchSize,Iteration,ReturnMean,MountainCar_mu1_higher,MinEpLen,MountainCar_std1_higher,AvgRet,NumTrajectories,J,StepSize,MountainCar_std0_higher,AvgEpLen,NatGradInftyNorm,TimestepsSoFar,ReturnMax,VarJ
60.527695,-1.4356786,-0.820599,100,1,-0.2350053328078783,0.57150435,250,3.0,-0.2350053328078783,100,-0.2350053328078783,0.1,0.14999999,942.98,60.526924,94298,97.11067514909502,12.354630011277008
80.61782,4.267303,-0.7900353,100,2,36.088058117855674,6.624197,182,3.0,72.41112156851922,200,72.41112156851922,0.1,0.14999999,790.92,80.58151,158184,97.11067514909502,15.99989671691207
13.576475,15.643391,-0.54811233,100,3,55.46590774389229,14.682348,181,3.0,94.22160699596556,300,94.22160699596556,0.1,0.14999999,622.8866666666667,13.511527,186866,97.25571064970138,0.043147106631871913
10.518989,19.042213,-0.41547364,100,4,65.24723829696374,16.0335,118,3.0,94.59122995617807,400,94.59122995617807,0.1,0.14999999,539.67,10.399844,215868,98.2211574184711,0.048126120042142714
4.196644,14.800475,-0.25760144,100,5,71.28932093228845,14.993516,118,3.0,95.45765147358738,500,95.45765147358738,0.1,0.14999999,494.074,4.124627,247037,98.2211574184711,0.03330135312250753
21.392412,12.953345,-0.18018895,100,6,75.4305201459883,14.581053,118,3.0,96.13651621448746,600,96.13651621448746,0.1,0.14999999,467.55333333333334,21.380455,280532,98.74709695177323,0.028879019475240023
69.54052,9.938203,-0.251702,100,7,77.97564803765991,12.443007,118,3.0,93.24641538768954,700,93.24641538768954,0.1,0.14999999,450.52714285714285,69.536514,315369,98.81209131573534,2.907917866013047
27.460709,17.35114,-0.3263787,100,8,79.95130927574492,19.39666,112,3.0,93.78093794234006,800,93.78093794234006,0.1,0.14999999,424.56375,27.459358,339651,98.81209131573534,0.052173157235589664
2.0926912,20.210203,-0.3536079,100,9,81.41827190863337,22.142595,111,3.0,93.15397297174111,900,93.15397297174111,0.1,0.14999999,400.5588888888889,2.0060976,360503,98.81209131573534,0.06799641000409952
57.16502,25.420874,-0.4131838,100,10,82.63223064246439,22.343204,111,3.0,93.55785924694347,1000,93.55785924694347,0.1,0.14999999,382.02,57.112442,382020,98.81209131573534,0.08300931564962821
88.81383,14.737322,-0.16805907,100,11,83.81291625172757,16.63196,111,3.0,95.61977234435935,1100,95.61977234435935,0.1,0.14999999,373.78818181818184,88.7929,411167,98.81209131573534,0.02772129972315142
