TimestepsSoFar,AvgRet,MountainCar_std1_higher,StepSize,NumTrajectories,J,BatchSize,MountainCar_std0_higher,NatGrad2Norm,NatGradInftyNorm,Iteration,MountainCar_mu1_higher,ReturnMax,VarJ,ReturnMean,AvgEpLen,MinEpLen,ActionIn1,MountainCar_mu0_higher
99290,1.2787972622689239,3.0,0.01,100,-0.06323083020014432,100,0.14999999,0.030851772,0.030574452,1,-0.99866194,0.09087264520012571,9.765890675582226e-05,-0.06323083020014432,992.9,666,0.30288267,0.05171383
198358,1.858649932947086,3.0,0.01,200,-0.08180480371950098,100,0.14999999,0.09810432,0.09523103,2,-0.99835616,1.9438737226870322,0.000677812301335277,-0.07251781695982264,991.79,387,-6.925115,0.05167256
297659,1.3618409026815528,3.0,0.01,300,-0.05383745137625459,100,0.14999999,0.045613486,0.04553684,3,-0.99740386,1.9438737226870322,9.062826336891867e-05,-0.06629102843196662,992.1966666666667,387,0.648047,0.051436868
396897,1.0382696377500935,3.0,0.01,400,-0.077161483831333,100,0.14999999,0.14140433,0.14101963,4,-0.9969485,1.9438737226870322,0.00038000356049615135,-0.06900864228180822,992.2425,387,0.31090528,0.051410437
496296,0.18170392818508774,3.0,0.01,500,-0.07032590275278318,100,0.14999999,0.033409707,0.031409018,5,-0.9955383,1.9438737226870322,0.00016494864878422916,-0.06927209437600322,992.592,387,-4.159041,0.0513062
596196,-0.9678043994011014,3.0,0.01,600,-0.08974118831122099,100,0.14999999,0.018134372,0.015971957,6,-0.9952242,1.9438737226870322,0.00012006199423403146,-0.07268361003187283,993.66,387,2.1828127,0.05119232
695969,0.1468336898440175,3.0,0.01,700,-0.08298152415539334,100,0.14999999,0.025924562,0.02464507,7,-0.9953839,1.9438737226870322,0.00010158513510945352,-0.0741547406209472,994.2414285714286,387,0.38092953,0.05110644
795465,1.1387592131909903,3.0,0.01,800,-0.07066159574593567,100,0.14999999,0.08932896,0.08896757,8,-0.99513745,1.9438737226870322,0.00011672910095913602,-0.07371809751157075,994.33125,387,-3.9951143,0.051026
895365,-0.5529932620572731,3.0,0.01,900,-0.053183842854225095,100,0.14999999,0.0060402337,0.0057410602,9,-0.9960271,1.9438737226870322,4.44428704563971e-05,-0.07143651366075457,994.85,387,-0.5453772,0.05094573
995215,-0.030438911247956158,3.0,0.01,1000,-0.09271444598419683,100,0.14999999,0.025496468,0.022588491,10,-0.9959697,1.9438737226870322,0.0001748315463415139,-0.0735643068930988,995.215,387,-3.5034533,0.050926954
1094577,1.9792773328802653,3.0,0.01,1100,-0.08340091943256443,100,0.14999999,0.024772674,0.019850083,11,-0.9961956,1.9438737226870322,0.00013822828772595112,-0.07445854439668659,995.07,387,0.6180619,0.050808705
1194470,0.28023003436214244,3.0,0.01,1200,-0.06811769869578316,100,0.14999999,0.007887288,0.005992624,12,-0.9963941,1.9438737226870322,0.00012200079460654706,-0.07393014058827796,995.3916666666667,387,-1.2676245,0.050660495
1293286,3.103951419173851,3.0,0.01,1300,-0.07478021750723417,100,0.14999999,0.038743947,0.03593059,13,-0.99644536,1.9438737226870322,0.0001525891871663098,-0.07399553112050537,994.8353846153847,387,-4.195414,0.05060057
1391571,3.16618046421184,3.0,0.01,1400,-0.04145475774882474,100,0.14999999,0.21931785,0.21919918,14,-0.99680465,1.9438737226870322,0.0005190460374857246,-0.07167119016538533,993.9792857142858,387,-4.7262583,0.050455626
1490662,0.9854538582241585,3.0,0.01,1500,-0.0839473702110739,100,0.14999999,0.06732723,0.06505917,15,-0.99461263,1.9438737226870322,0.00025648930121230655,-0.07248960216843123,993.7746666666667,387,-9.177583,0.050383486
1589624,2.214485024057746,3.0,0.01,1600,-0.05759938180662179,100,0.14999999,0.019192189,0.01781453,16,-0.99396205,1.9438737226870322,8.928765184676736e-05,-0.07155896339581813,993.515,387,-1.4731901,0.050210204
1689037,0.03931328965179958,3.0,0.01,1700,-0.08435414497681631,100,0.14999999,0.06221215,0.060802005,17,-0.9941402,1.9438737226870322,0.00017097278954691047,-0.07231162113587686,993.5511764705882,387,2.2009592,0.0501388
1787304,3.181238211125926,3.0,0.01,1800,-0.051313288451869894,100,0.14999999,0.18892522,0.18878448,18,-0.9935322,1.9438737226870322,0.0004523401310871025,-0.07114504709787646,992.9466666666667,387,-1.2532085,0.050007094
1887204,-0.8375662842106353,3.0,0.01,1900,-0.08099492939448748,100,0.14999999,0.059128404,0.05768034,19,-0.9916443,1.9438737226870322,0.00017319198440043628,-0.07166346195559282,993.2652631578948,387,-0.2912986,0.049934182
1987012,0.3074164429285247,3.0,0.01,2000,-0.06299124223996033,100,0.14999999,0.03220433,0.031677514,20,-0.9922211,1.9438737226870322,6.55416563979752e-05,-0.07122985096981121,993.506,387,4.7607303,0.049804125
2086615,0.22396803527447304,3.0,0.01,2100,-0.06992685319541035,100,0.14999999,0.012432927,0.012389944,21,-0.9919043,1.9438737226870322,9.270227047928683e-05,-0.0711678034567445,993.6261904761905,387,-6.829009,0.049746115
2185520,3.227598904684174,3.0,0.01,2200,-0.06733333217105832,100,0.14999999,0.027687758,0.02687478,22,-0.99202824,1.9438737226870322,0.0001134168348290324,-0.07099350930739513,993.4181818181818,387,0.88674253,0.049735785
2285059,0.18895888867386318,3.0,0.01,2300,-0.07508584464540127,100,0.14999999,0.013157204,0.011652421,23,-0.9917595,1.9438737226870322,9.176047901969186e-05,-0.07117143693078669,993.5039130434783,387,4.9459457,0.049669184
2384043,2.2201087118870935,3.0,0.01,2400,-0.06691547447411587,100,0.14999999,0.031490687,0.030549452,24,-0.991876,1.9438737226870322,0.00014611321518795002,-0.07099410516175875,993.35125,387,1.5183487,0.04960808
2483943,-0.8759014858060307,3.0,0.01,2500,-0.07968563110165508,100,0.14999999,0.055038173,0.053902287,25,-0.9921815,1.9438737226870322,0.00012469630664955618,-0.0713417661993546,993.5772,387,-1.3980719,0.049531665
