MountainCar_std1_higher,AvgRet,MountainCar_mu0_higher,NatGrad2Norm,VarJ,ReturnMax,Iteration,StepSize,MinEpLen,TimestepsSoFar,NatGradInftyNorm,AvgEpLen,BatchSize,MountainCar_std0_higher,ActionIn1,MountainCar_mu1_higher,ReturnMean,J,NumTrajectories
3.0,86.4938343560777,0.008838121,6.7410283,0.10589137306799402,19.369749931711002,28,1.0,161,2628452,6.741028,938.7328571428571,100,0.14999999,12.957,9.855885,0.1038999576526953,2.488955031888419,2800
3.0,95.18536852700721,0.011745449,18.244724,0.38613548572284573,20.780889603060416,29,1.0,152,2655758,18.2439,915.7786206896552,100,0.14999999,16.730839,16.596912,0.40632473200350644,8.874218413826219,2900
3.0,87.54330008997673,0.18505089,15.987197,1.3037563998297386,40.15823311021133,30,1.0,82,2670599,15.980093,890.1996666666666,100,0.14999999,36.774452,34.840813,1.1310554531889678,22.14824636756734,3000
3.0,77.2606365503617,0.6615891,0.6010582,0.5866299374705453,40.15823311021133,31,1.0,82,2680772,0.5574191,864.7651612903226,100,0.14999999,47.65532,50.820908,1.9418767646950954,26.266516109878925,3100
3.0,75.39684231673125,0.43674493,3.3976147,0.8329512814440829,40.15823311021133,32,1.0,82,2691537,3.367133,841.1053125,100,0.14999999,50.476585,51.378326,2.6625077516258693,25.002068346479856,3200
3.0,72.75792726369785,0.8908388,5.7217875,0.2954350770533237,40.15823311021133,33,1.0,82,2700980,5.7163286,818.4787878787879,100,0.14999999,59.874596,54.74546,3.3234116536416702,24.472336518147298,3300
3.0,69.97548407390767,0.6409652,4.0074315,0.5044444919387407,40.15823311021133,34,1.0,82,2710818,3.9247918,797.2994117647058,100,0.14999999,65.69096,60.46179,3.92245355929204,23.690836445754275,3400
3.0,67.5656477939162,1.4506037,0.907814,0.29945442277353607,40.15823311021133,35,1.0,82,2720703,0.8322257,777.3437142857143,100,0.14999999,53.612404,56.536995,4.314511945131864,17.64449706368584,3500
3.0,70.35377522362694,1.0879376,2.3710008,0.2631356767174028,40.15823311021133,36,1.0,82,2729994,2.362262,758.3316666666667,100,0.14999999,59.46786,55.70477,4.81842502539383,22.45538283456262,3600
3.0,72.44769254769756,0.8845594,4.7858157,0.18601448589205988,40.15823311021133,37,1.0,82,2739107,4.782344,740.2991891891892,100,0.14999999,53.654026,58.06703,5.362701508899264,24.956654915094877,3700
3.0,74.77435189287054,1.0668216,6.373306,0.18954190723143602,40.15823311021133,38,1.0,82,2748447,6.360974,723.2755263157894,100,0.14999999,55.66739,53.284687,5.87530332028587,24.841570341590327,3800
3.0,71.00534130521133,0.6705376,6.012005,0.2974508122285663,40.15823311021133,39,1.0,82,2757799,6.00978,707.1279487179487,100,0.14999999,60.387707,59.64566,6.355411762469309,24.599532565440025,3900
3.0,74.55442002500075,0.5069903,1.1128049,0.644461126928662,40.15823311021133,40,1.0,82,2768202,0.84879327,692.0505,100,0.14999999,58.904522,53.63588,6.82577557779771,25.16996437560533,4000
3.0,69.7448368208091,1.2266324,5.885187,0.3469392913359941,40.15823311021133,41,1.0,82,2777823,5.880516,677.5178048780488,100,0.14999999,53.201725,54.484673,7.15500065733074,20.32400383865195,4100
3.0,70.78363125061526,1.461069,9.96264,0.5703681359604488,40.15823311021133,42,1.0,82,2788674,9.955345,663.97,100,0.14999999,49.48522,48.604156,7.397211443623555,17.327853681629037,4200
3.0,69.62579036426129,1.0798852,4.842026,0.27565737458877887,40.15823311021133,43,1.0,82,2797896,4.826142,650.6734883720931,100,0.14999999,55.13105,58.5595,7.746940163623217,22.435546403608917,4300
3.0,73.79371030118905,0.6880013,9.354205,0.48080257143885063,40.15823311021133,44,1.0,82,2807703,9.349764,638.1143181818181,100,0.14999999,59.238003,53.73336,8.14723116510046,25.359744228621867,4400
3.0,64.96132587356813,0.97622144,16.14094,0.2922181384930327,40.15823311021133,45,1.0,82,2816830,16.14066,625.9622222222222,100,0.14999999,62.460163,63.083122,8.423821840394703,20.59381155334154,4500
3.0,79.55186112787182,0.88118106,0.7191169,0.39350723097243545,40.15823311021133,46,1.0,82,2826793,0.5337879,614.5202173913043,100,0.14999999,47.691414,46.942463,8.82532218696509,26.892837782632434,4600
3.0,79.32580689900686,0.39931008,1.0338162,1.0060557153312126,40.15823311021133,47,1.0,81,2838468,1.0281749,603.9293617021276,100,0.14999999,49.8895,47.47625,9.16342178622475,24.716003352169068,4700
3.0,81.85792448542918,0.5071637,10.6211815,0.8400475353258697,40.15823311021133,48,1.0,81,2849605,10.61696,593.6677083333333,100,0.14999999,42.19683,46.448074,9.533125412866106,26.909195865009874,4800
3.0,86.75377515066317,0.20771432,11.715353,1.2869556238827808,40.35057142112239,49,1.0,81,2863869,11.714314,584.4630612244898,100,0.14999999,39.94627,35.831116,9.797704389698653,22.497495277660878,4900
3.0,79.2471918064156,0.3637347,18.456942,0.9663133940917216,40.35057142112239,50,1.0,80,2875139,18.456764,575.0278,100,0.14999999,47.663864,47.54543,10.114871251415916,25.656047475561856,5000
