TimestepsSoFar,StepSize,MinEpLen,NatGradInftyNorm,ReturnMax,ActionIn1,J,Iteration,MountainCar_std0_higher,BatchSize,AvgRet,VarJ,MountainCar_std1_higher,NatGrad2Norm,AvgEpLen,MountainCar_mu1_higher,NumTrajectories,MountainCar_mu0_higher,ReturnMean
99230,0.001,329,0.20522925,3.5189626518793977,0.37999994,-0.6520222998007377,1,0.14999999,100,-6.707792509869946,0.004605551551482939,3.0,0.22634563,992.3,0.9164054,100,0.40025148,-0.6520222998007377
197934,0.001,329,0.40159246,3.5189626518793977,8.221249,-0.6013403880027437,2,0.14999999,100,-5.49277682690412,0.004109461413739049,3.0,0.40962636,989.67,0.9166106,200,0.40015602,-0.6266813439017408
297243,0.001,329,0.25589114,3.5189626518793977,-8.372511,-0.7431462174890258,3,0.14999999,100,-7.690175656298768,0.0046079397157114945,3.0,0.28149626,990.81,0.916209,300,0.4000753,-0.6655029684308357
397143,0.001,329,0.12968582,3.5189626518793977,4.3569393,-0.6319142138523778,4,0.14999999,100,-7.074728013030473,0.002843585762053608,3.0,0.14717576,992.8575,0.9159531,400,0.39995798,-0.6571057797862213
496174,0.001,329,0.077407956,3.5189626518793977,0.7053201,-0.6487922027266478,5,0.14999999,100,-4.3675274521031415,0.0027149150544016165,3.0,0.10611753,992.348,0.9160828,500,0.3998884,-0.6554430643743065
595327,0.001,252,0.7869645,7.196903676035371,-0.24034488,-0.5807117766796488,6,0.14999999,100,-6.093622254193512,0.009272198431139638,3.0,0.791752,992.2116666666667,0.9160054,600,0.3998158,-0.6429878497585302
695227,0.001,252,0.07297631,7.196903676035371,3.8217473,-0.6764896684191235,7,0.14999999,100,-7.47279700794611,0.0020212119229534456,3.0,0.10032779,993.1814285714286,0.91679233,700,0.39972886,-0.6477738238529007
795127,0.001,252,0.5130928,7.196903676035371,2.2281866,-0.6015116111730895,8,0.14999999,100,-6.964015689843749,0.0021634154760454623,3.0,0.5155175,993.90875,0.9167194,800,0.39966002,-0.6419910472679242
894379,0.001,252,0.3129155,7.196903676035371,-1.3900887,-0.5708116141738688,9,0.14999999,100,-5.789178428108072,0.0027277169813008564,3.0,0.31738052,993.7544444444444,0.9162063,900,0.39961007,-0.6340822213685848
994279,0.001,252,0.063036546,7.196903676035371,0.347581,-0.6394949319901866,10,0.14999999,100,-7.18242138767732,0.0023264010870631983,3.0,0.06769379,994.279,0.9165192,1000,0.39955702,-0.634623492430745
1093741,0.001,252,0.33699158,7.196903676035371,-1.311737,-0.679451126735708,11,0.14999999,100,-6.6746556835494895,0.0025846669259066775,3.0,0.34564868,994.31,0.9165439,1100,0.399494,-0.6386987319130144
1193132,0.001,252,0.75812495,7.196903676035371,0.6836394,-0.6781325528166486,12,0.14999999,100,-6.882433327126751,0.0038700069757380477,3.0,0.76408094,994.2766666666666,0.9162069,1200,0.39941713,-0.6419848836549839
1293032,0.001,252,0.28890088,7.196903676035371,5.056579,-0.6019034910193972,13,0.14999999,100,-6.7585333898171,0.002431219520686721,3.0,0.2954657,994.64,0.9154488,1300,0.3993219,-0.6389016996060927
1392611,0.001,252,0.28022406,7.196903676035371,2.343268,-0.6852352991717413,14,0.14999999,100,-6.823832969145546,0.004313666370259143,3.0,0.29779744,994.7221428571429,0.9151599,1400,0.39925998,-0.6422112424322104
1492511,0.001,252,0.30130553,7.196903676035371,5.4094944,-0.6170876997758856,15,0.14999999,100,-7.116552697705254,0.002951056610801427,3.0,0.30907726,995.0073333333333,0.9148797,1500,0.3991592,-0.6405363395884555
1592411,0.001,252,0.15884003,7.196903676035371,5.050858,-0.6179953642407287,16,0.14999999,100,-6.933443559040406,0.002003273825696683,3.0,0.16915053,995.256875,0.9145784,1600,0.39909032,-0.6391275286292225
1691052,0.001,252,0.47069615,7.196903676035371,6.7378845,-0.5595985157068843,17,0.14999999,100,-4.77989506954208,0.00424434328689074,3.0,0.47610226,994.7364705882353,0.91441953,1700,0.39903218,-0.6344493513984967
1790952,0.001,252,0.07347196,7.196903676035371,0.92540395,-0.6023356652408683,18,0.14999999,100,-6.633741147283259,0.00210676557827546,3.0,0.09266859,994.9733333333334,0.9148902,1800,0.39896062,-0.6326652577230728
1890852,0.001,252,0.16964947,7.196903676035371,2.1525204,-0.6549167372365856,19,0.14999999,100,-7.284177462682153,0.0027052828971266944,3.0,0.18594974,995.1852631578947,0.91481674,1900,0.39890414,-0.633836388223784
1990752,0.001,252,0.2918066,7.196903676035371,0.3976491,-0.6973042559999098,20,0.14999999,100,-7.766412188814208,0.0027992615731319784,3.0,0.30432913,995.376,0.9146471,2000,0.398828,-0.6370097816125904
2090652,0.001,252,0.05638111,7.196903676035371,4.3457675,-0.6184670442893428,21,0.14999999,100,-6.842623861232813,0.0018021933565173845,3.0,0.057275724,995.5485714285714,0.9143553,2100,0.3987416,-0.636126794121007
2190552,0.001,252,0.52298224,7.196903676035371,-0.4826306,-0.6185930933223464,22,0.14999999,100,-7.095717558857262,0.002048557752223075,3.0,0.52575785,995.7054545454546,0.9143452,2200,0.39868522,-0.635329807721068
2290452,0.001,252,0.087446235,7.196903676035371,-0.50861824,-0.6920634055257666,23,0.14999999,100,-7.750879524614603,0.0030509091084852326,3.0,0.09726061,995.8486956521739,0.91382223,2300,0.39863127,-0.6377964858864897
2390352,0.001,252,0.2069856,7.196903676035371,4.338146,-0.6481230847678685,24,0.14999999,100,-7.397722620238004,0.0023738383052365596,3.0,0.21820919,995.98,0.9137797,2400,0.39854383,-0.6382267608398805
2490252,0.001,252,0.060607012,7.196903676035371,5.3762712,-0.571643414096541,25,0.14999999,100,-6.379659653870833,0.0014854994847945686,3.0,0.072575666,996.1008,0.91357267,2500,0.39847475,-0.6355634269701469
2590152,0.001,252,0.19937426,7.196903676035371,1.8087776,-0.6429808610746739,26,0.14999999,100,-7.351337080079685,0.0032966358645822374,3.0,0.21471606,996.2123076923077,0.9136333,2600,0.39843482,-0.6358487128972441
2690052,0.001,252,0.0736761,7.196903676035371,0.7850696,-0.6687429780457592,27,0.14999999,100,-7.344371186514784,0.002324918507039625,3.0,0.08494509,996.3155555555555,0.9134339,2700,0.39835513,-0.6370670190138558
2789952,0.001,252,0.12947856,7.196903676035371,-0.8418963,-0.6667820494533544,28,0.14999999,100,-7.526534712697411,0.0025561911009899614,3.0,0.14881685,996.4114285714286,0.91347617,2800,0.39828146,-0.6381282701009807
2889852,0.001,252,0.14645979,7.196903676035371,-0.36474207,-0.666578119862723,29,0.14999999,100,-7.457988922720378,0.0032029418971034882,3.0,0.1686706,996.5006896551724,0.9133467,2900,0.39820808,-0.6391092994031098
2989752,0.001,252,0.33979946,7.196903676035371,3.5774696,-0.5857077207533116,30,0.14999999,100,-6.727002555492755,0.0020097339886531295,3.0,0.34376758,996.584,0.91320026,3000,0.39812443,-0.6373292467814499
3089652,0.001,252,0.6136847,7.196903676035371,-4.3524976,-0.7075025238670841,31,0.14999999,100,-8.31390858462577,0.0022377959871810863,3.0,0.6188233,996.6619354838709,0.91286045,3100,0.39807233,-0.6395929008809864
3189108,0.001,252,0.12266506,7.196903676035371,-2.6887324,-0.685566783759142,32,0.14999999,100,-6.828088708914206,0.0033440451015157007,3.0,0.15468378,996.59625,0.91224676,3200,0.39799276,-0.6410295847209287
3289008,0.001,252,0.117737815,7.196903676035371,3.0406096,-0.6413590432162053,33,0.14999999,100,-7.100727650230911,0.0026892755127904933,3.0,0.14049332,996.6690909090909,0.9121241,3300,0.39789852,-0.6410395683116946
3388172,0.001,252,0.66531014,7.196903676035371,-0.23593894,-0.5390466756489938,34,0.14999999,100,-5.668598364209165,0.00682612802991604,3.0,0.6677773,996.5211764705882,0.9122418,3400,0.39782187,-0.6380397773510271
3488072,0.001,252,0.5973213,7.196903676035371,-0.16523549,-0.5634320517541154,35,0.14999999,100,-6.0293809060018235,0.0019191178176383883,3.0,0.5992761,996.592,0.9129071,3500,0.39776453,-0.6359081280482582
3587972,0.001,252,0.06576651,7.196903676035371,1.2807891,-0.6293504209477089,36,0.14999999,100,-6.967810463406139,0.002354023033465465,3.0,0.07120356,996.6588888888889,0.9135044,3600,0.39771616,-0.6357259695176872
3687872,0.001,252,0.5469427,7.196903676035371,4.0153713,-0.703486976304799,37,0.14999999,100,-8.089271707460558,0.002541911663935589,3.0,0.5528647,996.7221621621621,0.9135317,3700,0.3976504,-0.6375573480795012
3787772,0.001,252,0.33652043,7.196903676035371,3.2904656,-0.5937456970109725,38,0.14999999,100,-6.7803195107410765,0.0018359104323150714,3.0,0.34017777,996.7821052631579,0.9129848,3800,0.3975697,-0.6364044098934872
3887497,0.001,252,0.044621445,7.196903676035371,3.8297188,-0.564786753593859,39,0.14999999,100,-5.36048862817345,0.0017818774786874283,3.0,0.05450334,996.7941025641026,0.91264826,3900,0.39751995,-0.6345680597319584
3987397,0.001,252,0.058607176,7.196903676035371,1.8916264,-0.6134541991458026,40,0.14999999,100,-6.892720729275283,0.0021236669031403687,3.0,0.05869943,996.84925,0.91261697,4000,0.39747533,-0.6340402132173044
4087297,0.001,252,0.107245676,7.196903676035371,0.8737966,-0.6027122575674239,41,0.14999999,100,-6.7518777141475645,0.002558562050606927,3.0,0.12316288,996.9017073170731,0.91262025,4100,0.3974167,-0.6332761167380392
4187197,0.001,252,0.08524063,7.196903676035371,-0.685437,-0.5522545747977207,42,0.14999999,100,-6.179683480638749,0.0019612663815596807,3.0,0.09505299,996.9516666666667,0.912513,4200,0.39735615,-0.6313470324061267
4287097,0.001,252,0.8561225,7.196903676035371,-4.4947567,-0.675384323236687,43,0.14999999,100,-7.91460080198371,0.00274684238884847,3.0,0.859581,996.9993023255814,0.9124278,4300,0.3973141,-0.6323711554486978
4386342,0.001,252,0.27155438,7.196903676035371,0.68192595,-0.5903963211619561,44,0.14999999,100,-6.254628687600807,0.0038837383241723256,3.0,0.28088772,996.8959090909091,0.9115717,4400,0.39723706,-0.631417181942181
4486242,0.001,252,0.20369512,7.196903676035371,-2.5896165,-0.6780966807949668,45,0.14999999,100,-7.501368370326599,0.0026586357184300523,3.0,0.22032765,996.9426666666667,0.9113001,4500,0.39716527,-0.6324545041389096
