MountainCar_std0_higher,TimestepsSoFar,MountainCar_mu1_higher,ReturnMax,NatGradInftyNorm,NatGrad2Norm,MountainCar_std1_higher,AvgEpLen,ReturnMean,MinEpLen,BatchSize,MountainCar_mu0_higher,StepSize,Iteration,AvgRet,J,ActionIn1,NumTrajectories,VarJ
0.14999999,99290,-0.99866194,0.09087264520012571,0.030574452,0.030851772,3.0,992.9,-0.06323083020014432,666,100,0.05171383,0.001,1,1.2787972622689239,-0.06323083020014432,0.30288267,100,9.765890675582226e-05
0.14999999,198358,-0.99863136,1.943904593160322,0.095227376,0.09810245,3.0,991.79,-0.07252598974209998,387,100,0.051709704,0.001,2,1.8584986356503002,-0.08182114928405565,-6.9253535,200,0.0006779336090557197
0.14999999,297660,-0.9985361,1.943904593160322,0.0454894,0.04556766,3.0,992.2,-0.06631664257589501,387,100,0.051686127,0.001,3,1.3612773469883335,-0.05389794824348509,0.6471639,300,9.077570886264078e-05
0.14999999,396899,-0.99849063,1.943904593160322,0.14110416,0.14149198,3.0,992.2475,-0.06905707445625878,387,100,0.051683456,0.001,4,1.037103502211933,-0.07727837009734999,0.30963612,400,0.0003804177323970403
0.14999999,496298,-0.99834955,1.943904593160322,0.031335928,0.033357553,3.0,992.596,-0.06934675360138567,387,100,0.051672988,0.001,5,0.1799225464570414,-0.07050547018189335,-4.1614857,500,0.0001654599569648525
0.14999999,596198,-0.9983182,1.943904593160322,0.016021425,0.018212743,3.0,993.6633333333333,-0.07277892071698767,387,100,0.05166155,0.001,6,-0.9675873974265724,-0.08993975629499772,2.1801882,600,0.00012058830858953746
0.14999999,695971,-0.9983342,1.943904593160322,0.024736322,0.026036818,3.0,994.2442857142858,-0.07426726575595574,387,100,0.05165289,0.001,7,0.1447469365094309,-0.08319733598976414,0.37852567,700,0.0001021926735201035
0.14999999,795468,-0.9983095,1.943904593160322,0.08942899,0.08979542,3.0,994.335,-0.0738465633236345,387,100,0.051644765,0.001,8,1.1361755774127351,-0.0709016462973857,-3.9976673,800,0.00011744595481364384
0.14999999,895368,-0.9983989,1.943904593160322,0.0056684273,0.0059919474,3.0,994.8533333333334,-0.07156877999756006,387,100,0.051636662,0.001,9,-0.5545949452089852,-0.053346513388964636,-0.54705805,900,4.4741208928006546e-05
0.14999999,995218,-0.99839324,1.943904593160322,0.022703148,0.025652466,3.0,995.218,-0.07371644759251125,387,100,0.05163472,0.001,10,-0.03378340575247045,-0.09304545594707196,-3.505169,1000,0.0001759834283532166
0.14999999,1094581,-0.99841595,1.943904593160322,0.019936193,0.02491279,3.0,995.0736363636364,-0.07463822874184266,387,100,0.05162278,0.001,11,1.9747841172266027,-0.08385604023515665,0.6166556,1100,0.00013960887570993647
0.14999999,1194475,-0.99843585,1.943904593160322,0.0061082807,0.008049689,3.0,995.3958333333334,-0.07412081265498652,387,100,0.05160784,0.001,12,0.27694396703743507,-0.06842923569956899,-1.268719,1200,0.00012297886442410206
0.14999999,1293292,-0.9984411,1.943904593160322,0.03623097,0.039077252,3.0,994.84,-0.07420706669428705,387,100,0.05160173,0.001,13,3.099386996666249,-0.07524211516589342,-4.1964087,1300,0.00015442211746544097
0.14999999,1391483,-0.99847734,1.943904593160322,0.2181452,0.21827197,3.0,993.9164285714286,-0.07190524614531005,387,100,0.05158709,0.001,14,3.17109623903887,-0.041981579008608924,-4.7267995,1400,0.00051088318330477
0.14999999,1490576,-0.9982592,1.943904593160322,0.0645833,0.066918686,3.0,993.7173333333334,-0.0727568180474303,387,100,0.05157965,0.001,15,0.9791450935526782,-0.08467882467711398,-9.180033,1500,0.00025772518194099796
0.14999999,1589537,-0.9981946,1.943904593160322,0.017929291,0.019352,3.0,993.460625,-0.0718480073060173,387,100,0.051562127,0.001,16,2.2083845250326823,-0.05821584618482222,-1.4760706,1600,9.035280625135682e-05
0.14999999,1688952,-0.9982125,1.943904593160322,0.059705094,0.06119296,3.0,993.5011764705882,-0.07263534633101439,387,100,0.051554844,0.001,17,0.031626078035737984,-0.08523277073096783,2.1983027,1700,0.00017207879573825764
0.14999999,1787221,-0.9981528,1.943904593160322,0.18856326,0.18871239,3.0,992.9005555555556,-0.07147328621160012,387,100,0.051541433,0.001,18,3.1774203712628726,-0.051718264181557574,-1.2562947,1800,0.0004541175019429057
0.14999999,1887121,-0.9979642,1.943904593160322,0.058244705,0.05973148,3.0,993.2215789473685,-0.07200785673234864,387,100,0.05153393,0.001,19,-0.843791898653943,-0.08163012610582181,-0.29601872,1900,0.00017619184175478647
0.14999999,1986929,-0.99802244,1.943904593160322,0.032547653,0.03309474,3.0,993.4645,-0.071585089213385,387,100,0.051520687,0.001,20,0.30175006990081793,-0.06355250635307594,4.756645,2000,6.697606270916714e-05
0.14999999,2086532,-0.9979899,1.943904593160322,0.01273589,0.012798405,3.0,993.5866666666667,-0.07152159355039753,387,100,0.051514693,0.001,21,0.22264055344248426,-0.07025168029064814,-6.833327,2100,9.376286059098712e-05
0.14999999,2185441,-0.99800265,1.943904593160322,0.026903547,0.027771045,3.0,993.3822727272727,-0.07135721880238943,387,100,0.05151343,0.001,22,3.2215495082883137,-0.06790534909421939,0.88254577,2200,0.00011528510336669112
0.14999999,2284980,-0.99797577,1.943904593160322,0.012747088,0.014247938,3.0,993.4695652173913,-0.07154700166996336,387,100,0.05150654,0.001,23,0.18256060111077801,-0.07572222475658975,4.941567,2300,9.351325528389333e-05
0.14999999,2383963,-0.9979885,1.943904593160322,0.030760927,0.03175458,3.0,993.3179166666666,-0.07138054322539114,387,100,0.051500175,0.001,24,2.2135315608444315,-0.06755199900023043,1.5141284,2400,0.0001485222472192939
0.14999999,2483863,-0.9980193,1.943904593160322,0.054838136,0.0560101,3.0,993.5452,-0.07175000099062862,387,100,0.051492292,0.001,25,-0.8852186431096095,-0.08061698735632784,-1.401949,2500,0.0001274674679100727
0.14999999,2583091,-0.9980741,3.5432246876127906,0.28323674,0.28324404,3.0,993.4965384615384,-0.07004922852378753,327,100,0.051480893,0.001,26,0.26263368509568363,-0.027529916852760305,-2.0993803,2600,0.0013707908455455925
0.14999999,2681457,-0.9977909,3.5432246876127906,0.30125582,0.3012841,3.0,993.1322222222223,-0.06898740272186131,327,100,0.05147886,0.001,27,2.248857816441136,-0.041379931871779345,-0.37528405,2700,0.0004672526933631006
0.14999999,2780657,-0.99748963,3.5432246876127906,0.039174583,0.03972079,3.0,993.0917857142857,-0.06892905845277048,327,100,0.05147473,0.001,28,2.1985103461737494,-0.06735376318731809,2.1462612,2800,8.576821885039973e-05
0.14999999,2878988,-0.9974505,3.5432246876127906,0.071143754,0.072211504,3.0,992.7544827586207,-0.06891544878466531,327,100,0.051468167,0.001,29,2.9957739772085934,-0.06853437807772095,-0.8238007,2900,0.00023025098066730126
0.14999999,2977022,-0.99752164,3.5432246876127906,0.5433304,0.5434733,3.0,992.3406666666667,-0.06699610028650271,327,100,0.051455796,0.001,30,3.103620178022153,-0.011334993839787278,0.8025232,3000,0.0021212726707630454
0.14999999,3076180,-0.9969783,3.5432246876127906,0.013367921,0.015247554,3.0,992.3161290322581,-0.0668510925304741,327,100,0.05144333,0.001,31,1.2847126724839273,-0.06250085984961558,-4.772712,3100,0.00011355618462117495
0.14999999,3174487,-0.99696493,3.5432246876127906,0.09716195,0.09915044,3.0,992.0271875,-0.06703959820600616,327,100,0.051435996,0.001,32,2.998811644502079,-0.07288327414750027,-2.2840142,3200,0.0003539001470742094
0.14999999,3273800,-0.9968678,3.5432246876127906,0.020326056,0.02103441,3.0,992.060606060606,-0.06712303249746679,327,100,0.051416237,0.001,33,1.192873247165753,-0.06979292982420676,3.292847,3300,9.253393733952833e-05
0.14999999,3373256,-0.99684745,3.5432246876127906,0.015785735,0.018277477,3.0,992.1341176470588,-0.0674281660935817,327,100,0.051410824,0.001,34,0.06806646467425752,-0.07749757476537346,3.6427693,3400,0.00019556292617541987
0.14999999,3472129,-0.9968567,3.5432246876127906,0.049668632,0.052155327,3.0,992.0368571428571,-0.06757333564791285,327,100,0.05139504,0.001,35,2.0750166123466447,-0.07250910049517238,-5.3206563,3500,0.00031374310220081694
0.14999999,3571446,-0.99680704,3.5432246876127906,0.046444673,0.046960495,3.0,992.0683333333334,-0.0670830969371907,327,100,0.05137913,0.001,36,0.2489195174474733,-0.04992474206191492,1.7297248,3600,0.0003030138132683292
0.14999999,3671346,-0.9967606,3.5432246876127906,0.027405685,0.029020112,3.0,992.2556756756757,-0.06718740799742721,327,100,0.05137219,0.001,37,-0.7881333609139339,-0.07094260616594224,-6.2429543,3700,0.00011016138883872258
0.14999999,3770864,-0.996788,3.5432246876127906,0.020036465,0.024267064,3.0,992.3326315789474,-0.06763703652815611,327,100,0.051362645,0.001,38,1.0411665000052155,-0.08427329216512526,0.37045205,3800,0.0003130728725186597
0.14999999,3870353,-0.99680805,3.5432246876127906,0.08249893,0.08283789,3.0,992.3982051282052,-0.06779769000932949,327,100,0.051348954,0.001,39,0.20270521916004752,-0.07390252229391736,-0.8739479,3900,0.00013146472246699544
0.14999999,3970140,-0.99672556,3.5432246876127906,0.050663847,0.053131994,3.0,992.535,-0.06830623997325361,327,100,0.051341467,0.001,40,0.014669792606384355,-0.08813968856629507,3.816266,4000,0.0001959358969002112
0.14999999,4069548,-0.9966749,3.5432246876127906,0.16532207,0.1676696,3.0,992.5726829268293,-0.06951336633532908,327,100,0.05132546,0.001,41,0.6056695694449599,-0.11779842081834699,-3.4549296,4100,0.00032383238008968875
0.14999999,4168798,-0.99684024,3.5432246876127906,0.0094621815,0.011755152,3.0,992.5709523809523,-0.06969243155778576,327,100,0.0512975,0.001,42,1.0640717122550631,-0.07703410567851054,-1.5255486,4200,0.0001356826228948656
0.14999999,4268698,-0.99683326,3.5432246876127906,0.032769755,0.035529625,3.0,992.7204651162791,-0.0699805480286848,327,100,0.05128804,0.001,43,-0.9220511424992089,-0.08208143980644399,-5.453882,4300,0.00017025808293546273
0.14999999,4367826,-0.99686605,3.5432246876127906,0.028235685,0.030912144,3.0,992.6877272727273,-0.07017237083828144,327,100,0.05127431,0.001,44,2.095020514960649,-0.07842075165093758,3.8710492,4400,0.00016549356813265896
0.14999999,4467503,-0.9968378,3.5432246876127906,0.047388252,0.048015445,3.0,992.7784444444444,-0.06996797521763254,327,100,0.05126173,0.001,45,0.3194825283484977,-0.060974567909080665,-2.5447555,4500,0.00010000921364572104
0.14999999,4566295,-0.9967904,3.5432246876127906,0.009044133,0.009840689,3.0,992.6728260869565,-0.06996511212593996,327,100,0.051253997,0.001,46,3.204218178839899,-0.0698362729997737,-1.0777637,4600,0.00017381276820897532
0.14999999,4666195,-0.99679947,3.5432246876127906,0.01292953,0.015013969,3.0,992.8074468085107,-0.07058321692585764,327,100,0.05125012,0.001,47,-1.0218693097731615,-0.09901603772207154,1.0683928,4700,0.00019800114097313508
