BatchSize,MinEpLen,NatGradInftyNorm,TimestepsSoFar,MountainCar_std0_higher,NatGrad2Norm,ReturnMean,J,MountainCar_mu1_higher,AvgEpLen,MountainCar_std1_higher,NumTrajectories,VarJ,ActionIn1,AvgRet,ReturnMax,Iteration,StepSize,MountainCar_mu0_higher
100,324,0.15568356,3963167,0.14999999,0.15601228,-0.06030217603331919,-0.060455512074228605,-0.719396,990.79175,3.0,4000,0.0003489285598104276,4.0649,2.1671048190206452,3.678482503961081,40,0.1,0.022645822
100,324,0.112610206,4062482,0.14999999,0.11496785,-0.06121221969573031,-0.09761396619217494,-0.7038276,990.849268292683,3.0,4100,0.0002606128357780369,-3.1917741,0.7667271808503596,3.678482503961081,41,0.1,0.021633582
100,324,0.17142716,4160516,0.14999999,0.17149453,-0.060777467715042,-0.04295263650682126,-0.71508867,990.5990476190476,3.0,4200,0.00040478225929551726,-1.2757772,4.211949540787427,3.678482503961081,42,0.1,0.01931723
100,324,0.024221057,4260416,0.14999999,0.025851553,-0.06105672536618622,-0.07278554671424325,-0.69794595,990.7944186046511,3.0,4300,0.00011874423558504193,-5.187446,-0.8418193395463865,3.678482503961081,43,0.1,0.018836599
100,324,0.07340688,4358720,0.14999999,0.07386441,-0.06101165120548476,-0.05907346229532226,-0.70036805,990.6181818181818,3.0,4400,0.00019239067418936088,4.134206,4.203643544674172,3.678482503961081,44,0.1,0.017933033
100,324,0.040190607,4458355,0.14999999,0.040414438,-0.06080255033397319,-0.051602111987464054,-0.6930274,990.7455555555556,3.0,4500,7.146564841774431e-05,-2.2750947,1.4022700274555207,3.678482503961081,45,0.1,0.017112179
100,324,0.010576285,4556828,0.14999999,0.010584282,-0.06084235988425503,-0.06263378964693746,-0.6890083,990.6147826086957,3.0,4600,0.0001506269075214317,-0.80454814,4.255518803051604,3.678482503961081,46,0.1,0.016687423
100,324,0.007056162,4656728,0.14999999,0.009778477,-0.061425332078538765,-0.08824205301559057,-0.6900659,990.7931914893617,3.0,4700,0.00014752242972836588,1.3406047,-0.9191340446823533,3.678482503961081,47,0.1,0.016728558
100,324,0.25566992,4755602,0.14999999,0.25589025,-0.06120915364312589,-0.05104876717872065,-0.6893603,990.7504166666666,3.0,4800,0.0005739775289215248,-5.4317145,2.2160008059670853,3.678482503961081,48,0.1,0.016051585
100,324,0.01117265,4854265,0.14999999,0.012234191,-0.06092260018646017,-0.04716803426650579,-0.6637933,990.6663265306122,3.0,4900,6.739509171364811e-05,3.2586374,3.382597144132195,3.678482503961081,49,0.1,0.014989965
100,324,0.12876846,4953006,0.14999999,0.12877756,-0.061098882379277304,-0.06973670982731736,-0.66267604,990.6012,3.0,5000,0.0001831180378531267,-0.8934826,2.098220516861065,3.678482503961081,50,0.1,0.014491494
