ReturnMean,StepSize,Iteration,NatGrad2Norm,NumTrajectories,J,TimestepsSoFar,BatchSize,MountainCar_std0_higher,MinEpLen,ActionIn1,NatGradInftyNorm,AvgRet,MountainCar_std1_higher,MountainCar_mu1_higher,AvgEpLen,MountainCar_mu0_higher,VarJ,ReturnMax
-1.3587037524769885,1.0,1,0.16705361,100,-1.3587037524769885,95826,100,0.14999999,437,-3.043477,0.13912474,4.136592925687536,3.0,0.60902077,958.26,-0.79315424,0.002042844215636583,0.4386352838285089
-1.2110048257910513,1.0,2,0.25024095,200,-1.0633058991051134,189775,100,0.14999999,406,-1.8104825,0.24100186,7.960541564276387,3.0,0.7481455,948.875,-0.70068145,0.001741573843803342,0.4386352838285089
-1.086525134293286,1.0,3,0.49913916,300,-0.8375657512977556,286481,100,0.14999999,331,-0.27331257,0.4975834,3.1043391810011753,3.0,0.5071437,954.9366666666666,-0.633312,0.0020609837727597847,1.7875837667574808
-1.0137369755940469,1.0,4,0.114947595,400,-0.795372499496329,380669,100,0.14999999,331,3.4505649,0.09889854,13.587089605306565,3.0,1.0047271,951.6725,-0.59393346,0.0015923264986802085,1.7875837667574808
-0.9395879374325625,1.0,5,0.7711468,500,-0.6429917847866256,475720,100,0.14999999,331,-3.544329,0.7688695,7.964335331330031,3.0,1.1036257,951.44,-0.53534997,0.002500958920750683,2.757535869402903
-0.8442862253335008,1.0,6,0.6434057,600,-0.36777766483819185,563762,100,0.14999999,331,4.4778767,0.64234316,26.649351892173545,3.0,1.8724952,939.6033333333334,-0.47613034,0.003584523983358668,2.765976188033138
-0.7565986528868957,1.0,7,1.5901687,700,-0.23047321820726535,653238,100,0.14999999,261,6.802293,1.5897627,23.147666226702803,3.0,2.5148382,933.1971428571428,-0.43916944,0.009292921631300544,6.061761968058809
-0.6862277992179863,1.0,8,1.0513709,800,-0.1936318235356204,735674,100,0.14999999,261,3.4015923,1.0503896,46.448742889245956,3.0,4.104601,919.5925,-0.40323853,0.004924701103493272,6.061761968058809
-0.585554151329712,1.0,9,2.0894902,900,0.21983503177648284,810924,100,0.14999999,260,6.2937565,2.08925,60.74203271472734,3.0,5.1549907,901.0266666666666,-0.35782707,0.01356035721748197,6.346561234239597
-0.47727518047034595,1.0,10,2.297344,1000,0.49723555726394797,875294,100,0.14999999,258,6.1682906,2.2973354,78.31500099492553,3.0,7.2442408,875.294,-0.3261559,0.01996635442600743,6.770104788349408
-0.25857605387295984,1.0,11,5.1650124,1100,1.9284152121009017,925683,100,0.14999999,191,5.4051185,5.1650124,90.65539763661609,3.0,9.541576,841.53,-0.31986135,0.08122058196405763,13.95229951697239
0.23484722717725195,1.0,12,8.959821,1200,5.662503318729582,957557,100,0.14999999,163,13.21489,8.9549465,95.08973615497995,3.0,14.706589,797.9641666666666,-0.3194791,0.19319115719904392,18.70724390609376
1.3285228540784357,1.0,13,7.80584,1300,14.452630376892637,976983,100,0.14999999,106,20.429718,7.805794,90.96652418149371,3.0,23.661535,751.5253846153846,-0.61496854,0.7000443308593605,30.31049942934766
2.471415055417194,1.0,14,8.660908,1400,17.329013672821056,993623,100,0.14999999,105,28.592165,8.66048,85.92117909973335,3.0,31.467329,709.7307142857143,-0.6418692,0.7245094538830196,30.31049942934766
3.5668187989513966,1.0,15,12.762765,1500,18.902471208430235,1007541,100,0.14999999,105,37.64278,12.755644,78.56950273937069,3.0,40.127808,671.694,-0.5557708,0.4671532078621447,30.31049942934766
4.390056582611443,1.0,16,5.9863725,1600,16.73862333751214,1024924,100,0.14999999,104,22.40176,5.9634137,85.67262338364826,3.0,27.372164,640.5775,-0.9820588,0.9514331413960099,30.31049942934766
5.146998863590561,1.0,17,4.5924745,1700,17.258075359256452,1039374,100,0.14999999,103,27.503218,4.586193,75.53502670197855,3.0,33.33558,611.3964705882353,-1.5058475,0.778260615189598,30.31049942934766
5.925412429160403,1.0,18,0.3337404,1800,19.158443043847704,1052430,100,0.14999999,103,34.049835,0.2918116,74.55399790619745,3.0,37.921772,584.6833333333333,-1.2657329,0.5813718089541497,30.31049942934766
6.5630537314326585,1.0,19,2.662155,1900,18.04059717233326,1065390,100,0.14999999,103,39.411144,2.6612816,72.68304173603747,3.0,38.213585,560.7315789473685,-1.4276855,0.5343192652141774,30.31049942934766
7.046531442631092,1.0,20,1.2799894,2000,16.232607955401328,1078439,100,0.14999999,103,38.722725,1.268612,68.10094474783716,3.0,40.874866,539.2195,-1.3595059,0.5317853318220195,30.31049942934766
7.535100539952279,1.0,21,1.4920524,2100,17.306482486376016,1090129,100,0.14999999,103,42.009224,1.4812833,66.58938850009672,3.0,42.14348,519.1090476190476,-1.5297891,0.2610257733268002,30.31049942934766
7.957295557450682,1.0,22,9.599291,2200,16.82339092491711,1103457,100,0.14999999,103,39.005276,9.599022,69.93978902735871,3.0,40.662193,501.5713636363636,-1.3508477,0.5371968661498826,30.31049942934766
8.469305121344853,1.0,23,9.894138,2300,19.733515527016596,1117353,100,0.14999999,103,36.71437,9.894022,80.4588876212303,3.0,31.063171,485.805652173913,-1.4227568,0.7106486204998106,30.31049942934766
8.859555900714541,1.0,24,0.38929254,2400,17.83532382621745,1129715,100,0.14999999,103,39.219006,0.28204182,69.77126323828325,3.0,40.95719,470.71458333333334,-1.3748388,0.3946646214962677,30.31049942934766
9.240163069578244,1.0,25,13.389787,2500,18.374735122307094,1142908,100,0.14999999,103,43.081207,13.387527,74.18814565832864,3.0,41.22552,457.1632,-1.092797,0.49173914899068377,30.31049942934766
9.544772428217748,1.0,26,10.719295,2600,17.16000639420536,1159832,100,0.14999999,103,23.823202,10.719295,86.0719874517177,3.0,27.837994,446.08923076923077,-0.84682584,0.9257051731175957,30.31049942934766
9.859542230408664,1.0,27,2.1465242,2700,18.04355708737246,1174410,100,0.14999999,103,36.453278,2.1397095,77.54677812486845,3.0,38.55729,434.96666666666664,-0.8462683,0.6598568889419153,30.31049942934766
10.181190870825757,1.0,28,3.3130975,2800,18.8657041620873,1189239,100,0.14999999,103,35.312744,3.3130968,82.13641522065055,3.0,36.41758,424.7282142857143,-0.67536175,0.5591863221317026,30.31049942934766
10.489456384468177,1.0,29,1.9968547,2900,19.120890766455886,1202701,100,0.14999999,103,37.8593,1.9920815,76.62478317822796,3.0,39.730675,414.7244827586207,-0.6731218,0.4699117514042234,30.31049942934766
10.842279822891976,1.0,30,17.089216,3000,21.07415953718214,1216033,100,0.14999999,103,34.84459,17.078766,80.69004443542623,3.0,37.738594,405.34433333333334,-0.81110567,0.5466142713022127,30.31049942934766
10.861664838653207,1.0,31,5.7413745,3100,11.443215311490155,1238632,100,0.14999999,103,22.350069,5.73784,93.85400692899773,3.0,20.659828,399.55870967741936,-0.2135737,0.385800158777123,30.31049942934766
