MountainCar_std1_higher,VarJ,NumTrajectories,Iteration,ReturnMean,MountainCar_mu0_higher,AvgRet,AvgEpLen,J,BatchSize,NatGradInftyNorm,MinEpLen,MountainCar_mu1_higher,MountainCar_std0_higher,TimestepsSoFar,NatGrad2Norm,StepSize,ActionIn1,ReturnMax
3.0,0.0026259355417200918,2800,28,-1.264995700978659,-0.79297405,2.8042569620331492,948.9342857142857,-1.277993865206829,100,0.107676454,187,0.610139,0.14999999,2657016,0.12735489,0.0001,-0.61230594,13.73439723599963
3.0,0.002916511819175413,2900,29,-1.2641073122809212,-0.79296726,6.089625801079765,948.308275862069,-1.2392324287442607,100,0.39898086,187,0.6101282,0.14999999,2750094,0.40307382,0.0001,-1.3810934,13.73439723599963
3.0,0.0017513370294220756,3000,30,-1.2645417290091394,-0.79296154,1.106914426922078,948.8853333333333,-1.2771398141274672,100,0.9750612,187,0.6101681,0.14999999,2846656,0.97614413,0.0001,-2.2656922,13.73439723599963
3.0,0.0018284147748838025,3100,31,-1.2652788704620002,-0.79295695,1.9632945321499886,948.9870967741936,-1.2873931140478192,100,0.1361381,187,0.6102656,0.14999999,2941860,0.14801426,0.0001,1.7211218,13.73439723599963
3.0,0.0025817356263950295,3200,32,-1.2648956148018482,-0.79295117,4.876658835280221,948.9478125,-1.2530146893371388,100,0.17439945,187,0.6102792,0.14999999,3036633,0.18156528,0.0001,0.58925456,13.73439723599963
3.0,0.0069394234112301716,3300,33,-1.260642473038056,-0.7929461,3.564339423954849,948.6493939393939,-1.1245419365967075,100,0.06371828,187,0.61029667,0.14999999,3130543,0.07361562,0.0001,-0.9830631,13.73439723599963
3.0,0.0019718741958856534,3400,34,-1.2605316920245613,-0.7929424,4.16446871700472,948.7273529411765,-1.256875918579238,100,0.106150076,187,0.6102903,0.14999999,3225673,0.11466543,0.0001,1.7457647,13.73439723599963
3.0,0.0029400614410654067,3500,35,-1.2597526947245579,-0.79293805,3.1681449683015033,948.7831428571428,-1.233266786524441,100,0.6462322,187,0.6102797,0.14999999,3320741,0.6476471,0.0001,-5.240196,13.73439723599963
3.0,0.002889632632742689,3600,36,-1.2602774084488622,-0.79293376,1.6790490318229048,948.6938888888889,-1.2786423887995098,100,0.08951217,187,0.6103443,0.14999999,3415298,0.11419293,0.0001,0.076471806,13.73439723599963
3.0,0.0041101488324664535,3700,37,-1.26046675240264,-0.79292667,3.7222127437468826,948.7294594594595,-1.2672831347386466,100,0.67121124,187,0.61033535,0.14999999,3510299,0.6778397,0.0001,-5.1626387,13.73439723599963
3.0,0.0022393910913974017,3800,38,-1.259513144920196,-0.7929172,1.4796473116292435,948.8644736842106,-1.2242296680697615,100,0.4668111,187,0.61040246,0.14999999,3605685,0.46869504,0.0001,5.2246346,13.73439723599963
3.0,0.0033256697899273434,3900,39,-1.2577225061962845,-0.792913,-0.5145213461748165,949.3317948717948,-1.1896782346876489,100,0.39693782,187,0.61044914,0.14999999,3702394,0.39822528,0.0001,1.37081,13.73439723599963
3.0,0.001661056461704594,4000,40,-1.255261878264759,-0.7929098,3.1228048312522407,949.137,-1.1592973889352753,100,0.26661205,187,0.61048883,0.14999999,3796548,0.2666182,0.0001,1.1703141,13.73439723599963
3.0,0.004220708566606567,4100,41,-1.2544135164701866,-0.7929096,7.9865400509194115,948.5470731707317,-1.2204790446872782,100,0.6385222,187,0.6105155,0.14999999,3889043,0.6422224,0.0001,-1.365831,13.73439723599963
3.0,0.001649825689552458,4200,42,-1.256781288943417,-0.79290277,0.08199983159088972,949.05,-1.3538599603458528,100,0.31346172,187,0.6105793,0.14999999,3986010,0.32261434,0.0001,-0.19799817,13.73439723599963
3.0,0.0017343427046331058,4300,43,-1.2582519983525144,-0.79289514,-1.4165053844006332,949.4297674418605,-1.320021793534619,100,0.16296329,187,0.61061066,0.14999999,4082548,0.17576067,0.0001,-3.3945532,13.73439723599963
3.0,0.006769044442677317,4400,44,-1.2568567785067357,-0.7928886,9.089026020879228,949.0327272727272,-1.1968623251382489,100,0.46309212,187,0.61062694,0.14999999,4175744,0.46651506,0.0001,-3.5592344,13.73439723599963
3.0,0.0020272187670242366,4500,45,-1.2586947284134646,-0.7928829,0.3993009896883299,949.002,-1.3395645243095347,100,0.20684753,187,0.61067325,0.14999999,4270509,0.2253817,0.0001,5.9510612,13.73439723599963
3.0,0.002964189239160598,4600,46,-1.258908776023154,-0.792874,3.867763093684654,949.1413043478261,-1.2685409184591905,100,0.32245928,187,0.61069393,0.14999999,4366050,0.33114114,0.0001,0.83370316,13.73439723599963
3.0,0.003218045474348795,4700,47,-1.2580288941315758,-0.79286647,4.28965393995494,948.9251063829787,-1.217554327118974,100,0.10373685,187,0.6107262,0.14999999,4459948,0.11605938,0.0001,-0.85424775,13.73439723599963
3.0,0.0036035437552352444,4800,48,-1.2569357126641056,-0.7928613,1.1023004779152021,949.0570833333334,-1.2055561836930062,100,0.6348796,187,0.61073655,0.14999999,4555474,0.63591325,0.0001,-0.647555,13.73439723599963
3.0,0.0022777439986579676,4900,49,-1.2575063007918375,-0.79285765,1.7397342323373042,949.1581632653061,-1.2848945309229556,100,0.2761632,187,0.6108,0.14999999,4650875,0.28369054,0.0001,1.1911068,13.73439723599963
3.0,0.006898508184682895,5000,50,-1.257095206314644,-0.79285115,5.691584650712247,948.9692,-1.2369515769321653,100,0.45125008,187,0.6108276,0.14999999,4744846,0.45608684,0.0001,-5.662424,13.73439723599963
