ActionIn1,J,TimestepsSoFar,AvgEpLen,StepSize,ReturnMean,Iteration,NatGradInftyNorm,MountainCar_std0_higher,MountainCar_std1_higher,BatchSize,VarJ,MountainCar_mu1_higher,MinEpLen,ReturnMax,NumTrajectories,NatGrad2Norm,MountainCar_mu0_higher,AvgRet
-3.043477,-1.3587037524769885,95826,958.26,0.001,-1.3587037524769885,1,0.13912474,0.14999999,3.0,100,0.002042844215636583,0.60902077,437,0.4386352838285089,100,0.16705361,-0.79315424,4.136592925687536
-2.0418484,-1.321806386960951,190345,951.725,0.001,-1.3402550697189701,2,0.37743923,0.14999999,3.0,100,0.0019472295807536097,0.6091599,405,0.4386352838285089,200,0.38493013,-0.7930618,4.461490511914691
-0.331348,-1.249760375901737,286565,955.2166666666667,0.001,-1.3100901717798925,3,0.5833974,0.14999999,3.0,100,0.0024655973640236367,0.6087825,328,1.2663080720410447,300,0.585276,-0.7929862,-1.967398172180642
2.8561978,-1.3099112096397507,381399,953.4975,0.001,-1.310045431244857,4,0.13374825,0.14999999,3.0,100,0.002311164200945667,0.6093659,328,1.2663080720410447,400,0.15304029,-0.79293936,2.5548765240504987
-4.29597,-1.2945997787596792,476576,953.152,0.001,-1.3069563007478213,5,1.0554914,0.14999999,3.0,100,0.0033875691729234885,0.60949963,328,2.381767758360396,500,1.0586257,-0.792865,0.6033512403890874
2.8992836,-1.1821096677777483,568206,947.01,0.001,-1.2861485285861425,6,0.053495493,0.14999999,3.0,100,0.004031678715488074,0.6105551,328,2.381767758360396,600,0.054199688,-0.79278356,9.509724407366761
4.544458,-1.2284854274685204,662951,947.0728571428572,0.001,-1.2779109427121966,7,0.47202545,0.14999999,3.0,100,0.002965598256790487,0.6105638,328,2.381767758360396,700,0.47491992,-0.79273003,4.1258944627796215
-0.4814121,-1.317882268290443,758119,947.64875,0.001,-1.2829073584094774,8,0.2641665,0.14999999,3.0,100,0.002143320161471821,0.6110358,328,2.381767758360396,800,0.27542686,-0.7926777,2.595617988295335
1.3152931,-1.1854335980560864,853453,948.2811111111112,0.001,-1.272076940592434,9,0.2556974,0.14999999,3.0,100,0.0025250344549699612,0.6113,327,2.381767758360396,900,0.25623214,-0.79259974,1.5829665113403468
-0.9308217,-1.334333348816007,949059,949.059,0.001,-1.278302581414791,10,0.25312907,0.14999999,3.0,100,0.0025117223730680943,0.6115557,327,2.381767758360396,1000,0.26884657,-0.79258317,1.1939516323532882
-3.9972806,-1.283548363546563,1044709,949.7354545454546,0.001,-1.2787794706994977,11,0.42675617,0.14999999,3.0,100,0.0021196257161172505,0.61180884,327,2.381767758360396,1100,0.43124607,-0.79249257,3.0061649934524763
-1.3524151,-1.3594232514898084,1139229,949.3575,0.001,-1.285499785765357,12,0.11296046,0.14999999,3.0,100,0.002322315384060616,0.6122356,327,2.381767758360396,1200,0.11573918,-0.7924305,4.0975587036625845
-2.796955,-1.1308459277527738,1234320,949.4769230769231,0.001,-1.2736033351490044,13,1.7044351,0.14999999,3.0,100,0.024696443291340926,0.6122104,187,13.736586766039368,1300,1.7056051,-0.79231757,2.0911518968472396
-2.411635,-1.286029838190589,1329843,949.8878571428571,0.001,-1.2744909425091175,14,0.06511371,0.14999999,3.0,100,0.0028699799279489646,0.61391485,187,13.736586766039368,1400,0.06517994,-0.7922544,4.615221610601228
-2.107533,-1.3090639883172828,1425770,950.5133333333333,0.001,-1.2767958122296619,15,0.8461508,0.14999999,3.0,100,0.0021277443808500433,0.6139119,187,13.736586766039368,1500,0.84963757,-0.7921893,-0.37107952547575634
-4.1656995,-1.2561215881524042,1519230,949.51875,0.001,-1.2755036732248335,16,0.40142742,0.14999999,3.0,100,0.0034378959562485333,0.6147581,187,13.736586766039368,1600,0.40833274,-0.7921124,3.6778666498823616
-4.5033913,-1.1885631932636345,1613188,948.9341176470588,0.001,-1.270389527344763,17,0.5355195,0.14999999,3.0,100,0.0036096710913166626,0.6151595,187,13.736586766039368,1700,0.53746194,-0.7920376,5.399171838906658
-2.7825031,-1.2455460500737567,1707562,948.6455555555556,0.001,-1.2690093341630402,18,0.49197698,0.14999999,3.0,100,0.003517176341008407,0.61569506,187,13.736586766039368,1800,0.49594554,-0.79199195,2.827309679011408
2.4495027,-1.207525854958344,1800473,947.6173684210527,0.001,-1.2657733615733195,19,0.17257866,0.14999999,3.0,100,0.0028294416757885027,0.61618704,187,13.736586766039368,1900,0.18003552,-0.7919293,5.268326463147295
-0.9681547,-1.3208952488064087,1894670,947.335,0.001,-1.2685294559349738,20,0.26872447,0.14999999,3.0,100,0.002360135315323081,0.6163596,187,13.736586766039368,2000,0.28334314,-0.79187804,3.4208598546553035
1.2203739,-1.1906708879790284,1990155,947.6928571428572,0.001,-1.264821905079929,21,0.9207975,0.14999999,3.0,100,0.006911395118121471,0.6166283,187,13.736586766039368,2100,0.9215323,-0.7917882,1.218763551390695
-0.4802717,-1.3282853801768852,2087982,949.0827272727273,0.001,-1.267706608493427,22,0.69459295,0.14999999,3.0,100,0.002058069048973709,0.61754906,187,13.736586766039368,2200,0.69898605,-0.79175144,-6.349507831723949
6.9005256,-1.175489855720561,2179647,947.6726086956522,0.001,-1.2636971844598242,23,0.69845873,0.14999999,3.0,100,0.0060994560215381485,0.61824363,187,13.736586766039368,2300,0.7033733,-0.7916732,8.05075884936449
-0.53599447,-1.2093312795873923,2273610,947.3375,0.001,-1.2614319384234727,24,0.28587127,0.14999999,3.0,100,0.0023860063230280214,0.6189421,187,13.736586766039368,2400,0.28989494,-0.79159015,2.3835846943223697
2.7761707,-1.2931549216853324,2370775,948.31,0.001,-1.2627008577539471,25,0.85877746,0.14999999,3.0,100,0.0016697271966481777,0.61922795,187,13.736586766039368,2500,0.86055136,-0.791542,-4.105470230768514
-3.339367,-1.254428497023956,2464838,948.0146153846154,0.001,-1.2623826900335628,26,0.12045385,0.14999999,3.0,100,0.003596450296627043,0.6200867,187,13.736586766039368,2600,0.14264238,-0.79148674,6.830143851395836
-1.4291884,-1.2588470802444103,2561205,948.5944444444444,0.001,-1.2622517415228536,27,0.23988743,0.14999999,3.0,100,0.002233500563429,0.61996627,187,13.736586766039368,2700,0.24616256,-0.7914103,0.10048751904752358
-0.6006198,-1.2735983118869647,2656709,948.8246428571429,0.001,-1.2626569761787145,28,0.10718478,0.14999999,3.0,100,0.0026199130258710694,0.6202062,187,13.736586766039368,2800,0.1268836,-0.7913551,2.8402734128758222
-1.3694426,-1.2345662360647072,2749791,948.2037931034482,0.001,-1.261688329967887,29,0.39943403,0.14999999,3.0,100,0.0029124364748344027,0.620099,187,13.736586766039368,2900,0.40350735,-0.7912872,6.126253755843908
-2.2536306,-1.2721870420179082,2846269,948.7563333333334,0.001,-1.2620382870362208,30,0.9722012,0.14999999,3.0,100,0.0017463713095744835,0.6204984,187,13.736586766039368,3000,0.97328603,-0.79123,1.1762653735106303
1.7340996,-1.2826216724258617,2941478,948.863870967742,0.001,-1.2627022672100803,31,0.13549633,0.14999999,3.0,100,0.001823131512501796,0.62147063,187,13.736586766039368,3100,0.14739911,-0.79118407,2.0042657646915343
0.6024066,-1.2478578072751183,3036166,948.801875,0.001,-1.2622383778371127,32,0.17541467,0.14999999,3.0,100,0.00257664372458976,0.6216061,187,13.736586766039368,3200,0.18252386,-0.791126,4.948510104700006
-0.9697077,-1.120981616662137,3130072,948.5066666666667,0.001,-1.2579578699227194,33,0.07555579,0.14999999,3.0,100,0.007006806730084381,0.6217815,187,13.736586766039368,3300,0.08390174,-0.7910756,3.603246886195791
1.7590837,-1.2492148625151913,3225122,948.5652941176471,0.001,-1.2577007226460273,34,0.093667954,0.14999999,3.0,100,0.001975330200725569,0.62170595,187,13.736586766039368,3400,0.10320867,-0.7910391,4.23156172744534
-5.226921,-1.227946665041831,3320199,948.6282857142858,0.001,-1.2568506067144787,35,0.64479196,0.14999999,3.0,100,0.0029354638810759515,0.6216123,187,13.736586766039368,3500,0.6462082,-0.7909958,3.2098767517552846
0.09036529,-1.2731910702761762,3414741,948.5391666666667,0.001,-1.2573045084800816,36,0.08773645,0.14999999,3.0,100,0.002882746412898403,0.6222571,187,13.736586766039368,3600,0.1127197,-0.79095304,2.729004135519676
-5.14876,-1.2616650934892204,3509750,948.581081081081,0.001,-1.2574223621289773,37,0.66986513,0.14999999,3.0,100,0.004101930665630999,0.6221694,187,13.736586766039368,3700,0.6764848,-0.7908823,3.7671455602128896
5.2392,-1.2180912518360012,3605044,948.6957894736842,0.001,-1.256387332910741,38,0.46736696,0.14999999,3.0,100,0.0022386421397351856,0.6228392,187,13.736586766039368,3800,0.4692541,-0.7907879,1.5477287895964844
