ActionIn1,J,TimestepsSoFar,AvgEpLen,StepSize,ReturnMean,Iteration,NatGradInftyNorm,MountainCar_std0_higher,MountainCar_std1_higher,BatchSize,VarJ,MountainCar_mu1_higher,MinEpLen,ReturnMax,NumTrajectories,NatGrad2Norm,MountainCar_mu0_higher,AvgRet
1.3858347,-1.1838279738532704,3701758,949.1687179487179,0.001,-1.254526836524652,39,0.39673534,0.14999999,3.0,100,0.003318448218883169,0.6233066,187,13.736586766039368,3900,0.39802936,-0.79074585,-0.46198809555229015
1.1857247,-1.153519642456281,3795916,948.979,0.001,-1.2520016566729428,40,0.26587775,0.14999999,3.0,100,0.0016544653022775798,0.6237033,187,13.736586766039368,4000,0.26588482,-0.7907138,3.172848150174155
-1.3501796,-1.2144298934842588,3888419,948.3948780487805,0.001,-1.2510852722049262,41,0.6386127,0.14999999,3.0,100,0.004215768295665709,0.6239692,187,13.736586766039368,4100,0.64230025,-0.7907119,8.034828258478615
-0.18171006,-1.3471875498542152,3985310,948.8833333333333,0.001,-1.2533734216727663,42,0.31289214,0.14999999,3.0,100,0.001640575212611925,0.6246078,187,13.736586766039368,4200,0.3220147,-0.79064316,0.16043064349072686
-3.3779154,-1.3136524097201947,4081857,949.2690697674418,0.001,-1.2547752586041019,43,0.16202764,0.14999999,3.0,100,0.0017278959742999616,0.62492067,187,13.736586766039368,4300,0.17484166,-0.79056704,-1.3628338060481446
-3.5423913,-1.1903474744998843,4175057,948.876590909091,0.001,-1.2533109907835516,44,0.46532494,0.14999999,3.0,100,0.006762138177928024,0.6250827,187,13.736586766039368,4400,0.46871755,-0.79050136,9.139324336700275
5.9683733,-1.3328956921933548,4269828,948.8506666666667,0.001,-1.2550795397037693,45,0.20550328,0.14999999,3.0,100,0.0020211646647202803,0.625548,187,13.736586766039368,4500,0.22405702,-0.7904451,0.46087851366133004
0.8512809,-1.261430599057562,4365386,948.9969565217391,0.001,-1.2552176062114604,46,0.32276398,0.14999999,3.0,100,0.002958735749235967,0.6257535,187,13.736586766039368,4600,0.331405,-0.7903558,3.9215420266618044
-0.8363118,-1.2104305516052134,4459285,948.7840425531915,0.001,-1.2542646901560086,47,0.10570666,0.14999999,3.0,100,0.0032109993656809573,0.6260763,187,13.736586766039368,4700,0.117798805,-0.79028064,4.3534275337709225
-0.62947696,-1.19892012818282,4554821,948.9210416666666,0.001,-1.2531116784482337,48,0.6301364,0.14999999,3.0,100,0.0035778630225350525,0.62618196,187,13.736586766039368,4800,0.63117963,-0.79022866,1.1649451621007696
1.209784,-1.277267554966043,4650143,949.008775510204,0.001,-1.2536046555200255,49,0.27609608,0.14999999,3.0,100,0.0022713646256317713,0.6268121,187,13.736586766039368,4900,0.28358847,-0.79019237,1.831198717889055
-5.6434402,-1.228955724810259,4744018,948.8036,0.001,-1.2531116769058301,50,0.45490238,0.14999999,3.0,100,0.006897107291362268,0.6270882,187,13.736586766039368,5000,0.45967206,-0.79012764,6.782422541164667
