ActionIn1,ReturnMean,AvgEpLen,MountainCar_std1_higher,J,Iteration,MountainCar_mu0_higher,NatGradInftyNorm,StepSize,TimestepsSoFar,MountainCar_mu1_higher,BatchSize,MinEpLen,AvgRet,NatGrad2Norm,MountainCar_std0_higher,NumTrajectories,VarJ,ReturnMax
-3.043477,-1.3587037524769885,958.26,3.0,-1.3587037524769885,1,-0.79315424,0.13912474,0.01,95826,0.60902077,100,437,4.136592925687536,0.16705361,0.14999999,100,0.002042844215636583,0.4386352838285089
-2.0397642,-1.339068083484329,951.74,3.0,-1.3194324144916687,2,-0.79222953,0.37645793,0.01,190348,0.610412,100,405,4.489489210971697,0.3839546,0.14999999,200,0.001945477178051422,0.4386352838285089
-0.33197135,-1.3078708285202276,955.2266666666667,3.0,-1.2454763185920255,3,-0.7914745,0.58302665,0.01,286568,0.60664743,100,328,-1.9238880280939645,0.58490145,0.14999999,300,0.002463348600610911,1.2729068028169683
2.8612425,-1.307013711764996,953.5175,3.0,-1.3044423614993002,4,-0.79100657,0.13349563,0.01,381407,0.6124777,100,328,2.605160056362158,0.1527507,0.14999999,400,0.0023060902589510106,1.2729068028169683
-4.2890563,-1.3030629458443055,953.172,3.0,-1.2872598821615444,5,-0.7902641,1.0522984,0.01,476586,0.6138127,100,328,0.6748409447288453,1.0554268,0.14999999,500,0.0033811348167781556,2.3894672237779346
2.9163954,-1.2813820364049493,946.945,3.0,-1.1729774892081681,6,-0.78945214,0.053422205,0.01,568167,0.62433565,100,328,10.591871276567076,0.054855507,0.14999999,600,0.004023923248350964,2.3894672237779346
4.5621667,-1.2723213454157511,947.0357142857143,3.0,-1.217957199480563,7,-0.7889179,0.47262505,0.01,662925,0.6244602,100,328,4.217618448288099,0.47550243,0.14999999,700,0.0029553571882858587,2.3894672237779346
-0.45897937,-1.2765209099270707,947.635,3.0,-1.3059178615063058,8,-0.7883956,0.26343694,0.01,758108,0.62918645,100,328,2.700039484855144,0.27463004,0.14999999,800,0.0021318878360920878,2.3894672237779346
1.3407941,-1.2648859583751473,948.1777777777778,3.0,-1.1718063459597599,9,-0.78761953,0.2563014,0.01,853360,0.6318208,100,327,1.7420523285546625,0.2568428,0.14999999,900,0.002513155541502506,2.3894672237779346
-0.9028633,-1.2703347774963358,948.79,3.0,-1.319374149587035,10,-0.7874529,0.25459224,0.01,948790,0.6343838,100,327,1.386596515021428,0.27002472,0.14999999,1000,0.0024978864558813,2.3894672237779346
-3.96622,-1.2699115388426274,949.4045454545454,3.0,-1.2656791523055428,11,-0.7865531,0.4298113,0.01,1044345,0.6369297,100,327,3.1571104459945816,0.43432134,0.14999999,1100,0.002131571087015929,2.3894672237779346
-1.3169212,-1.2758257984083359,948.9875,3.0,-1.3408826536311278,12,-0.7859288,0.11200737,0.01,1138785,0.6412278,100,327,4.270922591023507,0.114131555,0.14999999,1200,0.0023006722288892896,2.3894672237779346
-2.760648,-1.2630515283851003,949.0146153846154,3.0,-1.1097602881062756,13,-0.7848087,1.7060919,0.01,1233719,0.6410086,100,187,2.3360121270168195,1.7072496,0.14999999,1300,0.024673230714722428,13.758326035038612
-2.3594058,-1.263084499336523,949.4114285714286,3.0,-1.263513121705015,14,-0.78418005,0.06474998,0.01,1329176,0.65806955,100,187,5.783514987840888,0.06483864,0.14999999,1400,0.0028536214687702455,13.758326035038612
-2.0546846,-1.2643848808643534,950.022,3.0,-1.2825902222539807,15,-0.78353256,0.8402269,0.01,1425033,0.65810347,100,187,-0.1449863830853033,0.8436928,0.14999999,1500,0.0021356602050394834,13.758326035038612
-4.1046076,-1.2622890695718008,948.951875,3.0,-1.2308519001835119,16,-0.7827686,0.3982765,0.01,1518323,0.66650575,100,187,5.898831966477231,0.40511015,0.14999999,1600,0.0033762244495540513,13.758326035038612
