MountainCar_mu1_higher,AvgRet,NatGradInftyNorm,MountainCar_std0_higher,TimestepsSoFar,VarJ,AvgEpLen,StepSize,MountainCar_mu0_higher,BatchSize,MinEpLen,NatGrad2Norm,J,Iteration,ReturnMean,MountainCar_std1_higher,ReturnMax,ActionIn1,NumTrajectories
-0.8971903,3.3445961042274117,0.12110565,0.14999999,98088,0.0007412651696773981,980.88,0.01,-0.4416444,100,446,0.12398211,-0.44597890987181793,1,-0.44597890987181793,3.0,0.8659951716475259,8.738399,100
-0.8959792,0.6869824368414386,0.30411366,0.14999999,196245,0.0010050460204212512,981.225,0.01,-0.4413789,100,446,0.3093374,-0.5158122864332246,2,-0.48089559815252125,3.0,0.8659951716475259,-0.42532223,200
-0.8929381,3.7433436550202503,0.043549877,0.14999999,295254,0.0006906862423808203,984.18,0.01,-0.4408128,100,446,0.047657758,-0.5123813156077993,3,-0.4913908373042806,3.0,0.8659951716475259,-1.5942192,300
-0.8931316,6.499622439717461,0.068766035,0.14999999,392400,0.00064266900306965,981.0,0.01,-0.4403773,100,446,0.072586745,-0.4323728816324507,4,-0.47663634838632307,3.0,0.8659951716475259,4.5487695,400
-0.8938193,-1.2058311576031109,0.39871764,0.14999999,491146,0.0011028190242818015,982.292,0.01,-0.4401449,100,446,0.40311164,-0.5125221274717526,5,-0.483813504203409,3.0,0.8659951716475259,-5.9514256,500
-0.8898321,2.517423541363741,0.14486003,0.14999999,589032,0.001043954691414345,981.72,0.01,-0.43955132,100,416,0.14851078,-0.42609848218534624,6,-0.47419433386706517,3.0,1.0014077255287244,-2.955583,600
-0.8883835,-1.0399425803931879,0.3838445,0.14999999,688490,0.0010345069976232047,983.5571428571428,0.01,-0.43922406,100,416,0.3876934,-0.49888047282282555,7,-0.47772092514645953,3.0,1.0014077255287244,-1.7748001,700
-0.8845451,0.9920112736352522,0.2174797,0.14999999,786862,0.0010342530682779286,983.5775,0.01,-0.43867913,100,416,0.22395703,-0.4930355824051038,8,-0.47963525730379003,3.0,1.0014077255287244,0.3399219,800
-0.8823703,7.920381194084687,0.25685915,0.14999999,883802,0.0008968718190872524,982.0022222222223,0.01,-0.43814442,100,416,0.2612148,-0.4873169977862126,9,-0.48048878402405926,3.0,1.0014077255287244,0.40790907,900
-0.8849389,3.027534420566809,0.10221829,0.14999999,981477,0.0008198624589946711,981.477,0.01,-0.4376694,100,416,0.11115206,-0.4832714251321785,10,-0.4807670481348712,3.0,1.0014077255287244,-2.6915991,1000
-0.88596106,-0.9008158838006277,0.11511417,0.14999999,1080877,0.0007232359376008622,982.6154545454546,0.01,-0.4372328,100,416,0.12131457,-0.4837231201597612,11,-0.48103578195531566,3.0,1.0014077255287244,0.6802148,1100
-0.8848099,1.996128310121823,0.04546343,0.14999999,1179501,0.0008401410702199498,982.9175,0.01,-0.43684992,100,416,0.04599623,-0.4909793857124567,12,-0.48186441560174403,3.0,1.0014077255287244,-2.0367208,1200
-0.8847401,-1.3889266189853269,0.111011624,0.14999999,1278867,0.0007419097125230647,983.7438461538461,0.01,-0.4363953,100,416,0.114491306,-0.43160133996327643,13,-0.4779980251680158,3.0,1.0014077255287244,-3.127606,1300
-0.88363,0.7373567894407617,0.30177948,0.14999999,1377903,0.0007346760972191737,984.2164285714285,0.01,-0.43611518,100,416,0.3056298,-0.5146705229889331,14,-0.48061748929808135,3.0,1.0014077255287244,-2.9391558,1400
-0.88664776,-0.4607957866388061,0.31124845,0.14999999,1477253,0.0006763265577510372,984.8353333333333,0.01,-0.43563157,100,416,0.31254256,-0.44117632572786114,15,-0.4779880783934001,3.0,1.0014077255287244,-3.1910734,1500
-0.88353527,-0.1042115133059407,0.119340554,0.14999999,1576312,0.0006784859346383564,985.195,0.01,-0.43534744,100,416,0.12616546,-0.495278701379386,16,-0.4790687423300241,3.0,1.0014077255287244,-1.590456,1600
-0.88234186,2.6403631368448157,0.1672928,0.14999999,1674799,0.001244131639152164,985.1758823529411,0.01,-0.4349381,100,416,0.18100311,-0.5225932789386569,17,-0.4816290091893555,3.0,1.0014077255287244,-3.0725772,1700
-0.88066894,2.7810713155171523,0.09249662,0.14999999,1773172,0.0008312539398174247,985.0955555555555,0.01,-0.43424708,100,416,0.10542362,-0.5054745906022845,18,-0.48295376371229604,3.0,1.0014077255287244,-1.3131487,1800
-0.8815939,1.0526333466709203,0.047820125,0.14999999,1871782,0.000927861176294077,985.1484210526315,0.01,-0.43374127,100,416,0.05876413,-0.4786492110280109,19,-0.48272720830786,3.0,1.0014077255287244,-1.0873729,1900
-0.8819354,1.02254473520003,0.050181188,0.14999999,1970692,0.0005404657469856669,985.346,0.01,-0.43326306,100,416,0.061625388,-0.4891789988280347,20,-0.48304979783386864,3.0,1.0014077255287244,-2.510874,2000
-0.8814336,5.96780796404095,0.36152014,0.14999999,2067627,0.0011980981244790604,984.5842857142857,0.01,-0.43290535,100,414,0.36526233,-0.47128070630168367,21,-0.4824893649037646,3.0,1.0014077255287244,-1.2710238,2100
-0.8778184,-1.6050976312189553,0.06381256,0.14999999,2166907,0.0009785989446202497,984.9577272727273,0.01,-0.43238384,100,414,0.07859514,-0.4543615044219375,22,-0.4812108257909542,3.0,1.0014077255287244,-2.762279,2200
-0.87845653,-0.09698481748959754,0.04380693,0.14999999,2265601,0.0007080386186699912,985.0439130434783,0.01,-0.43192503,100,414,0.057058893,-0.4935298977810326,23,-0.48174643761660985,3.0,1.0014077255287244,-1.8970383,2300
