J,MinEpLen,AvgRet,MountainCar_std0_higher,ActionIn1,MountainCar_mu0_higher,NatGradInftyNorm,BatchSize,ReturnMax,NatGrad2Norm,Iteration,MountainCar_std1_higher,AvgEpLen,StepSize,VarJ,TimestepsSoFar,NumTrajectories,ReturnMean,MountainCar_mu1_higher
-1.181922179695255,250,-0.2350053328078783,0.14999999,-1.4356786,-0.820599,0.98531497,100,4.8516151427357075,0.98536676,1,3.0,942.98,1.0,0.007811347884230451,94298,100,-1.181922179695255,0.57150435
-1.2279047002955077,250,8.150134559775806,0.14999999,-0.8205352,-0.8104957,0.20055084,100,4.8516151427357075,0.20387687,2,3.0,930.24,1.0,0.003147463291443505,186048,200,-1.2049134399953814,1.5568193
-1.1894115546920658,250,21.64387273578992,0.14999999,2.4927053,-0.77381957,0.03703208,100,4.8516151427357075,0.04628133,3,3.0,924.9033333333333,1.0,0.0014251619452550354,277471,300,-1.1997461448942763,1.7573701
-0.9939012197107222,250,13.845446782309914,0.14999999,4.398465,-0.74606013,0.87091935,100,6.0112037964647955,0.8715903,4,3.0,921.94,1.0,0.007706427857315044,368776,400,-1.1482849135983877,1.720338
-0.9931363659965846,250,26.15033998116371,0.14999999,1.9439507,-0.7118669,0.55458516,100,6.0112037964647955,0.5575872,5,3.0,916.564,1.0,0.0029665187509518736,458282,500,-1.1172552040780273,2.5912573
-0.8365030493641626,250,32.44431530885412,0.14999999,1.044239,-0.6540846,0.5260972,100,6.0112037964647955,0.5281694,6,3.0,909.6883333333334,1.0,0.0032308489903730823,545813,600,-1.0704631782923832,3.1458426
-0.3361324721338901,250,50.12663113880726,0.14999999,0.8114931,-0.60734415,1.9420592,100,6.506966732903642,1.9434401,7,3.0,887.3271428571428,1.0,0.013998701429290465,621129,700,-0.9655587916983126,3.6719398
0.05322678141871858,250,67.56738549175572,0.14999999,3.3607626,-0.5340956,2.4664288,100,6.506966732903642,2.466699,8,3.0,864.1325,1.0,0.022171954368131006,691306,800,-0.8382105950586838,5.613999
1.2916236035794193,185,84.61476886131692,0.14999999,6.0040407,-0.4976033,5.5503874,100,14.405782752682812,5.5504127,9,3.0,830.2955555555556,1.0,0.08139434213129888,747266,900,-0.6015623507655612,8.080427
4.59150217653749,181,94.91118601782966,0.14999999,16.64079,-0.4808772,3.494617,100,14.603331912387329,3.4958098,10,3.0,783.206,1.0,0.23022519304849606,783206,1000,-0.08225589803525594,13.630815
