TimestepsSoFar,ReturnMean,J,VarJ,Iteration,StepSize,ReturnMax,MountainCar_std0_higher,MountainCar_std1_higher,AvgEpLen,MountainCar_mu1_higher,MinEpLen,AvgRet,NumTrajectories,NatGradInftyNorm,BatchSize,ActionIn1,MountainCar_mu0_higher,NatGrad2Norm
99290,-0.06323083020014432,-0.06323083020014432,9.765890675582226e-05,1,0.0001,0.09087264520012571,0.14999999,3.0,992.9,-0.99866194,666,1.2787972622689239,100,0.030574452,100,0.30288267,0.05171383,0.030851772
198358,-0.07252680416362155,-0.08182277812709876,0.0006779456325188898,2,0.0001,1.9439075589123187,0.14999999,3.0,991.79,-0.9986589,387,1.8584835588729294,200,0.09522696,100,-6.9253774,0.05171342,0.098102205
297660,-0.06631916354857015,-0.053903882318467364,9.079040717278365e-05,3,0.0001,1.9439075589123187,0.14999999,3.0,992.2,-0.99864936,387,1.361220957014777,300,0.04548529,100,0.64707565,0.05171106,0.045563716
396899,-0.06906187200753272,-0.0772899973844205,0.0003804592098462732,4,0.0001,1.9439075589123187,0.14999999,3.0,992.2475,-0.9986448,387,1.0369909482806334,400,0.14111307,100,0.30950928,0.051710792,0.1415012
496298,-0.06935419963438301,-0.07052351014178408,0.00016551129817252966,5,0.0001,1.9439075589123187,0.14999999,3.0,992.596,-0.9986307,387,0.1797469206563468,500,0.03132862,100,-4.16173,0.051709745,0.033352353
596198,-0.07278854736135801,-0.08996028599623297,0.00012064512803971664,6,0.0001,1.9439075589123187,0.14999999,3.0,993.6633333333333,-0.99862754,387,-0.9678736951202764,600,0.016031256,100,2.1799257,0.0517086,0.018224953
695971,-0.0742786261817321,-0.08321909910397672,0.00010225398548296224,7,0.0001,1.9439075589123187,0.14999999,3.0,994.2442857142858,-0.99862915,387,0.14453648170314223,700,0.024745489,100,0.3782856,0.051707733,0.026048098
795468,-0.07385950974521868,-0.07092569468962472,0.00011751863184716744,8,0.0001,1.9439075589123187,0.14999999,3.0,994.335,-0.99862665,387,1.1359449813761493,800,0.08947397,100,-3.9979224,0.05170692,0.089840904
895368,-0.07158212170930457,-0.053363017421991635,4.4771519499078353e-05,9,0.0001,1.9439075589123187,0.14999999,3.0,994.8533333333334,-0.9986356,387,-0.5547575914051885,900,0.0056611714,100,-0.5472253,0.05170611,0.005987202
995218,-0.07373180205318407,-0.09307892514809961,0.00017609988777405282,10,0.0001,1.9439075589123187,0.14999999,3.0,995.218,-0.99863505,387,-0.03411790554911662,1000,0.022714727,100,-3.5053396,0.051705915,0.025668206
1094581,-0.07465635794211922,-0.08390191683147086,0.00013974857579918972,11,0.0001,1.9439075589123187,0.14999999,3.0,995.0736363636364,-0.9986373,387,1.9743654908649066,1100,0.01994361,100,0.6165162,0.05170472,0.024925927
1194475,-0.07414006525247754,-0.0684608456664189,0.0001230780479118201,12,0.0001,1.9439075589123187,0.14999999,3.0,995.3958333333334,-0.9986393,387,0.27662956834636887,1200,0.0061199465,100,-1.268827,0.051703226,0.008065877
1293292,-0.07422843821340236,-0.07528891374450018,0.00015460800294494665,13,0.0001,1.9439075589123187,0.14999999,3.0,994.84,-0.9986398,387,3.09890259049724,1300,0.036260936,100,-4.1965065,0.051702615,0.03911057
1391484,-0.07193865992553916,-0.04217154218331765,0.0005067204545942902,14,0.0001,1.9439075589123187,0.14999999,3.0,993.9171428571428,-0.99864346,387,3.1706687418028254,1400,0.2170732,100,-4.7268515,0.05170115,0.2172014
1490577,-0.07279235957246159,-0.08474415462937554,0.0002579885542130131,15,0.0001,1.9439075589123187,0.14999999,3.0,993.718,-0.99862176,387,0.9784945811682333,1500,0.06459894,100,-9.180275,0.051700406,0.06693896
1589537,-0.07188508227588557,-0.05827592282724511,9.046267599570661e-05,16,0.0001,1.9439075589123187,0.14999999,3.0,993.460625,-0.9986153,387,2.2077924095047887,1600,0.017924573,100,-1.4763548,0.05169865,0.019353315
1688952,-0.07267474390008516,-0.08530932988727871,0.00017231260083454616,17,0.0001,1.9439075589123187,0.14999999,3.0,993.5011764705882,-0.9986171,387,0.03095489981258547,1700,0.059713084,100,2.1980414,0.05169792,0.061205685
1787221,-0.07151274636048609,-0.05175878818730206,0.0004543020158425131,18,0.0001,1.9439075589123187,0.14999999,3.0,992.9005555555556,-0.99861115,387,3.1770105716741477,1800,0.18854828,100,-1.256598,0.051696576,0.18869828
1887121,-0.07204866843163248,-0.08169526571226722,0.00017649850616295793,19,0.0001,1.9439075589123187,0.14999999,3.0,993.2215789473685,-0.9985923,387,-0.8444072696647901,1900,0.058302023,100,-0.29648495,0.051695824,0.059792727
1986929,-0.07162675057459998,-0.06361031129098245,6.71237019627353e-05,20,0.0001,1.9439075589123187,0.14999999,3.0,993.4645,-0.99859816,387,0.30115530882480995,2000,0.03263605,100,4.756243,0.051694497,0.03318519
2086532,-0.07156289869217175,-0.07028586104360715,9.387519364480658e-05,21,0.0001,1.9439075589123187,0.14999999,3.0,993.5866666666667,-0.9985949,387,0.22227259570567398,2100,0.012772559,100,-6.833752,0.051693898,0.012837223
2185441,-0.07139925729213178,-0.06796278789129301,0.0001154830227769308,22,0.0001,1.9439075589123187,0.14999999,3.0,993.3822727272727,-0.99859613,387,3.2209604934768117,2200,0.026917884,100,0.88213265,0.051693767,0.027790654
2284980,-0.07159007044121478,-0.07578795972104038,9.36946019597121e-05,23,0.0001,1.9439075589123187,0.14999999,3.0,993.4695652173913,-0.99859345,387,0.18189900908783543,2300,0.012858572,100,4.941136,0.051693078,0.014359287
2383963,-0.07142464914344242,-0.06761995929467789,0.00014875933180292497,24,0.0001,1.9439075589123187,0.14999999,3.0,993.3179166666666,-0.99859476,387,2.2130756214294283,2400,0.03080235,100,1.5137143,0.051692437,0.031800758
2483863,-0.07179618867453288,-0.08071313742070432,0.0001277534367004848,25,0.0001,1.9439075589123187,0.14999999,3.0,993.5452,-0.99859786,387,-0.8862128167947191,2500,0.054933883,100,-1.4023283,0.051691648,0.056109525
2583091,-0.07009591049842477,-0.02758895609572209,0.0013708549629384461,26,0.0001,3.5430005698753066,0.14999999,3.0,993.4965384615384,-0.99860334,327,0.2621202811895773,2600,0.2832031,100,-2.0997,0.051690504,0.28321055
2681457,-0.06903544023032633,-0.04146321325976707,0.0004673688366046028,27,0.0001,3.5430005698753066,0.14999999,3.0,993.1322222222223,-0.99857503,327,2.248042511983387,2700,0.3012524,100,-0.37585676,0.0516903,0.30128103
2780655,-0.06897837523209951,-0.06743762027997532,8.595273074277377e-05,28,0.0001,3.5430005698753066,0.14999999,3.0,993.0910714285715,-0.99854493,327,2.1977016234338187,2800,0.039204486,100,2.1454213,0.05168988,0.03975469
2878986,-0.06896652122317513,-0.06863460897329207,0.00023064725921311018,29,0.0001,3.5430005698753066,0.14999999,3.0,992.7537931034483,-0.998541,327,2.9942691059687445,2900,0.071315125,100,-0.8246702,0.051689222,0.07238575
2977020,-0.06704891774971611,-0.011438417019404257,0.0021217385273515996,30,0.0001,3.5430005698753066,0.14999999,3.0,992.34,-0.99854815,327,3.102561570773261,3000,0.543309,100,0.80172884,0.051687982,0.5434526
3076178,-0.06690453310579349,-0.06257299378811539,0.00011383157781350023,31,0.0001,3.5430005698753066,0.14999999,3.0,992.3154838709678,-0.9984938,327,1.2838886928718403,3100,0.013389567,100,-4.773984,0.051686734,0.015280682
3174485,-0.06709514938529876,-0.07300425404996176,0.00035455495679256486,32,0.0001,3.5430005698753066,0.14999999,3.0,992.0265625,-0.9984925,327,2.9976187427637835,3200,0.09722334,100,-2.2852917,0.051685996,0.099218644
3273799,-0.0671794393818497,-0.06987671927147995,9.277230276054317e-05,33,0.0001,3.5430005698753066,0.14999999,3.0,992.060303030303,-0.99848276,327,1.1921509793565088,3300,0.020291219,100,3.2914996,0.05168402,0.021009648
3373255,-0.06748724164073099,-0.07764471618381337,0.00019609449023608034,34,0.0001,3.5430005698753066,0.14999999,3.0,992.1338235294118,-0.99848074,327,0.06674968966870844,3400,0.015823811,100,3.6414084,0.051683474,0.018366303
3472128,-0.06763383331288186,-0.07261795016601202,0.0003144499012712822,35,0.0001,3.5430005698753066,0.14999999,3.0,992.0365714285714,-0.9984817,327,2.0739298790178387,3500,0.049699694,100,-5.3219943,0.05168189,0.052197635
