TimestepsSoFar,ReturnMean,J,VarJ,Iteration,StepSize,ReturnMax,MountainCar_std0_higher,MountainCar_std1_higher,AvgEpLen,MountainCar_mu1_higher,MinEpLen,AvgRet,NumTrajectories,NatGradInftyNorm,BatchSize,ActionIn1,MountainCar_mu0_higher,NatGrad2Norm
3571445,-0.06714511144514333,-0.05003984607429434,0.00030331225464167057,36,0.0001,3.5430005698753066,0.14999999,3.0,992.0680555555556,-0.99847674,327,0.2478343248633135,3600,0.046309926,100,1.7283562,0.051680297,0.046832167
3671345,-0.06725149398095764,-0.07108126527027286,0.0001105325518625293,37,0.0001,3.5430005698753066,0.14999999,3.0,992.2554054054054,-0.9984721,327,-0.7895355388265938,3700,0.027482739,100,-6.244358,0.0516796,0.029105099
3770863,-0.0677024495584463,-0.08438780592552625,0.0003138116192820695,38,0.0001,3.5430005698753066,0.14999999,3.0,992.3323684210526,-0.99847484,327,1.039809553059805,3800,0.020041168,100,0.36908126,0.051678643,0.024299402
3870352,-0.06786451211779111,-0.07402288937289428,0.00013183894251178672,39,0.0001,3.5430005698753066,0.14999999,3.0,992.3979487179487,-0.99847686,327,0.2015304160735058,3900,0.082518265,100,-0.8752884,0.051677268,0.08286123
3970139,-0.0683754634674168,-0.08830256610281817,0.00019662361333928026,40,0.0001,3.5430005698753066,0.14999999,3.0,992.53475,-0.99846864,327,0.012913053879001995,4000,0.050760724,100,3.8148582,0.051676515,0.05324016
4069548,-0.06958651434257622,-0.11802854934895389,0.0003250315664032817,41,0.0001,3.5430005698753066,0.14999999,3.0,992.5726829268293,-0.9984636,327,0.6033104951710638,4100,0.16569574,100,-3.456369,0.05167491,0.16805059
4168798,-0.06976767886314883,-0.07719542420662591,0.0001361641245385054,42,0.0001,3.5430005698753066,0.14999999,3.0,992.5709523809523,-0.99848014,327,1.0623028739123348,4200,0.009514573,100,-1.5268137,0.051672105,0.011785217
4268698,-0.07005750249667617,-0.08223009510482396,0.00017100313200398148,43,0.0001,3.5430005698753066,0.14999999,3.0,992.7204651162791,-0.9984794,327,-0.9228226238741719,4300,0.032877762,100,-5.455145,0.051671155,0.03565128
4367826,-0.07025122056451549,-0.07858109748160666,0.0001661731360543968,44,0.0001,3.5430005698753066,0.14999999,3.0,992.6877272727273,-0.9984827,327,2.0934263764370464,4400,0.028338097,100,3.8698277,0.051669776,0.031029623
4467503,-0.07004847745528135,-0.06112778064897885,0.0001004469992339143,45,0.0001,3.5430005698753066,0.14999999,3.0,992.7784444444444,-0.99847984,327,0.3178097663937548,4500,0.04749406,100,-2.5459907,0.051668514,0.0481268
4566294,-0.07004652247220816,-0.06995854823391472,0.0001741296057389426,46,0.0001,3.5430005698753066,0.14999999,3.0,992.6726086956522,-0.9984751,327,3.203229486759524,4600,0.009009349,100,-1.0790346,0.051667735,0.009831546
4666194,-0.07066660218930522,-0.09919026917576935,0.00019878687303523376,47,0.0001,3.5430005698753066,0.14999999,3.0,992.8072340425532,-0.99847597,327,-1.0238038047813454,4700,0.013005811,100,1.0671334,0.05166734,0.015085524
4765231,-0.07043710895009733,-0.059650926707327495,0.0006355869795889264,48,0.0001,3.5430005698753066,0.14999999,3.0,992.7564583333333,-0.9984752,327,1.1416949026931882,4800,0.272054,100,-5.7052155,0.05166604,0.27250865
4864125,-0.07022415832439763,-0.06000252829081163,9.03157715310147e-05,49,0.0001,3.5430005698753066,0.14999999,3.0,992.6785714285714,-0.998448,327,2.2997852963768652,4900,0.0085305665,100,2.9606576,0.051664468,0.011170273
4964025,-0.070651026991177,-0.09156759166336573,0.0001450523535432142,50,0.0001,3.5430005698753066,0.14999999,3.0,992.805,-0.9984473,327,-1.0454463940659795,5000,0.05287014,100,-1.1920817,0.051663615,0.053058356
