MountainCar_mu0_higher,MountainCar_mu1_higher,ReturnMax,ReturnMean,MountainCar_std1_higher,BatchSize,VarJ,StepSize,MinEpLen,TimestepsSoFar,J,AvgEpLen,AvgRet,ActionIn1,NatGrad2Norm,NatGradInftyNorm,Iteration,MountainCar_std0_higher,NumTrajectories
0.40025148,0.9164054,3.5189626518793977,-0.6520222998007377,3.0,100,0.004605551551482939,0.01,329,99230,-0.6520222998007377,992.3,-6.707792509869946,0.37999994,0.22634563,0.20522925,1,0.14999999,100
0.39929685,0.9184577,3.5189626518793977,-0.6253848537951986,3.0,100,0.004092924838628326,0.01,329,197934,-0.5987474077896593,989.67,-5.465209635645165,8.222237,0.4075137,0.39947307,2,0.14999999,200
0.39849132,0.914463,3.5189626518793977,-0.6628273416059353,3.0,100,0.004570509308601665,0.01,329,297243,-0.7377123172274086,990.81,-7.630390256355429,-8.375841,0.27935204,0.2538003,3,0.14999999,300
0.39732414,0.91192496,3.5189626518793977,-0.6530811982082504,3.0,100,0.0027997701747605763,0.01,329,397143,-0.6238427680151958,992.8575,-6.987263164543499,4.350277,0.14603144,0.12868313,4,0.14999999,400
0.3966338,0.91321176,3.5189626518793977,-0.6502092120709795,3.0,100,0.002662127313044125,0.01,329,496168,-0.6387212675218953,992.336,-4.261396063889485,0.6991945,0.10397501,0.07513304,5,0.14999999,500
0.39591506,0.91246045,7.208019132946899,-0.6366141647519211,3.0,100,0.0092016443627165,0.01,252,595321,-0.5686389281566301,992.2016666666667,-5.963545534284897,-0.24779055,0.7918207,0.7871395,6,0.14999999,600
0.39505532,0.92033184,7.208019132946899,-0.6401736117041805,3.0,100,0.00196392314575985,0.01,252,695221,-0.6615302934177365,993.1728571428572,-7.31005531055283,3.8206134,0.09917096,0.07242734,7,0.14999999,700
0.3943779,0.9196076,7.208019132946899,-0.6333759508408615,3.0,100,0.0020940808786049977,0.01,252,795121,-0.5857923247976288,993.90125,-6.795256303693793,2.2257926,0.50452995,0.50212944,8,0.14999999,800
0.3938863,0.9145863,7.208019132946899,-0.6243414350423642,3.0,100,0.002775686429374504,0.01,252,894367,-0.5520653086543846,993.7411111111111,-5.601708272999263,-1.3974324,0.32995194,0.32577896,9,0.14999999,900
0.3933632,0.9178441,7.208019132946899,-0.6239608054278788,3.0,100,0.002242068700847213,0.01,252,994267,-0.6205351388975106,994.267,-6.983769853017686,0.34271207,0.065862775,0.061822888,10,0.14999999,1000
0.392745,0.9180712,7.208019132946899,-0.627041788369744,3.0,100,0.0024835129323942497,0.01,252,1093727,-0.6578516177883961,994.2972727272727,-6.439458482194475,-1.3169587,0.33449632,0.32593426,11,0.14999999,1100
0.39199302,0.91481185,7.208019132946899,-0.6293313466991712,3.0,100,0.0037164006759382996,0.01,252,1193115,-0.6545164883228715,994.2625,-6.627379039186052,0.6748203,0.74006975,0.7341829,12,0.14999999,1200
0.39106143,0.90747005,7.208019132946899,-0.6253897249946653,3.0,100,0.002307023658015179,0.01,252,1293015,-0.5780902645405928,994.626923076923,-6.497577389408053,5.04034,0.28689542,0.28047156,13,0.14999999,1300
0.39045772,0.90466535,7.208019132946899,-0.6276968435398236,3.0,100,0.0040931502590286694,0.01,252,1392601,-0.6576893846268821,994.715,-6.517268458678278,2.3239713,0.28930032,0.2721833,14,0.14999999,1400
0.38947737,0.9019435,7.208019132946899,-0.6250756540639014,3.0,100,0.0027711080485628386,0.01,252,1492501,-0.5883790014009916,995.0006666666667,-6.798714945931892,5.386876,0.29868433,0.2911199,15,0.14999999,1500
0.3888094,0.8990323,7.208019132946899,-0.622719986026191,3.0,100,0.0018722376700057183,0.01,252,1592401,-0.5873849654605363,995.250625,-6.592479220110757,5.0250306,0.16167772,0.15159291,16,0.14999999,1600
0.38824734,0.89751637,7.208019132946899,-0.6162797005398597,3.0,100,0.004271574134295011,0.01,252,1690468,-0.5132351327585557,994.3929411764706,-3.344189471263856,6.7101965,0.6075248,0.60356975,17,0.14999999,1700
0.38755524,0.90355206,7.208019132946899,-0.6136604197730571,3.0,100,0.0019510941668284551,0.01,252,1790368,-0.5691326467374153,994.6488888888889,-6.274875272944005,0.9026605,0.09026974,0.072032325,18,0.14999999,1800
0.3870112,0.90283173,7.208019132946899,-0.6139062212167812,3.0,100,0.002516307272078567,0.01,252,1890268,-0.618330647203813,994.8778947368421,-6.888406502933975,2.1286426,0.17557587,0.15954828,19,0.14999999,1900
0.3862783,0.90123624,7.208019132946899,-0.6160676914544099,3.0,100,0.0025830086803900042,0.01,252,1990168,-0.657135625969354,995.084,-7.326379817660921,0.37168854,0.29357955,0.28168672,20,0.14999999,2000
0.38545117,0.8984194,7.208019132946899,-0.6143164526038498,3.0,100,0.0016527724214523288,0.01,252,2090068,-0.5792916755926502,995.2704761904762,-6.414453021452996,4.316541,0.054565903,0.05391844,21,0.14999999,2100
0.38491198,0.8983356,7.208019132946899,-0.6126370611328301,3.0,100,0.00187771310323137,0.01,252,2189968,-0.5773698402414155,995.44,-6.650298895568085,-0.5124135,0.49518624,0.49248773,22,0.14999999,2200
0.38439572,0.8934107,7.208019132946899,-0.6139704597429035,3.0,100,0.002850046204110679,0.01,252,2289433,-0.6433052291645203,995.405652173913,-6.2134629862501525,-0.5432653,0.08472751,0.084081724,23,0.14999999,2300
0.3835549,0.89330626,7.208019132946899,-0.6134832578938858,3.0,100,0.0021607145456987793,0.01,252,2389333,-0.602277615366479,995.5554166666667,-6.892284767759562,4.302684,0.20449075,0.19362798,24,0.14999999,2400
0.3828973,0.89137,7.208019132946899,-0.6100421050572264,3.0,100,0.001343445590228212,0.01,252,2489233,-0.5274544369774021,995.6932,-5.892112493028549,5.338491,0.06891749,0.05744717,25,0.14999999,2500
0.38251656,0.89194447,7.208019132946899,-0.6088583533256505,3.0,100,0.0033306318784509805,0.01,252,2588549,-0.5792645600362488,995.5957692307692,-5.771263789824429,1.7711706,0.109511904,0.07812292,26,0.14999999,2600
0.38173532,0.891177,7.208019132946899,-0.6091693654133132,3.0,100,0.0020980032320523563,0.01,252,2688449,-0.6172556796925435,995.7218518518519,-6.788870674411603,0.74619293,0.081088625,0.06961621,27,0.14999999,2700
0.38103917,0.8915928,7.208019132946899,-0.6093243620210766,3.0,100,0.002300168767341557,0.01,252,2788349,-0.6135092704306914,995.8389285714286,-6.932740920613316,-0.88102204,0.1378843,0.1193085,28,0.14999999,2800
0.38034797,0.8903997,7.208019132946899,-0.6094067992960789,3.0,100,0.002862627438727055,0.01,252,2888249,-0.6117150429961398,995.9479310344827,-6.860013379695601,-0.4055492,0.15864182,0.13767637,29,0.14999999,2900
0.3795598,0.88902295,7.208019132946899,-0.6068548447277926,3.0,100,0.0017799087216830258,0.01,252,2988149,-0.5328481622474905,996.0496666666667,-6.126665875963368,3.5347273,0.31665123,0.31280065,30,0.14999999,3000
0.37906748,0.88589495,7.208019132946899,-0.6081124809114444,3.0,100,0.0019829263554776966,0.01,252,3088049,-0.6458415664210024,996.1448387096774,-7.616440290937391,-4.398468,0.5620993,0.5571595,31,0.14999999,3100
0.3783239,0.88032335,7.208019132946899,-0.6086112895632968,3.0,100,0.0029739366811431626,0.01,252,3187501,-0.6240743577707186,996.0940625,-6.150321963417481,-2.7403245,0.14106312,0.109845266,32,0.14999999,3200
0.37743887,0.8792249,7.208019132946899,-0.6077713695084956,3.0,100,0.0023692566937841557,0.01,252,3287401,-0.5808939277548566,996.1821212121212,-6.420458099766364,2.9872506,0.13178644,0.11056094,33,0.14999999,3300
0.37672165,0.8803305,7.208019132946899,-0.6038565962473127,3.0,100,0.0069974331910782304,0.01,252,3386561,-0.4746690786282798,996.0473529411764,-5.00525206128433,-0.28895047,0.69273466,0.69064826,34,0.14999999,3400
0.3761844,0.887237,7.208019132946899,-0.601014327149628,3.0,100,0.001685240779914102,0.01,252,3486461,-0.504377177828344,996.1317142857143,-5.406919602598027,-0.21248573,0.55027986,0.54839236,35,0.14999999,3500
0.37572902,0.89272094,7.208019132946899,-0.5999996781187906,3.0,100,0.0020629977604821647,0.01,252,3586361,-0.5644869620394835,996.2113888888889,-6.260930804207302,1.2380185,0.06582793,0.06147743,36,0.14999999,3600
0.37511426,0.89295626,7.208019132946899,-0.6008429405197522,3.0,100,0.0022032533555741917,0.01,252,3686261,-0.6312003869543679,996.2867567567567,-7.305516878037495,3.9722595,0.5016891,0.49612364,37,0.14999999,3700
0.37436906,0.887995,7.208019132946899,-0.598918452332967,3.0,100,0.0015710067205894995,0.01,252,3786161,-0.5277123894219218,996.3581578947368,-6.0664807227278,3.2422752,0.3060423,0.30253968,38,0.14999999,3800
0.37390736,0.8849696,7.208019132946899,-0.5963776816407664,3.0,100,0.001529381237362805,0.01,252,3885812,-0.4998283953371345,996.3620512820513,-4.6442401863612215,3.7784276,0.04529989,0.04154818,39,0.14999999,3900
