MountainCar_std0_higher,ReturnMax,BatchSize,NatGrad2Norm,MountainCar_std1_higher,TimestepsSoFar,NatGradInftyNorm,VarJ,AvgRet,NumTrajectories,ReturnMean,MountainCar_mu0_higher,ActionIn1,MinEpLen,Iteration,MountainCar_mu1_higher,AvgEpLen,J,StepSize
0.14999999,0.4386352838285089,100,0.16705361,3.0,95826,0.13912474,0.002042844215636583,4.136592925687536,100,-1.3587037524769885,-0.79315424,-3.043477,437,1,0.60902077,958.26,-1.3587037524769885,0.1
0.14999999,0.4386352838285089,100,0.37286785,3.0,190274,0.36529225,0.0019254854799894835,4.746457850994402,200,-1.3270553765067723,-0.78390694,-2.0189204,405,2,0.62293327,951.37,-1.2954070005365554,0.1
0.14999999,1.3378930802118503,100,0.5729376,3.0,286574,0.5710862,0.002427626060809924,-1.517441371722359,300,-1.2864837189280425,-0.776429,-0.33716923,328,3,0.586404,955.2466666666667,-1.2053404037705828,0.1
0.14999999,1.3378930802118503,100,0.15156919,3.0,381440,0.13289699,0.0022606087908712937,3.109161178737255,400,-1.2774604211467873,-0.77182674,2.9114573,328,4,0.64351267,953.6,-1.2503905278030212,0.1
0.14999999,2.428591286945104,100,1.0255668,3.0,476546,1.022513,0.0032940393658403653,2.3812725283106353,500,-1.2649439006852554,-0.76453865,-4.220341,328,5,0.65680236,953.092,-1.214877818839129,0.1
0.14999999,2.428591286945104,100,0.11332268,3.0,567795,0.10123967,0.004047190135175623,12.459996520622884,600,-1.2330198131379195,-0.7566302,3.0839355,328,6,0.75905365,946.325,-1.0733993754012396,0.1
0.14999999,2.428591286945104,100,0.48945463,3.0,662080,0.48676965,0.002811937001654793,5.296505651269698,700,-1.2160681213372004,-0.75153846,4.744263,328,7,0.7691776,945.8285714285714,-1.114357970532886,0.1
0.14999999,2.428591286945104,100,0.32864696,3.0,756857,0.31996414,0.0022797960443381453,3.8791101211715344,800,-1.2113901598440093,-0.7464187,-0.22833437,328,8,0.8178546,946.07125,-1.1786444293916707,0.1
0.14999999,2.428591286945104,100,0.26680318,3.0,851899,0.26617074,0.0024004299464808515,3.9639102665608688,900,-1.192313326778188,-0.7389142,1.6075296,328,9,0.849851,946.5544444444445,-1.0396986622516193,0.1
0.14999999,2.428591286945104,100,0.26984483,3.0,947074,0.2563413,0.0023466247565795393,5.705832790482514,1000,-1.1910362311888294,-0.73707825,-0.61040443,328,10,0.87646806,947.074,-1.1795423708846007,0.1
0.14999999,2.428591286945104,100,0.39990667,3.0,1042116,0.39529526,0.0019494428468068902,7.618964397272477,1100,-1.1835855316210129,-0.7286489,-3.6431434,328,11,0.9021022,947.3781818181818,-1.109078535942849,0.1
0.14999999,2.428591286945104,100,0.12905781,3.0,1136184,0.10135753,0.0022829317461271,6.915143065847223,1200,-1.1810319133723317,-0.7225933,-0.95318186,328,12,0.9416317,946.82,-1.1529421126368358,0.1
0.14999999,13.650252634340497,100,1.7611903,3.0,1230250,1.760278,0.023534306462262688,6.3252176253045285,1300,-1.1594597525346202,-0.71245754,-2.3796847,189,13,0.9496208,946.3461538461538,-0.9005938224820847,0.1
0.14999999,13.650252634340497,100,0.19892852,3.0,1323785,0.18968154,0.0029610873312763747,12.069467943159701,1400,-1.1502443366035822,-0.70678943,-1.8144362,189,14,1.1256486,945.5607142857143,-1.0304439295000878,0.1
0.14999999,13.650252634340497,100,0.7399493,3.0,1418631,0.736851,0.0018916665448015727,6.121610582964851,1500,-1.143683847930546,-0.7007949,-1.4854336,189,15,1.1446167,945.754,-1.0518370065080425,0.1
0.14999999,13.650252634340497,100,0.6575896,3.0,1510139,0.65466803,0.004024077870694407,12.376635983330434,1600,-1.1317901645973314,-0.6940306,-3.4640737,189,16,1.2183018,943.836875,-0.9533849145991096,0.1
0.14999999,13.650252634340497,100,0.58585083,3.0,1602527,0.5841511,0.0032529665505542232,14.081733183659228,1700,-1.1185735231253329,-0.6878388,-3.7305834,189,17,1.2837685,942.6629411764706,-0.9071072595733584,0.1
0.14999999,13.650252634340497,100,0.74639714,3.0,1695541,0.7441678,0.004428659992279519,10.681214041204537,1800,-1.107290080083265,-0.6833793,-1.9474018,189,18,1.3421836,941.9672222222222,-0.915471548368107,0.1
0.14999999,13.650252634340497,100,0.57089496,3.0,1786517,0.56962216,0.004061628394866804,16.150566606044354,1900,-1.0935793167936578,-0.67761475,3.3642304,189,19,1.4166003,940.2721052631579,-0.8467855775807329,0.1
0.14999999,13.650252634340497,100,0.5478298,3.0,1878144,0.54232174,0.0033356887167312905,13.77065390824464,2000,-1.0862490000648253,-0.67380476,0.007121563,189,20,1.4735626,939.072,-0.9469729822170028,0.1
0.14999999,13.650252634340497,100,1.0160521,3.0,1971225,1.0155001,0.0066560006658759096,13.442680057993481,2100,-1.0745894257139377,-0.6660558,2.2572727,189,21,1.5277947,938.6785714285714,-0.8413979386961842,0.1
0.14999999,13.650252634340497,100,0.6031168,3.0,2067463,0.59894246,0.001889236200280983,3.9830618033549547,2200,-1.069879744798045,-0.662707,0.6605685,189,22,1.6293447,939.7559090909091,-0.9709764455643013,0.1
0.14999999,13.650252634340497,100,1.778018,3.0,2155797,1.7757821,0.014778505468167995,22.589014502002588,2300,-1.052223595530287,-0.6556233,8.107571,189,23,1.6892389,937.3030434782609,-0.6637883116396083,0.1
0.14999999,13.650252634340497,100,0.8693515,3.0,2247672,0.86899257,0.00484696724932269,14.03700569508291,2400,-1.0389643474823402,-0.64670926,0.8567614,189,24,1.8668171,936.53,-0.734001642379562,0.1
0.14999999,13.650252634340497,100,0.82948047,3.0,2342565,0.8282214,0.002269622632961349,5.708360321822246,2500,-1.0319650804977867,-0.64421135,4.25799,189,25,1.9537164,937.026,-0.8639826728685039,0.1
0.14999999,13.650252634340497,100,0.34303576,3.0,2431390,0.33684576,0.0037820373757046634,23.874856557229485,2600,-1.0228515255111752,-0.6396428,-1.771071,189,26,2.0365386,935.15,-0.795012650845894,0.1
0.14999999,13.650252634340497,100,0.49533084,3.0,2523402,0.49250743,0.0030010279744486328,17.232519867655988,2700,-1.0143582437817291,-0.6331555,0.17932326,189,27,2.070223,934.5933333333334,-0.7935329188161286,0.1
0.14999999,13.650252634340497,100,0.32510927,3.0,2614942,0.32238102,0.0056991504976838326,21.979620189416327,2800,-1.0059311610495307,-0.6278743,1.0621287,189,28,2.119474,933.9078571428571,-0.7783999272801733,0.1
0.14999999,13.650252634340497,100,0.9705117,3.0,2704249,0.96956885,0.004441622999652778,18.478087038900792,2900,-0.9952876320778762,-0.6236713,0.32978627,189,29,2.151712,932.4996551724138,-0.6972688208715442,0.1
0.14999999,13.650252634340497,100,0.8760627,3.0,2796449,0.87523484,0.0015816992739902708,15.664739068240065,3000,-0.9879875740814664,-0.6193945,-0.4536245,189,30,2.248669,932.1496666666667,-0.776285892185586,0.1
0.14999999,13.650252634340497,100,0.4486928,3.0,2887253,0.44590652,0.0021886468191416645,21.520086916923432,3100,-0.9806089081253947,-0.6155868,3.6244185,189,31,2.3361924,931.371935483871,-0.7592489294432441,0.1
