BatchSize,MountainCar_mu0_higher,NumTrajectories,NatGradInftyNorm,AvgRet,Iteration,NatGrad2Norm,MountainCar_mu1_higher,ReturnMax,MountainCar_std0_higher,AvgEpLen,MountainCar_std1_higher,VarJ,ReturnMean,MinEpLen,StepSize,ActionIn1,TimestepsSoFar,J
100,-0.4416444,100,0.12110565,3.3445961042274117,1,0.12398211,-0.8971903,0.8659951716475259,0.14999999,980.88,3.0,0.0007412651696773981,-0.44597890987181793,446,0.001,8.738399,98088,-0.44597890987181793
100,-0.44161785,200,0.30424312,0.6825966442966082,2,0.3094695,-0.89706916,0.8659951716475259,0.14999999,981.22,3.0,0.0010057199519691183,-0.4811226091904291,446,0.001,-0.42665106,196244,-0.5162663085090402
100,-0.44156122,300,0.04361783,3.7300026710729672,3,0.04776142,-0.89676493,0.8659951716475259,0.14999999,984.1766666666666,3.0,0.0006924152428545208,-0.4920145065133648,446,0.001,-1.5987945,295253,-0.5137983011592361
100,-0.4415176,400,0.06898931,6.480159930018791,4,0.07280796,-0.89678437,0.8659951716475259,0.14999999,980.995,3.0,0.0006456966097569211,-0.4776002766411905,446,0.001,4.543977,392398,-0.4343575870246676
100,-0.44149432,500,0.40010858,-1.2308746231870322,5,0.4045093,-0.8968533,0.8659951716475259,0.14999999,982.286,3.0,0.0011072527032288406,-0.4850899906542837,446,0.001,-5.955809,491143,-0.5150488467066566
100,-0.4414348,600,0.14559823,2.4855987494202596,6,0.14924604,-0.8964532,0.9976029683152231,0.14999999,981.7083333333334,3.0,0.0010491779262227642,-0.4758077881140189,416,0.001,-2.9640877,589025,-0.42939677541269466
100,-0.44140202,700,0.38658622,-1.0796774844216934,7,0.39043826,-0.8963076,0.9976029683152231,0.14999999,983.5471428571428,3.0,0.001042073246432752,-0.47967093112926673,416,0.001,-1.7849021,688483,-0.5028497892207539
100,-0.4413473,800,0.21863553,0.944844782633245,8,0.22514006,-0.895921,0.9976029683152231,0.14999999,983.56625,3.0,0.0010432761076975819,-0.48194893284416374,416,0.001,0.32587782,786853,-0.4978949448484426
100,-0.44129357,900,0.26516423,7.843848434654517,9,0.26940244,-0.89570236,0.9976029683152231,0.14999999,982.1888888888889,3.0,0.000899647100747466,-0.4833012257471183,416,0.001,0.39142784,883970,-0.4941195689707552
100,-0.44124597,1000,0.10414222,2.9624311165570254,10,0.11304459,-0.89596754,0.9976029683152231,0.14999999,981.646,3.0,0.000829378395426979,-0.4839649282833243,416,0.001,-2.7062042,981646,-0.48993825110917777
100,-0.441202,1100,0.115778774,-0.9749384644259438,11,0.12203024,-0.8960717,0.9976029683152231,0.14999999,982.77,3.0,0.0007325765688641048,-0.48461323505840515,416,0.001,0.66613495,1081047,-0.4910963028092137
100,-0.44116345,1200,0.04582729,1.9184760453192826,12,0.046333473,-0.8959559,0.9976029683152231,0.14999999,983.0525,3.0,0.0008520334893507563,-0.4858086018645008,416,0.001,-2.0521803,1179663,-0.49895763673155236
100,-0.4411176,1300,0.11185652,0.5293564381682514,13,0.11534847,-0.89594907,0.9976029683152231,0.14999999,983.8576923076923,3.0,0.000755285755866354,-0.4822624856614278,416,0.001,-3.1435373,1279015,-0.43970909122455387
100,-0.44108945,1400,0.30649266,0.6418605706524023,14,0.3103717,-0.8958372,0.9976029683152231,0.14999999,984.3235714285714,3.0,0.000747962870542442,-0.48524765828559097,416,0.001,-2.9563372,1378053,-0.5240549023997102
100,-0.44104055,1500,0.3176685,-0.5559968428152439,15,0.31895515,-0.8961437,0.9976029683152231,0.14999999,984.936,3.0,0.0006901136332959425,-0.482945539297154,416,0.001,-3.2059784,1477404,-0.45071587345903735
100,-0.44101194,1600,0.121331185,-0.2104682129995958,16,0.12820838,-0.895826,0.9976029683152231,0.14999999,985.2825,3.0,0.0006899808354951667,-0.48438678279692254,416,0.001,-1.6084112,1576452,-0.5060054352934513
100,-0.4409705,1700,0.17010427,2.5034146695071557,17,0.18392833,-0.8957046,0.9976029683152231,0.14999999,985.3029411764705,3.0,0.0012690227872219734,-0.48730873400006364,416,0.001,-3.0919724,1675015,-0.5340599532503192
