TimestepsSoFar,AvgRet,ReturnMax,Iteration,NatGrad2Norm,MountainCar_mu0_higher,VarJ,NumTrajectories,MountainCar_mu1_higher,ActionIn1,BatchSize,MountainCar_std1_higher,AvgEpLen,MountainCar_std0_higher,J,MinEpLen,ReturnMean,NatGradInftyNorm,StepSize
1093745,-6.698046836793664,7.195782701051466,11,0.34693667,0.40017566,0.0025944960662036987,1100,0.9164188,-1.3111805,100,3.0,994.3136363636364,0.14999999,-0.6816833141423261,252,-0.6399126410676689,0.33827528,0.0001
1193136,-6.907145086426606,7.195782701051466,12,0.76634747,0.40016797,0.0038865147935790486,1200,0.91638494,0.6845683,100,3.0,994.28,0.14999999,-0.6805164527452844,252,-0.6432962920408035,0.76038176,0.0001
1293036,-6.787451138601072,7.195782701051466,13,0.29642376,0.40015844,0.002444222915639215,1300,0.9163089,5.0582757,100,3.0,994.6430769230769,0.14999999,-0.6043615410467823,252,-0.6403013111951096,0.28984633,0.0001
1392615,-6.854106038251109,7.195782701051466,14,0.29872164,0.40015224,0.0043367436323202314,1400,0.9162799,2.3452802,100,3.0,994.725,0.14999999,-0.6880825446167533,252,-0.6437142564395126,0.2811052,0.0001
1492515,-7.151286853923492,7.195782701051466,15,0.31034443,0.40014213,0.002971307538223525,1500,0.9162518,5.411849,100,3.0,995.01,0.14999999,-0.6200877020011353,252,-0.6421391528102876,0.30255392,0.0001
1592415,-6.9677042613446805,7.195782701051466,16,0.16997783,0.40013522,0.0020175316997281603,1600,0.9162215,5.053546,100,3.0,995.259375,0.14999999,-0.6211818320820819,252,-0.6408293202647747,0.15964611,0.0001
1691056,-4.815994318090076,7.195782701051466,17,0.476295,0.40012938,0.004261475438215898,1700,0.9162055,6.7407675,100,3.0,994.7388235294118,0.14999999,-0.5628776913252722,252,-0.6362439303271569,0.47086033,0.0001
1790956,-6.671259073230845,7.195782701051466,18,0.0928621,0.4001222,0.0021227024662396083,1800,0.9162526,0.927928,100,3.0,994.9755555555555,0.14999999,-0.6057759684785476,252,-0.6345512657800119,0.0735558,0.0001
1890856,-7.326533011897109,7.195782701051466,19,0.18676288,0.40011653,0.00272476631844881,1900,0.9162453,2.1551614,100,3.0,995.1873684210526,0.14999999,-0.6586805176090167,252,-0.6358212264025911,0.17041017,0.0001
1990756,-7.814798235011607,7.195782701051466,20,0.30554774,0.4001089,0.002823040560624268,2000,0.91622823,0.40051115,100,3.0,995.378,0.14999999,-0.7015216534949574,252,-0.6391062477572094,0.29296234,0.0001
2090656,-6.8875886559024835,7.195782701051466,21,0.057554055,0.40010023,0.0018180625348344802,2100,0.9161989,4.3489695,100,3.0,995.5504761904762,0.14999999,-0.622569364911774,252,-0.638318777145522,0.056636278,0.0001
2190556,-7.144015984981807,7.195782701051466,22,0.52907693,0.40009457,0.00206692925463913,2200,0.9161979,-0.47936857,100,3.0,995.7072727272728,0.14999999,-0.6229379157496194,252,-0.6376196470820719,0.5262939,0.0001
2290456,-7.803824054686069,7.195782701051466,23,0.09798807,0.40008914,0.003077062023633252,2300,0.91614527,-0.5048372,100,3.0,995.8504347826087,0.14999999,-0.6968021521619353,252,-0.6401927994768486,0.0878537,0.0001
2390356,-7.452028571288255,7.195782701051466,24,0.21969302,0.40008035,0.0023966176408745134,2400,0.9161409,4.342044,100,3.0,995.9816666666667,0.14999999,-0.6529590406770305,252,-0.6407247261935228,0.20843454,0.0001
2490256,-6.433932624088201,7.195782701051466,25,0.072947726,0.4000734,0.0015006445798919246,2500,0.91612005,5.3804173,100,3.0,996.1024,0.14999999,-0.5763126061893469,252,-0.6381482413933558,0.06092654,0.0001
2590156,-7.414536324427705,7.195782701051466,26,0.21636117,0.4000694,0.0033304822701924145,2600,0.91612613,1.8129051,100,3.0,996.2138461538461,0.14999999,-0.6480786918298427,252,-0.6385301817947591,0.20098343,0.0001
2690056,-7.405347087095887,7.195782701051466,27,0.08533855,0.40006137,0.0023493247445218594,2700,0.91610605,0.789448,100,3.0,996.317037037037,0.14999999,-0.6741939752713051,252,-0.6398510630346311,0.07410069,0.0001
2789956,-7.590370310846904,7.195782701051466,28,0.150097,0.40005395,0.0025838605793123996,2800,0.9161103,-0.8374897,100,3.0,996.4128571428571,0.14999999,-0.6724550014289444,252,-0.6410154894058567,0.13069843,0.0001
2889856,-7.522314663665603,7.195782701051466,29,0.16964571,0.40004656,0.003240055307413811,2900,0.9160972,-0.36015308,100,3.0,996.5020689655172,0.14999999,-0.6723994975011357,252,-0.6420976965815559,0.14729168,0.0001
2989756,-6.790710483958126,7.195782701051466,30,0.3466746,0.40003815,0.0020348377403100804,3000,0.9160825,3.5822654,100,3.0,996.5853333333333,0.14999999,-0.5913538617505487,252,-0.6404062354205223,0.3426946,0.0001
3089656,-8.387169777542281,7.195782701051466,31,0.6246085,0.4000329,0.002264604046455945,3100,0.9160482,-4.3473496,100,3.0,996.6632258064516,0.14999999,-0.714043077232677,252,-0.6427816174144628,0.61944807,0.0001
3189113,-6.9036967158949825,7.195782701051466,32,0.15635468,0.4000249,0.003383428636145366,3200,0.9159863,-2.6829605,100,3.0,996.5978125,0.14999999,-0.6921883496297357,252,-0.6443255777961902,0.12431729,0.0001
3289013,-7.168951052309253,7.195782701051466,33,0.14140834,0.4000154,0.0027240275845348606,3300,0.91597384,3.0465763,100,3.0,996.670606060606,0.14999999,-0.6478448777990693,252,-0.6444322232508228,0.11849277,0.0001
3388177,-5.73665959001195,7.195782701051466,34,0.6682466,0.4000077,0.006853963287134734,3400,0.9159857,-0.23000923,100,3.0,996.5226470588235,0.14999999,-0.5456119609090742,252,-0.6415257449466538,0.66574806,0.0001
3488077,-6.095767340947383,7.195782701051466,35,0.60449564,0.4000019,0.0019447155491719556,3500,0.9160523,-0.15985295,100,3.0,996.5934285714286,0.14999999,-0.5698076294102377,252,-0.6394766559313276,0.60253394,0.0001
3587977,-7.0479971801187045,7.195782701051466,36,0.07168325,0.39999706,0.0023859320341035523,3600,0.91611254,1.2856781,100,3.0,996.6602777777778,0.14999999,-0.6363821738150748,252,-0.639390698094765,0.06621686,0.0001
3687877,-8.1740868265464,7.195782701051466,37,0.5581868,0.39999044,0.002577920832996388,3700,0.9161153,4.0202947,100,3.0,996.7235135135135,0.14999999,-0.7112561415047374,252,-0.6413330073761155,0.5522273,0.0001
3787777,-6.859561642646849,7.195782701051466,38,0.34395224,0.3999823,0.0018653770122267486,3800,0.9160601,3.2959538,100,3.0,996.7834210526315,0.14999999,-0.600932245166257,252,-0.6402698294232246,0.34027985,0.0001
3887501,-5.439169040875733,7.195782701051466,39,0.055545177,0.3999773,0.0018102552175982183,3900,0.91602606,3.8355541,100,3.0,996.7951282051282,0.14999999,-0.5718295127645853,252,-0.6385149495089006,0.04495202,0.0001
3987401,-6.9773862033120055,7.195782701051466,40,0.05918448,0.3999728,0.0021576318285528345,4000,0.9160228,1.8975296,100,3.0,996.85025,0.14999999,-0.6210395808692339,252,-0.6380780652929088,0.059076443,0.0001
4087301,-6.837481735568485,7.195782701051466,41,0.12503988,0.3999669,0.0025995309992852796,4100,0.91602314,0.87974966,100,3.0,996.9026829268292,0.14999999,-0.6103310125436301,252,-0.63740130790878,0.10913433,0.0001
4187201,-6.2623018518224125,7.195782701051466,42,0.09599243,0.3999608,0.001993348552132292,4200,0.9160122,-0.6793331,100,3.0,996.952619047619,0.14999999,-0.5596670957437356,252,-0.6355504933334218,0.086145334,0.0001
4287101,-8.010088118381228,7.195782701051466,43,0.8691431,0.39995655,0.002792555432042275,4300,0.9160036,-4.4885387,100,3.0,997.0002325581395,0.14999999,-0.6839440207913628,252,-0.6366759242045368,0.8656615,0.0001
4386348,-6.34478103925151,7.195782701051466,44,0.29459926,0.39994878,0.0038942561410681975,4400,0.91591704,0.688983,100,3.0,996.8972727272727,0.14999999,-0.5992803947038423,252,-0.6358260258067937,0.28557584,0.0001
4486248,-7.59861263212168,7.195782701051466,45,0.22335297,0.39994153,0.0027034980392823633,4500,0.9158885,-2.5822518,100,3.0,996.944,0.14999999,-0.6869678924446763,252,-0.63696251173208,0.20664692,0.0001
4585563,-5.374952856406919,7.195782701051466,46,0.049604714,0.39993307,0.0021751048642947644,4600,0.9159092,1.900878,100,3.0,996.8615217391305,0.14999999,-0.5445906614770967,252,-0.6349544280308848,0.04261027,0.0001
4684900,-6.687736365885951,7.195782701051466,47,0.13606285,0.3999288,0.002671753082576774,4700,0.9159066,-2.8152723,100,3.0,996.7872340425532,0.14999999,-0.6705016031943382,252,-0.6357107509067028,0.111096755,0.0001
4784800,-7.29567437461897,7.195782701051466,48,0.08491033,0.39992094,0.002052216445654526,4800,0.9159177,3.501565,100,3.0,996.8333333333334,0.14999999,-0.6690866336030505,252,-0.6364060817962102,0.067279935,0.0001
4883832,-4.800913579135763,7.195782701051466,49,0.25391215,0.3999142,0.0035788311768060192,4900,0.9159125,-2.3546553,100,3.0,996.7004081632653,0.14999999,-0.5786249118670566,252,-0.6352268742466356,0.24256061,0.0001
4983732,-6.292120576154077,7.195782701051466,50,0.17218748,0.3999067,0.0018693867332260563,5000,0.91593677,-5.5370774,100,3.0,996.7464,0.14999999,-0.5587555545311065,252,-0.633697447852325,0.1670954,0.0001
