TimestepsSoFar,AvgRet,ReturnMax,Iteration,NatGrad2Norm,MountainCar_mu0_higher,VarJ,NumTrajectories,MountainCar_mu1_higher,ActionIn1,BatchSize,MountainCar_std1_higher,AvgEpLen,MountainCar_std0_higher,J,MinEpLen,ReturnMean,NatGradInftyNorm,StepSize
99230,-6.707792509869946,3.5189626518793977,1,0.22634563,0.40025148,0.004605551551482939,100,0.9164054,0.37999994,100,3.0,992.3,0.14999999,-0.6520222998007377,329,-0.6520222998007377,0.20522925,0.0001
197934,-5.495610469349512,3.5189626518793977,2,0.40988556,0.40024194,0.004111141316084118,200,0.9164259,8.221149,100,3.0,989.67,0.14999999,-0.6016094670574025,329,-0.6268158834290701,0.40185326,0.0001
297243,-7.697040714752847,3.5189626518793977,3,0.2817223,0.40023386,0.004611731808009777,300,0.9163857,-8.372176,100,3.0,990.81,0.14999999,-0.7436933437753689,329,-0.6657750368778363,0.25611272,0.0001
397143,-7.083688839680263,3.5189626518793977,4,0.14729697,0.40022212,0.0028479669273332687,400,0.9163601,4.35761,100,3.0,992.8575,0.14999999,-0.6327260456088258,329,-0.6575127890605837,0.12979382,0.0001
496175,-4.379062335643143,3.5189626518793977,5,0.10634122,0.40021515,0.0027202943536739042,500,0.9163731,0.70593715,100,3.0,992.35,0.14999999,-0.6498104813677712,329,-0.6559723275220213,0.07764657,0.0001
595328,-6.10064258368696,7.195782701051466,6,0.7926715,0.40020788,0.00927755787734251,600,0.9163653,-0.23959285,100,3.0,992.2133333333334,0.14999999,-0.5818302326822671,252,-0.6436153117153955,0.7878799,0.0001
695228,-7.489383930561226,7.195782701051466,7,0.10043162,0.40019917,0.0020269892233091016,700,0.9164441,3.8218694,100,3.0,993.1828571428572,0.14999999,-0.6780034914632022,252,-0.6485279088222251,0.07301415,0.0001
795128,-6.980665638823703,7.195782701051466,8,0.5166249,0.4001923,0.002170337442286913,800,0.91643685,2.2284365,100,3.0,993.91,0.14999999,-0.6031070647529682,252,-0.642850303313568,0.514198,0.0001
894382,-5.807716202385406,7.195782701051466,9,0.31302008,0.40018728,0.0026993264880787655,900,0.9163854,-1.3893324,100,3.0,993.7577777777777,0.14999999,-0.5731198562994887,252,-0.6351024758675591,0.30848458,0.0001
994282,-7.204139768809504,7.195782701051466,10,0.067876466,0.40018198,0.0023351486859860145,1000,0.9164163,0.34810302,100,3.0,994.282,0.14999999,-0.6414334547939995,252,-0.6357355737602032,0.06316062,0.0001
