NumTrajectories,Iteration,AvgEpLen,ActionIn1,ReturnMax,MountainCar_mu1_higher,NatGradInftyNorm,AvgRet,MinEpLen,MountainCar_std0_higher,NatGrad2Norm,J,VarJ,StepSize,TimestepsSoFar,ReturnMean,MountainCar_std1_higher,MountainCar_mu0_higher,BatchSize
100,1,992.9,0.30288267,99.13730735309927,-0.99866194,12.839932,1.2787972622689239,666,0.14999999,12.841234,1.2787972622689239,1.9793184687361205,3.0,99290,1.2787972622689239,3.0,0.05171383,100
200,2,567.825,31.045872,99.13730735309927,37.521137,0.7779638,79.77084119465968,82,0.14999999,0.9358592,79.77084119465968,0.6243109309903974,3.0,113565,40.524819228464295,3.0,-0.49683356,100
300,3,561.6266666666667,39.39162,99.13730735309927,35.96055,310.1894,-101.5868292006207,82,0.14999999,310.45938,-101.5868292006207,308.216168084209,3.0,168488,-6.845730247897374,3.0,1.8370578,100
400,4,490.8325,930.7883,99.13730735309927,966.52875,4543.839,-18820.99489814303,82,0.14999999,4545.176,-18820.99489814303,18002.926203507912,3.0,196333,-4710.383022221681,3.0,-36.996876,100
500,5,592.466,-13035.888,99.13730735309927,-12664.988,37572.055,-1711784.2848760986,82,0.14999999,52792.41,-1711784.2848760986,71292862.24151182,3.0,296233,-346125.1633929971,3.0,-367.68454,100
600,6,660.2216666666667,-237004.03,99.13730735309927,-123923.3,61677250000.0,-131252020754.83844,82,0.14999999,61685514000.0,-131252020754.83844,2.7976962134269136e+17,3.0,396133,-21875625230.10923,3.0,-113083.85,100
700,7,581.3257142857143,182002420000.0,99.13730735309927,185031620000.0,,-5.5121481305035296e+20,82,0.14999999,,-5.5121481305035296e+20,1.9052234021443195e+37,3.0,406928,-7.874497331165812e+19,3.0,-3029209000.0,100
800,8,522.165,182002420000.0,99.13730735309927,185031620000.0,,-5.45791245938602e+20,82,0.14999999,,-5.45791245938602e+20,1.8050868748615638e+37,3.0,417732,-1.3712575739002608e+20,3.0,-3029209000.0,100
900,9,476.15777777777777,182002420000.0,99.13730735309927,185031620000.0,,-5.5584826302353224e+20,82,0.14999999,,-5.5584826302353224e+20,2.2010110760119164e+37,3.0,428542,-1.8365048023819344e+20,3.0,-3029209000.0,100
1000,10,439.376,182002420000.0,99.13730735309927,185031620000.0,,-5.5086302517793803e+20,82,0.14999999,,-5.5086302517793803e+20,2.443899617726811e+37,3.0,439376,-2.203717347321679e+20,3.0,-3029209000.0,100
1100,11,409.2781818181818,182002420000.0,99.13730735309927,185031620000.0,,-5.430058498766732e+20,82,0.14999999,,-5.430058498766732e+20,2.105787365720721e+37,3.0,450206,-2.4970210883621385e+20,3.0,-3029209000.0,100
1200,12,384.2083333333333,182002420000.0,99.13730735309927,185031620000.0,,-5.4382991600130694e+20,82,0.14999999,,-5.4382991600130694e+20,2.2651508619163927e+37,3.0,461050,-2.742127594333049e+20,3.0,-3029209000.0,100
1300,13,362.9907692307692,182002420000.0,99.13730735309927,185031620000.0,,-5.416897318583422e+20,82,0.14999999,,-5.416897318583422e+20,2.1332442802037707e+37,3.0,471888,-2.947879111583078e+20,3.0,-3029209000.0,100
1400,14,344.79714285714283,182002420000.0,99.13730735309927,185031620000.0,,-5.4696028162918344e+20,82,0.14999999,,-5.4696028162918344e+20,2.256620481579486e+37,3.0,482716,-3.1280022333479885e+20,3.0,-3029209000.0,100
1500,15,329.04266666666666,182002420000.0,99.13730735309927,185031620000.0,,-5.473419791092916e+20,82,0.14999999,,-5.473419791092916e+20,2.449519022893975e+37,3.0,493564,-3.284363403864317e+20,3.0,-3029209000.0,100
1600,16,315.2425,182002420000.0,99.13730735309927,185031620000.0,,-5.449470145003701e+20,82,0.14999999,,-5.449470145003701e+20,2.1642740012185075e+37,3.0,504388,-3.419682575185529e+20,3.0,-3029209000.0,100
1700,17,303.05117647058825,182002420000.0,99.13730735309927,185031620000.0,,-5.51366678019981e+20,82,0.14999999,,-5.51366678019981e+20,1.9742963692152772e+37,3.0,515187,-3.5428581166569574e+20,3.0,-3029209000.0,100
1800,18,292.21,182002420000.0,99.13730735309927,185031620000.0,,-5.5030192246240956e+20,82,0.14999999,,-5.5030192246240956e+20,1.7917989401456748e+37,3.0,525978,-3.651755955988464e+20,3.0,-3029209000.0,100
1900,19,282.5136842105263,182002420000.0,99.13730735309927,185031620000.0,,-5.5460908242929844e+20,82,0.14999999,,-5.5460908242929844e+20,1.9864628999475146e+37,3.0,536776,-3.751457791162387e+20,3.0,-3029209000.0,100
