ActionIn1,ReturnMean,MinEpLen,VarJ,MountainCar_mu1_higher,AvgEpLen,TimestepsSoFar,MountainCar_mu0_higher,MountainCar_std1_higher,Iteration,NatGrad2Norm,StepSize,ReturnMax,MountainCar_std0_higher,J,NumTrajectories,NatGradInftyNorm,BatchSize,AvgRet
0.37999994,-6.707792509869946,329,1.5453715635858665,0.9164054,992.3,99230,0.40025148,3.0,1,4.240772,0.001,98.81783401060149,0.14999999,-6.707792509869946,100,4.0521913,100,-6.707792509869946
8.223941,-6.082574996931392,329,2.7370397490780176,0.92045754,989.67,197934,0.3990009,3.0,2,1.7581772,0.001,99.10497348394843,0.14999999,-5.457357483992837,200,1.4475955,100,-5.457357483992837
-8.369787,-6.587245672682062,329,1.6774939763495242,0.9214554,990.81,297243,0.39755332,3.0,3,1.5421586,0.001,99.10497348394843,0.14999999,-7.596587024183406,300,1.41556,100,-7.596587024183406
4.359233,-6.678063707568079,329,0.3618093215159464,0.9220673,992.8575,397143,0.39613777,3.0,4,1.5328321,0.001,99.10497348394843,0.14999999,-6.950517812226126,400,1.3378091,100,-6.950517812226126
0.70546794,-6.187691498759871,329,3.5933849680398287,0.92072946,992.334,496167,0.39538956,3.0,5,13.424757,0.001,99.3448915267763,0.14999999,-4.226202663527044,500,13.332921,100,-4.226202663527044
-0.2282817,-6.139656695683246,252,1.4214879079151812,0.93406236,992.2,595320,0.39382198,3.0,6,7.7945414,0.001,99.3448915267763,0.14999999,-5.899482680300118,600,7.742865,100,-5.899482680300118
3.8399572,-6.297467876414722,252,0.2564499574333514,0.94180524,993.1714285714286,695220,0.39292592,3.0,7,2.75285,0.001,99.3448915267763,0.14999999,-7.244334960803574,700,2.6500058,100,-7.244334960803574
2.2431428,-6.351653186809053,252,0.33580623659076747,0.9391552,993.9,795120,0.3921805,3.0,8,8.901288,0.001,99.3448915267763,0.14999999,-6.730950359569372,800,8.882791,100,-6.730950359569372
-1.3840257,-6.260905134660366,252,1.3131224082761082,0.93027246,993.7388888888889,894365,0.39160696,3.0,9,6.3647203,0.001,99.3448915267763,0.14999999,-5.534920717470869,900,6.333889,100,-5.534920717470869
0.35909235,-6.325796949108686,252,0.3036995382836747,0.93660635,994.265,994265,0.39098126,3.0,10,2.6275802,0.001,99.3448915267763,0.14999999,-6.909823279143561,1000,2.535832,100,-6.909823279143561
-1.3034114,-6.328856153493804,252,1.448997114092959,0.9340705,994.2954545454545,1093725,0.39029297,3.0,11,1.0497721,0.001,99.3448915267763,0.14999999,-6.359448197344992,1100,1.0488118,100,-6.359448197344992
0.691375,-6.34710888745025,252,1.6695342944853169,0.9341154,994.26,1193112,0.38924417,3.0,12,7.014178,0.001,99.3448915267763,0.14999999,-6.547888960971151,1200,6.869573,100,-6.547888960971151
5.0568814,-6.351673898736714,252,0.2802803896819743,0.92724586,994.6246153846154,1293012,0.38782725,3.0,13,5.579723,0.001,99.3448915267763,0.14999999,-6.4064540341742955,1300,5.543271,100,-6.4064540341742955
2.3377411,-6.356347197061523,252,1.697585418783566,0.92170256,994.7214285714285,1392610,0.3871905,3.0,14,1.537802,0.001,99.3448915267763,0.14999999,-6.41710007528402,1400,1.4023235,100,-6.41710007528402
5.403577,-6.37868269102622,252,0.4013747800104058,0.9223337,995.0066666666667,1492510,0.38578817,3.0,15,6.14397,0.001,99.3448915267763,0.14999999,-6.691379606531992,1500,6.095977,100,-6.691379606531992
