StepSize,MountainCar_std0_higher,MountainCar_mu1_higher,ReturnMax,TimestepsSoFar,Iteration,MinEpLen,AvgEpLen,NatGradInftyNorm,VarJ,NatGrad2Norm,MountainCar_std1_higher,BatchSize,MountainCar_mu0_higher,J,NumTrajectories,ActionIn1,ReturnMean,AvgRet
3.0,0.14999999,0.9164054,98.81783401060149,99230,1,329,992.3,4.0521913,1.5453715635858665,4.240772,3.0,100,0.40025148,-6.707792509869946,100,0.37999994,-6.707792509869946,-6.707792509869946
3.0,0.14999999,13.07298,98.81783401060149,135896,2,183,679.48,63.976044,11.24342876702971,64.00985,3.0,100,-3.351417,5.751010229438998,200,16.626043,-0.47839114021547574,5.751010229438998
3.0,0.14999999,205.00111,98.81783401060149,145017,3,88,483.39,23.971191,67.53406460015007,24.770426,3.0,100,2.8888574,-264.6806486974106,300,198.20119,-88.54581032594719,-264.6806486974106
3.0,0.14999999,133.08754,98.81783401060149,202178,4,88,505.445,369.47522,6688.74797385237,369.60675,3.0,100,-15.835567,-1794.5602015568902,400,120.29301,-515.0494081336831,-1794.5602015568902
3.0,0.14999999,1241.5132,98.81783401060149,211165,5,87,422.33,4901.784,91712.08783530226,4902.1265,3.0,100,13.741718,-13307.657181392418,500,1254.6443,-3073.5709627854303,-13307.657181392418
3.0,0.14999999,-13463.84,98.81783401060149,311065,6,87,518.4416666666667,343749.28,141627524.6814321,343755.22,3.0,100,187.45784,-2652897.9308586745,600,-13277.938,-444710.964278767,-2652897.9308586745
3.0,0.14999999,1017784.06,98.81783401060149,321757,7,87,459.65285714285716,2118498600.0,1.7790194696089876e+16,2135023900.0,3.0,100,-5865.117,-15668538357.300234,700,1011921.44,-2238743803.2979865,-15668538357.300234
3.0,0.14999999,6356514000.0,98.81783401060149,393250,8,87,491.5625,,3.91947246143991e+34,,3.0,100,-795377860.0,-5.355418235502301e+18,800,5561136000.0,-6.694272813966885e+17,-5.355418235502301e+18
3.0,0.14999999,6356514000.0,98.81783401060149,465664,9,87,517.4044444444445,,4.134882544664661e+34,,3.0,100,-795377860.0,-5.344062595508418e+18,900,5561136000.0,-1.1888312051868805e+18,-5.344062595508418e+18
3.0,0.14999999,6356514000.0,98.81783401060149,540728,10,87,540.728,,3.787286138031873e+34,,3.0,100,-795377860.0,-5.509742729510161e+18,1000,5561136000.0,-1.6209223576192087e+18,-5.509742729510161e+18
