J,ReturnMean,NatGradInftyNorm,ReturnMax,MountainCar_std1_higher,AvgRet,VarJ,MountainCar_std0_higher,ActionIn1,MinEpLen,MountainCar_mu0_higher,BatchSize,AvgEpLen,NatGrad2Norm,Iteration,MountainCar_mu1_higher,StepSize,TimestepsSoFar,NumTrajectories
-0.2350053328078783,-0.2350053328078783,60.526924,97.11067514909502,3.0,-0.2350053328078783,12.354630011277008,0.14999999,-1.4356786,250,-0.820599,100,942.98,60.527695,1,0.57150435,3.0,94298,100
-260.804252546249,-130.51962893952847,99.138016,97.11067514909502,3.0,-260.804252546249,116.71635300989674,0.14999999,180.68173,79,0.0963127,100,516.83,99.14419,2,182.15228,3.0,103366,200
-98.41647334583466,-119.81857707496388,16.273249,97.11067514909502,3.0,-98.41647334583466,0.33450523819897116,0.14999999,-116.97487,79,-3.2222402,100,677.5533333333333,16.283209,3,-115.26178,3.0,203266,300
-240.0618204863462,-149.87938792780943,13.440551,97.11067514909502,3.0,-240.0618204863462,2.571235344781292,0.14999999,-165.58783,79,-4.9304886,100,757.915,13.503154,4,-164.08153,3.0,303166,400
-842.5022102773335,-288.40395239771425,20.613598,97.11067514909502,3.0,-842.5022102773335,11.658726606860384,0.14999999,-132.52206,79,-8.826751,100,806.132,20.681042,5,-123.75987,3.0,403066,500
-1951.9891593567029,-565.6681535575458,377.3084,97.11067514909502,3.0,-1951.9891593567029,27.85979211676207,0.14999999,-77.19993,79,-13.83333,100,838.2766666666666,377.92902,6,-61.91908,3.0,502966,600
-199112.68349197193,-28929.527487616746,114056.875,97.11067514909502,3.0,-199112.68349197193,10848706.906545304,0.14999999,1118.8679,79,51.114815,100,861.2371428571429,114058.17,7,1070.0062,3.0,602866,700
-178715623.03481713,-22364766.215903807,48979676.0,97.11067514909502,3.0,-178715623.03481713,3160879205826.116,0.14999999,-339418.62,79,1683.7444,100,878.4575,48981350.0,8,-341100.62,3.0,702766,800
-100995426050690.48,-11221733885424.467,14622932000000.0,97.11067514909502,3.0,-100995426050690.48,7.353558528723211e+23,0.14999999,-146063090.0,79,1217037.2,100,891.8511111111111,14625769000000.0,9,-147280130.0,3.0,802666,900
-5.857138931523962e+25,-5.857138931534061e+24,,97.11067514909502,3.0,-5.857138931523962e+25,3.6911394476523237e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,902.566,,10,-43868943000000.0,3.0,902566,1000
-5.841996955607844e+25,-1.0635578079219914e+25,,97.11067514909502,3.0,-5.841996955607844e+25,4.944038047569245e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,911.3327272727273,,11,-43868943000000.0,3.0,1002466,1100
-5.824409159519215e+25,-1.4602954205550932e+25,,97.11067514909502,3.0,-5.824409159519215e+25,4.964358469039013e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,918.6383333333333,,12,-43868943000000.0,3.0,1102366,1200
-5.877913633404357e+25,-1.800112206158883e+25,,97.11067514909502,3.0,-5.877913633404357e+25,4.2542599473464995e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,924.82,,13,-43868943000000.0,3.0,1202266,1300
-5.830361759532048e+25,-2.0879871742569663e+25,,97.11067514909502,3.0,-5.830361759532048e+25,4.730353445969636e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,930.1185714285714,,14,-43868943000000.0,3.0,1302166,1400
-5.808751772289462e+25,-2.3360381474591324e+25,,97.11067514909502,3.0,-5.808751772289462e+25,5.368189156369188e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,934.7106666666666,,15,-43868943000000.0,3.0,1402066,1500
-5.8727860713620395e+25,-2.5570848927030642e+25,,97.11067514909502,3.0,-5.8727860713620395e+25,4.4704879836068917e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,938.72875,,16,-43868943000000.0,3.0,1501966,1600
-5.8299484490821475e+25,-2.749606278372422e+25,,97.11067514909502,3.0,-5.8299484490821475e+25,4.737382676353075e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,942.2741176470588,,17,-43868943000000.0,3.0,1601866,1700
-5.8454775261150526e+25,-2.9215991254692346e+25,,97.11067514909502,3.0,-5.8454775261150526e+25,4.4334193442489266e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,945.4255555555555,,18,-43868943000000.0,3.0,1701766,1800
-5.8052295130789805e+25,-3.073369145869747e+25,,97.11067514909502,3.0,-5.8052295130789805e+25,4.78599329815302e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,948.2452631578948,,19,-43868943000000.0,3.0,1801666,1900
-5.8216348959204625e+25,-3.2107824333722833e+25,,97.11067514909502,3.0,-5.8216348959204625e+25,4.648316030499129e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,950.783,,20,-43868943000000.0,3.0,1901566,2000
-5.831159539721076e+25,-3.335562295579368e+25,,97.11067514909502,3.0,-5.831159539721076e+25,5.493279292080889e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,953.0790476190476,,21,-43868943000000.0,3.0,2001466,2100
-5.816799238256493e+25,-3.4483457929737836e+25,,97.11067514909502,3.0,-5.816799238256493e+25,4.3669161647156034e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,955.1663636363636,,22,-43868943000000.0,3.0,2101366,2200
-5.842914074794522e+25,-3.552457457400772e+25,,97.11067514909502,3.0,-5.842914074794522e+25,5.152100973431398e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,957.0721739130435,,23,-43868943000000.0,3.0,2201266,2300
-5.851856792984935e+25,-3.6482657630501124e+25,,97.11067514909502,3.0,-5.851856792984935e+25,5.369081923567614e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,958.8191666666667,,24,-43868943000000.0,3.0,2301166,2400
-5.859441158727001e+25,-3.736712778877187e+25,,97.11067514909502,3.0,-5.859441158727001e+25,4.83447885305515e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,960.4264,,25,-43868943000000.0,3.0,2401066,2500
-5.815147993898405e+25,-3.816652594839542e+25,,97.11067514909502,3.0,-5.815147993898405e+25,4.5351540682841777e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,961.91,,26,-43868943000000.0,3.0,2500966,2600
-5.844457344092272e+25,-3.891756474441495e+25,,97.11067514909502,3.0,-5.844457344092272e+25,5.143230778675239e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,963.2837037037037,,27,-43868943000000.0,3.0,2600866,2700
-5.8405525340562895e+25,-3.961356333713452e+25,,97.11067514909502,3.0,-5.8405525340562895e+25,4.498771636519556e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,964.5592857142857,,28,-43868943000000.0,3.0,2700766,2800
-5.821574874909304e+25,-4.02550180065124e+25,,97.11067514909502,3.0,-5.821574874909304e+25,4.794452186300989e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,965.7468965517241,,29,-43868943000000.0,3.0,2800666,2900
