MinEpLen,TimestepsSoFar,MountainCar_mu0_higher,NumTrajectories,MountainCar_mu1_higher,VarJ,AvgEpLen,ReturnMean,J,NatGrad2Norm,ReturnMax,MountainCar_std1_higher,StepSize,MountainCar_std0_higher,BatchSize,AvgRet,Iteration,NatGradInftyNorm,ActionIn1
116,1635932,-0.73861295,3100,11.292128,2.391523984195654,527.72,73.93114112689447,89.86064741040722,10.6386595,97.89509016672409,3.0,0.01,0.14999999,100,89.86064741040722,31,10.622501,12.457328
116,1671301,-0.7327516,3200,11.398353,1.151032247047208,522.2815625,74.48808076753646,91.75320962743776,13.630427,97.89509016672409,3.0,0.01,0.14999999,100,91.75320962743776,32,13.601415,11.437528
116,1706439,-0.7238629,3300,11.534367,0.08040477691809729,517.1027272727273,75.04391482838037,92.8306047753852,58.239677,97.89509016672409,3.0,0.01,0.14999999,100,92.8306047753852,33,58.183174,10.010091
116,1741112,-0.698215,3400,12.116199,0.04924204662183755,512.0917647058824,75.57255630039661,93.0177248769332,19.029171,97.89509016672409,3.0,0.01,0.14999999,100,93.0177248769332,34,18.982382,13.346401
116,1778959,-0.68487895,3500,12.306023,0.06951672203376048,508.274,76.06234044530446,92.71500137217119,26.994135,97.89509016672409,3.0,0.01,0.14999999,100,92.71500137217119,35,26.959309,6.563606
116,1813829,-0.6711712,3600,12.036429,1.1769889172485242,503.8413888888889,76.50245814266538,91.90657755029744,53.527958,97.89509016672409,3.0,0.01,0.14999999,100,91.90657755029744,36,53.52746,11.624319
116,1849642,-0.6734904,3700,12.571704,0.07872500282163443,499.90324324324325,76.94443249597427,92.85550921509393,26.316519,98.44890004096393,3.0,0.01,0.14999999,100,92.85550921509393,37,26.316067,6.918166
116,1887030,-0.6719449,3800,12.308543,1.057669783932532,496.58684210526314,77.34139625932177,92.0290555031801,9.171117,98.44890004096393,3.0,0.01,0.14999999,100,92.0290555031801,38,8.866021,17.043749
116,1924577,-0.6484863,3900,12.219883,1.1595909932410904,493.48128205128205,77.72451087902685,92.28286642782004,7.307292,98.44890004096393,3.0,0.01,0.14999999,100,92.28286642782004,39,6.3717737,13.124671
116,1962337,-0.6127134,4000,12.283601,1.1755562984002201,490.58425,78.1059542934145,92.98224745453226,5.3529835,98.44890004096393,3.0,0.01,0.14999999,100,92.98224745453226,40,3.9080696,13.0236225
116,1998176,-0.5736327,4100,12.320182,1.0880836325631442,487.36,78.4684660199041,92.96893507948782,14.105732,98.44890004096393,3.0,0.01,0.14999999,100,92.96893507948782,41,14.103489,10.563112
116,2034099,-0.57614803,4200,12.461217,0.048191146436396715,484.3092857142857,78.8318579759385,93.73092817334927,9.264981,98.44890004096393,3.0,0.01,0.14999999,100,93.73092817334927,42,9.132873,11.869394
116,2069652,-0.59173816,4300,12.369888,1.224133038263256,481.31441860465117,79.15579692310426,92.7612327040663,2.4487,98.44890004096393,3.0,0.01,0.14999999,100,92.7612327040663,43,2.4486167,8.565882
113,2105611,-0.59153634,4400,12.345402,1.001095244666079,478.54795454545456,79.46651029360599,92.82718522518067,43.247375,98.44890004096393,3.0,0.01,0.14999999,100,92.82718522518067,44,43.24701,8.376893
113,2141479,-0.5897543,4500,12.777872,0.05106973168698867,475.8842222222222,79.78042324963758,93.59259331502695,7.2702274,98.44890004096393,3.0,0.01,0.14999999,100,93.59259331502695,45,7.056928,18.321388
113,2177331,-0.6072356,4600,12.707303,0.06810596929507166,473.3328260869565,80.08083115451137,93.59918687383156,11.912856,98.44890004096393,3.0,0.01,0.14999999,100,93.59918687383156,46,11.884533,13.115951
113,2211369,-0.5990258,4700,12.588458,0.04039051556116501,470.5040425531915,80.37679029475069,93.99091074575999,20.277283,98.44890004096393,3.0,0.01,0.14999999,100,93.99091074575999,47,20.243084,11.317326
113,2247328,-0.58725387,4800,12.790889,2.1278477781115193,468.1933333333333,80.61498227171552,91.81000518906252,10.348975,98.44890004096393,3.0,0.01,0.14999999,100,91.81000518906252,48,10.258211,11.738204
113,2283478,-0.57357764,4900,12.893471,0.05094302330864017,466.01591836734696,80.88416111667834,93.80474567489377,19.94817,98.44890004096393,3.0,0.01,0.14999999,100,93.80474567489377,49,19.944344,13.693058
113,2319316,-0.577484,5000,12.694027,0.05034715880907677,463.8632,81.14490311011124,93.92126078832317,22.453209,98.44890004096393,3.0,0.01,0.14999999,100,93.92126078832317,50,22.431267,6.6361423
