ActionIn1,NatGrad2Norm,NumTrajectories,NatGradInftyNorm,MountainCar_std0_higher,VarJ,AvgEpLen,ReturnMean,AvgRet,MountainCar_std1_higher,ReturnMax,MountainCar_mu0_higher,TimestepsSoFar,StepSize,MinEpLen,BatchSize,Iteration,J,MountainCar_mu1_higher
8.738399,47.275517,100,47.26557,0.14999999,7.636932069388685,980.88,3.3445961042274117,3.3445961042274117,3.0,98.16498803872072,-0.4416444,98088,3.0,446,100,1,3.3445961042274117,-0.8971903
144.27913,16.007992,200,15.961779,0.14999999,16.385582567996213,536.885,-34.10049594999282,-71.54558800421307,3.0,98.16498803872072,2.4675577,107377,3.0,89,100,2,-71.54558800421307,140.89954
98.86779,204.11327,300,202.1617,0.14999999,1636.0028860084587,690.9233333333333,-927.1591678912046,-2713.2765117736285,3.0,98.16498803872072,6.114064,207277,3.0,89,100,3,-2713.2765117736285,93.0142
-417.0007,170363.42,400,169886.34,0.14999999,46613080.35132954,767.9425,-138818.43818874506,-552492.2752513067,3.0,98.16498803872072,90.58792,307177,3.0,89,100,4,-552492.2752513067,-513.4709
-548308.5,8911624000.0,500,8908740000.0,0.14999999,5292019937256806.0,814.154,-3341271588.9451857,-16705802670.973171,3.0,98.16498803872072,-38131.402,407077,3.0,89,100,5,-16705802670.973171,-510172.5
27405840000.0,,600,,0.14999999,1.7180736324666687e+36,750.83,-2.998050808475757e+18,-1.7988304834148184e+19,3.0,98.16498803872072,680130050.0,450498,3.0,89,100,6,-1.7988304834148184e+19,26725710000.0
27405840000.0,,700,,0.14999999,1.780281510549413e+36,701.81,-5.031292257561478e+18,-1.7230740952075803e+19,3.0,98.16498803872072,680130050.0,491267,3.0,89,100,7,-1.7230740952075803e+19,26725710000.0
27405840000.0,,800,,0.14999999,1.9304701055517142e+36,672.84125,-6.795431976584681e+18,-1.9144410009747104e+19,3.0,98.16498803872072,680130050.0,538273,3.0,89,100,8,-1.9144410009747104e+19,26725710000.0
27405840000.0,,900,,0.14999999,1.877574140978548e+36,657.2944444444445,-8.364521865657225e+18,-2.0917240978237587e+19,3.0,98.16498803872072,680130050.0,591565,3.0,89,100,9,-2.0917240978237587e+19,26725710000.0
27405840000.0,,1000,,0.14999999,2.06173947357381e+36,639.506,-9.514550461157636e+18,-1.986480782066134e+19,3.0,98.16498803872072,680130050.0,639506,3.0,89,100,10,-1.986480782066134e+19,26725710000.0
27405840000.0,,1100,,0.14999999,2.0382017386967252e+36,627.3927272727273,-1.0521725170130086e+19,-2.0593472259854574e+19,3.0,98.16498803872072,680130050.0,690132,3.0,89,100,11,-2.0593472259854574e+19,26725710000.0
27405840000.0,,1200,,0.14999999,1.915564294190935e+36,611.2966666666666,-1.1180595958572896e+19,-1.84281746314438e+19,3.0,98.16498803872072,680130050.0,733556,3.0,89,100,12,-1.84281746314438e+19,26725710000.0
27405840000.0,,1300,,0.14999999,1.7530561858974486e+36,597.6761538461539,-1.1710375469401412e+19,-1.8067729599343622e+19,3.0,98.16498803872072,680130050.0,776979,3.0,89,100,13,-1.8067729599343622e+19,26725710000.0
27405840000.0,,1400,,0.14999999,1.8713380892067878e+36,587.2807142857143,-1.2235631225180652e+19,-1.9063956050310697e+19,3.0,98.16498803872072,680130050.0,822193,3.0,89,100,14,-1.9063956050310697e+19,26725710000.0
27405840000.0,,1500,,0.14999999,1.8656068633481438e+36,576.496,-1.2631897143738835e+19,-1.8179620003553446e+19,3.0,98.16498803872072,680130050.0,864744,3.0,89,100,15,-1.8179620003553446e+19,26725710000.0
27405840000.0,,1600,,0.14999999,1.896231544562877e+36,567.606875,-1.300319400801574e+19,-1.857264697216932e+19,3.0,98.16498803872072,680130050.0,908171,3.0,89,100,16,-1.857264697216932e+19,26725710000.0
27405840000.0,,1700,,0.14999999,1.680406137709643e+36,558.7194117647059,-1.3259513619458245e+19,-1.7360627402538324e+19,3.0,98.16498803872072,680130050.0,949823,3.0,89,100,17,-1.7360627402538324e+19,26725710000.0
27405840000.0,,1800,,0.14999999,1.8409796823686547e+36,551.3061111111111,-1.3538344167462461e+19,-1.8278463483534141e+19,3.0,98.16498803872072,680130050.0,992351,3.0,89,100,18,-1.8278463483534141e+19,26725710000.0
27405840000.0,,1900,,0.14999999,1.8054791046023512e+36,547.0368421052632,-1.383723493897302e+19,-1.9217268826163065e+19,3.0,98.16498803872072,680130050.0,1039370,3.0,89,100,19,-1.9217268826163065e+19,26725710000.0
27405840000.0,,2000,,0.14999999,1.6791450225774026e+36,538.256,-1.3960900685102178e+19,-1.6310549861556234e+19,3.0,98.16498803872072,680130050.0,1076512,3.0,89,100,20,-1.6310549861556234e+19,26725710000.0
27405840000.0,,2100,,0.14999999,1.914333100938011e+36,540.1395238095238,-1.436316817765831e+19,-2.240851802878093e+19,3.0,98.16498803872072,680130050.0,1134293,3.0,89,100,21,-2.240851802878093e+19,26725710000.0
27405840000.0,,2200,,0.14999999,1.8581559850770746e+36,534.9163636363636,-1.4535285588712073e+19,-1.8149751220841062e+19,3.0,98.16498803872072,680130050.0,1176816,3.0,89,100,22,-1.8149751220841062e+19,26725710000.0
27405840000.0,,2300,,0.14999999,1.7404417265629876e+36,528.6139130434783,-1.4629226259797545e+19,-1.6695921023677985e+19,3.0,98.16498803872072,680130050.0,1215812,3.0,89,100,23,-1.6695921023677985e+19,26725710000.0
