MountainCar_mu1_higher,StepSize,NatGrad2Norm,AvgEpLen,MountainCar_mu0_higher,NatGradInftyNorm,NumTrajectories,BatchSize,ReturnMean,AvgRet,ActionIn1,VarJ,MinEpLen,MountainCar_std0_higher,ReturnMax,TimestepsSoFar,Iteration,MountainCar_std1_higher,J
0.60902077,0.1,72.78807,958.26,-0.79315424,72.78722,100,100,4.136592925687536,4.136592925687536,-3.043477,15.030190275312101,437,0.14999999,95.01517001352047,95826,1,3.0,4.136592925687536
7.8877425,0.1,101.62821,753.69,-0.7579074,101.62457,200,100,39.36623010522982,74.5958672847721,5.2718887,14.842361617647553,182,0.14999999,96.22729644793037,150738,2,3.0,74.5958672847721
18.0502,0.1,17.79932,589.39,-0.8439393,17.796469,300,100,56.31091790376497,90.20029350083523,17.059116,0.12570036356498324,108,0.14999999,96.22729644793037,176817,3,3.0,90.20029350083523
16.270554,0.1,7.30993,505.795,-0.8120813,7.265922,400,100,65.10486134160178,91.4866916551122,18.498245,0.10318900891262758,108,0.14999999,96.49853227868412,202318,4,3.0,91.4866916551122
15.543962,0.1,35.057632,458.574,-0.89217186,35.04558,500,100,70.16880260216226,90.42456764440423,10.539186,0.09569565072865399,108,0.14999999,96.49853227868412,229287,5,3.0,90.42456764440423
12.039403,0.1,32.452686,441.1333333333333,-0.9840915,32.436787,600,100,73.29191033984209,88.9074490282412,14.136824,0.12612690014413613,108,0.14999999,96.49853227868412,264680,6,3.0,88.9074490282412
15.283082,0.1,6.5347457,418.4042857142857,-0.8825156,6.47504,700,100,75.78924112801188,90.7732258570307,19.12719,0.08270524476807273,108,0.14999999,96.49853227868412,292883,7,3.0,90.7732258570307
15.930586,0.1,4.23381,402.18375,-0.7943818,4.100143,800,100,77.73245904942692,91.3349844993321,14.836434,0.06909317745148114,108,0.14999999,96.49853227868412,321747,8,3.0,91.3349844993321
15.520572,0.1,3.007291,388.1066666666667,-0.8999269,2.5684505,900,100,79.16172659481622,90.5958669579306,16.117237,0.09248600727886572,108,0.14999999,96.49853227868412,349296,9,3.0,90.5958669579306
15.676996,0.1,7.3614335,377.56,-0.64308184,7.1012945,1000,100,80.52677551256005,92.81221577225466,14.284121,0.07076185391670411,108,0.14999999,97.67484813697631,377560,10,3.0,92.81221577225466
14.9668665,0.1,23.061968,370.8272727272727,-0.83704877,23.045017,1100,100,81.39437631033768,90.07038428811373,10.313222,1.07844569651317,108,0.14999999,97.67484813697631,407910,11,3.0,90.07038428811373
12.662365,0.1,22.940737,369.3408333333333,-0.7486422,22.796494,1200,100,82.13972545805565,90.3385660829535,10.741503,1.2679659912334338,108,0.14999999,97.67484813697631,443209,12,3.0,90.3385660829535
14.942015,0.1,6.354163,362.66846153846154,-1.0054941,6.271708,1300,100,82.69507973806493,89.35933109817616,11.319673,0.13641158277701257,108,0.14999999,97.67484813697631,471469,13,3.0,89.35933109817616
14.314844,0.1,26.757374,358.8642857142857,-0.9034612,26.755753,1400,100,83.2245314911412,90.10740428113282,11.178087,0.10873797828577034,108,0.14999999,97.67484813697631,502410,14,3.0,90.10740428113282
16.99042,0.1,59.756935,352.7393333333333,-0.932922,59.746563,1500,100,83.68035695005747,90.06191337488535,14.1282425,0.13579871133632046,108,0.14999999,97.67484813697631,529109,15,3.0,90.06191337488535
11.015762,0.1,12.404554,354.465,-1.0442548,12.360972,1600,100,83.87282365498791,86.75982422894447,5.983163,1.3625722849690016,108,0.14999999,97.67484813697631,567144,16,3.0,86.75982422894447
12.25186,0.1,14.994547,352.7747058823529,-1.1481459,14.866629,1700,100,84.063451350112,87.11349447209739,6.7772,0.17724122905710613,108,0.14999999,97.67484813697631,599717,17,3.0,87.11349447209739
13.738523,0.1,4.582157,350.12944444444446,-0.9527035,4.5664406,1800,100,84.3178934378845,88.64340893001715,10.179612,1.4202184839542469,108,0.14999999,97.67484813697631,630233,18,3.0,88.64340893001715
14.195167,0.1,34.14812,346.99684210526317,-0.99062234,34.146175,1900,100,84.59157804456092,89.51790096473631,15.829789,0.12728877760000426,108,0.14999999,97.67484813697631,659294,19,3.0,89.51790096473631
17.609783,0.1,3.8691218,342.593,-0.95418185,3.6670718,2000,100,84.81007505016075,88.96151815655789,15.862965,0.15803830129165683,108,0.14999999,97.67484813697631,685186,20,3.0,88.96151815655789
