BatchSize,ReturnMean,AvgRet,NumTrajectories,J,Iteration,MountainCar_std0_higher,TimestepsSoFar,MinEpLen,ActionIn1,VarJ,NatGrad2Norm,ReturnMax,MountainCar_std1_higher,NatGradInftyNorm,MountainCar_mu0_higher,StepSize,AvgEpLen,MountainCar_mu1_higher
100,-0.2350053328078783,-0.2350053328078783,100,-0.2350053328078783,1,0.14999999,94298,250,-1.4356786,12.354630011277008,60.527695,97.11067514909502,3.0,60.526924,-0.820599,2.0,942.98,0.57150435
100,-34.99630118559986,-69.75759703839184,200,-69.75759703839184,2,0.14999999,103834,80,119.84917,26.016950569662757,39.718098,97.11067514909502,3.0,39.717903,-0.20932454,2.0,519.17,121.62535
100,3.656672945200206,80.96262120680034,300,80.96262120680034,3,0.14999999,117429,80,43.736996,0.7780205319203174,7.868569,97.11067514909502,3.0,7.781992,0.038298234,2.0,391.43,42.189545
100,-1.4798629123136766,-16.889470484855316,400,-16.889470484855316,4,0.14999999,141113,80,63.544083,139.7207659370424,66.170364,97.11067514909502,3.0,65.764694,2.366366,2.0,352.7825,57.75353
100,-245.97190587582023,-1223.9400777298465,500,-1223.9400777298465,5,0.14999999,185095,80,177.08205,1122.638442996954,114.04446,97.11067514909502,3.0,113.47988,-12.265427,2.0,370.19,189.28291
100,-1890.8218742309277,-10115.071716006465,600,-10115.071716006465,6,0.14999999,240909,80,379.8621,100241.16951333254,476.6272,97.11067514909502,3.0,452.98782,-34.933067,2.0,401.515,416.24268
100,-658877.6568925797,-4600798.667002672,700,-4600798.667002672,7,0.14999999,340809,80,-230.43631,3484514047.712344,2673840.8,97.11067514909502,3.0,2673793.2,261.54974,2.0,486.87,-489.73297
100,-8138203443.650307,-65101015405.6042,800,-65101015405.6042,8,0.14999999,440709,80,-5315947.5,5.072739316066894e+17,18002166000.0,97.11067514909502,3.0,17998438000.0,32130.59,2.0,550.88625,-5348076.0
100,-4.645773772160913e+18,-4.181196388434258e+19,900,-4.181196388434258e+19,9,0.14999999,540609,80,-35269560000.0,2.352645458918276e+34,,97.11067514909502,3.0,,732666200.0,2.0,600.6766666666666,-36002226000.0
100,-8.355500247161444e+18,-4.174303852216623e+19,1000,-4.174303852216623e+19,10,0.14999999,640509,80,-35269560000.0,2.427112162492078e+34,,97.11067514909502,3.0,,732666200.0,2.0,640.509,-36002226000.0
100,-1.1384860365553023e+19,-4.167846154946882e+19,1100,-4.167846154946882e+19,11,0.14999999,740409,80,-35269560000.0,2.3106991058483347e+34,,97.11067514909502,3.0,,732666200.0,2.0,673.0990909090909,-36002226000.0
100,-1.395083553609839e+19,-4.217656241209739e+19,1200,-4.217656241209739e+19,12,0.14999999,840309,80,-35269560000.0,2.2520678136256105e+34,,97.11067514909502,3.0,,732666200.0,2.0,700.2575,-36002226000.0
100,-1.6111955062279846e+19,-4.204538937645734e+19,1300,-4.204538937645734e+19,13,0.14999999,940209,80,-35269560000.0,2.4372972993596473e+34,,97.11067514909502,3.0,,732666200.0,2.0,723.2376923076923,-36002226000.0
100,-1.7947303119570151e+19,-4.180682786434413e+19,1400,-4.180682786434413e+19,14,0.14999999,1040109,80,-35269560000.0,2.3285947478125135e+34,,97.11067514909502,3.0,,732666200.0,2.0,742.935,-36002226000.0
100,-1.9560320679812665e+19,-4.214256652320791e+19,1500,-4.214256652320791e+19,15,0.14999999,1140009,80,-35269560000.0,2.387731872531063e+34,,97.11067514909502,3.0,,732666200.0,2.0,760.006,-36002226000.0
100,-2.0962115313507574e+19,-4.198903481893114e+19,1600,-4.198903481893114e+19,16,0.14999999,1239909,80,-35269560000.0,2.371992258040293e+34,,97.11067514909502,3.0,,732666200.0,2.0,774.943125,-36002226000.0
100,-2.2191228016990343e+19,-4.185703127271467e+19,1700,-4.185703127271467e+19,17,0.14999999,1339809,80,-35269560000.0,2.6841260557463663e+34,,97.11067514909502,3.0,,732666200.0,2.0,788.1229411764706,-36002226000.0
100,-2.3295364886546014e+19,-4.2065691668992385e+19,1800,-4.2065691668992385e+19,18,0.14999999,1439709,80,-35269560000.0,2.4602183958767937e+34,,97.11067514909502,3.0,,732666200.0,2.0,799.8383333333334,-36002226000.0
100,-2.427958622873034e+19,-4.199557038804823e+19,1900,-4.199557038804823e+19,19,0.14999999,1539609,80,-35269560000.0,2.5227660435626907e+34,,97.11067514909502,3.0,,732666200.0,2.0,810.3205263157895,-36002226000.0
100,-2.516861739129861e+19,-4.206020948009583e+19,2000,-4.206020948009583e+19,20,0.14999999,1639509,80,-35269560000.0,2.6365425676089467e+34,,97.11067514909502,3.0,,732666200.0,2.0,819.7545,-36002226000.0
100,-2.596859246926924e+19,-4.1968094028681806e+19,2100,-4.1968094028681806e+19,21,0.14999999,1739409,80,-35269560000.0,2.5923529262294087e+34,,97.11067514909502,3.0,,732666200.0,2.0,828.29,-36002226000.0
100,-2.669009647640091e+19,-4.184168062616594e+19,2200,-4.184168062616594e+19,22,0.14999999,1839309,80,-35269560000.0,2.1835720085590366e+34,,97.11067514909502,3.0,,732666200.0,2.0,836.0495454545454,-36002226000.0
100,-2.7352714112548577e+19,-4.193030210779721e+19,2300,-4.193030210779721e+19,23,0.14999999,1939209,80,-35269560000.0,2.5426677710108152e+34,,97.11067514909502,3.0,,732666200.0,2.0,843.1343478260869,-36002226000.0
