NumTrajectories,Iteration,VarJ,StepSize,J,ActionIn1,ReturnMax,TimestepsSoFar,ReturnMean,AvgEpLen,MinEpLen,MountainCar_mu0_higher,NatGrad2Norm,MountainCar_std1_higher,NatGradInftyNorm,MountainCar_mu1_higher,MountainCar_std0_higher,AvgRet,BatchSize
100,1,1.9793184687361205,2.0,1.2787972622689239,0.30288267,99.13730735309927,99290,1.2787972622689239,992.9,666,0.05171383,12.841234,3.0,12.839932,-0.99866194,0.14999999,1.2787972622689239,100
200,2,0.15977299700762354,2.0,90.80021850121176,18.388788,99.13730735309927,118553,46.039507881740334,592.765,111,-0.31398445,6.490686,3.0,6.451889,24.681204,0.14999999,90.80021850121176,100
300,3,0.4675884574841264,2.0,82.61522306241667,40.282238,99.13730735309927,129856,58.23141294196579,432.85333333333335,92,1.1032383,31.718313,3.0,31.652119,37.584984,0.14999999,82.61522306241667,100
400,4,0.4906539067924829,2.0,-92.54423453329747,-27.455791,99.13730735309927,229756,20.537501073149965,574.39,92,-2.9929821,26.763172,3.0,26.756702,-25.719254,0.14999999,-92.54423453329747,100
500,5,0.2793831750537061,2.0,-46.39045191242004,-84.26371,99.13730735309927,329656,7.151910476035966,659.312,92,-1.8162367,0.29079401,3.0,0.27491993,-79.23266,0.14999999,-46.39045191242004,100
600,6,0.3679961878738402,2.0,-67.33325825891083,-78.661415,99.13730735309927,429556,-5.262284313121836,715.9266666666666,92,-2.3660765,33.51048,3.0,33.50764,-79.42219,0.14999999,-67.33325825891083,100
700,7,0.33982734736904646,2.0,-35.808077012600144,-12.575396,99.13730735309927,529456,-9.625968984475875,756.3657142857143,92,-1.4936967,1.7371736,3.0,1.5276339,-12.406906,0.14999999,-35.808077012600144,100
800,8,0.03420754706514553,2.0,-1.4806638224751039,-18.35266,99.13730735309927,629356,-8.607805839225787,786.695,92,0.16051805,1.8225805,3.0,1.8088874,-15.462173,0.14999999,-1.4806638224751039,100
900,9,0.03542795732827249,2.0,-2.5937093898613397,-18.965714,99.13730735309927,729256,-7.93957290040751,810.2844444444445,92,-0.2854686,1.3426542,3.0,1.3110266,-19.079948,0.14999999,-2.5937093898613397,100
1000,10,0.13529533516171363,2.0,-3.9933294986321077,-18.722363,99.13730735309927,829156,-7.5449485602299715,829.156,92,0.2939436,0.6740978,3.0,0.5985464,-16.457895,0.14999999,-3.9933294986321077,100
1100,11,0.17551849615986906,2.0,-15.214473724859706,-16.417757,99.13730735309927,929056,-8.242178120650854,844.5963636363637,92,-0.9031491,7.568806,3.0,7.567861,-17.078056,0.14999999,-15.214473724859706,100
1200,12,0.13171557458496963,2.0,-9.788878507585588,-33.199635,99.13730735309927,1028956,-8.371069819562084,857.4633333333334,92,-0.6639612,3.1252983,3.0,3.0701709,-32.21378,0.14999999,-9.788878507585588,100
1300,13,0.4192632883518591,2.0,-10.342947867482744,-28.818138,99.13730735309927,1128856,-8.52275274632521,868.3507692307692,92,0.50486755,4.4514523,3.0,4.313169,-26.073437,0.14999999,-10.342947867482744,100
1400,14,0.3078422186483267,2.0,-43.26758844082711,-40.176636,99.13730735309927,1228756,-11.00452672450392,877.6828571428572,92,-1.6969495,16.215012,3.0,16.186926,-34.699776,0.14999999,-43.26758844082711,100
1500,15,0.07960428674262636,2.0,-2.5847080066120953,-75.09602,99.13730735309927,1328656,-10.443205476644462,885.7706666666667,92,0.21095026,0.74826086,3.0,0.5858575,-67.07362,0.14999999,-2.5847080066120953,100
