NumTrajectories,Iteration,VarJ,StepSize,J,ActionIn1,ReturnMax,TimestepsSoFar,ReturnMean,AvgEpLen,MinEpLen,MountainCar_mu0_higher,NatGrad2Norm,MountainCar_std1_higher,NatGradInftyNorm,MountainCar_mu1_higher,MountainCar_std0_higher,AvgRet,BatchSize
1600,16,0.11527443353889744,2.0,-10.51900435674366,-67.15134,99.13730735309927,1428556,-10.447942906650665,892.8475,92,-0.7199962,5.876007,3.0,5.8702874,-65.90191,0.14999999,-10.51900435674366,100
1700,17,0.021028399293891192,2.0,-1.3495542737161927,-74.69911,99.13730735309927,1528456,-9.912743575301576,899.0917647058824,92,-0.20158303,0.35618675,3.0,0.32017604,-77.64249,0.14999999,-1.3495542737161927,100
1800,18,0.017063279059272466,2.0,-1.0175429605014268,-77.20127,99.13730735309927,1628356,-9.418565763368235,904.6422222222222,92,0.110547185,0.33838722,3.0,0.31681994,-77.00214,0.14999999,-1.0175429605014268,100
1900,19,0.010973791723794124,2.0,-1.0214502626952324,-77.112564,99.13730735309927,1728256,-8.976612315964395,909.6084210526316,92,-0.12720086,0.14883882,3.0,0.108814016,-77.63577,0.14999999,-1.0214502626952324,100
2000,20,0.008433088874227238,2.0,-0.7902963718637436,-72.074356,99.13730735309927,1828156,-8.567296518759361,914.078,92,0.07590014,0.5167801,3.0,0.5103222,-77.8534,0.14999999,-0.7902963718637436,100
2100,21,0.01384149916682248,2.0,-1.0030328167961604,-82.80659,99.13730735309927,1928056,-8.207093485332543,918.1219047619047,92,-0.08698501,0.34987417,3.0,0.30444565,-76.832756,0.14999999,-1.0030328167961604,100
2200,22,0.07441224141249554,2.0,-2.690333172166695,-74.13699,99.13730735309927,2027956,-7.956331652915912,921.7981818181818,92,0.25783247,0.34635437,3.0,0.3421887,-76.22386,0.14999999,-2.690333172166695,100
2300,23,0.08313727251368425,2.0,-4.6998333305090485,-70.86948,99.13730735309927,2127856,-7.8147447693330045,925.1547826086957,92,-0.4265449,1.1459433,3.0,1.048907,-76.33097,0.14999999,-4.6998333305090485,100
2400,24,0.3406377114095603,2.0,-9.113280349579739,-71.27609,99.13730735309927,2227756,-7.868850418509952,928.2316666666667,92,0.4964499,2.0368176,3.0,1.8803256,-74.233154,0.14999999,-9.113280349579739,100
2500,25,0.21110747281137485,2.0,-20.439235876177055,-79.51867,99.13730735309927,2327656,-8.371665836816637,931.0624,92,-1.0694382,9.554523,3.0,9.549889,-77.993805,0.14999999,-20.439235876177055,100
2600,26,0.07738703058729618,2.0,-5.72314390789711,-60.521084,99.13730735309927,2427556,-8.26979960878127,933.6753846153846,92,-0.47426772,2.236357,3.0,2.186663,-58.894028,0.14999999,-5.72314390789711,100
2700,27,0.23483626625547394,2.0,-8.146356432564964,-62.23294,99.13730735309927,2527456,-8.265227639291776,936.0948148148149,92,0.4633835,2.16122,3.0,2.0414267,-63.267353,0.14999999,-8.146356432564964,100
2800,28,0.18996123991632935,2.0,-17.392889724840554,-57.047928,99.13730735309927,2627356,-8.591215570918521,938.3414285714285,92,-0.9557001,4.375664,3.0,4.345459,-59.1845,0.14999999,-17.392889724840554,100
2900,29,0.013940987746249259,2.0,-0.894655421406781,-67.68245,99.13730735309927,2727256,-8.325816945073287,940.4331034482759,92,0.0707944,1.4610157,3.0,1.4559937,-67.87542,0.14999999,-0.894655421406781,100
3000,30,0.01147194173039426,2.0,-1.136753982652906,-69.21009,99.13730735309927,2827156,-8.086181512992606,942.3853333333333,92,-0.17127566,0.7436533,3.0,0.73571795,-70.78741,0.14999999,-1.136753982652906,100
3100,31,0.00879202947345072,2.0,-0.6861221258975259,-76.040596,99.13730735309927,2927056,-7.847469919860509,944.2116129032258,92,0.04542032,0.14934742,3.0,0.13746487,-72.25884,0.14999999,-0.6861221258975259,100
3200,32,0.006530775469080687,2.0,-0.7790229356327592,-73.943596,99.13730735309927,3026956,-7.626580951603391,945.92375,92,-0.07133694,0.46417853,3.0,0.46417403,-72.533775,0.14999999,-0.7790229356327592,100
3300,33,0.009219169119253311,2.0,-0.8428051441735228,-69.29925,99.13730735309927,3126856,-7.4210119877418785,947.5321212121212,92,-0.075425275,0.14695007,3.0,0.10816781,-73.46212,0.14999999,-0.8428051441735228,100
3400,34,0.03921364230624349,2.0,-1.5441338307530748,-68.93194,99.13730735309927,3226756,-7.248162630183385,949.0458823529411,92,0.14091036,0.69511724,3.0,0.6345149,-73.66106,0.14999999,-1.5441338307530748,100
3500,35,0.06608869521012484,2.0,-4.619569190752307,-79.73209,99.13730735309927,3326656,-7.173059960485355,950.4731428571429,92,-0.42681763,1.0435784,3.0,0.9759836,-74.930084,0.14999999,-4.619569190752307,100
3600,36,0.08968794874926252,2.0,-3.800023243336661,-73.89477,99.13730735309927,3426556,-7.079364496120114,951.8211111111111,92,0.31213275,2.5982983,3.0,2.568105,-76.88205,0.14999999,-3.800023243336661,100
3700,37,0.0688854070288549,2.0,-5.165673259704761,-87.7936,99.13730735309927,3526456,-7.027643111352131,953.0962162162162,92,-0.47778156,1.0528061,3.0,1.0165058,-82.01826,0.14999999,-5.165673259704761,100
3800,38,0.03241084600304057,2.0,-0.9568768701429482,-78.59901,99.13730735309927,3626356,-6.86788610500452,954.3042105263158,92,0.07036731,0.31567413,3.0,0.2737054,-79.985245,0.14999999,-0.9568768701429482,100
3900,39,0.03388127949063276,2.0,-2.0241003650216984,-80.70533,99.13730735309927,3726256,-6.7436864706459865,955.4502564102564,92,-0.24418321,1.1107659,3.0,1.0797387,-80.53265,0.14999999,-2.0241003650216984,100
4000,40,0.12846513942514884,2.0,-3.5970020125955156,-73.33431,99.13730735309927,3826156,-6.6650193591947255,956.539,92,0.2772191,1.316011,3.0,1.1837914,-78.37318,0.14999999,-3.5970020125955156,100
4100,41,0.21783280843394096,2.0,-14.036300061349857,-79.38778,99.13730735309927,3926056,-6.844806693393631,957.5746341463415,92,-0.8726028,2.84658,3.0,2.838777,-76.00559,0.14999999,-14.036300061349857,100
4200,42,0.08187511413017551,2.0,-4.865042918035486,-71.3594,99.13730735309927,4025956,-6.7976694606470085,958.5609523809524,92,-0.45135188,2.165132,3.0,2.1329486,-70.32804,0.14999999,-4.865042918035486,100
4300,43,0.1326847126354449,2.0,-3.592950685522145,-78.809784,99.13730735309927,4125856,-6.723141117039454,959.5013953488373,92,0.2924956,0.8965817,3.0,0.7197485,-74.59394,0.14999999,-3.592950685522145,100
4400,44,0.16981577591045116,2.0,-12.356763243681387,-71.99355,99.13730735309927,4225756,-6.8511779835540425,960.3990909090909,92,-0.77674866,8.380684,3.0,8.361151,-76.03344,0.14999999,-12.356763243681387,100
4500,45,0.1337925757575608,2.0,-5.049736407731891,-93.98795,99.13730735309927,4325656,-6.811145948535771,961.2568888888889,92,0.36696458,3.4383016,3.0,3.4050388,-92.75574,0.14999999,-5.049736407731891,100
4600,46,0.13881811931597882,2.0,-8.280687080134278,-86.66513,99.13730735309927,4425556,-6.843092494874871,962.0773913043478,92,-0.5872434,2.2351942,3.0,2.1046422,-85.94566,0.14999999,-8.280687080134278,100
4700,47,2.974386629630034,2.0,-36.85525496874604,-87.222824,99.13730735309927,4525456,-7.481649143255109,962.8629787234042,92,0.9181798,8.839251,3.0,8.304613,-90.154945,0.14999999,-36.85525496874604,100
4800,48,3.140502331506263,2.0,-266.40906991483496,-83.44094,99.13730735309927,4625356,-12.875970409329689,963.6158333333333,92,-5.1368203,129.72168,3.0,129.59705,-73.545715,0.14999999,-266.40906991483496,100
4900,49,14224.84767091644,2.0,-1527.0550206220257,195.78915,99.13730735309927,4679470,-43.777583678976555,954.9938775510204,92,6.233334,1294.295,3.0,1294.1943,185.64838,0.14999999,-1527.0550206220257,100
5000,50,396.35419266370775,2.0,-8517.94035952563,-2429.0386,99.13730735309927,4779370,-213.2608391959096,955.874,92,-26.05304,4481.4634,3.0,4481.2974,-2402.7402,0.14999999,-8517.94035952563,100
