BatchSize,NumTrajectories,J,MountainCar_mu0_higher,MountainCar_std0_higher,MountainCar_mu1_higher,NatGrad2Norm,ReturnMax,MinEpLen,ReturnMean,ActionIn1,StepSize,MountainCar_std1_higher,AvgRet,VarJ,TimestepsSoFar,NatGradInftyNorm,AvgEpLen,Iteration
100,100,-6.707792509869946,0.40025148,0.14999999,0.9164054,4.240772,98.81783401060149,329,-6.707792509869946,0.37999994,2.0,3.0,-6.707792509869946,1.5453715635858665,99230,4.0521913,992.3,1
100,200,58.55770115831063,-2.1008608,0.14999999,9.020788,82.61454,98.81783401060149,179,25.924954324220344,13.8244095,2.0,3.0,58.55770115831063,6.069305794614271,137325,82.61085,686.625,2
100,300,-304.93038191174145,-0.53987014,0.14999999,174.24248,80.20457,98.81783401060149,81,-84.36015775443359,164.01382,2.0,3.0,-304.93038191174145,94.53663777103642,147259,79.784256,490.86333333333334,3
100,400,-3514.924829522617,-16.94046,0.14999999,14.673965,288.39124,98.81783401060149,81,-942.0013256964795,0.7745323,2.0,3.0,-3514.924829522617,9146.019781479441,242859,287.69907,607.1475,4
100,500,-29339.341094222815,22.997116,0.14999999,590.0721,3218.6616,98.81783401060149,81,-6621.469279401746,612.45856,2.0,3.0,-29339.341094222815,2719623.417526001,314544,3189.1167,629.088,5
100,600,-54882597.210597135,893.21014,0.14999999,6968.3057,6610422.0,98.81783401060149,81,-9152617.42616569,7859.9595,2.0,3.0,-54882597.210597135,528624744229.5899,414444,6609453.0,690.74,6
100,700,-1626776855235.1687,227267.11,0.14999999,13225874.0,509265700000.0,98.81783401060149,81,-232404538705.67505,13453144.0,2.0,3.0,-1626776855235.1687,3.370083488109707e+21,426754,508051850000.0,609.6485714285715,7
100,800,-4.435462267163617e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-5.544327834157874e+21,945835400000.0,2.0,3.0,-4.435462267163617e+22,1.0807004586179621e+42,479560,,599.45,8
100,900,-4.55487588594087e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-9.9892646147413e+21,945835400000.0,2.0,3.0,-4.55487588594087e+22,1.1875042886908319e+42,535944,,595.4933333333333,9
100,1000,-4.398759041667168e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-1.3389097194934338e+22,945835400000.0,2.0,3.0,-4.398759041667168e+22,1.1002143360600309e+42,587924,,587.924,10
100,1100,-4.610614607410784e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-1.6363374365768291e+22,945835400000.0,2.0,3.0,-4.610614607410784e+22,1.1567733710985764e+42,646981,,588.1645454545454,11
100,1200,-4.451960012123379e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-1.8709726512057084e+22,945835400000.0,2.0,3.0,-4.451960012123379e+22,1.0957154705809782e+42,700692,,583.91,12
100,1300,-4.717328281347426e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.0899230842935327e+22,945835400000.0,2.0,3.0,-4.717328281347426e+22,1.1523372023920557e+42,763305,,587.1576923076923,13
100,1400,-4.747913463470343e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.279779539949019e+22,945835400000.0,2.0,3.0,-4.747913463470343e+22,1.195601931118561e+42,826779,,590.5564285714286,14
100,1500,-4.750318942990172e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.4444821668184294e+22,945835400000.0,2.0,3.0,-4.750318942990172e+22,1.099219630567677e+42,892925,,595.2833333333333,15
100,1600,-4.50414965029503e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.573211384535717e+22,945835400000.0,2.0,3.0,-4.50414965029503e+22,1.1622144665473402e+42,947561,,592.225625,16
100,1700,-4.6853846691321125e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.6974568718649168e+22,945835400000.0,2.0,3.0,-4.6853846691321125e+22,1.1284853314799052e+42,1009249,,593.6758823529411,17
100,1800,-4.479320158655769e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.796449276686631e+22,945835400000.0,2.0,3.0,-4.479320158655769e+22,1.1626557770848365e+42,1062983,,590.5461111111111,18
100,1900,-4.572669303545057e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.889934541258127e+22,945835400000.0,2.0,3.0,-4.572669303545057e+22,1.2231017247542473e+42,1120270,,589.6157894736842,19
100,2000,-4.617438198180039e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-2.9763097241042224e+22,945835400000.0,2.0,3.0,-4.617438198180039e+22,1.1294306796115967e+42,1180200,,590.1,20
100,2100,-4.445645992500275e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.0462781178373678e+22,945835400000.0,2.0,3.0,-4.445645992500275e+22,1.2141232467573654e+42,1231272,,586.32,21
100,2200,-4.632724935933682e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.1183893368417454e+22,945835400000.0,2.0,3.0,-4.632724935933682e+22,1.0809337685720713e+42,1292950,,587.7045454545455,22
100,2300,-4.56175548493043e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.1811443867586453e+22,945835400000.0,2.0,3.0,-4.56175548493043e+22,1.1102618635900078e+42,1351125,,587.445652173913,23
100,2400,-4.644307358199354e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.242109510568674e+22,945835400000.0,2.0,3.0,-4.644307358199354e+22,1.1861116124544991e+42,1411090,,587.9541666666667,24
100,2500,-4.5176364424091385e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.2931305878422932e+22,945835400000.0,2.0,3.0,-4.5176364424091385e+22,1.1809370128539363e+42,1464799,,585.9196,25
100,2600,-4.426031131260375e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.336703685666065e+22,945835400000.0,2.0,3.0,-4.426031131260375e+22,1.0995204545269153e+42,1516350,,583.2115384615385,26
100,2700,-4.54460319118162e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.381440704388863e+22,945835400000.0,2.0,3.0,-4.54460319118162e+22,1.1087641038121606e+42,1573575,,582.8055555555555,27
100,2800,-4.441365958377774e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.4192951777456103e+22,945835400000.0,2.0,3.0,-4.441365958377774e+22,1.1341037890578849e+42,1625488,,580.5314285714286,28
100,2900,-4.402527236154999e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.453199731483865e+22,945835400000.0,2.0,3.0,-4.402527236154999e+22,1.1134073979902844e+42,1677422,,578.4213793103448,29
100,3000,-4.549476403863324e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.4897422872298473e+22,945835400000.0,2.0,3.0,-4.549476403863324e+22,1.1685979215928378e+42,1733781,,577.927,30
100,3100,-4.556836899000313e+22,-70281535000.0,0.14999999,1016116940000.0,,98.81783401060149,81,-3.524164694061153e+22,945835400000.0,2.0,3.0,-4.556836899000313e+22,1.1662467290057975e+42,1790206,,577.4858064516129,31
