Iteration,ActionIn1,J,NatGrad2Norm,MinEpLen,MountainCar_mu0_higher,ReturnMean,MountainCar_std0_higher,MountainCar_mu1_higher,NatGradInftyNorm,VarJ,NumTrajectories,BatchSize,ReturnMax,AvgRet,AvgEpLen,StepSize,TimestepsSoFar,MountainCar_std1_higher
1,-3.043477,4.136592925687536,72.78807,437,-0.79315424,4.136592925687536,0.14999999,0.60902077,72.78722,15.030190275312101,100,100,95.01517001352047,4.136592925687536,958.26,2.0,95826,3.0
2,144.23729,-154.3596221979752,91.04797,79,-0.0882175,-75.11151463614382,0.14999999,146.18346,90.995476,56.81635700784428,200,100,95.01517001352047,-154.3596221979752,526.495,2.0,105299,3.0
3,-29.860018,-2565.151283291083,311.21008,79,6.0946217,-905.1247708544568,0.14999999,-35.807495,309.93973,1172.0434589136771,300,100,95.01517001352047,-2565.151283291083,683.9966666666667,2.0,205199,3.0
4,537.025,-20588.881321774876,502.99814,79,-50.086678,-5826.063908584561,0.14999999,584.07196,369.67868,415908.85671591456,400,100,95.01517001352047,-20588.881321774876,645.25,2.0,258100,3.0
5,587.04297,-31571088.088580642,12631021.0,79,689.2707,-6318878.468842995,0.14999999,-98.11511,12624661.0,144974946750.29752,500,100,95.01517001352047,-31571088.088580642,716.0,2.0,358000,3.0
6,26051494.0,-32521475577687.004,20780110000000.0,79,802266.56,-5420251195346.558,0.14999999,25249224.0,20778974000000.0,4.0203023099883374e+24,600,100,95.01517001352047,-32521475577687.004,702.2933333333333,2.0,421376,3.0
7,-41123263000000.0,-1.3447961661253986e+25,,79,434659500000.0,-1.921137380183787e+24,0.14999999,-41557923000000.0,,1.014429065670545e+46,700,100,95.01517001352047,-1.3447961661253986e+25,744.68,2.0,521276,3.0
8,-41123263000000.0,-1.3292054376960643e+25,,79,434659500000.0,-3.342502004780894e+24,0.14999999,-41557923000000.0,,1.0426295230817346e+46,800,100,95.01517001352047,-1.3292054376960643e+25,776.47,2.0,621176,3.0
9,-41123263000000.0,-1.3500597825580429e+25,,79,434659500000.0,-4.4711793182030635e+24,0.14999999,-41557923000000.0,,9.957642577003218e+45,900,100,95.01517001352047,-1.3500597825580429e+25,801.1955555555555,2.0,721076,3.0
10,-41123263000000.0,-1.3422742298155136e+25,,79,434659500000.0,-5.366335616198272e+24,0.14999999,-41557923000000.0,,1.0139492268188397e+46,1000,100,95.01517001352047,-1.3422742298155136e+25,820.976,2.0,820976,3.0
