VarJ,BatchSize,MinEpLen,MountainCar_std1_higher,MountainCar_mu1_higher,AvgRet,TimestepsSoFar,Iteration,ReturnMean,AvgEpLen,ReturnMax,J,NatGradInftyNorm,NumTrajectories,NatGrad2Norm,StepSize,MountainCar_mu0_higher,ActionIn1,MountainCar_std0_higher
7.636932069388685,100,446,3.0,-0.8971903,3.3445961042274117,98088,1,3.3445961042274117,980.88,98.16498803872072,3.3445961042274117,47.26557,100,47.275517,1.0,-0.4416444,8.738399,0.14999999
0.9125106196302974,100,83,3.0,46.36838,80.19668227763376,109437,2,41.77063919093057,547.185,98.16498803872072,80.19668227763376,25.810076,200,25.865805,1.0,0.52808964,47.80851,0.14999999
0.26682761366437047,100,83,3.0,20.558306,85.65141615372397,131241,3,56.397564845195035,437.47,98.16498803872072,85.65141615372397,1.0876868,300,1.2165592,1.0,-1.1689166,19.12892,0.14999999
0.818718939386336,100,83,3.0,21.103241,68.9772452767405,149853,4,59.542484953081406,374.6325,98.16498803872072,68.9772452767405,22.193916,400,22.282234,1.0,-2.2566032,24.728916,0.14999999
0.921492488036906,100,81,3.0,43.297157,76.88270929369217,163604,5,63.010529821203555,327.208,98.16498803872072,76.88270929369217,49.808235,500,49.814667,1.0,-0.27466512,38.405033,0.14999999
0.2522148806660856,100,81,3.0,-6.511078,-20.74858615550535,263504,6,49.05067715841873,439.17333333333335,98.16498803872072,-20.74858615550535,5.5426373,600,5.548819,1.0,-1.0750175,-9.212296,0.14999999
3.4667411627672973,100,81,3.0,-0.96844053,-10.831565359872812,362422,7,40.496071084377085,517.7457142857143,98.16498803872072,-10.831565359872812,27.058746,700,27.089006,1.0,-0.8131765,-2.2288096,0.14999999
0.13076157283798578,100,81,3.0,26.090305,90.10417943654924,380650,8,46.697084628398606,475.8125,98.16498803872072,90.10417943654924,25.53994,800,25.542154,1.0,0.46686494,28.220316,0.14999999
5.763516970270715,100,81,3.0,0.55036545,4.544561402531496,478069,9,42.0134709366356,531.1877777777778,99.34986323110442,4.544561402531496,34.94207,900,34.95666,1.0,0.13047192,2.4092612,0.14999999
0.5052383489551916,100,81,3.0,35.492435,79.2056726663329,492864,10,45.73269110960532,492.864,99.34986323110442,79.2056726663329,6.918413,1000,6.925321,1.0,-0.8795006,33.243946,0.14999999
0.7149053265896766,100,81,3.0,42.41085,69.1124294026365,505251,11,47.85812186351725,459.3190909090909,99.34986323110442,69.1124294026365,12.240619,1100,12.241269,1.0,-1.1887513,43.225506,0.14999999
0.48331591539843927,100,81,3.0,30.17023,80.94236459515022,520481,12,50.615142091153324,433.7341666666667,99.34986323110442,80.94236459515022,7.3933287,1200,7.4049697,1.0,-1.314946,28.140223,0.14999999
0.4864651649662616,100,81,3.0,22.776901,79.17052723570157,538158,13,52.81171017919551,413.9676923076923,99.34986323110442,79.17052723570157,4.8104053,1300,5.4833527,1.0,-1.7299994,19.24043,0.14999999
12.54133231601153,100,81,3.0,27.587307,81.66299945421788,553414,14,54.87251655598281,395.29571428571427,99.34986323110442,81.66299945421788,39.632076,1400,39.849083,1.0,0.9019495,26.869846,0.14999999
4.718326573750249,100,81,3.0,67.21938,6.156002498593475,564330,15,51.62474895215686,376.22,99.34986323110442,6.156002498593475,20.108885,1500,20.111607,1.0,-3.2511082,62.099483,0.14999999
3.5817036771380106,100,81,3.0,47.110497,36.400695471305596,577529,16,50.673245609603654,360.955625,99.34986323110442,36.400695471305596,13.202284,1600,13.203271,1.0,-2.9203143,43.918606,0.14999999
3.000650798147887,100,81,3.0,33.90821,44.918611071905936,593659,17,50.334737695621435,349.2111764705882,99.34986323110442,44.918611071905936,15.828974,1700,15.831371,1.0,-3.0817883,29.071125,0.14999999
5.1670775921140235,100,81,3.0,18.079237,23.418029900838032,622054,18,48.83936504035569,345.5855555555556,99.34986323110442,23.418029900838032,41.355602,1800,41.368088,1.0,-3.3572829,14.723721,0.14999999
1.5600525780650654,100,81,3.0,59.434837,31.607604934124915,632667,19,47.932430297922494,332.98263157894735,99.34986323110442,31.607604934124915,12.021122,1900,12.0245,1.0,-2.3410606,57.32174,0.14999999
2.9478957757482322,100,81,3.0,47.413715,46.02880840686791,644936,20,47.837249203369765,322.468,99.34986323110442,46.02880840686791,12.9928,2000,13.008799,1.0,-2.6260948,43.591946,0.14999999
3.96787575807727,100,81,3.0,34.420914,40.94537183686444,660483,21,47.50906456686951,314.5157142857143,99.34986323110442,40.94537183686444,6.417812,2100,6.4538684,1.0,-3.2710776,31.193151,0.14999999
1.6373839322723247,100,81,3.0,28.003101,61.274271627168574,676901,22,48.134755796883105,307.68227272727273,99.34986323110442,61.274271627168574,11.360306,2200,11.5318165,1.0,-2.5898235,23.9612,0.14999999
0.7995205068795666,100,81,3.0,39.363407,78.49239805464808,690671,23,49.45465328635115,300.2917391304348,99.34986323110442,78.49239805464808,8.329005,2300,8.44244,1.0,-0.6083492,38.1684,0.14999999
1.291342032586824,100,81,3.0,47.692413,56.17747574444012,701466,24,49.734770888771514,292.2775,99.34986323110442,56.17747574444012,32.609898,2400,32.631855,1.0,-1.9876477,45.936554,0.14999999
0.09431723186249041,100,81,3.0,15.082516,91.05456832202083,731796,25,51.38756278610148,292.7184,99.34986323110442,91.05456832202083,6.375821,2500,6.458376,1.0,-0.7907598,11.132614,0.14999999
0.07597281579341257,100,81,3.0,21.458336,93.04813442446833,753934,26,52.98989246450022,289.9746153846154,99.34986323110442,93.04813442446833,19.226755,2600,19.228462,1.0,0.23857129,22.539068,0.14999999
