ReturnMean,MountainCar_std0_higher,AvgEpLen,BatchSize,NumTrajectories,NatGrad2Norm,J,NatGradInftyNorm,ActionIn1,MountainCar_mu0_higher,AvgRet,MinEpLen,ReturnMax,MountainCar_mu1_higher,TimestepsSoFar,VarJ,Iteration,MountainCar_std1_higher,StepSize
-6.707792509869946,0.14999999,992.3,100,100,4.240772,-6.707792509869946,4.0521913,0.37999994,0.40025148,-6.707792509869946,329,98.81783401060149,0.9164054,99230,1.5453715635858665,1,3.0,1.0
24.177200274815956,0.14999999,840.985,100,200,149.34407,55.06219305950187,149.34341,11.022774,-0.8503046,55.06219305950187,253,98.81783401060149,4.9685965,168197,23.648523496868517,2,3.0,1.0
-69.6561906810975,0.14999999,596.0733333333334,100,300,64.2963,-257.32297259292443,63.846123,143.33136,-1.2918537,-257.32297259292443,84,98.81783401060149,154.31201,178822,21.58815716486507,3,3.0,1.0
-170.96859551302867,0.14999999,549.735,100,400,67.5197,-474.9058100088223,67.41569,84.61987,-8.88704,-474.9058100088223,84,98.81783401060149,90.46589,219894,595.7057111440337,4,3.0,1.0
-209.7132712123814,0.14999999,461.374,100,500,148.10374,-364.69197400979226,148.05504,152.13017,-5.1407557,-364.69197400979226,84,98.81783401060149,157.88158,230687,13.863806537724537,5,3.0,1.0
-161.6748316694777,0.14999999,450.405,100,600,9.752908,78.51736604504077,9.74358,6.927664,-1.3427083,78.51736604504077,84,98.81783401060149,9.826538,270243,4.182015052900818,6,3.0,1.0
-125.75788723569904,0.14999999,419.13,100,700,15.253092,89.74377936697292,15.154278,21.159101,-0.91624314,89.74377936697292,84,98.81783401060149,19.570118,293391,0.13347448720585509,7,3.0,1.0
-114.75762052607843,0.14999999,491.61375,100,800,30.984154,-37.755753558734085,30.945017,6.1448026,0.81715494,-37.755753558734085,84,98.81783401060149,4.41584,393291,2.538054677088773,8,3.0,1.0
-103.31463031289843,0.14999999,547.99,100,900,0.8112473,-11.770708607458571,0.61090255,-29.974758,-0.7396758,-11.770708607458571,84,98.81783401060149,-26.529177,493191,0.13338922092962094,9,3.0,1.0
-93.0708947397903,0.14999999,593.091,100,1000,0.41264382,-0.8772745818171286,0.40335423,-27.092667,-0.12877327,-0.8772745818171286,84,98.81783401060149,-25.995398,593091,0.008217365419891301,10,3.0,1.0
