MountainCar_std1_higher,MountainCar_mu1_higher,ActionIn1,BatchSize,NatGrad2Norm,MinEpLen,NumTrajectories,AvgRet,MountainCar_std0_higher,MountainCar_mu0_higher,J,StepSize,ReturnMean,AvgEpLen,TimestepsSoFar,NatGradInftyNorm,Iteration,VarJ,ReturnMax
3.0,-0.99866194,0.30288267,100,12.841234,666,100,1.2787972622689239,0.14999999,0.05171383,1.2787972622689239,0.01,1.2787972622689239,992.9,99290,12.839932,1,1.9793184687361205,99.13730735309927
3.0,-0.8702626,-6.798809,100,17.26954,387,200,1.8606647492769743,0.14999999,0.04988534,1.8606647492769743,0.01,1.569731005772949,990.93,198186,17.249426,2,2.9667174679448993,99.13730735309927
3.0,-0.69776833,0.937798,100,12.664212,387,300,1.3768938946606903,0.14999999,0.041552413,1.3768938946606903,0.01,1.5054519687355294,991.1233333333333,297337,12.661868,3,1.9651771342341877,99.13730735309927
3.0,-0.57114965,0.72440964,100,12.060533,387,400,1.0584848505938775,0.14999999,0.039115995,1.0584848505938775,0.01,1.3937101892001165,991.265,396506,12.057701,4,1.9666165150513237,99.13730735309927
3.0,-0.45057264,-3.628879,100,12.381734,387,500,1.216554824617347,0.14999999,0.036502622,1.216554824617347,0.01,1.3582791162835623,991.078,495539,12.380463,5,1.9917459290261332,99.36019651145412
3.0,-0.326768,2.834805,100,13.600392,332,600,1.1398286839045513,0.14999999,0.03472822,1.1398286839045513,0.01,1.3218707108870607,991.08,594648,13.600074,6,1.9680175723698468,99.36019651145412
3.0,-0.19076727,1.1700991,100,11.337274,332,700,1.1634309628532375,0.14999999,0.0356594,1.1634309628532375,0.01,1.299236461167943,991.8657142857143,694306,11.331639,7,1.9686406476771887,99.36019651145412
3.0,-0.07745089,-3.096368,100,41.65145,332,800,6.144769581370144,0.14999999,0.03208555,6.144769581370144,0.01,1.904928101193218,990.0975,792078,41.65049,8,6.539906584508445,99.36019651145412
3.0,0.339054,0.76801294,100,7.8586516,332,900,1.4139042458384705,0.14999999,0.029254762,1.4139042458384705,0.01,1.8503698950426908,990.46,891414,7.850578,9,1.9471343040978837,99.36019651145412
3.0,0.41755977,-2.1151571,100,31.496649,332,1000,5.975358107292188,0.14999999,0.025693443,5.975358107292188,0.01,2.2628687162676404,989.368,989368,31.474922,10,6.505031697974986,99.36019651145412
3.0,0.732309,2.3097544,100,65.68417,332,1100,10.96697776360515,0.14999999,0.0139964465,10.96697776360515,0.01,3.0541513569346863,986.6045454545455,1085265,65.67839,11,10.605440475368907,99.36019651145412
3.0,1.3890929,1.0724791,100,31.194988,332,1200,7.194365347984189,0.14999999,0.005277097,7.194365347984189,0.01,3.3991691895221448,985.1966666666667,1182236,31.182034,12,7.375608703451733,99.41698010510189
3.0,1.7009132,-1.5523682,100,46.5895,332,1300,9.98177216057907,0.14999999,-0.0037119947,9.98177216057907,0.01,3.905523264218832,983.266923076923,1278247,46.573227,13,9.785782233017692,99.41698010510189
3.0,2.1666455,-1.6292889,100,86.76727,272,1400,17.025723571295657,0.14999999,-0.016025089,17.025723571295657,0.01,4.842680429010033,978.8678571428571,1370415,86.764755,14,14.739890893629774,99.41698010510189
3.0,3.0342932,-5.2216916,100,91.125916,272,1500,23.81273628207279,0.14999999,-0.022631632,23.81273628207279,0.01,6.107350819214217,972.73,1459095,91.10193,15,18.793079252309802,99.41698010510189
3.0,3.9453125,3.3723364,100,118.875824,272,1600,33.88292978687311,0.14999999,-0.043537945,33.88292978687311,0.01,7.843324504692898,964.655,1543448,118.87161,16,22.616132427113627,99.41698010510189
3.0,5.1340284,8.225448,100,101.34905,272,1700,48.622322880215386,0.14999999,-0.053540666,48.622322880215386,0.01,10.242089115017752,954.8,1623160,101.34819,17,24.986142991834523,99.43679716434406
3.0,6.1475105,5.780103,100,107.30309,223,1800,61.23553433137029,0.14999999,-0.05772372,61.23553433137029,0.01,13.075058293704002,942.8661111111111,1697159,107.27095,18,23.268955139601047,99.43679716434406
3.0,7.22022,7.786645,100,89.234535,223,1900,77.1838742575495,0.14999999,-0.083986975,77.1838742575495,0.01,16.44920650232745,926.3878947368421,1760137,89.23368,19,16.559367353561825,99.43679716434406
