Iteration,BatchSize,J,ReturnMean,MinEpLen,VarJ,StepSize,ActionIn1,AvgEpLen,MountainCar_std0_higher,NatGrad2Norm,ReturnMax,MountainCar_mu0_higher,MountainCar_std1_higher,TimestepsSoFar,NumTrajectories,AvgRet,MountainCar_mu1_higher,NatGradInftyNorm
1,100,4.136592925687536,4.136592925687536,437,15.030190275312101,1.0,-3.043477,958.26,0.14999999,72.78807,95.01517001352047,-0.79315424,3.0,95826,100,4.136592925687536,0.60902077,72.78722
2,100,33.25237308416442,18.694483004925974,80,5.89568668260647,1.0,71.0976,532.175,0.14999999,1.9491478,95.01517001352047,-0.44068587,3.0,106435,200,33.25237308416442,73.39624,1.892332
3,100,21.64576470676221,19.67824357220472,80,5.459558533556226,1.0,74.23357,392.03,0.14999999,8.357627,95.01517001352047,-0.9078656,3.0,117609,300,21.64576470676221,75.288574,8.350018
4,100,42.42297437362785,25.364426272560493,80,4.601468617331717,1.0,69.427025,321.82,0.14999999,11.825674,95.01517001352047,-0.551299,3.0,128728,400,42.42297437362785,66.93855,11.8163395
5,100,52.3511054693042,30.761762111909235,80,0.9940176841887072,1.0,49.988544,280.732,0.14999999,32.11805,95.01517001352047,-1.0210667,3.0,140366,500,52.3511054693042,55.122215,32.111473
6,100,80.76440735384568,39.095536318898645,80,0.4848906288306145,1.0,24.42118,262.99833333333333,0.14999999,29.544756,95.01517001352047,-1.671072,3.0,157799,600,80.76440735384568,23.010742,29.52611
7,100,61.29530211829443,42.26693143309805,80,1.860658304589611,1.0,56.64191,242.61,0.14999999,5.822111,95.01517001352047,-0.6215646,3.0,169827,700,61.29530211829443,52.53685,5.764527
8,100,79.22096150540946,46.88618519213696,80,1.0042383156421248,1.0,46.667816,227.5425,0.14999999,3.679811,95.01517001352047,0.19526511,3.0,182034,800,79.22096150540946,46.772324,3.5620239
9,100,72.52700072812974,49.735164696136174,80,0.854689468691885,1.0,43.97858,217.14333333333335,0.14999999,8.821883,95.01517001352047,-0.72831225,3.0,195429,900,72.52700072812974,43.2103,8.586702
10,100,73.80841951484986,52.142490178007534,80,9.893700017351124,1.0,35.168888,209.865,0.14999999,13.832992,95.01517001352047,1.2950892,3.0,209865,1000,73.80841951484986,34.623596,13.343867
11,100,50.76309539793745,52.01709065254663,80,2.3230371602310496,1.0,41.80002,201.2,0.14999999,27.172205,95.01517001352047,-2.350849,3.0,221320,1100,50.76309539793745,47.967464,27.13977
12,100,87.36917078884093,54.963097330571145,80,0.19139625369314403,1.0,18.631844,202.72083333333333,0.14999999,11.710408,95.57437540630585,-1.0236301,3.0,243265,1200,87.36917078884093,20.827694,11.410607
13,100,20.255236405884645,52.29326187482603,80,6.170576864175462,1.0,25.965012,201.92153846153846,0.14999999,3.061708,95.57437540630585,-3.6564398,3.0,262498,1300,20.255236405884645,32.2383,2.3649278
14,100,75.6530563242091,53.96181862121054,80,0.6890667281354291,1.0,25.928162,197.86,0.14999999,18.189974,95.57437540630585,-1.7119161,3.0,277004,1400,75.6530563242091,29.873373,18.188133
15,100,54.846748485521175,54.02081394549791,80,1.4078326908047938,1.0,44.161583,192.20066666666668,0.14999999,46.00478,95.57437540630585,-1.9706701,3.0,288301,1500,54.846748485521175,48.06151,46.003773
16,100,-41.7748247879316,48.03358652465857,80,30.306808621795952,1.0,-4.205462,234.24,0.14999999,123.142044,95.57437540630585,-2.2748525,3.0,374784,1600,-41.7748247879316,2.0577354,123.13305
17,100,-119.66774800766314,38.168802140404345,80,25.06640995499627,1.0,120.07769,226.4505882352941,0.14999999,61.333405,95.57437540630585,-0.7865759,3.0,384966,1700,-119.66774800766314,125.19078,61.32984
18,100,32.11723405220334,37.83260391328207,80,1.0648626109622499,1.0,59.806877,219.84222222222223,0.14999999,14.872451,95.57437540630585,-1.4478567,3.0,395716,1800,32.11723405220334,63.86094,14.872351
19,100,58.6303227931079,38.9272206964308,80,1.121944306638689,1.0,50.220703,214.4678947368421,0.14999999,6.391791,95.57437540630585,-1.393126,3.0,407489,1900,58.6303227931079,48.988586,6.3772507
20,100,52.013310402146026,39.581525181716565,80,1.264686069749117,1.0,53.610962,209.9055,0.14999999,14.352515,95.57437540630585,-0.96223885,3.0,419811,2000,52.013310402146026,55.365837,14.3369055
21,100,67.02790918219033,40.88849584840579,80,0.5099927866630803,1.0,40.79302,205.4752380952381,0.14999999,6.558293,95.57437540630585,-1.6314471,3.0,431498,2100,67.02790918219033,41.02893,6.515669
22,100,82.43404174540993,42.77692975281507,80,0.5552766827761115,1.0,33.322243,203.00636363636363,0.14999999,46.53972,95.57437540630585,-0.884948,3.0,446614,2200,82.43404174540993,34.51326,46.53838
23,100,-26.874411758086676,39.7486105566889,80,0.2985121000786323,1.0,-6.1892796,237.61478260869566,0.14999999,8.60849,95.57437540630585,-1.2381147,3.0,546514,2300,-26.874411758086676,-12.02512,8.567636
24,100,-4.0622851658256955,37.92315656825079,80,0.07364339805186637,1.0,-21.356531,269.33916666666664,0.14999999,0.89504427,95.57437540630585,-0.40043056,3.0,646414,2400,-4.0622851658256955,-20.592754,0.8076277
25,100,-0.6121396983950087,36.38174471758497,80,0.012087925863512556,1.0,-18.46653,298.5256,0.14999999,0.27060947,95.57437540630585,-0.014630437,3.0,746314,2500,-0.6121396983950087,-21.400383,0.26750073
26,100,-0.7777754655749105,34.95253240284804,80,0.01050321459077606,1.0,-24.35638,325.4669230769231,0.14999999,0.20297535,95.57437540630585,-0.05553089,3.0,846214,2600,-0.7777754655749105,-21.132883,0.18861362
