NatGrad2Norm,MountainCar_mu0_higher,ReturnMean,J,VarJ,NumTrajectories,AvgRet,Iteration,MinEpLen,AvgEpLen,StepSize,MountainCar_std0_higher,MountainCar_std1_higher,MountainCar_mu1_higher,ReturnMax,BatchSize,TimestepsSoFar,ActionIn1,NatGradInftyNorm
60.527695,-0.820599,-0.2350053328078783,-0.2350053328078783,12.354630011277008,100,-0.2350053328078783,1,250,942.98,1.0,0.14999999,3.0,0.57150435,97.11067514909502,100,94298,-1.4356786,60.526924
4.4141,-0.5149618,25.18928486636124,50.61357506553037,3.2582878969486297,200,50.61357506553037,2,79,531.83,1.0,0.14999999,3.0,61.098427,97.11067514909502,100,106366,59.016605,4.2419734
2.0803983,0.7056703,38.58725406366204,65.38319245826364,1.1827856233847596,300,65.38319245826364,3,79,384.9,1.0,0.14999999,3.0,65.3404,97.11067514909502,100,115470,67.55523,1.9658844
13.008171,1.3863723,44.28961180285276,61.39668502042495,0.9038701439630569,400,61.39668502042495,4,79,312.4775,1.0,0.14999999,3.0,63.374516,97.11067514909502,100,124991,68.185074,12.979431
59.032787,2.2505999,35.67793796833195,1.231242630248711,119.45164109387613,500,1.231242630248711,5,79,293.892,1.0,0.14999999,3.0,50.395084,97.11067514909502,100,146946,52.710247,58.429283
7.3617887,-6.168954,-3.1787884291244732,-197.46242041640656,45.3547517904764,600,-197.46242041640656,6,79,264.515,1.0,0.14999999,3.0,108.82437,97.11067514909502,100,158709,101.2079,6.9891543
101.151764,-3.8564548,-18.679164392974194,-111.68142017607255,3.874902705139379,700,-111.68142017607255,7,79,242.03,1.0,0.14999999,3.0,101.83522,97.11067514909502,100,169421,95.72566,101.14432
37.44956,-2.628893,-25.610644021292273,-74.13100141951878,20.521528956395127,800,-74.13100141951878,8,79,328.80625,1.0,0.14999999,3.0,0.6909027,97.11067514909502,100,263045,-3.657131,37.363083
1.3748798,-0.08538604,-13.485764021979104,83.5132759725262,0.5825387250153058,900,83.5132759725262,9,79,307.63666666666666,1.0,0.14999999,3.0,38.053986,97.11067514909502,100,276873,36.389816,1.3157915
52.60499,-0.4841181,-4.07290929819669,80.64278321584504,0.6137594590918877,1000,80.64278321584504,10,79,291.365,1.0,0.14999999,3.0,39.369778,97.11067514909502,100,291365,42.376514,52.55957
150.1473,1.701347,-18.85329177472111,-166.65711653996533,10.047273539420834,1100,-166.65711653996533,11,79,355.69545454545454,1.0,0.14999999,3.0,-13.189793,97.11067514909502,100,391265,-13.215025,150.14569
0.82054925,1.0074086,-21.871532913653184,-55.07218544190599,12.180036025135692,1200,-55.07218544190599,12,79,333.145,1.0,0.14999999,3.0,136.9559,97.11067514909502,100,399774,131.46286,0.7362594
62.07449,1.7436681,-24.901224628401106,-61.25752520537616,13.920812966174681,1300,-61.25752520537616,13,79,314.3169230769231,1.0,0.14999999,3.0,137.31815,97.11067514909502,100,408612,136.81459,62.07443
