MountainCar_std1_higher,AvgEpLen,TimestepsSoFar,NatGradInftyNorm,MountainCar_mu0_higher,J,NatGrad2Norm,Iteration,AvgRet,MountainCar_std0_higher,MinEpLen,StepSize,ReturnMean,VarJ,BatchSize,ReturnMax,ActionIn1,MountainCar_mu1_higher,NumTrajectories
3.0,942.98,94298,60.526924,-0.820599,-0.2350053328078783,60.527695,1,-0.2350053328078783,0.14999999,250,0.01,-0.2350053328078783,12.354630011277008,100,97.11067514909502,-1.4356786,0.57150435,100
3.0,934.73,186946,79.74365,-0.8175427,7.972640558242067,79.746574,2,7.972640558242067,0.14999999,250,0.01,3.8688176127170943,17.6958128198147,100,97.11067514909502,-1.207628,1.1767735,200
3.0,922.85,276855,92.12418,-0.8107213,20.782058352921894,92.12438,3,20.782058352921894,0.14999999,250,0.01,9.506564526118694,23.21058994398816,100,97.11067514909502,2.6726437,1.97421,300
3.0,908.62,363448,109.00481,-0.80880046,23.353286850950067,109.004814,4,23.353286850950067,0.14999999,250,0.01,12.968245107326537,24.019636471638005,100,97.11067514909502,5.5108395,2.8954518,400
3.0,887.734,443867,116.01077,-0.80919313,45.370924143705,116.02079,5,45.370924143705,0.14999999,250,0.01,19.448780914602228,26.046690434147177,100,97.11067514909502,3.240867,3.9854999,500
3.0,861.6733333333333,517004,105.22509,-0.79394734,54.2423153063411,105.22809,6,54.2423153063411,0.14999999,250,0.01,25.247703313225376,23.850864655105994,100,97.11067514909502,2.9041412,5.1456075,600
3.0,823.0,576100,125.6484,-0.80189145,71.29059037978513,125.648994,7,71.29059037978513,0.14999999,250,0.01,31.8252586084482,16.631120694581366,100,97.11067514909502,3.1428645,6.1978583,700
3.0,789.88125,631905,84.75192,-0.7980271,76.18355797775158,84.75197,8,76.18355797775158,0.14999999,181,0.01,37.370046029611125,13.303030251481678,100,97.11067514909502,4.9371743,7.4543424,800
3.0,761.3388888888888,685205,34.109108,-0.798901,82.93868252118456,34.109764,9,82.93868252118456,0.14999999,181,0.01,42.433227862008174,7.515717587079125,100,97.11067514909502,5.9241776,8.301862,900
3.0,739.503,739503,3.0020845,-0.7967842,80.3239178208989,3.9345517,10,80.3239178208989,0.14999999,181,0.01,46.22229685789725,10.24017757730618,100,97.12584355624784,11.337023,8.642953,1000
3.0,725.2145454545455,797736,21.022287,-0.7667634,74.91644193141283,21.103886,11,74.91644193141283,0.14999999,181,0.01,48.83085550094412,13.889874840376514,100,97.12584355624784,6.175043,8.6683855,1100
3.0,709.3591666666666,851231,6.464852,-0.7853036,81.03998365481169,6.4832563,12,81.03998365481169,0.14999999,181,0.01,51.51494951376642,9.245200955481641,100,97.12584355624784,1.172405,8.458162,1200
3.0,690.35,897455,70.417946,-0.7901852,87.80714528161033,70.42378,13,87.80714528161033,0.14999999,181,0.01,54.30665688052364,3.5267391535013184,100,97.2082030630896,5.4853916,8.522811,1300
3.0,673.0242857142857,942234,71.889114,-0.7811205,88.44792706868397,71.91043,14,88.44792706868397,0.14999999,181,0.01,56.74531903682081,3.2976544742441405,100,97.2082030630896,12.601956,9.226991,1400
3.0,658.6053333333333,987908,22.006735,-0.76361376,87.75287146785968,22.135422,15,87.75287146785968,0.14999999,181,0.01,58.81248919889007,4.253777566302434,100,97.2082030630896,8.986623,9.945882,1500
3.0,647.148125,1035437,41.1552,-0.73977995,87.71574013928746,41.16502,16,87.71574013928746,0.14999999,180,0.01,60.6189423826649,4.12777992371036,100,97.2082030630896,6.6737523,9.725815,1600
3.0,634.5770588235295,1078781,33.929115,-0.73079,90.60450748955522,33.961555,17,90.60450748955522,0.14999999,180,0.01,62.38279915365846,1.2626871993113087,100,97.2082030630896,11.057402,10.137367,1700
3.0,622.8161111111111,1121069,7.2626967,-0.74563086,86.72795743181872,7.2708435,18,86.72795743181872,0.14999999,180,0.01,63.73530794688958,5.248312008068698,100,97.2082030630896,10.82776,10.476659,1800
3.0,613.4526315789474,1165560,19.125544,-0.7490717,87.64423461292331,19.143219,19,87.64423461292331,0.14999999,178,0.01,64.99367250825976,4.017088013589934,100,97.2082030630896,5.233186,10.549286,1900
3.0,604.1245,1208249,4.6726427,-0.7572961,86.91078278221914,4.7100897,20,86.91078278221914,0.14999999,178,0.01,66.08952802195776,5.228243758648466,100,97.2082030630896,9.128634,10.740541,2000
3.0,594.5133333333333,1248478,28.186367,-0.7513686,89.29081539385352,28.208895,21,89.29081539385352,0.14999999,178,0.01,67.19435123014325,3.2236781346537704,100,97.2082030630896,7.583496,10.693815,2100
3.0,586.7113636363637,1290765,12.497788,-0.7400972,89.02162199781614,12.566265,22,89.02162199781614,0.14999999,178,0.01,68.18649990140112,3.401229763527551,100,97.2082030630896,7.1592607,10.975678,2200
3.0,579.1882608695652,1332133,17.511051,-0.7269964,88.92934613285244,17.527487,23,88.92934613285244,0.14999999,178,0.01,69.08836278102945,3.0708685873947155,100,97.2082030630896,8.723548,10.8507,2300
3.0,571.3554166666667,1371253,10.140898,-0.7345849,91.39056721058742,10.269514,24,91.39056721058742,0.14999999,178,0.01,70.01762129892768,1.0454272608113084,100,97.2082030630896,13.420607,11.025811,2400
3.0,564.7216,1411804,7.458802,-0.7183827,90.40082518105346,7.4589534,25,90.40082518105346,0.14999999,178,0.01,70.83294945421272,2.0909844555896613,100,97.2082030630896,9.830662,11.12722,2500
3.0,558.195,1451307,24.568024,-0.71790814,91.52469823269854,24.568766,26,91.52469823269854,0.14999999,178,0.01,71.62878594569293,1.1178557766138528,100,97.2082030630896,5.9921474,11.052632,2600
3.0,552.7422222222223,1492404,11.556275,-0.71981627,90.84290382231273,11.723579,27,90.84290382231273,0.14999999,178,0.01,72.3404199411233,1.1480698456313276,100,97.2082030630896,14.010793,11.298312,2700
3.0,547.1239285714286,1531947,18.961432,-0.73955154,90.34112795486081,19.128283,28,90.34112795486081,0.14999999,178,0.01,72.98330237018536,2.27469293848974,100,97.2082030630896,6.654852,11.413875,2800
3.0,541.1831034482759,1569431,2.6478112,-0.7143418,90.48930650190336,2.7061033,29,90.48930650190336,0.14999999,178,0.01,73.58695768507218,2.2560871669058065,100,97.2082030630896,11.585875,11.603489,2900
3.0,536.2676666666666,1608803,14.154045,-0.7199283,91.6474965550295,14.16318,30,91.6474965550295,0.14999999,178,0.01,74.1889756474041,1.0884484372384984,100,97.2082030630896,14.224471,11.577011,3000
3.0,530.9006451612903,1645792,14.2844095,-0.7148422,91.81268588823713,14.396961,31,91.81268588823713,0.14999999,178,0.01,74.75748242936645,1.14397863525319,100,97.2082030630896,10.296974,11.435471,3100
3.0,526.606875,1685142,37.217712,-0.6968752,92.98357338608815,37.236835,32,92.98357338608815,0.14999999,178,0.01,75.327047771764,0.06487942097175058,100,97.67776798680943,10.167208,11.578315,3200
3.0,522.709090909091,1724940,9.555858,-0.68494225,91.51653081585722,9.556043,33,91.51653081585722,0.14999999,178,0.01,75.81763816703956,1.1741062367600383,100,98.53624147891328,12.822822,11.206138,3300
3.0,519.2417647058824,1765422,34.916355,-0.6843481,91.64648731941878,34.91651,34,91.64648731941878,0.14999999,178,0.01,76.28319255387424,1.1622637663947208,100,98.53624147891328,7.7843566,11.301696,3400
3.0,516.1271428571429,1806445,22.007757,-0.6833047,89.75336563751326,22.077045,35,89.75336563751326,0.14999999,178,0.01,76.66805464197822,3.1615956134607672,100,98.53624147891328,14.326196,10.952532,3500
3.0,512.9405555555555,1846586,2.677447,-0.66582733,91.01320084568555,2.6812594,36,91.01320084568555,0.14999999,178,0.01,77.06653092541453,2.271963724604656,100,98.53624147891328,14.340823,11.172609,3600
3.0,509.4137837837838,1884831,48.410606,-0.6672566,92.26858656061057,48.42636,37,92.26858656061057,0.14999999,178,0.01,77.47739729393334,1.1593402343390762,100,98.53624147891328,12.2885685,11.145835,3700
3.0,506.2581578947368,1923781,18.062456,-0.65490544,89.34084208972999,18.160019,38,89.34084208972999,0.14999999,178,0.01,77.78959320961219,4.411152872541787,100,98.53624147891328,14.062887,11.629941,3800
3.0,503.2430769230769,1962648,20.571453,-0.63610655,91.45636740750535,20.597734,39,91.45636740750535,0.14999999,178,0.01,78.14002331725048,2.1179466529074964,100,98.53624147891328,11.426884,11.449316,3900
3.0,500.19025,2000761,48.84479,-0.6257047,91.72196693976957,48.85673,40,91.72196693976957,0.14999999,178,0.01,78.47957190781345,2.1717475564071553,100,98.53624147891328,11.322399,11.65503,4000
3.0,497.27365853658534,2038822,12.474374,-0.61490417,92.89472141386945,12.589634,41,92.89472141386945,0.14999999,115,0.01,78.83116092015628,1.014843451952293,100,98.53624147891328,9.510161,12.143478,4100
3.0,494.04785714285714,2075001,5.236815,-0.5979075,93.7324191269432,5.2670965,42,93.7324191269432,0.14999999,115,0.01,79.18595278222264,0.035552882244067975,100,98.53624147891328,12.639293,12.018735,4200
3.0,491.85,2114955,31.674545,-0.6035473,91.39048797985994,31.680399,43,91.39048797985994,0.14999999,115,0.01,79.46977918216768,2.3039612290696194,100,98.53624147891328,11.769145,12.071103,4300
3.0,489.7993181818182,2155117,6.51121,-0.60963696,92.88463632031036,6.941786,44,92.88463632031036,0.14999999,115,0.01,79.77466229894368,0.9812356677908973,100,98.53624147891328,15.927529,11.754357,4400
3.0,487.90133333333335,2195556,48.35313,-0.58556926,91.73965010239276,48.35458,45,91.73965010239276,0.14999999,115,0.01,80.04055091679808,2.098095969605121,100,98.53624147891328,12.777406,11.819469,4500
3.0,486.42869565217393,2237572,34.976116,-0.58931285,90.8077059021351,34.985153,46,90.8077059021351,0.14999999,115,0.01,80.27461950343586,3.1019071709297,100,98.53624147891328,10.405695,11.335938,4600
3.0,484.71531914893615,2278162,3.1557581,-0.58136255,92.07834563032246,3.4427197,47,92.07834563032246,0.14999999,115,0.01,80.52576261251853,2.2599065459371923,100,98.53624147891328,5.862918,10.986177,4700
