ReturnMean,AvgRet,ReturnMax,ActionIn1,StepSize,MountainCar_std1_higher,MountainCar_std0_higher,NumTrajectories,J,NatGradInftyNorm,TimestepsSoFar,MountainCar_mu1_higher,MountainCar_mu0_higher,VarJ,AvgEpLen,BatchSize,MinEpLen,NatGrad2Norm,Iteration
-4.381082875814794e+23,-5.696273104220133e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2000,-5.696273104220133e+23,,1258695,3538974400000.0,108653535000.0,1.3871405457706182e+45,629.3475,100,78,,20
-4.480736207494553e+23,-6.473802841089733e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2100,-6.473802841089733e+23,,1327409,3538974400000.0,108653535000.0,1.296766676502787e+45,632.0995238095238,100,78,,21
-4.557394908170726e+23,-6.16722762237037e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2200,-6.16722762237037e+23,,1389888,3538974400000.0,108653535000.0,1.4911594375200063e+45,631.7672727272727,100,78,,22
-4.632475012595244e+23,-6.284237309934633e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2300,-6.284237309934633e+23,,1456786,3538974400000.0,108653535000.0,1.2909736721803395e+45,633.3852173913043,100,78,,23
-4.696966966156443e+23,-6.180281898064038e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2400,-6.180281898064038e+23,,1521037,3538974400000.0,108653535000.0,1.4130786655053643e+45,633.7654166666666,100,78,,24
-4.747233607648452e+23,-5.953633003456668e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2500,-5.953633003456668e+23,,1582600,3538974400000.0,108653535000.0,1.4135038045619313e+45,633.04,100,78,,25
-4.805762888262518e+23,-6.268994903614157e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2600,-6.268994903614157e+23,,1647727,3538974400000.0,108653535000.0,1.3575891154111264e+45,633.7411538461538,100,78,,26
-4.834606041602417e+23,-5.5845280284397995e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2700,-5.5845280284397995e+23,,1704829,3538974400000.0,108653535000.0,1.4548503099165767e+45,631.4181481481481,100,78,,27
-4.854104839776187e+23,-5.3805723904679745e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2800,-5.3805723904679745e+23,,1760167,3538974400000.0,108653535000.0,1.4218174868241107e+45,628.6310714285714,100,78,,28
-4.904643534783299e+23,-6.319726994982443e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,2900,-6.319726994982443e+23,,1827098,3538974400000.0,108653535000.0,1.308066314647281e+45,630.0337931034483,100,78,,29
-4.9753696052012084e+23,-7.026425647320586e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3000,-7.026425647320586e+23,,1902031,3538974400000.0,108653535000.0,1.1523017757300943e+45,634.0103333333333,100,78,,30
-4.997230406232981e+23,-5.653054437186132e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3100,-5.653054437186132e+23,,1960047,3538974400000.0,108653535000.0,1.4355916718007727e+45,632.2732258064516,100,78,,31
-5.0328611614054515e+23,-6.137414571752057e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3200,-6.137414571752057e+23,,2026044,3538974400000.0,108653535000.0,1.2311790323416573e+45,633.13875,100,78,,32
-5.056314552508528e+23,-5.806823067806938e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3300,-5.806823067806938e+23,,2087607,3538974400000.0,108653535000.0,1.3321849017868727e+45,632.6081818181818,100,78,,33
-5.070868839851937e+23,-5.5511603221844655e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3400,-5.5511603221844655e+23,,2145595,3538974400000.0,108653535000.0,1.3735234539159137e+45,631.0573529411764,100,78,,34
-5.104418342030941e+23,-6.245101416117064e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3500,-6.245101416117064e+23,,2210718,3538974400000.0,108653535000.0,1.389807849907239e+45,631.6337142857143,100,78,,35
-5.116286804318242e+23,-5.531682984373775e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3600,-5.531682984373775e+23,,2269624,3538974400000.0,108653535000.0,1.2846200542388253e+45,630.4511111111111,100,78,,36
-5.1375158949003306e+23,-5.901763155855535e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3700,-5.901763155855535e+23,,2332045,3538974400000.0,108653535000.0,1.3369872891999761e+45,630.2824324324324,100,78,,37
-5.1675120973166904e+23,-6.27737158672199e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3800,-6.27737158672199e+23,,2398053,3538974400000.0,108653535000.0,1.3450500253393337e+45,631.0665789473684,100,78,,38
-5.193983949982464e+23,-6.199914351281865e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,3900,-6.199914351281865e+23,,2463190,3538974400000.0,108653535000.0,1.3662908632902617e+45,631.5871794871795,100,78,,39
-5.207638009250689e+23,-5.740146320711479e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4000,-5.740146320711479e+23,,2522990,3538974400000.0,108653535000.0,1.4018140775496354e+45,630.7475,100,78,,40
-5.214284526252972e+23,-5.480145206344297e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4100,-5.480145206344297e+23,,2580096,3538974400000.0,108653535000.0,1.3371615844174914e+45,629.2917073170731,100,78,,41
-5.2261782697371635e+23,-5.713821752589014e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4200,-5.713821752589014e+23,,2638950,3538974400000.0,108653535000.0,1.4233544612610784e+45,628.3214285714286,100,78,,42
-5.245281561978127e+23,-6.047619836098621e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4300,-6.047619836098621e+23,,2702296,3538974400000.0,108653535000.0,1.3823644560528006e+45,628.4409302325581,100,78,,43
-5.25180750226252e+23,-5.532422934491387e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4400,-5.532422934491387e+23,,2759408,3538974400000.0,108653535000.0,1.4098647065071906e+45,627.1381818181818,100,78,,44
-5.26799097075e+23,-5.980063584199103e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4500,-5.980063584199103e+23,,2820996,3538974400000.0,108653535000.0,1.4523516272586368e+45,626.888,100,78,,45
-5.2766454632408035e+23,-5.666097625326982e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4600,-5.666097625326982e+23,,2880799,3538974400000.0,108653535000.0,1.3740033103002774e+45,626.2606521739131,100,78,,46
-5.3020928676053084e+23,-6.472673468372527e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4700,-6.472673468372527e+23,,2948595,3538974400000.0,108653535000.0,1.3230958915406864e+45,627.3606382978724,100,78,,47
-5.325565688797282e+23,-6.428788284820003e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4800,-6.428788284820003e+23,,3017282,3538974400000.0,108653535000.0,1.2818945835891711e+45,628.6004166666667,100,78,,48
-5.3320150073964685e+23,-5.641582300157439e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,4900,-5.641582300157439e+23,,3074400,3538974400000.0,108653535000.0,1.458998035928318e+45,627.4285714285714,100,78,,49
-5.337647636735675e+23,-5.613646474356803e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,5000,-5.613646474356803e+23,,3132395,3538974400000.0,108653535000.0,1.4161647677163262e+45,626.479,100,78,,50
