MinEpLen,MountainCar_mu0_higher,MountainCar_std1_higher,Iteration,StepSize,AvgRet,J,NumTrajectories,TimestepsSoFar,AvgEpLen,NatGrad2Norm,ActionIn1,MountainCar_mu1_higher,BatchSize,MountainCar_std0_higher,ReturnMax,VarJ,NatGradInftyNorm,ReturnMean
80,26707320000.0,3.0,27,2.0,-4.9652277537501465e+22,-4.9652277537501465e+22,2700,1878843,695.8677777777777,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.63712291007308e+41,,-1.8357778102810346e+22
80,26707320000.0,3.0,28,2.0,-4.883462246993841e+22,-4.883462246993841e+22,2800,1978743,706.6939285714286,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.3929485794628702e+41,,-1.944623683020778e+22
80,26707320000.0,3.0,29,2.0,-4.963425278115294e+22,-4.963425278115294e+22,2900,2078643,716.773448275862,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.578946934725024e+41,,-2.0487202897481746e+22
80,26707320000.0,3.0,30,2.0,-4.872884797607321e+22,-4.872884797607321e+22,3000,2178543,726.181,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.333468292967992e+41,,-2.1428591066768134e+22
80,26707320000.0,3.0,31,2.0,-4.901255624316529e+22,-4.901255624316529e+22,3100,2278443,734.9816129032258,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.4790885255347925e+41,,-2.2318396395039008e+22
80,26707320000.0,3.0,32,2.0,-4.897512772396741e+22,-4.897512772396741e+22,3200,2378343,743.2321875,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.561321462733799e+41,,-2.315141924906802e+22
80,26707320000.0,3.0,33,2.0,-4.932461839164553e+22,-4.932461839164553e+22,3300,2478243,750.9827272727273,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.977760133891154e+41,,-2.394454649581279e+22
80,26707320000.0,3.0,34,2.0,-4.9315306976590806e+22,-4.9315306976590806e+22,3400,2578143,758.2773529411764,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.664404633752005e+41,,-2.4690745333482732e+22
80,26707320000.0,3.0,35,2.0,-5.077958967191322e+22,-5.077958967191322e+22,3500,2678043,765.1551428571429,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.8537627001789906e+41,,-2.543614088600932e+22
80,26707320000.0,3.0,36,2.0,-4.95232597784675e+22,-4.95232597784675e+22,3600,2777943,771.6508333333334,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.040914366316273e+41,,-2.6105227521910936e+22
80,26707320000.0,3.0,37,2.0,-5.053488169749872e+22,-5.053488169749872e+22,3700,2877843,777.7954054054054,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.1243655116036984e+41,,-2.6765488445575473e+22
80,26707320000.0,3.0,38,2.0,-4.8349061437861134e+22,-4.8349061437861134e+22,3800,2977743,783.6165789473685,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.4488769349048634e+41,,-2.7333477208530363e+22
80,26707320000.0,3.0,39,2.0,-4.917720027609826e+22,-4.917720027609826e+22,3900,3077643,789.1392307692307,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.9880822142158585e+41,,-2.789357267180133e+22
80,26707320000.0,3.0,40,2.0,-4.8063732749007766e+22,-4.8063732749007766e+22,4000,3177543,794.38575,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.164774310762687e+41,,-2.8397826673731487e+22
80,26707320000.0,3.0,41,2.0,-4.901818155525832e+22,-4.901818155525832e+22,4100,3277443,799.3763414634146,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.159539873045591e+41,,-2.8900762158646778e+22
80,26707320000.0,3.0,42,2.0,-4.878284094936806e+22,-4.878284094936806e+22,4200,3377343,804.1292857142857,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.148817568219996e+41,,-2.937414498699729e+22
80,26707320000.0,3.0,43,2.0,-4.85269301556255e+22,-4.85269301556255e+22,4300,3477243,808.6611627906976,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.0297465647817375e+41,,-2.9819558595570038e+22
80,26707320000.0,3.0,44,2.0,-4.856777017307171e+22,-4.856777017307171e+22,4400,3577143,812.9870454545454,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.4356610633931425e+41,,-3.024565431324053e+22
80,26707320000.0,3.0,45,2.0,-4.815671087844227e+22,-4.815671087844227e+22,4500,3677043,817.1206666666667,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.041419004881566e+41,,-3.064367779246723e+22
80,26707320000.0,3.0,46,2.0,-4.804272887001862e+22,-4.804272887001862e+22,4600,3776943,821.0745652173913,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,2.931113074818467e+41,,-3.1021918033283566e+22
80,26707320000.0,3.0,47,2.0,-5.060357091059164e+22,-5.060357091059164e+22,4700,3876843,824.8602127659575,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.134617765718615e+41,,-3.1438548945566714e+22
80,26707320000.0,3.0,48,2.0,-4.844808336606427e+22,-4.844808336606427e+22,4800,3976743,828.488125,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,2.773737792521323e+41,,-3.179291424599375e+22
80,26707320000.0,3.0,49,2.0,-4.936430544897912e+22,-4.936430544897912e+22,4900,4076643,831.9679591836734,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.826288287097419e+41,,-3.215151406646284e+22
80,26707320000.0,3.0,50,2.0,-4.867072469210448e+22,-4.867072469210448e+22,5000,4176543,835.3086,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.8677069159473325e+41,,-3.248189827897567e+22
