MountainCar_mu0_higher,MountainCar_std1_higher,VarJ,StepSize,ReturnMean,BatchSize,MountainCar_mu1_higher,ActionIn1,NatGrad2Norm,ReturnMax,MinEpLen,AvgEpLen,J,AvgRet,Iteration,NatGradInftyNorm,TimestepsSoFar,NumTrajectories,MountainCar_std0_higher
-0.4416444,3.0,7.636932069388685,0.001,3.3445961042274117,100,-0.8971903,8.738399,47.275517,98.16498803872072,446,980.88,3.3445961042274117,3.3445961042274117,1,47.26557,98088,100,0.14999999
-0.44067466,3.0,5.723465228586729,0.001,2.019434416836325,100,-0.8499247,-0.3785634,35.833736,98.16498803872072,446,981.285,0.6942727294452381,0.6942727294452381,2,35.831852,196257,200,0.14999999
-0.44030705,3.0,8.12012271063758,0.001,2.598374706684488,100,-0.8140928,-1.5148683,42.80724,98.16498803872072,446,983.7333333333333,3.7562552863808145,3.7562552863808145,3,42.807182,295120,300,0.14999999
-0.44023672,3.0,9.95499497417182,0.001,3.582484323210274,100,-0.77128565,4.6707563,59.474915,98.29483499721151,446,979.6875,6.534813172787629,6.534813172787629,4,59.473255,391875,400,0.14999999
-0.43979263,3.0,4.113282671369716,0.001,2.6268581831732325,100,-0.7118124,-5.769067,25.338476,98.29483499721151,446,980.924,-1.1956463769749301,-1.1956463769749301,5,25.325127,490462,500,0.14999999
-0.43897024,3.0,6.740469010873218,0.001,2.6114652116265478,100,-0.68648726,-2.7516572,38.61319,98.29483499721151,416,980.0466666666666,2.5345003538931206,2.5345003538931206,6,38.609997,588028,600,0.14999999
-0.43847364,3.0,4.0828251414588435,0.001,2.0896891216385223,100,-0.6478773,-1.5335435,26.558792,99.33517828860067,416,981.8957142857142,-1.0409674182896322,-1.0409674182896322,7,26.539854,687327,700,0.14999999
-0.43747085,3.0,5.836099982750998,0.001,1.9540379652403623,100,-0.6213374,0.6043378,35.35162,99.33517828860067,416,981.84,1.0044798704532456,1.0044798704532456,8,35.346733,785472,800,0.14999999
-0.4368831,3.0,13.572297630466332,0.001,2.956493060556263,100,-0.58599067,0.70555,78.52439,99.33517828860067,416,979.5133333333333,10.976133823083465,10.976133823083465,9,78.523384,881562,900,0.14999999
-0.43648487,3.0,8.152776515287083,0.001,3.0675632088824485,100,-0.50746727,-2.312943,43.970173,99.33517828860067,416,978.601,4.06719454381812,4.06719454381812,10,43.96743,978601,1000,0.14999999
-0.43697593,3.0,5.792470897993059,0.001,2.8879525264956847,100,-0.46349984,1.1029329,25.836868,99.33517828860067,416,979.5754545454546,1.0918457026280537,1.0918457026280537,11,25.83012,1077533,1100,0.14999999
-0.43638548,3.0,8.442546046011183,0.001,2.9786671033621297,100,-0.43766972,-1.5891162,42.209454,99.33517828860067,416,979.5275,3.976527448893018,3.976527448893018,12,42.203465,1175433,1200,0.14999999
