IWMin,LQGmu1_actor,LQGmu1_higher,Bound,ReturnStepMax,IWMax,TimestepsSoFar,ReturnMean,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMax,IWMean,DenMISELogLast,delta,ReturnMin,IWLastEpisode,LQGsigma_higher,ReturnAbsMax,IWFirstEpisode,Iteration,DenMISEMeanLog
,0.89104277,0.8989899,733.44965,19.197708,28.1512,500,11.245816,-1.4777008,797.2476470470428,7.140627,17.409239,2.1152027,-0.2408828,9.726833e-07,,,0.025304638,17.409239,,25,-0.29842088
,-0.41110858,-0.3939394,734.7881,19.197708,1.4170425,520,10.885438,-1.5169216,831.8156187534332,1.8759481,17.409239,0.054501634,0.2504348,8.993004e-07,,,0.01831564,17.409239,,26,-0.2535058
,0.39952898,0.3939394,734.13385,19.197708,0.018096361,540,11.125457,-1.5546619,866.0711822509766,17.36595,17.409239,0.0006704654,-0.541461,8.3391916e-07,,,0.01831564,17.409239,,27,-0.29854786
,-0.33256307,-0.33333334,729.531,19.197708,0.004715033,560,11.001381,-1.5910295,898.4746496677399,7.651337,17.409239,0.00016844466,-0.26886603,7.754171e-07,,,0.01831564,17.409239,5.929199e-28,28,-0.3325326
,0.33930278,0.33333334,729.92694,19.197708,0.043021504,580,11.216362,-1.6261209,934.1498939990997,17.235826,17.409239,0.0014835001,-0.26637685,7.2286224e-07,,,0.01831564,17.409239,,29,-0.36412686
,-0.07073739,-0.09090909,729.8792,19.197708,30.413076,600,11.1110325,-1.6600224,966.6282427310944,8.056467,17.409239,1.0219012,-0.3431121,6.754746e-07,,,0.01831564,17.409239,30.413076,30,-0.39614847
,-0.2678715,-0.27272728,728.0255,19.197708,0.14627531,620,11.248088,-0.99280405,999.2274031639099,15.359787,17.409239,0.0047185584,-0.9263489,6.325984e-07,,2.1396245e-25,0.01831564,17.409239,6.5474807e-14,31,-0.4221416
,0.25398892,0.27272728,728.40576,19.197708,0.04426623,640,11.431057,-1.0245527,1033.861391544342,17.103106,17.409239,0.0013833197,-0.39999914,5.936788e-07,,,0.01831564,17.409239,,32,-0.45205912
,0.20991197,0.21212122,725.7687,19.197708,3.9650357,660,11.342762,-1.0553243,1065.6703164577484,8.517308,17.409239,0.12015259,-0.9091211,5.582434e-07,,3.9650357,0.01831564,17.409239,,33,-0.49570674
,-0.22987276,-0.21212122,727.10223,19.197708,0.33592638,680,11.265136,-1.0851773,1098.356616973877,8.703474,17.409239,0.011953664,-0.43190736,5.258885e-07,,,0.01831564,17.409239,0.0002534164,34,-0.51946807
