LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
-0.66237897,-0.57575756,19.184929,86.78172,131.90948,,12.551090478897095,17.395481,24,2.4995271e-11,5.496228,-0.8112364,11.853772,4.1461563,0.6674599,0.14999999,17.395481,480,-0.8730636,0.112217814,1.055429e-06,-0.6496425,,6.7356377
-1.2520101,-0.83838385,19.184929,83.549,131.87738,,13.072481155395508,17.395481,25,2.7194586,5.275096,-0.7106452,12.074904,5.3755374,1.2063595,0.14999999,17.395481,500,-0.8803187,0.00019939503,9.726833e-07,-0.6857997,,17.382097
-0.7781748,-1.0,19.184929,81.92579,132.03378,,13.602455139160156,17.395481,26,8.159486,5.0782223,-2.532313,12.271778,8.159486,1.3193219,0.14999999,17.395481,520,-0.93862224,8.971107e-07,8.993004e-07,-0.7250124,,17.193598
0.6588948,0.75757575,19.184929,81.034386,132.02881,,14.133684158325195,17.395481,27,7.892387e-23,4.8899555,-0.5400453,12.460045,7.0153313,0.7158413,0.14999999,17.395481,540,-0.9161177,4.031091e-08,8.3391916e-07,-0.7627527,,17.354994
0.046944417,0.07070707,19.184929,79.543755,144.22684,,14.665349245071411,17.395481,28,0.0029453868,5.150958,-0.88240993,12.199042,6.70527,0.866253,0.14999999,17.395481,560,-0.92616683,1.7859871,7.754171e-07,-0.79912037,,5.151938
-0.38176748,-0.41414142,19.184929,79.17272,152.47614,,15.202597618103027,17.395481,29,0.05116197,5.2577972,-0.77350795,12.092203,5.8091784,0.861625,0.14999999,17.395481,580,-0.9271563,1.3926284,7.2286224e-07,-0.77237815,,9.100705
0.5150486,0.37373737,19.184929,76.641945,152.56354,,15.737549304962158,17.395481,30,1.6383941e-05,5.085452,-0.68677926,12.264548,7.158192,1.10879,0.14999999,17.395481,600,-0.9251265,0.0097881565,6.754746e-07,-0.75937545,,17.262613
-0.7622505,-0.67676765,19.184929,76.65278,163.22415,,16.273175477981567,17.395481,31,1.23121e-13,5.265294,-0.86123943,12.084706,5.65732,0.95922095,0.14999999,17.395481,620,-0.92166907,0.01605102,6.325984e-07,-0.79183906,,6.6894155
-0.23232819,-0.1919192,19.184929,76.06228,163.2081,,16.810450077056885,17.395481,32,0.003446849,5.100253,-0.57991916,12.249747,5.933246,1.0160306,0.14999999,17.395481,640,-0.9135641,5.933246,5.936788e-07,-0.8230701,,17.366034
1.1874098,1.0,19.184929,73.27248,163.47891,,17.349070072174072,17.395481,33,1.1337803e-14,4.953907,-0.658579,12.396093,14.19504,0.9251568,0.14999999,17.395481,660,-0.90663195,5.055134e-13,5.582434e-07,-0.68374974,,17.07917
