LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
0.99314815,1.0,17.285246,35317365000000.0,1.7514,,0.09959125518798828,15.5986,1,1.4843447e-12,1.7514,0.9770609,15.5986,1.4843447e-12,1.4843447e-12,0.14999999,15.5986,20,0.9770609,1.4843447e-12,0.0006079271,0.9770609,,15.5986
-0.85330135,-1.0,17.285246,5307056000.0,18.97706,,0.8139078617095947,15.5986,2,,9.48853,0.283991,7.86147,4.0465515e-08,2.0232758e-08,0.14999999,15.5986,40,0.2839524,4.0465515e-08,0.00015198177,0.28391376,,0.12434003
0.7290187,0.45454547,19.10612,54438.03,19.009495,,1.3703911304473877,17.317568,3,1.5036701e-16,6.3364973,-0.5986588,11.013503,0.0047631157,0.0024915908,0.14999999,17.317568,60,-0.28056142,0.002711657,6.754746e-05,-0.121551335,,17.317568
-0.63531756,-0.5555556,19.10612,6078.959,32.093674,,2.0758883953094482,17.317568,4,1.2399567e-15,8.023418,-1.3677015,9.326582,0.8998436,0.23642048,0.14999999,17.317568,80,-0.7674855,0.045838363,3.7995444e-05,-0.40832993,,4.265819
0.3422315,0.17171717,19.175789,387.8275,32.05597,,2.6056268215179443,17.387705,5,2.8088702e-06,6.411194,-0.71253735,10.938807,0.8787228,0.1783714,0.14999999,17.387705,100,-0.89215004,0.8787228,2.4317082e-05,-0.62007904,,17.387705
0.73637384,0.7171717,19.175789,378.6598,41.367683,,3.1202704906463623,17.387705,6,0.20414284,6.8946133,-0.5568872,10.455387,15.574063,2.813658,0.14999999,17.387705,120,-0.96078664,1.3991246e-06,1.6886865e-05,-0.640499,,8.038294
-0.7078321,-0.7777778,19.175789,248.49452,54.549988,,3.8893074989318848,17.387705,7,3.7991382e-22,7.7928553,-0.64760953,9.557145,8.1212,1.851139,0.14999999,17.387705,140,-0.8364545,0.00026843793,1.2406674e-05,-0.7946494,,4.1676874
-0.42688814,-0.33333334,19.181335,237.00525,54.507645,,4.762821197509766,17.392344,8,0.21551773,6.8134556,-0.6037585,10.536545,2.1575356,0.3826991,0.14999999,17.392344,160,-0.76226944,2.1575356,9.498861e-06,-0.9281425,,17.392344
-0.6468402,-0.67676765,19.181335,124.338135,54.502304,,5.372832536697388,17.392344,9,1.3421279,6.055811,-0.7036253,11.294189,5.2158146,1.6030126,0.14999999,17.392344,180,-0.82177836,0.004399666,7.505273e-06,-0.8071512,,17.355341
0.31616887,0.3131313,19.191212,122.36759,54.450157,,5.872982740402222,17.402142,10,4.7810413e-09,5.445016,-0.34199873,11.904984,7.341835,0.7763597,0.14999999,17.402142,200,-0.73731315,0.13079384,6.0792704e-06,-0.912023,,17.402142
0.7840807,0.85858583,19.191212,121.41478,63.605644,,6.403107404708862,17.402142,11,0.006827307,5.7823315,-0.5731311,11.567669,6.2095127,1.5713435,0.14999999,17.402142,220,-0.75517696,7.188112e-09,5.0241906e-06,-0.99433863,,8.194527
-0.053040747,0.01010101,19.191212,119.97569,77.44838,,6.933423280715942,17.402142,12,8.858152e-06,6.454031,-0.69974923,10.895969,5.7792854,0.5797326,0.14999999,17.402142,240,-0.72501945,5.7792854,4.221716e-06,-1.08135,,3.5072715
-0.53721577,-0.43434343,19.191212,112.902756,80.208206,,7.465160369873047,17.402142,13,0.21184313,6.169862,-0.70083696,11.180139,6.6983323,0.9438133,0.14999999,17.402142,260,-0.75941616,0.53084886,3.5972016e-06,-0.76826525,,14.590163
0.7084648,0.5959596,19.191212,112.629875,80.23103,,8.005810499191284,17.402142,14,1.8112594e-12,5.730788,-0.52007645,11.619212,4.5175953,1.0182536,0.14999999,17.402142,280,-0.7524644,0.0001006576,3.1016684e-06,-0.8023504,,17.327185
-0.8112695,-0.8989899,19.191212,109.821785,93.04619,,8.551049947738647,17.402142,15,6.229754e-25,6.203079,-0.7067754,11.146921,6.6196227,0.7663531,0.14999999,17.402142,300,-0.7530819,5.6391495e-06,2.7018984e-06,-0.8713361,,4.534824
0.15024534,-0.21212122,19.191212,106.578606,93.06943,,9.087996244430542,17.402142,16,0.0017035874,5.816839,-0.62410414,11.533161,5.306653,0.72760797,0.14999999,17.402142,320,-0.76339304,5.306653,2.3747152e-06,-0.9358742,,17.326761
-0.5573363,-0.65656567,19.191212,98.3638,101.520325,,9.624826431274414,17.402142,17,3.361829e-06,5.9717836,-0.88421625,11.378217,5.1469383,1.5231715,0.14999999,17.402142,340,-0.78921634,0.0065986183,2.103554e-06,-0.7100682,,8.899128
0.78955954,1.0,19.191212,93.41054,101.48804,,10.161921977996826,17.402142,18,1.7291568e-23,5.6382236,-0.5054777,11.711777,9.547285,0.8644964,0.14999999,17.402142,360,-0.7516681,8.489854e-12,1.8763183e-06,-0.76683855,,17.382275
0.48505193,0.13131313,19.191212,92.51335,115.40924,,10.701338529586792,17.402142,19,0.00040851405,6.074171,-0.8474636,11.275829,7.1396093,0.9394364,0.14999999,17.402142,380,-0.7687213,1.7090666,1.6840087e-06,-0.82090575,,3.4287734
-1.0266807,-1.0,19.191212,90.12426,125.79669,,11.241814136505127,17.402142,20,3.7222344e-21,6.289835,-0.9902867,11.060165,3.5009737,0.36146647,0.14999999,17.402142,400,-0.7862868,1.17970046e-07,1.5198176e-06,-0.7860664,,6.9625525
-0.51752996,-0.5151515,19.191212,88.82982,125.949265,,11.78568434715271,17.402142,21,0.020620994,5.9975843,-0.95508736,11.352416,5.172024,1.1998463,0.14999999,17.402142,420,-0.82458335,0.15151384,1.3785193e-06,-0.83485657,,17.19743
0.40811643,0.41414142,19.201422,88.98196,125.88568,,12.327925205230713,17.413588,22,1.8694895e-08,5.7220764,-0.51595044,11.627924,7.0430293,1.0878161,0.14999999,17.413588,440,-0.8050833,0.015218128,1.2560477e-06,-0.8741876,,17.413588
0.8132119,0.7373737,19.201422,85.74512,135.64752,,12.882967233657837,17.413588,23,0.5352408,5.8977175,-0.8058993,11.452283,7.486787,1.7630725,0.14999999,17.413588,460,-0.8052199,8.7296513e-07,1.1492007e-06,-0.9179478,,7.588191
-0.84309894,-0.7979798,19.201422,84.39617,149.91388,,13.434877634048462,17.413588,24,5.2904927e-25,6.2464113,-0.8106331,11.103589,5.4252224,1.0955817,0.14999999,17.413588,480,-0.7816288,0.00017195483,1.055429e-06,-0.9605074,,3.083622
-0.12968378,-0.13131313,19.201422,83.02613,149.93927,,13.988580465316772,17.413588,25,6.156656e-05,5.997571,-0.5850721,11.352429,7.1454544,0.63192564,0.14999999,17.413588,500,-0.7722151,7.1454544,9.726833e-07,-1.0013223,,17.324604
-0.27696112,-0.35353535,19.201422,79.50383,150.81125,,14.526981592178345,17.413588,26,1.9235045,5.800433,-0.78951234,11.549567,4.9657984,0.6969194,0.14999999,17.413588,520,-0.78868634,1.5185804,8.993004e-07,-0.78914773,,16.478043
-1.055219,-1.0,19.201422,77.9375,151.12369,,15.075650930404663,17.413588,27,4.718721e-05,5.5971737,-0.6778817,11.752827,7.923859,0.6581348,0.14999999,17.413588,540,-0.7963557,1.1610421e-07,8.3391916e-07,-0.7701232,,17.037563
0.19262649,0.27272728,19.201422,77.67725,151.2797,,15.624052286148071,17.413588,28,6.9230167e-17,5.4028463,-1.0003116,11.947154,6.8104534,0.9559449,0.14999999,17.413588,560,-0.81706893,0.24139583,7.754171e-07,-0.8064908,,17.19398
-0.19918153,-0.5959596,19.201422,77.32657,159.86288,,16.175469398498535,17.413588,29,5.9704603e-06,5.512513,-0.81242144,11.837487,4.8700147,1.2075318,0.14999999,17.413588,580,-0.8205636,0.03021101,7.2286224e-07,-0.8329978,,8.766826
0.031044431,-0.01010101,19.201422,78.126,160.47018,,16.72903823852539,17.413588,30,2.714541,5.3490067,-0.814918,12.000994,6.2266283,0.9039382,0.14999999,17.413588,600,-0.8153911,5.1292057,6.754746e-07,-0.86585814,,16.742676
0.5659369,0.57575756,19.201422,76.82282,168.70493,,17.279479503631592,17.413588,31,0.007707102,5.442094,-0.7498151,11.907907,6.001336,1.1361147,0.14999999,17.413588,620,-0.81769586,0.00017633288,6.325984e-07,-0.7408125,,9.115297
-0.15443406,-0.23232323,19.201422,74.955025,179.86633,,17.833056926727295,17.413588,32,4.4652675e-06,5.620823,-0.8630662,11.729177,5.7351108,0.8993789,0.14999999,17.413588,640,-0.816453,4.0644517,5.936788e-07,-0.7725555,,6.188573
0.8466911,1.0,19.201422,74.69385,180.86017,,18.387845039367676,17.413588,33,7.1160975e-13,5.480612,-0.6665303,11.869389,10.50714,0.7135267,0.14999999,17.413588,660,-0.8160799,7.813005e-12,5.582434e-07,-0.6837554,,16.356106
-0.64049405,-0.8181818,19.201422,73.26048,195.63257,,18.952238082885742,17.413588,34,1.2775153e-26,5.7538986,-0.99512607,11.596102,5.517779,0.98936564,0.14999999,17.413588,680,-0.8309865,7.158921e-05,5.258885e-07,-0.7136083,,2.5776567
-0.5967616,-0.4949495,19.201422,70.54607,195.58511,,19.514642000198364,17.413588,35,2.9844031,5.588146,-0.58595663,11.761854,5.031546,0.9923251,0.14999999,17.413588,700,-0.8254143,0.1974963,4.9626703e-07,-0.74259377,,17.39743
0.6479942,0.7979798,19.201422,70.333084,195.54327,,20.07311487197876,17.413588,36,7.579431e-19,5.431757,-0.5271072,11.918243,7.5248985,1.565745,0.14999999,17.413588,720,-0.81828797,7.1007136e-08,4.6907957e-07,-0.76513773,,17.391853
0.2288461,0.07070707,19.201422,70.169136,207.61163,,20.633920192718506,17.413588,37,0.0040101004,5.611125,-0.9086673,11.738875,6.241475,0.9253667,0.14999999,17.413588,740,-0.80848783,2.9099822,4.4406656e-07,-0.79253674,,5.281641
-0.9872108,-1.0,19.201422,69.451416,216.33377,,21.196189641952515,17.413588,38,1.7373401e-14,5.692995,-0.89492905,11.657005,8.5181,0.71045893,0.14999999,17.413588,760,-0.81364393,1.1305344e-07,4.2100217e-07,-0.7434964,,8.627837
-0.67568076,-0.67676765,19.201422,69.14966,216.46753,,21.84451150894165,17.413588,39,0.7098918,5.5504494,-0.82084185,11.799551,4.816074,1.1394861,0.14999999,17.413588,780,-0.82219744,0.0042369724,3.996891e-07,-0.7694719,,17.216267
0.3168044,0.41414142,19.201422,69.21001,216.42691,,22.40687918663025,17.413588,40,1.5372582e-11,5.410673,-0.5169927,11.939327,7.555195,1.097275,0.14999999,17.413588,800,-0.8120464,0.014055039,3.799544e-07,-0.7946811,,17.390608
-0.28396818,-0.17171717,19.201422,68.28574,225.58609,,22.974115133285522,17.413588,41,0.03239358,5.502099,-0.8954313,11.847901,6.0119667,0.9331734,0.14999999,17.413588,820,-0.8129652,5.498199,3.6164613e-07,-0.81902236,,8.190865
-0.2788548,-0.37373737,19.201422,66.42047,225.76245,,23.53682804107666,17.413588,42,4.594555,5.3752966,-0.72576845,11.974704,4.967178,0.84774333,0.14999999,17.413588,840,-0.81340134,1.1225152,3.4462983e-07,-0.7172784,,17.173597
0.06245461,0.23232323,19.201422,66.28746,226.05884,,24.103891849517822,17.413588,43,0.015273779,5.257183,-0.646934,12.092817,6.7876034,1.0746366,0.14999999,17.413588,860,-0.81347185,0.4199661,3.2878697e-07,-0.71443325,,17.053562
-0.8388935,-0.7777778,19.201422,65.461006,234.33453,,24.70521903038025,17.413588,44,9.0118635e-07,5.3257847,-0.7909434,12.024216,5.0691023,1.0236965,0.14999999,17.413588,880,-0.8123448,0.0002510554,3.140119e-07,-0.7277035,,9.074358
0.8080801,0.5959596,19.201422,65.00091,234.36206,,25.273082494735718,17.413588,45,6.60021e-20,5.208046,-0.60841024,12.141954,7.2531867,1.2173204,0.14999999,17.413588,900,-0.8078981,9.554003e-05,3.0021093e-07,-0.75017065,,17.322435
