NumTrainableParams,InvPendulum_mu1_higher,TimestepsSoFar,MinEpLen,AvgEpLen,InvPendulum_std0_higher,InvPendulum_std1_higher,InvPendulum_std3_higher,ReturnMean,InvPendulum_std2_higher,NumTrajectories,InvPendulum_mu0_higher,Iteration,InvPendulum_mu3_higher,ActionIn1,TimeElapsed,InvPendulum_mu2_higher
,-0.11102458,14377,377,495.7586206896552,0.0009999999,0.0009999999,0.0009999999,62.88452,0.0009999999,29,-0.18568558,29,-0.10712334,-0.3971395,7.540067911148071,0.0034825685
,-0.11102458,14877,377,495.9,0.0009999999,0.0009999999,0.0009999999,63.186337,0.0009999999,30,-0.18568558,30,-0.10712334,-0.4016342,7.792911529541016,0.0034825685
,-0.11102458,15377,377,496.03225806451616,0.0009999999,0.0009999999,0.0009999999,63.594692,0.0009999999,31,-0.18568558,31,-0.10712334,-0.40165332,8.045720338821411,0.0034825685
,-0.11102458,15877,377,496.15625,0.0009999999,0.0009999999,0.0009999999,64.64161,0.0009999999,32,-0.18568558,32,-0.10712334,-0.40178323,8.30093264579773,0.0034825685
,-0.11102458,16377,377,496.27272727272725,0.0009999999,0.0009999999,0.0009999999,64.75391,0.0009999999,33,-0.18568558,33,-0.10712334,-0.40139276,8.55427885055542,0.0034825685
,-0.11102458,16877,377,496.38235294117646,0.0009999999,0.0009999999,0.0009999999,65.41144,0.0009999999,34,-0.18568558,34,-0.10712334,-0.39999482,8.808485269546509,0.0034825685
,-0.11102458,17377,377,496.48571428571427,0.0009999999,0.0009999999,0.0009999999,66.69311,0.0009999999,35,-0.18568558,35,-0.10712334,-0.40161908,9.063273191452026,0.0034825685
,-0.11102458,17877,377,496.5833333333333,0.0009999999,0.0009999999,0.0009999999,65.32275,0.0009999999,36,-0.18568558,36,-0.10712334,-0.400519,9.320256233215332,0.0034825685
,-0.11102458,18377,377,496.6756756756757,0.0009999999,0.0009999999,0.0009999999,65.60459,0.0009999999,37,-0.18568558,37,-0.10712334,-0.40471637,9.581920623779297,0.0034825685
,-0.11102458,18877,377,496.7631578947368,0.0009999999,0.0009999999,0.0009999999,66.1131,0.0009999999,38,-0.18568558,38,-0.10712334,-0.4028861,9.840065956115723,0.0034825685
,-0.11102458,19377,377,496.84615384615387,0.0009999999,0.0009999999,0.0009999999,66.402115,0.0009999999,39,-0.18568558,39,-0.10712334,-0.40515465,10.100579977035522,0.0034825685
,-0.11102458,19877,377,496.925,0.0009999999,0.0009999999,0.0009999999,67.1909,0.0009999999,40,-0.18568558,40,-0.10712334,-0.40153435,10.362785577774048,0.0034825685
,-0.11102458,20377,377,497.0,0.0009999999,0.0009999999,0.0009999999,67.801865,0.0009999999,41,-0.18568558,41,-0.10712334,-0.40037405,10.616228342056274,0.0034825685
,-0.11102458,20877,377,497.07142857142856,0.0009999999,0.0009999999,0.0009999999,68.42889,0.0009999999,42,-0.18568558,42,-0.10712334,-0.400827,10.870192050933838,0.0034825685
,-0.11102458,21377,377,497.13953488372096,0.0009999999,0.0009999999,0.0009999999,68.64216,0.0009999999,43,-0.18568558,43,-0.10712334,-0.40013638,11.123684883117676,0.0034825685
,-0.11102458,21877,377,497.20454545454544,0.0009999999,0.0009999999,0.0009999999,69.312485,0.0009999999,44,-0.18568558,44,-0.10712334,-0.3991398,11.378101110458374,0.0034825685
,-0.11102458,22377,377,497.26666666666665,0.0009999999,0.0009999999,0.0009999999,69.69156,0.0009999999,45,-0.18568558,45,-0.10712334,-0.40041873,11.63518500328064,0.0034825685
,-0.11102458,22877,377,497.32608695652175,0.0009999999,0.0009999999,0.0009999999,69.531296,0.0009999999,46,-0.18568558,46,-0.10712334,-0.39912456,11.893850088119507,0.0034825685
,-0.11102458,23377,377,497.3829787234043,0.0009999999,0.0009999999,0.0009999999,69.864426,0.0009999999,47,-0.18568558,47,-0.10712334,-0.39728954,12.151975154876709,0.0034825685
,-0.11102458,23877,377,497.4375,0.0009999999,0.0009999999,0.0009999999,69.991554,0.0009999999,48,-0.18568558,48,-0.10712334,-0.40134594,12.409691095352173,0.0034825685
,-0.11102458,24377,377,497.48979591836735,0.0009999999,0.0009999999,0.0009999999,69.99342,0.0009999999,49,-0.18568558,49,-0.10712334,-0.40001374,12.663420915603638,0.0034825685
,-0.11102458,24877,377,497.54,0.0009999999,0.0009999999,0.0009999999,69.854614,0.0009999999,50,-0.18568558,50,-0.10712334,-0.4046084,12.920032024383545,0.0034825685
,-0.11102458,25377,377,497.5882352941176,0.0009999999,0.0009999999,0.0009999999,70.03364,0.0009999999,51,-0.18568558,51,-0.10712334,-0.39801717,13.17723298072815,0.0034825685
,-0.11102458,25877,377,497.63461538461536,0.0009999999,0.0009999999,0.0009999999,70.97014,0.0009999999,52,-0.18568558,52,-0.10712334,-0.40204802,13.433095693588257,0.0034825685
,-0.11102458,26377,377,497.6792452830189,0.0009999999,0.0009999999,0.0009999999,71.51683,0.0009999999,53,-0.18568558,53,-0.10712334,-0.3978269,13.687058210372925,0.0034825685
,-0.11102458,26877,377,497.72222222222223,0.0009999999,0.0009999999,0.0009999999,71.09736,0.0009999999,54,-0.18568558,54,-0.10712334,-0.400812,13.95487904548645,0.0034825685
,-0.11102458,27377,377,497.76363636363635,0.0009999999,0.0009999999,0.0009999999,70.065895,0.0009999999,55,-0.18568558,55,-0.10712334,-0.39573038,14.237988233566284,0.0034825685
,-0.11102458,27877,377,497.80357142857144,0.0009999999,0.0009999999,0.0009999999,69.90937,0.0009999999,56,-0.18568558,56,-0.10712334,-0.4020212,14.514900922775269,0.0034825685
,-0.11102458,28377,377,497.8421052631579,0.0009999999,0.0009999999,0.0009999999,70.19582,0.0009999999,57,-0.18568558,57,-0.10712334,-0.39955205,14.787323713302612,0.0034825685
,-0.11102458,28877,377,497.87931034482756,0.0009999999,0.0009999999,0.0009999999,70.03102,0.0009999999,58,-0.18568558,58,-0.10712334,-0.39918527,15.044754028320312,0.0034825685
,-0.11102458,29377,377,497.91525423728814,0.0009999999,0.0009999999,0.0009999999,70.439964,0.0009999999,59,-0.18568558,59,-0.10712334,-0.40146145,15.300049066543579,0.0034825685
,-0.11102458,29728,351,495.46666666666664,0.0009999999,0.0009999999,0.0009999999,67.78607,0.0009999999,60,-0.18568558,60,-0.10712334,-0.40277222,15.479836463928223,0.0034825685
,-0.11102458,30228,351,495.5409836065574,0.0009999999,0.0009999999,0.0009999999,67.69471,0.0009999999,61,-0.18568558,61,-0.10712334,-0.3981002,15.735723495483398,0.0034825685
,-0.11102458,30728,351,495.61290322580646,0.0009999999,0.0009999999,0.0009999999,67.66742,0.0009999999,62,-0.18568558,62,-0.10712334,-0.40026078,15.9891037940979,0.0034825685
,-0.11102458,31228,351,495.6825396825397,0.0009999999,0.0009999999,0.0009999999,68.305664,0.0009999999,63,-0.18568558,63,-0.10712334,-0.39964047,16.24642038345337,0.0034825685
,-0.11102458,31728,351,495.75,0.0009999999,0.0009999999,0.0009999999,68.37413,0.0009999999,64,-0.18568558,64,-0.10712334,-0.39752755,16.499666213989258,0.0034825685
,-0.11102458,32228,351,495.81538461538463,0.0009999999,0.0009999999,0.0009999999,68.639465,0.0009999999,65,-0.18568558,65,-0.10712334,-0.3997904,16.753424882888794,0.0034825685
,-0.11102458,32728,351,495.8787878787879,0.0009999999,0.0009999999,0.0009999999,68.39429,0.0009999999,66,-0.18568558,66,-0.10712334,-0.40108207,17.007675647735596,0.0034825685
,-0.11102458,33228,351,495.94029850746267,0.0009999999,0.0009999999,0.0009999999,67.970566,0.0009999999,67,-0.18568558,67,-0.10712334,-0.3984691,17.264706134796143,0.0034825685
,-0.11102458,33728,351,496.0,0.0009999999,0.0009999999,0.0009999999,68.08814,0.0009999999,68,-0.18568558,68,-0.10712334,-0.3998814,17.517910957336426,0.0034825685
