Delta,IWMin,DenMISELogFirst,IWMean,LQGmu1_actor,Bound,Iteration,Regret,ReturnLastEpisode,IWFirstEpisode,TimeElapsed,ReturnMin,GridSize,ReturnStepMax,IWMax,BoundBonus,BoundMISE,ReturnMean,LQGmu1_higher,TimestepsSoFar,MinEpLen,ReturnMax,NumTrajectories,Regret/t,AvgEpLen,ReturnAbsMax,NumTrainableParams,DenMISEMeanLog,LQGsigma_higher,IWLastEpisode,DenMISELogLast
0.0030396353,,0.9619692,2.746308e-38,-0.892906,inf,1,1.9023132,3.0976868,2.746308e-38,0.03679299354553223,,20,3.1695018,2.746308e-38,inf,8.5072017e-38,3.0976868,-1.0,20,20,3.0976868,1,1.9023132,20.0,3.0976868,1,0.9619692,0.14999999,2.746308e-38,0.9619692
0.0007599088,,0.26882198,1.9799609e-07,-0.022382185,39099445000.0,2,-11.286242,18.188555,1.432861e-10,0.7388577461242676,,20,19.978165,3.958489e-07,39099445000.0,3.6001816e-06,10.643121,-0.05263158,40,20,18.188555,2,-5.643121,20.0,18.188555,,0.1494934,0.14999999,3.958489e-07,0.030164823
0.0003377373,,-0.13664311,0.008294423,0.3470047,29955.652,3,-24.470093,18.183853,0.011970521,1.0512192249298096,,20,19.978165,0.012912748,29955.562,0.09062815,13.156697,0.47368422,60,20,18.188555,3,-8.156697,20.0,18.188555,,-0.2175693,0.14999999,0.012912748,-0.14076473
0.0001899772,,-0.42034295,0.14538202,-0.6386035,4757.0312,4,-32.276848,12.806752,2.3061129e-23,1.2907330989837646,,20,19.978165,0.57736427,4754.387,2.644284,13.069212,-0.57894737,80,20,18.188555,4,-8.069212,20.0,18.188555,,-0.5579628,0.14999999,2.9159228e-08,-0.7243741
0.00012158541,,-0.6434865,1.3393835,0.32383475,263.36084,5,-45.46695,18.190098,6.942603e-05,1.521909475326538,,20,19.9796,5.8677454,245.3162,18.044651,14.0933895,0.2631579,100,20,18.190098,5,-9.0933895,20.0,18.190098,,-0.7281381,0.14999999,7.246137e-08,-0.65213466
8.443432e-05,,-0.82579416,0.28525794,-0.37486807,255.40932,6,-52.50834,12.041394,1.0868161e-14,1.7510852813720703,,20,19.9796,1.4405789,250.22467,5.1846533,13.7513895,-0.2631579,120,20,18.190098,6,-8.7513895,20.0,18.190098,,-0.66400814,0.14999999,0.0018050546,-0.36155102
6.203337e-05,,-0.9799449,0.49221864,0.7203835,255.98674,7,-65.70082,18.192484,3.352559,2.016789674758911,,20,19.98249,3.352559,254.33698,1.6497585,14.385832,0.7894737,140,20,18.192484,7,-9.385832,20.0,18.192484,,-0.7701432,0.14999999,4.603138e-13,-0.74143726
4.74943e-05,,-0.7221527,1.4957879,-0.82850325,217.12492,8,-67.70921,7.008389,5.7517495e-30,2.2677831649780273,,20,19.98249,7.11052,189.91772,27.207195,13.463652,-0.7894737,160,20,18.192484,8,-8.463652,20.0,18.192484,,-0.84089017,0.14999999,5.9399707e-22,-0.8059575
3.7526363e-05,,-0.8399357,1.0216163,-0.2623694,134.79091,9,-80.903244,18.194036,3.9028055e-20,2.4899179935455322,,20,19.984186,5.6780305,116.20604,18.584875,13.989249,-0.47368422,180,20,18.194036,9,-8.989249,20.0,18.194036,,-0.80209124,0.14999999,0.31556612,-0.666133
3.0396353e-05,,-0.9452962,0.8972788,-0.053145416,132.46834,10,-94.092545,18.189299,4.575061e-08,2.740178346633911,,20,19.984186,6.149379,117.40137,15.066974,14.409254,0.05263158,200,20,18.194036,10,-9.409254,20.0,18.194036,,-0.80385983,0.14999999,0.59304714,-0.70435095
2.5120953e-05,,-1.0406064,0.805296,0.5501236,125.70737,11,-107.23251,18.139963,0.23891626,2.9721481800079346,,20,19.984186,5.2488985,118.472275,7.2350907,14.74841,0.57894737,220,20,18.194036,11,-9.74841,20.0,18.194036,,-0.8031925,0.14999999,0.0006700496,-0.59235626
2.110858e-05,,-1.1061306,1.2022649,-0.9231548,115.763596,12,-111.76404,9.531524,1.7324821e-33,3.226914405822754,,20,19.984186,7.0767245,93.8932,21.870392,14.31367,-0.8947368,240,20,18.194036,12,-9.31367,20.0,18.194036,,-0.8135645,0.14999999,3.6885392e-20,-0.6669442
1.7986009e-05,,-1.1861733,1.1704383,-0.41309088,113.35796,13,-124.95578,18.191736,1.558355e-14,3.482130527496338,,20,19.984186,6.6008596,92.07821,21.279757,14.611983,-0.2631579,260,20,18.194036,13,-9.611983,20.0,18.194036,,-0.79800856,0.14999999,0.00031088426,-0.62563944
1.5508342e-05,,-1.2602813,1.0548062,0.26479948,106.18041,14,-138.1532,18.197424,0.00012864509,3.7326714992523193,,20,19.987501,6.4147415,92.71776,13.462653,14.868086,0.2631579,280,20,18.197424,14,-9.868086,20.0,18.197424,,-0.7835936,0.14999999,0.00019358197,-0.6345095
1.3509492e-05,,-1.329265,0.9891631,-0.5776,104.53934,15,-145.44427,12.291079,3.1439598e-26,3.972641706466675,,20,19.987501,5.848937,86.54488,17.994453,14.696285,-0.68421054,300,20,18.197424,15,-9.696285,20.0,18.197424,,-0.778471,0.14999999,1.0262986e-08,-0.64087576
1.1873575e-05,,-1.3938035,0.7519161,0.9173987,103.01604,16,-158.64224,18.197966,10.546272,4.2220680713653564,,20,19.988297,10.546272,100.31245,2.7035904,14.91514,1.0,320,20,18.197966,16,-9.91514,20.0,18.197966,,-0.7727219,0.14999999,4.6590247e-24,-0.605737
1.0517769e-05,,-0.9481275,0.9530281,0.65206796,98.55665,17,-158.19106,4.548817,1.075862,4.472596883773804,,20,19.988297,7.608624,91.446754,7.1098967,14.305356,0.68421054,340,20,18.197966,17,-9.305356,20.0,18.197966,,-0.8044079,0.14999999,2.027059,-0.9367761
