InvPendulum_mu1_higher,ReturnAbsMax,MinEpLen,BoundMISE,BoundBonus,Iteration,Delta,InvPendulum_std3_higher,IWMax,NumTrajectories,NumTrainableParams,TimestepsSoFar,ReturnMin,InvPendulum_mu0_higher,GridSize,IWLastEpisode,DenMISELogFirst,InvPendulum_mu3_higher,IWMean,ReturnMean,TimeElapsed,InvPendulum_std2_higher,ActionIn1,Regret/t,Regret,InvPendulum_std1_higher,ReturnMax,IWFirstEpisode,DenMISELogLast,Bound,ReturnLastEpisode,AvgEpLen,InvPendulum_std0_higher,ReturnStepMax,InvPendulum_mu2_higher,DenMISEMeanLog,IWMin
-1.0,109.58321,15,,inf,1,0.060792707,0.0009999999,,1,4,15,-109.58321,-1.0,1,,19.951183,-1.0,,-109.58321,0.029387235641479492,0.0009999999,-3.997173,114.58321,114.58321,0.0009999999,,,19.951183,inf,-109.58321,15.0,0.0009999999,109.58321,-1.0,19.951183,
-1.0,112.42108,15,,inf,2,0.001788021,0.0009999999,,2,,67,-112.42108,-1.0,16,,19.258036,1.0,,-111.00215,0.20877528190612793,0.0009999999,-2.0025861,116.00215,232.0043,0.0009999999,,,20.044283,inf,-112.42108,33.5,0.0009999999,112.42108,-1.0,19.65116,
-1.0,125.15667,15,,inf,3,0.000794676,0.0009999999,,3,,96,-125.15667,-1.0,16,,18.852571,-1.0,,-115.720314,0.2887544631958008,0.0009999999,-2.00137,120.720314,362.16095,0.0009999999,,,20.32242,inf,-125.15667,32.0,0.0009999999,125.15667,1.0,19.604605,
-1.0,125.15667,15,,inf,4,0.00044700524,0.0009999999,,4,,159,-125.15667,-1.0,16,,18.564888,1.0,,-115.20382,0.35833740234375,0.0009999999,0.00041168928,120.20382,480.81528,0.0009999999,,,17.897034,inf,-113.65431,39.75,0.0009999999,125.15667,1.0,18.961948,
-1.0,132.49312,15,,inf,5,0.00028608335,0.0009999999,,5,,199,-132.49312,1.0,16,,18.341745,-1.0,,-118.66168,0.40695810317993164,0.0009999999,-1.999641,123.66168,618.3084,0.0009999999,,,15.9831505,inf,-132.49312,39.8,0.0009999999,132.49312,-1.0,18.187674,
-1.0,132.49312,15,,inf,6,0.000198669,0.0009999999,,6,,218,-132.49312,1.0,16,,18.159424,1.0,,-117.964386,0.4461174011230469,0.0009999999,0.0016995668,122.964386,737.7863,0.0009999999,,,21.303186,inf,-114.47792,36.333333333333336,0.0009999999,132.49312,-1.0,18.55499,
-1.0,132.49312,15,,inf,7,0.00014596088,0.0009999999,,7,,239,-132.49312,1.0,16,,18.005274,-1.0,,-117.947914,0.4854128360748291,0.0009999999,0.00060784817,122.947914,860.6354,0.0009999999,,,21.06378,inf,-117.849075,34.142857142857146,0.0009999999,132.49312,1.0,18.781263,
-1.0,132.49312,15,,inf,8,0.00011175131,0.0009999999,,8,,256,-132.49312,1.0,16,,17.871742,1.0,,-116.639175,0.5241169929504395,0.0009999999,2.0000367,121.639175,973.1134,0.0009999999,,,18.189247,inf,-107.47801,32.0,0.0009999999,132.49312,1.0,18.59042,
1.0,132.49312,15,,inf,9,8.829733e-05,0.0009999999,,9,,280,-132.49312,-1.0,16,,17.75396,-1.0,,-117.196014,0.588503360748291,0.0009999999,-2.001555,122.196014,1099.7642,0.0009999999,,,20.979406,inf,-121.65075,31.11111111111111,0.0009999999,132.49312,-1.0,18.751167,
1.0,132.49312,15,,inf,10,7.152084e-05,0.0009999999,,10,,299,-132.49312,-1.0,16,,17.648598,1.0,,-116.32417,0.633059024810791,0.0009999999,0.002598226,121.32417,1213.2417,0.0009999999,,,18.99553,inf,-108.47756,29.9,0.0009999999,132.49312,-1.0,18.680777,
