LQGsigma_higher,MinEpLen,LQGmu1_higher,ReturnMean,NumTrajectories,NumTrainableParams,TimeElapsed,AvgEpLen,Iteration,LQGmu1_actor,TimestepsSoFar
0.14999999,20,-0.67,0.045834187,59,,0.6722509860992432,20.0,59,-0.46713507,1180
0.14999999,20,-0.67,0.04583439,60,,0.6835789680480957,20.0,60,-0.63318825,1200
0.14999999,20,-0.67,0.045834497,61,,0.6952729225158691,20.0,61,-0.3961203,1220
0.14999999,20,-0.67,0.045834333,62,,0.7052223682403564,20.0,62,-0.8111237,1240
0.14999999,20,-0.67,0.04583455,63,,0.7178902626037598,20.0,63,-0.54203737,1260
0.14999999,20,-0.67,0.045834754,64,,0.7282860279083252,20.0,64,-0.616184,1280
0.14999999,20,-0.67,0.04583408,65,,0.7393217086791992,20.0,65,-0.6266604,1300
0.14999999,20,-0.67,0.0458338,66,,0.7504737377166748,20.0,66,-0.82153267,1320
0.14999999,20,-0.67,0.045833603,67,,0.7600185871124268,20.0,67,-0.40475586,1340
0.14999999,20,-0.67,0.045833144,68,,0.7734198570251465,20.0,68,-0.47707745,1360
0.14999999,20,-0.67,0.045833427,69,,0.7855243682861328,20.0,69,-0.47770238,1380
0.14999999,20,-0.67,0.045833647,70,,0.7955245971679688,20.0,70,-0.6908291,1400
0.14999999,20,-0.67,0.04583248,71,,0.8066701889038086,20.0,71,-0.56563485,1420
0.14999999,20,-0.67,0.045832403,72,,0.8175373077392578,20.0,72,-0.7255546,1440
0.14999999,20,-0.67,0.045831986,73,,0.827904462814331,20.0,73,-0.6491356,1460
0.14999999,20,-0.67,0.045832258,74,,0.8376657962799072,20.0,74,-0.46640375,1480
0.14999999,20,-0.67,0.045832403,75,,0.8472182750701904,20.0,75,-0.6218087,1500
0.14999999,20,-0.67,0.045832694,76,,0.8567867279052734,20.0,76,-0.63877267,1520
0.14999999,20,-0.67,0.04583295,77,,0.8678591251373291,20.0,77,-0.78621036,1540
0.14999999,20,-0.67,0.045833223,78,,0.8762547969818115,20.0,78,-0.6404219,1560
0.14999999,20,-0.67,0.045833424,79,,0.885512113571167,20.0,79,-0.5997664,1580
0.14999999,20,-0.67,0.0458335,80,,0.8973448276519775,20.0,80,-0.98534155,1600
0.14999999,20,-0.67,0.045833644,81,,0.9094874858856201,20.0,81,-0.7305852,1620
0.14999999,20,-0.67,0.045833606,82,,0.9224832057952881,20.0,82,-0.4648354,1640
0.14999999,20,-0.67,0.045833692,83,,0.931067705154419,20.0,83,-0.91442317,1660
0.14999999,20,-0.67,0.045833655,84,,0.9407732486724854,20.0,84,-0.55438995,1680
0.14999999,20,-0.67,0.045833807,85,,0.9498791694641113,20.0,85,-0.73937273,1700
0.14999999,20,-0.67,0.04583396,86,,0.959564208984375,20.0,86,-0.7527066,1720
0.14999999,20,-0.67,0.0458342,87,,0.9693715572357178,20.0,87,-0.7859879,1740
0.14999999,20,-0.67,0.045834314,88,,0.9801607131958008,20.0,88,-0.8301068,1760
0.14999999,20,-0.67,0.04583454,89,,0.9908978939056396,20.0,89,-0.8005824,1780
0.14999999,20,-0.67,0.045834754,90,,1.0006632804870605,20.0,90,-0.4346016,1800
0.14999999,20,-0.67,0.045834545,91,,1.0099544525146484,20.0,91,-0.59147114,1820
0.14999999,20,-0.67,0.045834105,92,,1.0218169689178467,20.0,92,-0.6356965,1840
0.14999999,20,-0.67,0.04583432,93,,1.030390739440918,20.0,93,-0.4098019,1860
0.14999999,20,-0.67,0.045834433,94,,1.042255163192749,20.0,94,-0.5973687,1880
0.14999999,20,-0.67,0.0458345,95,,1.052765130996704,20.0,95,-0.77383864,1900
