IWMin,IWFirstEpisode,NumTrajectories,InvPendulum_std0_higher,Delta,BoundBonus,DenMISELogFirst,ReturnMax,Iteration,BoundMISE,Bound,IWMax,ReturnLastEpisode,ReturnMean,IWLastEpisode,IWMean,TimestepsSoFar,AvgEpLen,InvPendulum_mu3_higher,DenMISELogLast,Regret,ReturnStepMax,TimeElapsed,InvPendulum_std2_higher,Regret/t,InvPendulum_std1_higher,InvPendulum_mu0_higher,ReturnAbsMax,InvPendulum_mu1_higher,ActionIn1,NumTrainableParams,GridSize,DenMISEMeanLog,InvPendulum_std3_higher,MinEpLen,InvPendulum_mu2_higher,ReturnMin
,,1,0.01,0.060792707,inf,10.7408495,,1,,inf,,-109.68108,-109.68108,,,15,15.0,-1.0,10.7408495,114.68108,109.68108,0.027731657028198242,0.01,114.68108,0.01,-1.0,109.68108,-1.0,-3.971731,4,1,10.7408495,0.01,15,-1.0,-109.68108
,,2,0.01,0.001788021,inf,10.047702,,2,,inf,,-112.28198,-110.98154,,,67,33.5,1.0,10.833905,231.96307,112.28198,0.19196295738220215,0.01,115.98154,0.01,-1.0,112.28198,-1.0,-2.0258608,,16,10.440804,0.01,15,-1.0,-112.28198
,,3,0.01,0.000794676,inf,9.642237,,3,,inf,,-124.15334,-115.37213,,,95,31.666666666666668,-1.0,11.112136,361.1164,124.15334,0.2564883232116699,0.01,120.37213,0.01,-1.0,124.15334,-1.0,-2.0137002,,16,10.394271,0.01,15,1.0,-124.15334
,,4,0.01,0.00044700524,inf,9.354555,,4,,inf,,-114.34594,-115.115585,,,153,38.25,1.0,8.686706,480.46234,124.15334,0.3230862617492676,0.01,120.115585,0.01,-1.0,124.15334,-1.0,0.00411582,,16,9.751617,0.01,15,1.0,-124.15334
,,5,0.01,0.00028608335,inf,9.131412,,5,,inf,,-122.9329,-116.679054,,,180,36.0,-1.0,6.772953,608.39526,124.15334,0.37645745277404785,0.01,121.679054,0.01,1.0,124.15334,-1.0,-1.9964089,,16,8.977369,0.01,15,-1.0,-124.15334
,,6,0.01,0.000198669,inf,8.94909,,6,,inf,,-105.34522,-114.79008,,,198,33.0,1.0,12.092859,718.7405,124.15334,0.4205613136291504,0.01,119.79008,0.01,1.0,124.15334,-1.0,0.01699549,,16,9.344684,0.01,15,-1.0,-124.15334
,,7,0.01,0.00014596088,inf,8.794939,,7,,inf,,-117.79714,-115.21966,,,219,31.285714285714285,-1.0,11.853454,841.5376,124.15334,0.46428418159484863,0.01,120.21966,0.01,1.0,124.15334,-1.0,0.0060794353,,16,9.570949,0.01,15,1.0,-124.15334
,,8,0.01,0.00011175131,inf,8.661407,,8,,inf,,-95.190285,-112.71599,,,251,31.375,1.0,8.978953,941.7279,124.15334,0.5143845081329346,0.01,117.71599,0.01,1.0,124.15334,-1.0,2.0003672,,16,9.380112,0.01,15,1.0,-124.15334
,,9,0.01,8.829733e-05,inf,8.543625,,9,,inf,,-124.615524,-114.038155,,,280,31.11111111111111,-1.0,11.769111,1071.3434,124.615524,0.5666720867156982,0.01,119.038155,0.01,-1.0,124.615524,1.0,-2.0155492,,16,9.540859,0.01,15,-1.0,-124.615524
,,10,0.01,7.152084e-05,inf,8.438265,,10,,inf,,-109.64401,-113.59874,,,294,29.4,1.0,9.785208,1185.9874,124.615524,0.6070845127105713,0.01,118.59874,0.01,-1.0,124.615524,1.0,0.025981903,,16,9.470469,0.01,14,-1.0,-124.615524
,,11,0.01,5.9108123e-05,inf,8.342955,,11,,inf,,-102.71698,-112.60949,,,305,27.727272727272727,-1.0,10.367632,1293.7043,124.615524,0.6497349739074707,0.01,117.60949,0.01,-1.0,124.615524,1.0,0.01648736,,16,9.4653845,0.01,11,1.0,-124.615524
,,12,0.01,4.966725e-05,inf,8.255942,,12,,inf,,-108.682076,-112.2822,,,326,27.166666666666668,1.0,11.053713,1407.3865,124.615524,0.6967613697052002,0.01,117.2822,0.01,-1.0,124.615524,1.0,2.0132062,,16,9.517983,0.01,11,1.0,-124.615524
,,13,0.01,4.232002e-05,inf,8.1759,,13,,inf,,-107.234795,-111.89395,,,339,26.076923076923077,-1.0,11.863812,1519.6213,124.615524,0.7400555610656738,0.01,116.89395,0.01,1.0,124.615524,1.0,-0.0055384636,,16,9.624547,0.01,11,-1.0,-124.615524
,,14,0.01,3.649022e-05,inf,8.101792,,14,,inf,,-108.830864,-111.675156,,,361,25.785714285714285,1.0,10.798222,1633.4521,124.615524,0.7916340827941895,0.01,116.675156,0.01,1.0,124.615524,1.0,1.9967418,,16,9.639566,0.01,11,-1.0,-124.615524
,,15,0.01,3.178704e-05,inf,8.0328,,15,,inf,,-109.52243,-111.53164,,,380,25.333333333333332,-1.0,10.478314,1747.9746,124.615524,0.8393583297729492,0.01,116.53164,0.01,1.0,124.615524,1.0,2.0049272,,16,9.63109,0.01,11,1.0,-124.615524
,,16,0.01,2.7937827e-05,inf,7.968261,,16,,inf,,-105.53552,-111.156876,,,393,24.5625,1.0,9.852524,1858.51,124.615524,0.8810288906097412,0.01,116.156876,0.01,1.0,124.615524,1.0,4.01651,,16,9.584425,0.01,11,1.0,-124.615524
,,17,0.01,2.4747693e-05,709.2392,7.907636,,17,-75.033554,634.2056,17.000008,-109.40544,-111.053856,,1.0000005,408,24.0,-1.0,9.900879,1972.9155,124.615524,0.9314794540405273,0.01,116.053856,0.01,1.0,124.615524,-1.0,0.0077855587,,16,9.545981,0.01,11,1.0,-124.615524
,,18,0.01,2.2074333e-05,713.05096,7.8504777,,18,-80.96646,632.0845,17.999992,-104.12846,-110.66911,,0.9999996,425,23.61111111111111,1.0,12.05626,2082.044,124.615524,0.983269214630127,0.01,115.66911,0.01,-1.0,124.615524,1.0,0.0033134818,,16,9.669967,0.01,11,-1.0,-124.615524
,,19,0.01,1.9811867e-05,716.6379,7.7964106,,19,-83.03816,633.59973,19.0,-106.611916,-110.45558,,1.0,441,23.210526315789473,-1.0,12.15624,2193.656,124.615524,1.0338644981384277,0.01,115.45558,0.01,1.0,124.615524,-1.0,-1.9848568,,16,9.786083,0.01,11,-1.0,-124.615524
,,20,0.01,1.788021e-05,720.0243,7.745117,,20,-83.18816,636.8361,20.0,-105.17995,-110.191795,,1.0,453,22.65,-1.0,11.84534,2303.836,124.615524,1.0793933868408203,0.01,115.191795,0.01,1.0,124.615524,1.0,1.9675105,,16,9.874974,0.01,11,1.0,-124.615524
,,21,0.01,1.6217875e-05,723.2307,7.696327,,21,-84.52761,638.7031,20.999996,-104.19975,-109.906456,,0.9999998,473,22.523809523809526,1.0,10.061491,2413.0356,124.615524,1.1316404342651367,0.01,114.906456,0.01,-1.0,124.615524,1.0,2.0096538,,16,9.870397,0.01,11,1.0,-124.615524
,,22,0.01,1.4777031e-05,726.2748,7.649807,,22,-85.66843,640.6063,22.000002,-108.25288,-109.8313,,1.0000001,499,22.681818181818183,-1.0,10.089392,2526.2886,124.615524,1.1863906383514404,0.01,114.8313,0.01,-1.0,124.615524,1.0,-0.011484742,,16,9.867452,0.01,11,1.0,-124.615524
,,23,0.01,1.3520007e-05,729.1716,7.6053553,,23,-85.785706,643.38586,23.0,-104.862686,-109.61526,,1.0,512,22.26086956521739,-1.0,11.218351,2636.151,124.615524,1.235170841217041,0.01,114.61526,0.01,1.0,124.615524,1.0,-0.016345501,,16,9.913804,0.01,11,-1.0,-124.615524
,,24,0.01,1.2416813e-05,731.9344,7.5627956,,24,-86.23862,645.6958,24.0,-104.736244,-109.411964,,1.0,527,21.958333333333332,1.0,11.5513735,2745.8872,124.615524,1.283513069152832,0.01,114.411964,0.01,1.0,124.615524,1.0,4.008533,,16,9.970131,0.01,11,1.0,-124.615524
,,25,0.01,1.1443334e-05,734.5746,7.5219736,,25,-86.33084,648.2438,25.000002,-115.16031,-109.64191,,1.0000001,547,21.88,1.0,11.58894,2866.0476,124.615524,1.3345725536346436,0.01,114.64191,0.01,1.0,124.615524,1.0,1.979692,,16,10.023419,0.01,11,-1.0,-124.615524
,,26,0.01,1.0580005e-05,737.10236,7.482753,,26,-86.426674,650.67566,26.000004,-111.1818,-109.70113,,1.0000001,563,21.653846153846153,-1.0,9.536217,2982.2295,124.615524,1.3869407176971436,0.01,114.70113,0.01,-1.0,124.615524,1.0,-1.9973028,,16,9.9936285,0.01,11,-1.0,-124.615524
,,27,0.01,9.810813e-06,739.52655,7.4450126,,27,-88.50605,651.0205,26.999989,-109.77209,-109.70376,,0.9999996,585,21.666666666666668,-1.0,9.671013,3097.0015,124.615524,1.4413955211639404,0.01,114.70376,0.01,-1.0,124.615524,-1.0,-4.0142384,,16,9.971009,0.01,11,-1.0,-124.615524
,,28,0.01,9.122555e-06,741.8551,7.408645,,28,-90.13296,651.72217,27.999996,-107.84365,-109.63733,,0.9999999,630,22.5,-1.0,11.545113,3209.8452,124.615524,1.5351836681365967,0.01,114.63733,0.01,-1.0,124.615524,-1.0,-2.0164971,,16,10.016914,0.01,11,1.0,-124.615524
,,29,0.01,8.504261e-06,744.095,7.3735538,,29,-92.85336,651.2416,29.000011,-106.692726,-109.5358,,1.0000004,648,22.344827586206897,1.0,9.214875,3321.538,124.615524,1.5922105312347412,0.01,114.5358,0.01,1.0,124.615524,-1.0,0.032114625,,16,9.979278,0.01,11,-1.0,-124.615524
,,30,0.01,7.94676e-06,746.2525,7.339652,,30,-96.90161,649.3509,30.000002,-112.05362,-109.61972,,1.0000001,664,22.133333333333333,1.0,6.350246,3438.5916,124.615524,1.644228458404541,0.01,114.61972,0.01,-1.0,124.615524,-1.0,-0.012832522,,16,9.848644,0.01,11,1.0,-124.615524
,,31,0.01,7.4423347e-06,804.44415,7.3068624,,31,-97.863625,706.5805,31.000013,-133.95932,-110.40486,,1.0000005,702,22.64516129032258,1.0,10.371885,3577.5508,133.95932,1.7098658084869385,0.01,115.40486,0.01,-1.0,133.95932,-1.0,-2.0130236,,16,9.85615,0.01,11,-1.0,-133.95932
,,32,0.01,6.984457e-06,806.6042,7.2751136,,32,-98.227936,708.3762,31.999985,-114.72678,-110.539925,,0.9999995,721,22.53125,1.0,10.710903,3697.2776,133.95932,1.7662270069122314,0.01,115.539925,0.01,1.0,133.95932,-1.0,1.9856768,,16,9.873765,0.01,11,1.0,-133.95932
,,33,0.01,1.3615693e-06,inf,7.244342,,33,,inf,,-126.40106,-111.02057,,,754,22.848484848484848,,11.015722,3828.6787,133.95932,1.8321993350982666,0.01,116.02057,0.01,-1.0,133.95932,-1.0,-3.010418,,81,9.899535,0.01,11,-1.0,-133.95932
