BoundMISE,LQGmu1_higher,IWFirstEpisode,ReturnMean,IWLastEpisode,TimeElapsed,DenMISEMeanLog,ReturnMax,Delta,NumTrajectories,Iteration,ReturnAbsMax,TimestepsSoFar,ReturnMin,NumTrainableParams,IWMean,ReturnStepMax,AvgEpLen,LQGmu1_actor,BoundBonus,DenMISELogLast,Bound,IWMax,DenMISELogFirst,Regret/t,GridSize,MinEpLen,LQGsigma_higher,Regret,ReturnLastEpisode,IWMin
5.2989037e-11,-10.0,7.866672e-12,6.7358904,7.866672e-12,0.03627490997314453,-1.3406159,6.7358904,0.0030396353,1,1,6.7358904,20,,1,7.866672e-12,7.185433,20.0,-8.92906,13492266000000.0,-1.3406159,13492266000000.0,7.866672e-12,-1.3406159,-1.7358904,20,20,1.5,-1.7358904,6.7358904,
3.4824048e-08,10.0,1.033985e-08,6.6494937,6.7815704e-35,0.7510042190551758,-2.153092,6.7358904,0.0007599088,2,2,6.7358904,40,,,5.169925e-09,7.185433,20.0,10.302494,2071365000.0,-2.2724204,2071365000.0,1.033985e-08,-2.0337632,-1.6494937,20,20,1.5,-3.2989874,6.563097,
0.1794144,-4.736842,0.0039805295,4.598074,4.541391e-22,1.036219835281372,-2.5201542,6.7358904,0.0003377373,3,3,6.7358904,60,,,0.02730192,7.185433,20.0,-6.0036373,14967.599,-2.4433498,14967.778,0.07792523,-2.4392283,0.40192604,20,20,1.5,1.2057781,0.4952345,
0.028605264,5.7894735,0.0137384785,5.2400384,2.0753668e-13,1.283001184463501,-2.8558948,7.1659317,0.0001899772,4,4,7.1659317,80,,,0.014479979,7.8185067,20.0,5.192912,1797.6201,-3.027039,1797.6487,0.044181436,-2.7255843,-0.2400384,20,20,1.5,-0.9601536,7.1659317,
2.2109287,-1.5789474,1.5469437,4.4267807,0.00019747404,1.5229570865631104,-3.057385,7.1659317,0.00012158541,5,5,7.1659317,100,,,0.327134,7.8185067,20.0,-0.97217906,148.7221,-2.9851851,150.93303,1.5469437,-2.9452991,0.5732193,20,20,1.5,2.8660965,1.1737508,
11.405803,-6.8421054,1.3571966e-05,6.719919,0.0020470936,1.79252290725708,-3.1168911,18.185612,8.443432e-05,6,6,18.185612,120,,,1.6313376,19.975079,20.0,-7.959207,250.16295,-2.789966,261.56876,6.9193964,-2.8580604,-1.7199192,20,20,1.5,-10.319515,18.185612,
1.5992078,3.6842105,0.77744466,6.743337,4.603796e-13,2.083144187927246,-3.0732236,18.185612,6.203337e-05,7,7,18.185612,140,,,0.7517098,19.975079,20.0,2.9933088,233.04814,-3.0441575,234.64735,4.4432955,-3.0122087,-1.7433372,20,20,1.5,-12.2033615,6.883843,
0.29152018,7.894737,6.179173e-05,6.0717554,0.025637615,2.320253849029541,-3.1054974,18.185612,4.74943e-05,8,8,18.185612,160,,,0.4086793,19.975079,20.0,7.5044413,189.71884,-2.9993756,190.01036,2.226527,-3.0404224,-1.0717554,20,20,1.5,-8.574043,1.3706857,
11.916079,-7.894737,4.1455894e-07,5.4927654,6.58893e-23,2.623056173324585,-3.151636,18.185612,3.7526363e-05,9,9,18.185612,180,,,1.7506659,19.975079,20.0,-5.7815886,116.1814,-2.9469252,128.09747,7.171714,-3.1581976,-0.49276543,20,20,1.5,-4.4348907,0.86084634,
8.145062,-2.631579,0.5644799,5.6683245,0.55874836,2.872908353805542,-3.0911806,18.185612,3.0396353e-05,10,10,18.185612,200,,,0.54175985,19.975079,20.0,-3.689349,118.04868,-2.947361,126.19375,3.889591,-3.2635581,-0.6683245,20,20,1.5,-6.683243,7.2483478,
