AvgEpLen,Iteration,ReturnMean,ActionIn1,NumTrainableParams,MountainCar_mu1_higher,MinEpLen,MountainCar_mu0_higher,TimeElapsed,MountainCar_std1_higher,MountainCar_std0_higher,TimestepsSoFar,NumTrajectories
999.0,1,-3.5668883,-1.1716609,2,-0.8971903,999,-0.4416444,0.3392062187194824,1.5,0.14999999,999,1
999.0,2,-3.3561902,-1.8601309,,-0.8971903,999,-0.4416444,0.7105038166046143,1.5,0.14999999,1998,2
999.0,3,-3.8201542,1.7793918,,-0.8971903,999,-0.4416444,1.0435593128204346,1.5,0.14999999,2997,3
999.0,4,-3.1864262,-1.4563931,,-0.8971903,999,-0.4416444,1.389467716217041,1.5,0.14999999,3996,4
999.0,5,-3.3199704,-1.8729882,,-0.8971903,999,-0.4416444,1.6624324321746826,1.5,0.14999999,4995,5
999.0,6,-3.2886689,-1.9663906,,-0.8971903,999,-0.4416444,1.9342761039733887,1.5,0.14999999,5994,6
999.0,7,-3.4133708,-1.4977218,,-0.8971903,999,-0.4416444,2.199939489364624,1.5,0.14999999,6993,7
999.0,8,-3.6597342,0.26490298,,-0.8971903,999,-0.4416444,2.476304292678833,1.5,0.14999999,7992,8
