InvPendulum_std1_higher,BoundBonus,DenMISELogLast,Bound,InvPendulum_mu2_higher,ReturnLastEpisode,InvPendulum_std3_higher,Regret/t,InvPendulum_std0_higher,Delta,InvPendulum_mu1_higher,ReturnAbsMax,IWMean,InvPendulum_mu0_higher,IWMax,Regret,AvgEpLen,TimestepsSoFar,IWMin,InvPendulum_mu3_higher,GridSize,TimeElapsed,IWFirstEpisode,InvPendulum_std2_higher,ActionIn1,DenMISEMeanLog,MinEpLen,DenMISELogFirst,BoundMISE,NumTrainableParams,ReturnMax,ReturnMin,ReturnMean,IWLastEpisode,NumTrajectories,Iteration
0.0009999999,inf,19.951183,inf,-0.2,-109.58321,0.0009999999,114.58321,0.0009999999,0.060792707,-0.2,109.58321,,-0.2,,114.58321,15.0,15,,-0.2,1,0.026851415634155273,,0.0009999999,-0.79717314,19.951183,15,19.951183,,4,-109.58321,-109.58321,-109.58321,,1,1
0.0009999999,inf,20.044228,inf,-0.2,-119.252106,0.0009999999,119.41766,0.0009999999,0.001788021,-0.2,119.252106,,-0.2,,238.83533,33.5,67,,0.2,16,0.18769311904907227,,0.0009999999,-0.4025861,19.65113,15,19.258036,,,-109.58321,-119.252106,-114.41766,,2,2
0.0009999999,inf,20.322496,inf,0.2,-134.10614,0.0009999999,125.98049,0.0009999999,0.000794676,-0.2,134.10614,,-0.2,,377.94147,34.666666666666664,104,,-0.2,16,0.25979042053222656,,0.0009999999,-0.40137002,19.60461,15,18.852571,,,-109.58321,-134.10614,-120.98049,,3,3
0.0009999999,inf,17.897047,inf,0.2,-107.45128,0.0009999999,122.59819,0.0009999999,0.00044700524,-0.2,134.10614,,-0.2,,490.39276,42.25,169,,0.2,16,0.3300745487213135,,0.0009999999,0.00041158497,18.961956,15,18.564888,,,-107.45128,-134.10614,-117.59819,,4,4
0.0009999999,inf,15.983316,inf,-0.2,-138.912,0.0009999999,126.86095,0.0009999999,0.00028608335,-0.2,138.912,,0.2,,634.30475,43.2,216,,-0.2,16,0.3886847496032715,,0.0009999999,-0.39964092,18.187716,15,18.341745,,,-107.45128,-138.912,-121.86095,,5,5
0.0009999999,inf,21.303185,inf,-0.2,-103.938354,0.0009999999,123.87384,0.0009999999,0.000198669,-0.2,138.912,,0.2,,743.24304,39.666666666666664,238,,0.2,16,0.43692612648010254,,0.0009999999,0.0016995519,18.555025,15,18.159424,,,-103.938354,-138.912,-118.87384,,6,6
0.0009999999,inf,21.063787,inf,0.2,-122.089676,0.0009999999,124.33325,0.0009999999,0.00014596088,-0.2,138.912,,0.2,,870.33276,37.57142857142857,263,,-0.2,16,0.4852142333984375,,0.0009999999,0.0006079376,18.78129,15,18.005274,,,-103.938354,-138.912,-119.33325,,7,7
0.0009999999,inf,18.189281,inf,0.2,-123.26353,0.0009999999,124.82454,0.0009999999,0.00011175131,-0.2,138.912,,0.2,,998.5963,36.125,289,,0.2,16,0.5386312007904053,,0.0009999999,0.4000367,18.59045,15,17.871742,,,-103.938354,-138.912,-119.82454,,8,8
0.0009999999,inf,20.97945,inf,-0.2,-131.00137,0.0009999999,126.06641,0.0009999999,8.829733e-05,0.2,138.912,,-0.2,,1134.5977,36.0,324,,-0.2,16,0.5954387187957764,,0.0009999999,-0.40155494,18.751198,15,17.75396,,,-103.938354,-138.912,-121.06641,,9,9
0.0009999999,inf,18.995562,inf,-0.2,-107.49976,0.0009999999,124.70974,0.0009999999,7.152084e-05,0.2,138.912,,-0.2,,1247.0974,34.5,345,,0.2,16,0.6449258327484131,,0.0009999999,0.0025981814,18.680809,15,17.648598,,,-103.938354,-138.912,-119.70974,,10,10
0.0009999999,inf,19.577976,inf,0.2,-110.6606,0.0009999999,123.88709,0.0009999999,5.9108123e-05,0.2,138.912,,-0.2,,1362.758,33.0,363,,-0.2,16,0.6912112236022949,,0.0009999999,0.0016487241,18.675724,15,17.553288,,,-103.938354,-138.912,-118.88709,,11,11
0.0009999999,inf,20.264055,inf,0.2,-96.23774,0.0009999999,121.99966,0.0009999999,4.966725e-05,0.2,138.912,,-0.2,,1463.9958,34.833333333333336,418,,0.2,16,0.7623982429504395,,0.0009999999,0.40132064,18.728325,15,17.466276,,,-96.23774,-138.912,-116.99966,,12,12
0.0009999999,inf,21.074146,inf,-0.2,-118.37194,0.0009999999,122.10521,0.0009999999,4.232002e-05,0.2,138.912,,0.2,,1587.3677,34.30769230769231,446,,-0.2,16,0.8157670497894287,,0.0009999999,-0.00055386126,18.834887,15,17.386234,,,-96.23774,-138.912,-117.10521,,13,13
0.0009999999,inf,20.008566,inf,-0.2,-110.75578,0.0009999999,121.65168,0.0009999999,3.649022e-05,0.2,138.912,,0.2,,1703.1235,33.0,462,,0.2,16,0.8650808334350586,,0.0009999999,0.39967418,18.849905,15,17.312126,,,-96.23774,-138.912,-116.65168,,14,14
0.0009999999,inf,19.68866,inf,0.2,-108.51003,0.0009999999,121.1089,0.0009999999,3.178704e-05,0.2,138.912,,0.2,,1816.6335,31.866666666666667,478,,-0.2,16,0.911698579788208,,0.0009999999,0.4004928,18.84143,15,17.243134,,,-96.23774,-138.912,-116.1089,,15,15
0.0009999999,inf,19.062841,inf,0.2,-105.28393,0.0009999999,120.43234,0.0009999999,2.7937827e-05,0.2,138.912,,0.2,,1926.9175,30.9375,495,,0.2,16,0.9611384868621826,,0.0009999999,0.801651,18.794762,15,17.178595,,,-96.23774,-138.912,-115.43234,,16,16
0.0009999999,790.60645,19.111214,714.74725,0.2,-111.91639,0.0009999999,120.225525,0.0009999999,2.4747693e-05,0.2,138.912,1.0000005,-0.2,17.000008,2043.8339,30.058823529411764,511,,-0.2,16,1.009819507598877,,0.0009999999,0.00077855587,18.756319,15,17.11797,-75.85921,,-96.23774,-138.912,-115.225525,,17,17
0.0009999999,794.8555,21.2666,712.92633,-0.2,-104.32866,0.0009999999,119.62015,0.0009999999,2.2074333e-05,-0.2,138.912,0.9999996,0.2,17.999992,2153.1626,29.444444444444443,530,,-0.2,16,1.060182809829712,,0.0009999999,-0.39966866,18.880304,15,17.060812,-81.9292,,-96.23774,-138.912,-114.62015,,18,18
0.0009999999,798.8539,21.366583,715.864,0.2,-121.66063,0.0009999999,119.9907,0.0009999999,1.9811867e-05,0.2,138.912,1.0,0.2,19.0,2279.8232,29.36842105263158,558,,-0.2,16,1.1151354312896729,,0.0009999999,0.4015143,18.996422,15,17.006744,-82.989845,,-96.23774,-138.912,-114.9907,,19,19
0.0009999999,802.62885,21.055689,717.9306,0.2,-105.30041,0.0009999999,119.50618,0.0009999999,1.788021e-05,-0.2,138.912,0.99999905,-0.2,19.99998,2390.1235,28.9,578,,-0.2,16,1.1678886413574219,,0.0009999999,-0.40324897,19.085314,15,16.955452,-84.69826,,-96.23774,-138.912,-114.50618,,20,20
0.0009999999,806.2031,19.271835,721.4667,-0.2,-114.95156,0.0009999999,119.52739,0.0009999999,1.6217875e-05,0.2,138.912,1.0000008,-0.2,21.000017,2510.0752,29.80952380952381,626,,-0.2,16,1.2363932132720947,,0.0009999999,-0.39903462,19.080734,15,16.90666,-84.736465,,-96.23774,-138.912,-114.52739,,21,21
0.0009999999,809.59644,19.299744,724.0636,-0.2,-107.69351,0.0009999999,119.21675,0.0009999999,1.4777031e-05,0.2,138.912,0.9999991,0.2,21.99998,2622.7686,29.136363636363637,641,,0.2,16,1.2870607376098633,,0.0009999999,0.3988515,19.077791,15,16.860142,-85.532814,,-96.23774,-138.912,-114.21675,,22,22
