InvPendulum_std0_higher,ReturnMean,NumTrainableParams,InvPendulum_mu1_higher,InvPendulum_std1_higher,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_mu3_higher,InvPendulum_mu2_higher,AvgEpLen,NumTrajectories,MinEpLen,InvPendulum_std3_higher,ActionIn1,TimeElapsed,InvPendulum_std2_higher,Iteration
0.099999994,-162.8591,4,-0.11102458,0.099999994,-0.18568558,500,-0.10712334,0.0034825685,500.0,1,500,0.099999994,-0.11766134,0.2781238555908203,0.099999994,1
0.099999994,-142.36092,,-0.11102458,0.099999994,-0.18568558,528,-0.10712334,0.0034825685,264.0,2,28,0.099999994,-0.65895915,0.32013440132141113,0.099999994,2
0.099999994,-129.87067,,-0.11102458,0.099999994,-0.18568558,546,-0.10712334,0.0034825685,182.0,3,18,0.099999994,-0.53735334,0.3320276737213135,0.099999994,3
0.099999994,-122.956245,,-0.11102458,0.099999994,-0.18568558,571,-0.10712334,0.0034825685,142.75,4,18,0.099999994,-0.35919368,0.34879398345947266,0.099999994,4
0.099999994,-119.97612,,-0.11102458,0.099999994,-0.18568558,589,-0.10712334,0.0034825685,117.8,5,18,0.099999994,-0.36444092,0.3609645366668701,0.099999994,5
0.099999994,-121.77173,,-0.11102458,0.099999994,-0.18568558,646,-0.10712334,0.0034825685,107.66666666666667,6,18,0.099999994,-0.23039536,0.3940620422363281,0.099999994,6
0.099999994,-122.286865,,-0.11102458,0.099999994,-0.18568558,685,-0.10712334,0.0034825685,97.85714285714286,7,18,0.099999994,-0.33955663,0.4178292751312256,0.099999994,7
0.099999994,-118.23305,,-0.11102458,0.099999994,-0.18568558,970,-0.10712334,0.0034825685,121.25,8,18,0.099999994,-0.39668062,0.5661287307739258,0.099999994,8
0.099999994,-127.20353,,-0.11102458,0.099999994,-0.18568558,1470,-0.10712334,0.0034825685,163.33333333333334,9,18,0.099999994,-0.55584407,0.8224518299102783,0.099999994,9
0.099999994,-153.26581,,-0.11102458,0.099999994,-0.18568558,1970,-0.10712334,0.0034825685,197.0,10,18,0.099999994,-0.14053252,1.1063258647918701,0.099999994,10
