MountainCar_mu0_higher,ReturnStepMax,ReturnMin,ReturnMean,DenMISELogFirst,ReturnLastEpisode,BoundBonus,MountainCar_std0_higher,IWMin,ActionIn1,MountainCar_mu1_higher,DenMISEMeanLog,IWLastEpisode,ReturnAbsMax,AvgEpLen,IWMax,Iteration,NumTrajectories,DenMISELogLast,IWMean,ReturnMax,Bound,MinEpLen,IWFirstEpisode,GridSize,TimeElapsed,Regret/t,MountainCar_std1_higher,TimestepsSoFar,Delta,Regret,NumTrainableParams,BoundMISE
,98.147995,-8.61979,-1.5808553,-4.320296,-0.35900056,52.64453,0.14999999,,4.0043325,,-4.184226,0.0004467977,9.55166,471.8125,13.870689,16,16,-6.676119,1.0940561,9.55166,52.603024,230,0.07975318,9,5.361693382263184,6.5808554,3.0,7549,4.74943e-05,105.293686,,-0.04150661
-1.0,98.147995,-8.61979,-1.4943377,-4.3759484,-0.11005717,52.98366,0.14999999,,0.10827291,,-4.1915703,2.2757303e-13,9.55166,473.47058823529414,15.615539,17,17,-4.170006,0.9374568,9.55166,51.609203,230,3.0349992e-21,9,5.681040287017822,6.4943376,3.0,8049,4.2071075e-05,110.40374,,-1.3744569
1.0,98.147995,-8.61979,-1.5434421,-4.433107,-2.3782163,53.283367,0.14999999,,7.0955114,,-4.188341,,9.55166,474.94444444444446,15.843506,18,18,-3.832061,0.9316703,9.55166,49.746902,230,0.12374357,9,6.033350944519043,6.5434422,3.0,8549,3.7526363e-05,117.78196,,-3.5364637
,98.147995,-9.956752,-1.9862478,-4.480323,-9.956752,39.483658,0.14999999,,3.542361,10.0,-4.319677,5.6007465e-16,9.956752,476.2631578947368,9.497689,19,19,-6.392681,1.0687779,9.55166,44.836678,230,8.813353e-05,9,6.36201548576355,6.986248,3.0,9049,3.368017e-05,132.73871,,5.3530183
,98.147995,-9.956752,-1.8878624,-4.5316114,-0.018542454,39.672073,0.14999999,,0.17264193,,-4.297673,7.5429235,9.956752,477.45,9.25408,20,20,-3.7846475,1.2786793,9.55166,39.60521,230,0.09851928,9,6.718551397323608,6.887862,3.0,9549,3.0396353e-05,137.75725,,-0.06686276
,98.147995,-9.956752,-1.7980314,-4.5754876,-0.0014103989,39.86537,0.14999999,,-11.332679,-10.0,-4.2289987,0.022439977,9.956752,478.5238095238095,10.483599,21,21,-2.9773693,0.7215768,9.55166,39.657288,230,0.0016337578,9,7.132463693618774,6.7980313,3.0,10049,2.7570388e-05,142.75867,,-0.2080825
-1.0,98.147995,-9.956752,-1.7175117,-4.62193,-0.026596978,40.041775,0.14999999,,6.685564,10.0,-4.2011647,7.5730036e-22,9.956752,479.5,10.989169,22,22,-3.2457855,1.010275,9.55166,39.111217,230,3.654944e-24,9,7.4886155128479,6.7175117,3.0,10549,2.5120953e-05,147.78525,,-0.9305557
-1.0,98.147995,-9.956752,-1.6959893,-4.666382,-1.2224945,40.209023,0.14999999,,1.3205445,,-4.2095304,0.3003544,9.956752,476.17391304347825,11.224843,23,23,-4.2426815,0.9825365,9.55166,38.212513,230,4.057809e-21,9,7.762494802474976,6.695989,3.0,10952,2.2984013e-05,154.00775,,-1.9965084
-1.0,98.147995,-9.956752,-1.6868483,-4.7089415,-1.4766054,40.369225,0.14999999,,-4.164537,-10.0,-4.1977696,0.0026171128,9.956752,477.1666666666667,11.999989,24,24,-3.755824,1.0004495,9.55166,38.054504,230,6.7202694e-23,9,8.130687475204468,6.686848,3.0,11452,2.110858e-05,160.48436,,-2.314719
1.0,98.147995,-9.956752,-1.7307773,-4.7497635,-2.7850742,40.52186,0.14999999,,2.5886223,,-4.2443414,,9.956752,478.08,11.703506,25,25,-5.193737,0.66822517,9.55166,36.85912,230,0.16984192,9,8.446697235107422,6.7307773,3.0,11952,1.9453666e-05,168.26944,,-3.6627383
,98.147995,-9.956752,-1.9114016,-4.782213,-6.427006,33.20562,0.14999999,,5.7056956,10.0,-4.2290072,1.3854469e-12,9.956752,478.9230769230769,8.664575,26,26,-3.4383526,0.771598,9.55166,36.773098,230,0.000119192926,9,8.770513772964478,6.9114017,3.0,12452,1.7986009e-05,179.69644,,3.5674782
1.0,98.147995,-9.956752,-1.8414422,-4.819949,-0.022503378,40.808495,0.14999999,,-11.077618,-10.0,-4.219704,3.9289716e-15,9.956752,479.7037037037037,13.309938,27,27,-3.6752903,0.9432415,9.55166,36.484013,230,0.0028915969,9,9.099652528762817,6.841442,3.0,12952,1.6678383e-05,184.71893,,-4.324482
-0.33333334,98.147995,-9.956752,-2.0054915,-4.8562098,-6.434819,740.3467,0.14999999,,-5.6691995,-3.3333333,-4.228778,2.6113547e-23,9.956752,480.42857142857144,0.2832616,28,28,-4.264648,0.01783593,9.55166,740.34595,230,5.423412e-06,16,9.454955101013184,7.0054913,3.0,13452,9.122555e-06,196.15376,,-0.00074211974
-0.33333334,98.147995,-9.956752,-1.9378625,-4.8913007,-0.044252623,509.27478,0.14999999,,1.5406296,3.3333333,-4.2574887,0.10640316,9.956752,481.1034482758621,0.8933322,29,29,-4.096605,0.077619106,9.55166,509.27682,230,2.19082e-06,16,10.32523775100708,6.9378624,3.0,13952,8.504261e-06,201.19801,,0.0020497683
0.33333334,98.147995,-9.956752,-1.8747754,-4.9252024,-0.04524945,406.61646,0.14999999,,-11.053344,-10.0,-4.2665615,5.7498866e-05,9.956752,481.73333333333335,155.22491,30,30,-3.6233654,5.6276994,9.55166,404.6988,230,0.36057192,16,10.703471660614014,6.8747754,3.0,14452,7.94676e-06,206.24326,,-1.917669
-0.33333334,98.147995,-9.956752,-1.8548018,-4.946045,-1.2555918,353.1347,0.14999999,,-6.1781836,-10.0,-4.278607,3.1318348e-07,9.956752,482.3225806451613,2.971914,31,31,-5.8744736,0.10595098,9.55166,353.13013,230,1.0902583e-07,16,11.066221952438354,6.8548017,3.0,14952,7.4423347e-06,212.49886,,-0.0045701573
