MountainCar_mu0_higher,ReturnStepMax,ReturnMin,ReturnMean,DenMISELogFirst,ReturnLastEpisode,BoundBonus,MountainCar_std0_higher,IWMin,ActionIn1,MountainCar_mu1_higher,DenMISEMeanLog,IWLastEpisode,ReturnAbsMax,AvgEpLen,IWMax,Iteration,NumTrajectories,DenMISELogLast,IWMean,ReturnMax,Bound,MinEpLen,IWFirstEpisode,GridSize,TimeElapsed,Regret/t,MountainCar_std1_higher,TimestepsSoFar,Delta,Regret,NumTrainableParams,BoundMISE
0.5,98.67969,-10.93195,-1.3362386,-4.412874,-0.7847997,84.30015,0.14999999,,-4.8435454,-5.0,-4.386675,3.2185414e-11,10.93195,483.9264705882353,18.179153,68,68,-4.661208,0.92333513,9.55166,83.56495,230,13.461233,25,27.514407873153687,6.336239,3.0,32907,1.011324e-06,430.86423,,-0.7351972
0.5,98.67969,-10.93195,-1.3313231,-4.2468534,-0.99707645,78.72422,0.14999999,,4.1494665,5.0,-4.3896575,0.07171167,10.93195,484.15942028985506,18.61997,69,69,-4.442289,0.80159396,9.55166,78.409584,230,2.7773116,25,28.04426860809326,6.331323,3.0,33407,9.822227e-07,436.8613,,-0.31463823
0.5,98.67969,-10.93195,-1.3426288,-4.2217803,-2.1227155,73.30853,0.14999999,,-8.438329,-10.0,-4.405379,0.0011606138,10.93195,484.3857142857143,71.60698,70,70,-5.248557,1.6827296,9.55166,71.94877,230,0.3493115,25,28.587471961975098,6.342629,3.0,33907,9.543596e-07,443.984,,-1.3597666
-0.5,98.67969,-10.93195,-1.3290683,-4.230987,-0.3798227,71.564026,0.14999999,,2.9475741,5.0,-4.392597,5.647682e-11,10.93195,484.6056338028169,17.436436,71,71,-3.827043,0.7530072,9.55166,71.2675,230,4.4051715e-10,25,29.007298231124878,6.329068,3.0,34407,9.276656e-07,449.36383,,-0.2965258
-0.5,98.67969,-10.93195,-1.3167653,-4.2449737,-0.4432522,71.63554,0.14999999,,-4.124852,-5.0,-4.387197,0.26934624,10.93195,484.81944444444446,18.482756,72,72,-3.7154136,0.7506985,9.55166,71.23688,230,1.8339834e-09,25,29.478005409240723,6.3167653,3.0,34907,9.020761e-07,454.8071,,-0.3986553
0.5,98.67969,-10.93195,-1.3066661,-4.2587667,-0.57952905,64.26427,0.14999999,,12.71857,10.0,-4.3858633,9.774119e-14,10.93195,485.027397260274,23.010004,73,73,-4.000403,0.6810658,9.55166,65.71777,230,0.021505952,25,29.92163586616516,6.3066664,3.0,35407,8.775309e-07,460.38663,,1.4535033
-0.5,98.67969,-10.93195,-1.2509367,-4.272078,2.8173048,64.27393,0.14999999,,7.2899704,10.0,-4.3885384,4.161646e-08,10.93195,482.9189189189189,10.055574,74,74,-4.2170496,0.2778361,9.55166,64.30404,230,3.512112e-12,25,30.28698754310608,6.2509365,3.0,35736,8.539741e-07,462.56934,,0.030104125
0.5,98.67969,-10.93195,-1.2407535,-4.285501,-0.48719618,64.77399,0.14999999,,-2.4548953,,-4.390482,1.3304051e-09,10.93195,483.14666666666665,24.799637,75,75,-3.8075564,1.272704,9.55166,63.512302,230,23.457134,25,30.9198317527771,6.2407537,3.0,36236,8.3135325e-07,468.05652,,-1.2616849
-0.5,98.67969,-10.93195,-1.2278982,-4.0266128,-0.2637482,64.39688,0.14999999,,-9.248552,-10.0,-4.3807616,6.826167e-07,10.93195,483.36842105263156,56.346542,76,76,-3.8093603,1.4452505,9.55166,63.4783,230,4.6310678e-11,25,31.565083265304565,6.227898,3.0,36736,8.096195e-07,473.32025,,-0.91858214
,98.67969,-10.93195,-1.221854,-4.0396852,-0.762493,60.244904,0.14999999,,-8.147569,-5.0,-4.3819485,0.0057903077,10.93195,483.5844155844156,14.513543,77,77,-4.62948,0.7534069,9.55166,60.17972,230,0.03043495,25,32.261030435562134,6.221854,3.0,37236,7.88727e-07,479.08276,,-0.06518021
,98.67969,-10.93195,-1.2079324,-4.052193,-0.13597044,59.004414,0.14999999,,4.1711445,5.0,-4.3785453,0.00057093374,10.93195,483.79487179487177,21.05687,78,78,-3.8402095,1.3006899,9.55166,59.403217,230,0.0075066546,25,32.98212480545044,6.2079325,3.0,37736,7.6863284e-07,484.21872,,0.39880395
1.0,98.67969,-10.93195,-1.1946002,-4.064836,-0.15469393,68.14739,0.14999999,,4.174254,5.0,-4.369867,1.4325546e-05,10.93195,484.0,32.95236,79,79,-3.915231,1.8104205,9.55166,55.135395,230,0.010537038,25,33.5680935382843,6.1946,3.0,38236,7.49297e-07,489.3734,,-13.011997
-0.5,98.67969,-10.93195,-1.208645,-4.0772815,-2.3181834,53.497593,0.14999999,,-4.4765325,,-4.3712344,5.1821713e-14,10.93195,484.2,26.925194,80,80,-5.0761395,1.3682506,9.55166,52.704353,230,3.0695522e-09,25,34.076350927352905,6.208645,3.0,38736,7.306816e-07,496.6916,,-0.79324067
0.5,98.67969,-10.93195,-1.2030317,-4.089704,-0.7539694,53.08218,0.14999999,,-5.5749736,-5.0,-4.3684154,9.882504e-11,10.93195,484.39506172839504,27.624872,81,81,-4.400726,1.0539948,9.55166,52.2405,230,9.743922,25,34.506386280059814,6.2030315,3.0,39236,7.1275144e-07,502.44556,,-0.8416767
-1.0,98.67969,-10.93195,-1.1934398,-3.9883819,-0.41650373,52.990578,0.14999999,,1.5217168,5.0,-4.3619766,1.6621744e-20,10.93195,484.5853658536585,16.782547,82,82,-3.815815,1.0276175,9.55166,51.50601,230,2.534965e-22,25,35.0317804813385,6.19344,3.0,39736,6.954733e-07,507.86206,,-1.4845681
-1.0,98.67969,-10.93195,-1.2021562,-4.000503,-1.9168916,53.035645,0.14999999,,-4.1544995,-5.0,-4.3563375,0.71401393,10.93195,484.7710843373494,24.993845,83,83,-3.856342,0.9008959,9.55166,51.049866,230,1.0534067e-21,25,35.604174852371216,6.202156,3.0,40236,6.788158e-07,514.77893,,-1.9857777
0.5,98.67969,-10.93195,-1.2098981,-4.0124793,-1.8524746,51.74731,0.14999999,,6.057831,5.0,-4.3526306,1.8843076e-22,10.93195,484.95238095238096,20.605412,84,84,-3.8652244,1.0775015,9.55166,50.624462,230,2.1970365,25,36.04767656326294,6.209898,3.0,40736,6.627497e-07,521.6315,,-1.122847
0.5,98.67969,-10.93195,-1.2035345,-3.9984949,-0.6689929,50.94913,0.14999999,,-12.890076,-10.0,-4.3454394,1.6374162e-05,10.93195,485.1294117647059,40.918,85,85,-3.7558422,1.1748896,9.55166,50.02464,230,0.27940956,25,36.63180065155029,6.2035346,3.0,41236,6.472474e-07,527.3004,,-0.92449176
1.0,98.67969,-10.93195,-1.204221,-4.006909,-1.2625738,53.17428,0.14999999,,-5.720786,-5.0,-4.3571606,0.054379348,10.93195,485.30232558139534,21.179733,86,86,-5.4108143,0.72018707,9.55166,49.826553,230,0.0408244,25,37.14154529571533,6.204221,3.0,41736,6.3228265e-07,533.563,,-3.3477252
-0.5,98.67969,-10.93195,-1.2744504,-4.0179954,-7.31419,49.678474,0.14999999,,3.5133066,5.0,-4.370978,8.294214e-31,10.93195,485.4712643678161,14.688241,87,87,-5.2257147,0.83021826,9.55166,49.34402,230,3.5600958e-10,25,37.63321924209595,6.2744503,3.0,42236,6.1783095e-07,545.8772,,-0.33445445
0.5,98.67969,-10.93195,-1.2636031,-4.0294237,-0.31988463,47.72427,0.14999999,,10.912844,10.0,-4.3647814,8.3966924e-08,10.93195,485.6363636363636,20.601707,88,88,-3.6197844,0.8292456,9.55166,49.36788,230,0.017098432,25,38.122302293777466,6.263603,3.0,42736,6.0386907e-07,551.1971,,1.6436101
-0.5,98.67969,-10.93195,-1.2324091,-4.0405293,1.5126721,49.757225,0.14999999,,-1.8022636,-5.0,-4.361638,3.8390555e-11,10.93195,484.6629213483146,24.563826,89,89,-3.863599,1.2093111,9.55166,49.023895,230,1.4948792e-09,25,38.65705966949463,6.232409,3.0,43135,5.903753e-07,554.6844,,-0.7333317
-0.5,98.67969,-10.93195,-1.2237244,-4.0517025,-0.45078582,47.77794,0.14999999,,12.128184,10.0,-4.35294,0.010319982,10.93195,484.8333333333333,11.813732,90,90,-3.7059152,0.37726024,9.55166,47.736385,230,2.817479e-12,25,39.04376006126404,6.2237244,3.0,43635,5.773287e-07,560.1352,,-0.0415519
-0.5,98.67969,-10.93195,-1.1377381,-4.0627522,6.601022,47.814835,0.14999999,,-10.074394,-10.0,-4.3700466,1.369492e-11,10.93195,482.2967032967033,37.845047,91,91,-5.2765203,1.2407466,9.55166,47.00299,230,4.8014884e-11,25,39.37379002571106,6.137738,3.0,43889,5.647098e-07,558.5342,,-0.811842
,98.67969,-10.93195,-1.1336887,-4.0736814,-0.7651958,46.68179,0.14999999,,-2.1383562,-5.0,-4.3698235,0.002999243,10.93195,482.4891304347826,14.347287,92,92,-4.442535,0.7109657,9.55166,46.614826,230,0.03148741,25,39.88793158531189,6.133689,3.0,44389,5.5250035e-07,564.2994,,-0.06696134
,98.67969,-10.93195,-1.1215006,-4.0841503,-0.00019815196,46.12103,0.14999999,,6.6481786,5.0,-4.36844,1.0639753,10.93195,482.6774193548387,19.714872,93,93,-3.9298844,1.2186259,9.55166,46.48181,230,0.00775042,25,40.392120599746704,6.1215005,3.0,44889,5.4068244e-07,569.29956,,0.36078152
0.5,98.67969,-10.93195,-1.1096206,-4.0947623,-0.0047686687,47.454147,0.14999999,,-4.2102823,,-4.361317,0.013442785,10.93195,482.86170212765956,19.873426,94,94,-3.8605032,1.0555421,9.55166,46.38893,230,19.383768,25,40.93546772003174,6.1096206,3.0,45389,5.292397e-07,574.3043,,-1.0652168
-0.5,98.67969,-10.93195,-1.1088367,-3.9178607,-1.0351477,40.02834,0.14999999,,10.756539,10.0,-4.359335,2.4703735e-15,10.93195,483.0421052631579,30.169695,95,95,-4.1725326,0.6624152,9.55166,42.0869,230,2.4645273e-12,25,41.43370532989502,6.1088367,3.0,45889,5.181564e-07,580.3395,,2.0585606
-0.5,98.67969,-10.93195,-1.0497841,-3.928332,4.560213,42.51753,0.14999999,,-3.8453662,,-4.357578,0.012031976,10.93195,481.1145833333333,20.973862,96,96,-3.8035674,1.2734392,9.55166,41.803764,230,2.644762e-09,25,41.83172607421875,6.049784,3.0,46187,5.0741784e-07,580.7793,,-0.71376497
-1.0,98.67969,-10.93195,-1.0445836,-3.938695,-0.5453302,43.166817,0.14999999,,3.9991817,5.0,-4.34956,0.001069638,10.93195,481.30927835051546,16.478878,97,97,-3.7853127,1.0178295,9.55166,41.64098,230,2.4120895e-22,25,42.302016496658325,6.0445833,3.0,46687,4.9700947e-07,586.3246,,-1.5258366
0.5,98.67969,-10.93195,-1.0489819,-3.9489512,-1.4756303,40.12652,0.14999999,,7.4961786,10.0,-4.349493,6.124448e-18,10.93195,481.5,18.585026,98,98,-4.305953,0.7716184,9.55166,41.523815,230,0.015776386,25,42.801451683044434,6.0489817,3.0,47187,4.8691817e-07,592.80023,,1.3972971
0.5,98.67969,-10.93195,-1.0580696,-3.9589427,-1.9486647,42.380013,0.14999999,,-5.436657,-5.0,-4.355937,0.008854077,10.93195,481.6868686868687,22.375422,99,99,-4.722765,1.1246872,9.55166,41.489494,230,8.549583,25,43.303414821624756,6.0580697,3.0,47687,4.7713115e-07,599.7489,,-0.8905185
-1.0,98.67969,-10.93195,-1.0567043,-3.8861609,-0.9215367,43.257195,0.14999999,,-10.481491,-5.0,-4.351317,6.6626864e-22,10.93195,481.87,23.136547,100,100,-3.9514873,0.89489466,9.55166,41.33651,230,9.395894e-22,25,43.843244552612305,6.0567045,3.0,48187,4.6763623e-07,605.6704,,-1.9206839
-1.0,98.67969,-10.93195,-1.0598303,-3.8961112,-1.3724245,41.196022,0.14999999,,3.3333879,10.0,-4.3573804,1.1769489e-08,10.93195,482.0495049504951,30.334301,101,101,-4.795523,0.9517996,9.55166,40.56203,230,1.7687307e-24,25,44.37689399719238,6.05983,3.0,48687,4.584219e-07,612.04285,,-0.6339912
,98.67969,-10.93195,-1.0774237,-3.9059637,-2.8543558,40.592518,0.14999999,,-11.343089,-10.0,-4.3645825,2.2941594e-18,10.93195,482.22549019607845,24.046352,102,102,-4.9620085,0.61263746,9.55166,40.53096,230,0.00083640614,25,44.873228549957275,6.0774236,3.0,49187,4.4947728e-07,619.8972,,-0.061557148
0.5,98.67969,-10.93195,-1.0670283,-3.9157116,-0.0066931057,41.73937,0.14999999,,-4.28955,-10.0,-4.3669753,0.17685734,10.93195,482.3980582524272,34.898506,103,103,-4.19424,1.340436,9.55166,40.550095,230,0.25721067,25,45.40016841888428,6.067028,3.0,49687,4.40792e-07,624.90393,,-1.1892744
1.0,98.67969,-10.93195,-1.0644879,-3.9228795,-0.80283725,50.36442,0.14999999,,5.0603714,5.0,-4.359718,0.0002737961,10.93195,482.5673076923077,30.596674,104,104,-3.8414793,1.4957235,9.55166,40.368095,230,0.0091425525,25,45.87272548675537,6.064488,3.0,50187,4.32356e-07,630.7067,,-9.996327
0.5,98.67969,-10.93195,-1.0868133,-3.932361,-3.4086483,41.392395,0.14999999,,3.1430078,5.0,-4.3565917,0.92381436,10.93195,482.73333333333335,17.952368,105,105,-4.402662,1.1184103,9.55166,40.16799,230,2.0278802,25,46.3943510055542,6.0868134,3.0,50687,4.2415985e-07,639.1154,,-1.2244036
-0.5,98.67969,-10.93195,-1.0922089,-3.9227107,-1.6587472,40.304657,0.14999999,,4.926873,5.0,-4.3584557,1.886608e-12,10.93195,482.89622641509436,13.485367,106,106,-4.6201587,0.7850778,9.55166,40.148724,230,3.236531e-10,25,46.818485736846924,6.092209,3.0,51187,4.161946e-07,645.7742,,-0.15593249
-0.5,98.67969,-10.93195,-1.0845788,-3.9321003,-0.27579105,40.715614,0.14999999,,-4.3287544,-5.0,-4.354665,0.023464516,10.93195,483.05607476635515,20.334007,107,107,-3.7140875,1.184758,9.55166,40.008232,230,1.3412693e-09,25,47.297696352005005,6.0845785,3.0,51687,4.084516e-07,651.0499,,-0.7073818
,98.67969,-10.93195,-1.075994,-3.941403,-0.15742283,39.744488,0.14999999,,0.1145467,,-4.349085,1.6030707,10.93195,483.212962962963,20.545387,108,108,-3.8809319,1.1723286,9.55166,39.691006,230,0.05460054,25,47.77946424484253,6.075994,3.0,52187,4.0092266e-07,656.20734,,-0.0534823
,98.67969,-10.93195,-1.0674704,-3.950114,-0.14691603,39.00371,0.14999999,,6.007711,5.0,-4.34401,1.4514103,10.93195,483.3669724770642,18.481169,109,109,-3.9135907,1.1886806,9.55166,39.339825,230,0.006778196,25,48.30154800415039,6.0674706,3.0,52687,3.936001e-07,661.35425,,0.33611274
-0.5,98.88661,-10.93195,-1.050931,-3.9591844,0.75186163,40.055706,0.14999999,,-11.856383,-10.0,-4.3384852,1.7430321e-07,10.93195,483.3272727272727,31.782967,110,110,-3.8773417,1.1850804,9.55166,39.24646,230,4.3290965e-11,25,48.761637926101685,6.050931,3.0,53166,3.8647622e-07,665.6024,,-0.8092464
-1.0,98.88661,-10.93195,-1.0468993,-3.968234,-0.6034136,41.461628,0.14999999,,-6.3763995,-10.0,-4.3367715,0.17214905,10.93195,483.47747747747746,36.913425,111,111,-4.231992,1.06113,9.55166,39.277668,230,3.2040665e-23,25,49.22759032249451,6.0468993,3.0,53666,3.7954405e-07,671.2058,,-2.1839616
1.0,98.88661,-10.93195,-1.0532945,-3.977203,-1.7631755,43.595535,0.14999999,,-0.5576842,-5.0,-4.335021,1.2767731e-36,10.93195,483.625,24.075134,112,112,-4.0899262,0.8198166,9.55166,39.20459,230,0.039629504,25,49.707409143447876,6.0532947,3.0,54166,3.727967e-07,677.969,,-4.3909445
,98.88661,-10.93195,-1.0940102,-3.985738,-5.6541576,39.101894,0.14999999,,-4.305751,-5.0,-4.335518,5.6876035e-11,10.93195,483.7699115044248,14.049854,113,113,-4.154737,0.7524078,9.55166,39.037617,230,0.02883657,25,50.19863677024841,6.0940104,3.0,54666,3.6622777e-07,688.62317,,-0.0642766
0.5,98.88661,-10.93195,-1.0845611,-3.9942935,-0.016820986,39.52353,0.14999999,,4.4121428,,-4.3343897,0.11969443,10.93195,483.9122807017544,17.71181,114,114,-3.9390965,1.0775484,9.55166,38.364803,230,17.530941,25,50.67388939857483,6.0845613,3.0,55166,3.598309e-07,693.63995,,-1.1587245
,98.88661,-10.93195,-1.0787989,-3.8599834,-0.42190668,35.481274,0.14999999,,7.0067306,10.0,-4.329253,0.11234529,10.93195,484.0521739130435,22.590702,115,115,-3.7795658,0.9902172,9.55166,37.99644,230,4.7394853e-05,25,51.139814376831055,6.078799,3.0,55666,3.5360017e-07,699.0619,,2.5151672
-0.5,98.88661,-10.93195,-1.0562589,-3.8686411,1.5358514,35.28815,0.14999999,,8.957709,10.0,-4.326323,0.0024148887,10.93195,483.3965517241379,26.98964,116,116,-3.9350502,0.662921,9.55166,37.299385,230,2.3461623e-12,25,51.58688044548035,6.056259,3.0,56074,3.4752992e-07,702.526,,2.0112338
1.0,98.88661,-10.93195,-1.0228723,-3.877225,2.849967,41.609005,0.14999999,,-9.870484,-10.0,-4.324428,2.3870188e-29,10.93195,482.12820512820514,36.845764,117,117,-3.732878,0.88498056,9.55166,36.608456,230,0.0011264654,25,51.962037563323975,6.0228724,3.0,56409,3.416146e-07,704.676,,-5.000548
0.5,98.88661,-10.93195,-1.0474212,-3.885726,-3.91964,35.33693,0.14999999,,15.970305,10.0,-4.326494,5.7166394e-12,10.93195,482.27966101694915,18.489077,118,118,-4.372912,0.77133477,9.55166,36.29638,230,0.014809798,25,52.44190812110901,6.0474215,3.0,56909,3.3584908e-07,713.5957,,0.9594499
1.0,98.88661,-10.93195,-0.8961891,-3.8940394,16.949203,64.65888,0.14999999,,17.177322,10.0,-4.340132,0.0009885518,16.949203,479.66386554621846,34.384514,119,119,-5.6908092,0.89745736,16.949203,58.84417,171,6.796773e-05,25,52.734703063964844,5.896189,3.0,57080,3.3022823e-07,701.6465,,-5.814712
-0.5,98.88661,-10.93195,-0.7902794,-3.902407,11.812971,56.88492,0.14999999,,-1.2554672,,-4.366954,8.484768e-20,16.949203,477.21666666666664,19.40931,120,120,-7.38159,1.1565347,16.949203,56.27161,171,2.5770786e-09,25,53.051602840423584,5.7902794,3.0,57266,3.2474742e-07,694.8335,,-0.61330825
1.0,98.88661,-10.93195,-0.7897346,-3.9107058,-0.72435856,64.33147,0.14999999,,2.5343606,5.0,-4.3630977,4.0438335e-24,16.949203,477.40495867768595,25.917467,121,121,-4.0121965,1.3548319,16.949203,56.09135,171,0.009031929,25,53.5051052570343,5.789735,3.0,57766,3.194018e-07,700.55786,,-8.240115
-1.0,98.88661,-10.93195,-0.8095251,-3.9188616,-3.20418,57.99903,0.14999999,,-2.6515021,-5.0,-4.361132,3.3799053e-34,16.949203,477.59016393442624,22.131254,122,122,-4.3915396,0.9716538,16.949203,56.020916,171,9.708215e-22,25,54.011125802993774,5.809525,3.0,58266,3.141872e-07,708.7621,,-1.9781141
-1.0,98.88661,-10.93195,-0.8185309,-3.927025,-1.9172423,58.030525,0.14999999,,6.1026964,5.0,-4.358532,1.5908747,16.949203,477.7723577235772,21.637012,123,123,-3.9562335,1.1656805,16.949203,56.01634,171,2.384106e-22,25,54.54836654663086,5.818531,3.0,58766,3.0909925e-07,715.6793,,-2.014187
0.5,98.88661,-10.93195,-0.797493,-3.9351223,1.7901739,56.902668,0.14999999,,-15.2358055,-10.0,-4.3560057,2.8051743e-26,16.949203,476.55645161290323,30.959831,124,124,-4.1505003,1.1433164,16.949203,55.92792,171,0.26225203,25,54.94178104400635,5.797493,3.0,59093,3.0413386e-07,718.88916,,-0.9747452
-1.0,98.88661,-10.93195,-0.79758143,-3.9410417,-0.8085467,56.00995,0.14999999,,8.0102415,10.0,-4.368505,1.2846486e-36,16.949203,476.744,28.041,125,125,-5.991596,0.85118765,16.949203,55.62789,171,1.8500112e-24,25,55.48822212219238,5.7975817,3.0,59593,2.992872e-07,724.6977,,-0.38205856
