NumTrainableParams,Iteration,ReturnMean,MountainCar_std1_higher,MountainCar_mu1_higher,TimestepsSoFar,TimeElapsed,MountainCar_mu0_higher,AvgEpLen,MountainCar_std0_higher,NumTrajectories,ActionIn1,MinEpLen
2,1,-3.5668883,1.5,-0.8971903,999,0.35698390007019043,-0.4416444,999.0,0.14999999,1,-1.1716609,999
,2,-3.3561902,1.5,-0.8971903,1998,0.7222356796264648,-0.4416444,999.0,0.14999999,2,-1.8601309,999
,3,-3.8201542,1.5,-0.8971903,2997,1.0546565055847168,-0.4416444,999.0,0.14999999,3,1.7793918,999
,4,-3.1864262,1.5,-0.8971903,3996,1.3166093826293945,-0.4416444,999.0,0.14999999,4,-1.4563931,999
,5,-3.3199704,1.5,-0.8971903,4995,1.5780456066131592,-0.4416444,999.0,0.14999999,5,-1.8729882,999
,6,-3.2886689,1.5,-0.8971903,5994,1.8395037651062012,-0.4416444,999.0,0.14999999,6,-1.9663906,999
,7,-3.4133708,1.5,-0.8971903,6993,2.098954677581787,-0.4416444,999.0,0.14999999,7,-1.4977218,999
,8,-3.6597342,1.5,-0.8971903,7992,2.3598849773406982,-0.4416444,999.0,0.14999999,8,0.26490298,999
,9,-3.7298672,1.5,-0.8971903,8991,2.623875141143799,-0.4416444,999.0,0.14999999,9,-0.79997545,999
,10,-3.3904026,1.5,-0.8971903,9990,2.886039972305298,-0.4416444,999.0,0.14999999,10,-3.5918312,999
,11,-3.27155,1.5,-0.8971903,10989,3.1472978591918945,-0.4416444,999.0,0.14999999,11,-0.8199265,999
,12,-3.4114494,1.5,-0.8971903,11988,3.410066604614258,-0.4416444,999.0,0.14999999,12,-3.9054956,999
,13,-3.4296603,1.5,-0.8971903,12987,3.67944073677063,-0.4416444,999.0,0.14999999,13,-1.475523,999
,14,-3.4427524,1.5,-0.8971903,13986,3.940659999847412,-0.4416444,999.0,0.14999999,14,0.7676446,999
,15,-3.522931,1.5,-0.8971903,14985,4.20185661315918,-0.4416444,999.0,0.14999999,15,-1.3320032,999
,16,-3.598572,1.5,-0.8971903,15984,4.462784290313721,-0.4416444,999.0,0.14999999,16,-0.5699986,999
,17,-3.645392,1.5,-0.8971903,16983,4.7256529331207275,-0.4416444,999.0,0.14999999,17,-0.28166634,999
,18,-3.9686728,1.5,-0.8971903,17982,4.985599517822266,-0.4416444,999.0,0.14999999,18,-0.075674236,999
