InvPendulum_mu2_higher,TimeElapsed,InvPendulum_std1_higher,MinEpLen,InvPendulum_mu0_higher,TimestepsSoFar,Iteration,InvPendulum_mu1_higher,AvgEpLen,NumTrainableParams,InvPendulum_std0_higher,InvPendulum_mu3_higher,NumTrajectories,InvPendulum_std3_higher,InvPendulum_std2_higher,ReturnMean,ActionIn1
0.0034825685,0.27584052085876465,0.015,500,-0.18568558,500,1,-0.11102458,500.0,4,0.015,-0.10712334,1,0.015,0.015,8.350882,-0.35794747
0.0034825685,0.4186084270477295,0.015,226,-0.18568558,726,2,-0.11102458,363.0,,0.015,-0.10712334,2,0.015,0.015,-36.735657,-0.43914217
0.0034825685,0.4774057865142822,0.015,106,-0.18568558,832,3,-0.11102458,277.3333333333333,,0.015,-0.10712334,3,0.015,0.015,-56.029583,-0.4209013
0.0034825685,0.5256772041320801,0.015,85,-0.18568558,917,4,-0.11102458,229.25,,0.015,-0.10712334,4,0.015,0.015,-71.472046,-0.39417735
0.0034825685,0.6523616313934326,0.015,85,-0.18568558,1165,5,-0.11102458,233.0,,0.015,-0.10712334,5,0.015,0.015,-71.76247,-0.39496443
0.0034825685,0.9111001491546631,0.015,85,-0.18568558,1665,6,-0.11102458,277.5,,0.015,-0.10712334,6,0.015,0.015,-47.040638,-0.3748576
0.0034825685,1.0550084114074707,0.015,85,-0.18568558,1937,7,-0.11102458,276.7142857142857,,0.015,-0.10712334,7,0.015,0.015,-52.370293,-0.39123178
0.0034825685,1.308121681213379,0.015,85,-0.18568558,2437,8,-0.11102458,304.625,,0.015,-0.10712334,8,0.015,0.015,-43.158382,-0.39980036
0.0034825685,1.5630793571472168,0.015,85,-0.18568558,2937,9,-0.11102458,326.3333333333333,,0.015,-0.10712334,9,0.015,0.015,-34.134872,-0.4236749
0.0034825685,1.8191094398498535,0.015,85,-0.18568558,3437,10,-0.11102458,343.7,,0.015,-0.10712334,10,0.015,0.015,-31.923168,-0.36137813
0.0034825685,2.074402093887329,0.015,85,-0.18568558,3937,11,-0.11102458,357.90909090909093,,0.015,-0.10712334,11,0.015,0.015,-33.424427,-0.37561986
0.0034825685,2.331087350845337,0.015,85,-0.18568558,4437,12,-0.11102458,369.75,,0.015,-0.10712334,12,0.015,0.015,-28.10629,-0.38054138
0.0034825685,2.588329553604126,0.015,85,-0.18568558,4937,13,-0.11102458,379.7692307692308,,0.015,-0.10712334,13,0.015,0.015,-18.34803,-0.40865853
0.0034825685,2.7211828231811523,0.015,85,-0.18568558,5195,14,-0.11102458,371.07142857142856,,0.015,-0.10712334,14,0.015,0.015,-23.233706,-0.40523806
0.0034825685,2.9763195514678955,0.015,85,-0.18568558,5695,15,-0.11102458,379.6666666666667,,0.015,-0.10712334,15,0.015,0.015,-15.676839,-0.3929602
0.0034825685,3.0596423149108887,0.015,85,-0.18568558,5835,16,-0.11102458,364.6875,,0.015,-0.10712334,16,0.015,0.015,-22.004726,-0.37558594
0.0034825685,3.344559669494629,0.015,85,-0.18568558,6335,17,-0.11102458,372.6470588235294,,0.015,-0.10712334,17,0.015,0.015,-19.54956,-0.38867247
0.0034825685,3.44069504737854,0.015,85,-0.18568558,6513,18,-0.11102458,361.8333333333333,,0.015,-0.10712334,18,0.015,0.015,-23.497473,-0.39538074
0.0034825685,3.60510516166687,0.015,85,-0.18568558,6831,19,-0.11102458,359.5263157894737,,0.015,-0.10712334,19,0.015,0.015,-25.70906,-0.37763625
0.0034825685,3.8593201637268066,0.015,85,-0.18568558,7331,20,-0.11102458,366.55,,0.015,-0.10712334,20,0.015,0.015,-24.287619,-0.44908512
0.0034825685,3.9429807662963867,0.015,85,-0.18568558,7486,21,-0.11102458,356.4761904761905,,0.015,-0.10712334,21,0.015,0.015,-27.718273,-0.38587022
0.0034825685,4.006407737731934,0.015,85,-0.18568558,7598,22,-0.11102458,345.3636363636364,,0.015,-0.10712334,22,0.015,0.015,-31.256086,-0.41757804
0.0034825685,4.123248815536499,0.015,85,-0.18568558,7819,23,-0.11102458,339.95652173913044,,0.015,-0.10712334,23,0.015,0.015,-35.163624,-0.424869
0.0034825685,4.194797039031982,0.015,85,-0.18568558,7950,24,-0.11102458,331.25,,0.015,-0.10712334,24,0.015,0.015,-38.749165,-0.38755137
0.0034825685,4.324377775192261,0.015,85,-0.18568558,8170,25,-0.11102458,326.8,,0.015,-0.10712334,25,0.015,0.015,-39.56387,-0.43081307
0.0034825685,4.402783155441284,0.015,85,-0.18568558,8316,26,-0.11102458,319.84615384615387,,0.015,-0.10712334,26,0.015,0.015,-41.91533,-0.39630508
0.0034825685,4.657381296157837,0.015,85,-0.18568558,8816,27,-0.11102458,326.51851851851853,,0.015,-0.10712334,27,0.015,0.015,-43.023163,-0.4217086
0.0034825685,4.82160496711731,0.015,85,-0.18568558,9132,28,-0.11102458,326.14285714285717,,0.015,-0.10712334,28,0.015,0.015,-43.97837,-0.42509645
0.0034825685,4.86722731590271,0.015,81,-0.18568558,9213,29,-0.11102458,317.6896551724138,,0.015,-0.10712334,29,0.015,0.015,-45.663216,-0.35217905
0.0034825685,5.1226091384887695,0.015,81,-0.18568558,9713,30,-0.11102458,323.76666666666665,,0.015,-0.10712334,30,0.015,0.015,-40.317783,-0.41959974
