InvPendulum_std0_higher,NumTrainableParams,Iteration,InvPendulum_mu3_higher,InvPendulum_mu2_higher,NumTrajectories,MinEpLen,InvPendulum_std3_higher,ReturnMean,InvPendulum_std1_higher,AvgEpLen,InvPendulum_std2_higher,TimestepsSoFar,InvPendulum_mu0_higher,TimeElapsed,InvPendulum_mu1_higher,ActionIn1
0.14999999,4,1,-0.10712334,0.0034825685,1,500,0.14999999,-227.6384,0.14999999,500.0,0.14999999,500,-0.18568558,0.31157898902893066,-0.11102458,0.023683488
0.14999999,,2,-0.10712334,0.0034825685,2,21,0.14999999,-172.55714,0.14999999,260.5,0.14999999,521,-0.18568558,0.3520374298095703,-0.11102458,-0.78826326
0.14999999,,3,-0.10712334,0.0034825685,3,21,0.14999999,-152.73882,0.14999999,186.33333333333334,0.14999999,559,-0.18568558,0.3780484199523926,-0.11102458,-0.6058546
0.14999999,,4,-0.10712334,0.0034825685,4,21,0.14999999,-140.19669,0.14999999,148.0,0.14999999,592,-0.18568558,0.40062451362609863,-0.11102458,-0.3386151
0.14999999,,5,-0.10712334,0.0034825685,5,14,0.14999999,-133.20049,0.14999999,121.2,0.14999999,606,-0.18568558,0.4113013744354248,-0.11102458,-0.34648594
0.14999999,,6,-0.10712334,0.0034825685,6,14,0.14999999,-128.7978,0.14999999,104.33333333333333,0.14999999,626,-0.18568558,0.4251675605773926,-0.11102458,-0.14541759
0.14999999,,7,-0.10712334,0.0034825685,7,14,0.14999999,-125.24093,0.14999999,91.71428571428571,0.14999999,642,-0.18568558,0.43726634979248047,-0.11102458,-0.3091595
0.14999999,,8,-0.10712334,0.0034825685,8,14,0.14999999,-122.89036,0.14999999,98.5,0.14999999,788,-0.18568558,0.521111011505127,-0.11102458,-0.39484546
0.14999999,,9,-0.10712334,0.0034825685,9,14,0.14999999,-146.41002,0.14999999,143.11111111111111,0.14999999,1288,-0.18568558,0.7998068332672119,-0.11102458,-0.63359064
0.14999999,,10,-0.10712334,0.0034825685,10,14,0.14999999,-181.71426,0.14999999,178.8,0.14999999,1788,-0.18568558,1.0752534866333008,-0.11102458,-0.010623373
0.14999999,,11,-0.10712334,0.0034825685,11,14,0.14999999,-176.85971,0.14999999,165.27272727272728,0.14999999,1818,-0.18568558,1.0943031311035156,-0.11102458,-0.15304014
0.14999999,,12,-0.10712334,0.0034825685,12,14,0.14999999,-173.20482,0.14999999,154.66666666666666,0.14999999,1856,-0.18568558,1.1169404983520508,-0.11102458,-0.20225549
0.14999999,,13,-0.10712334,0.0034825685,13,14,0.14999999,-168.79831,0.14999999,146.84615384615384,0.14999999,1909,-0.18568558,1.1482963562011719,-0.11102458,-0.48342717
0.14999999,,14,-0.10712334,0.0034825685,14,14,0.14999999,-164.48381,0.14999999,142.5,0.14999999,1995,-0.18568558,1.1965229511260986,-0.11102458,-0.44922215
0.14999999,,15,-0.10712334,0.0034825685,15,14,0.14999999,-161.17441,0.14999999,135.8,0.14999999,2037,-0.18568558,1.221351146697998,-0.11102458,-0.3264435
0.14999999,,16,-0.10712334,0.0034825685,16,14,0.14999999,-157.961,0.14999999,128.75,0.14999999,2060,-0.18568558,1.237786054611206,-0.11102458,-0.1527013
