ReturnLastEpisode,ReturnMin,DenMISEMeanLog,IWMin,ReturnMax,BoundBonus,ReturnStepMax,NumTrajectories,ActionIn1,ReturnMean,IWMean,GridSize,InvPendulum_std0_higher,InvPendulum_std2_higher,Bound,TimeElapsed,NumTrainableParams,ReturnAbsMax,DenMISELogLast,InvPendulum_mu1_higher,BoundMISE,TimestepsSoFar,InvPendulum_mu3_higher,InvPendulum_std3_higher,InvPendulum_mu2_higher,Delta,InvPendulum_mu0_higher,IWMax,IWLastEpisode,Regret,DenMISELogFirst,Iteration,Regret/t,IWFirstEpisode,MinEpLen,AvgEpLen,InvPendulum_std1_higher
-109.58321,-109.58321,19.951183,,,inf,109.58321,1,-0.79717314,-109.58321,,1,0.0009999999,0.0009999999,inf,0.0260927677154541,4,109.58321,19.951183,-0.2,,15,-0.2,0.0009999999,-0.2,0.060792707,-0.2,,,114.58321,19.951183,1,114.58321,,15,15.0,0.0009999999
-119.252106,-119.252106,19.65113,,,inf,119.252106,2,-0.4025861,-114.41766,,16,0.0009999999,0.0009999999,inf,0.18128752708435059,,119.252106,20.044228,-0.2,,67,0.2,0.0009999999,-0.2,0.001788021,-0.2,,,238.83533,19.258036,2,119.41766,,15,33.5,0.0009999999
-134.10614,-134.10614,19.60461,,,inf,134.10614,3,-0.40137002,-120.98049,,16,0.0009999999,0.0009999999,inf,0.25142645835876465,,134.10614,20.322496,-0.2,,104,-0.2,0.0009999999,0.2,0.000794676,-0.2,,,377.94147,18.852571,3,125.98049,,15,34.666666666666664,0.0009999999
-107.45128,-134.10614,18.961956,,,inf,134.10614,4,0.00041158497,-117.59819,,16,0.0009999999,0.0009999999,inf,0.3195202350616455,,134.10614,17.897047,-0.2,,169,0.2,0.0009999999,0.2,0.00044700524,-0.2,,,490.39276,18.564888,4,122.59819,,15,42.25,0.0009999999
-138.912,-138.912,18.187716,,,inf,138.912,5,-0.39964092,-121.86095,,16,0.0009999999,0.0009999999,inf,0.3796231746673584,,138.912,15.983316,-0.2,,216,-0.2,0.0009999999,-0.2,0.00028608335,0.2,,,634.30475,18.341745,5,126.86095,,15,43.2,0.0009999999
-103.938354,-138.912,18.555025,,,inf,138.912,6,0.0016995519,-118.87384,,16,0.0009999999,0.0009999999,inf,0.4251279830932617,,138.912,21.303185,-0.2,,238,0.2,0.0009999999,-0.2,0.000198669,0.2,,,743.24304,18.159424,6,123.87384,,15,39.666666666666664,0.0009999999
-122.089676,-138.912,18.78129,,,inf,138.912,7,0.0006079376,-119.33325,,16,0.0009999999,0.0009999999,inf,0.4756336212158203,,138.912,21.063787,-0.2,,263,-0.2,0.0009999999,0.2,0.00014596088,0.2,,,870.33276,18.005274,7,124.33325,,15,37.57142857142857,0.0009999999
-123.26353,-138.912,18.59045,,,inf,138.912,8,0.4000367,-119.82454,,16,0.0009999999,0.0009999999,inf,0.5242540836334229,,138.912,18.189281,-0.2,,289,0.2,0.0009999999,0.2,0.00011175131,0.2,,,998.5963,17.871742,8,124.82454,,15,36.125,0.0009999999
-131.00137,-138.912,18.751198,,,inf,138.912,9,-0.40155494,-121.06641,,16,0.0009999999,0.0009999999,inf,0.5796840190887451,,138.912,20.97945,0.2,,324,-0.2,0.0009999999,-0.2,8.829733e-05,-0.2,,,1134.5977,17.75396,9,126.06641,,15,36.0,0.0009999999
-107.49976,-138.912,18.680809,,,inf,138.912,10,0.0025981814,-119.70974,,16,0.0009999999,0.0009999999,inf,0.6256945133209229,,138.912,18.995562,0.2,,345,0.2,0.0009999999,-0.2,7.152084e-05,-0.2,,,1247.0974,17.648598,10,124.70974,,15,34.5,0.0009999999
-110.6606,-138.912,18.675724,,,inf,138.912,11,0.0016487241,-118.88709,,16,0.0009999999,0.0009999999,inf,0.6740615367889404,,138.912,19.577976,0.2,,363,-0.2,0.0009999999,0.2,5.9108123e-05,-0.2,,,1362.758,17.553288,11,123.88709,,15,33.0,0.0009999999
-96.23774,-138.912,18.728325,,,inf,138.912,12,0.40132064,-116.99966,,16,0.0009999999,0.0009999999,inf,0.7398748397827148,,138.912,20.264055,0.2,,418,0.2,0.0009999999,0.2,4.966725e-05,-0.2,,,1463.9958,17.466276,12,121.99966,,15,34.833333333333336,0.0009999999
-118.37194,-138.912,18.834887,,,inf,138.912,13,-0.00055386126,-117.10521,,16,0.0009999999,0.0009999999,inf,0.7937736511230469,,138.912,21.074146,0.2,,446,-0.2,0.0009999999,-0.2,4.232002e-05,0.2,,,1587.3677,17.386234,13,122.10521,,15,34.30769230769231,0.0009999999
-110.75578,-138.912,18.849905,,,inf,138.912,14,0.39967418,-116.65168,,16,0.0009999999,0.0009999999,inf,0.840421199798584,,138.912,20.008566,0.2,,462,0.2,0.0009999999,-0.2,3.649022e-05,0.2,,,1703.1235,17.312126,14,121.65168,,15,33.0,0.0009999999
-108.51003,-138.912,18.84143,,,inf,138.912,15,0.4004928,-116.1089,,16,0.0009999999,0.0009999999,inf,0.8885061740875244,,138.912,19.68866,0.2,,478,-0.2,0.0009999999,0.2,3.178704e-05,0.2,,,1816.6335,17.243134,15,121.1089,,15,31.866666666666667,0.0009999999
-105.28393,-138.912,18.794762,,,inf,138.912,16,0.801651,-115.43234,,16,0.0009999999,0.0009999999,inf,0.9371755123138428,,138.912,19.062841,0.2,,495,0.2,0.0009999999,0.2,2.7937827e-05,0.2,,,1926.9175,17.178595,16,120.43234,,15,30.9375,0.0009999999
