ReturnLastEpisode,IWFirstEpisode,NumTrajectories,GridSize,BoundBonus,IWLastEpisode,LQGmu1_actor,DenMISELogFirst,Delta,LQGsigma_higher,ReturnMean,LQGmu1_higher,ReturnMin,NumTrainableParams,Regret,IWMean,TimestepsSoFar,ReturnMax,DenMISELogLast,ReturnStepMax,IWMax,ReturnAbsMax,AvgEpLen,TimeElapsed,MinEpLen,Bound,Regret/t,DenMISEMeanLog,BoundMISE,IWMin,Iteration
9.663611,0.0023298028,1,20,33772.03,0.0023298028,-7.85812,-2.0337632,0.0030396353,3.0,9.663611,-10.0,,1,-4.6636114,0.0023298028,20,9.663611,-2.0337632,10.413048,0.0023298028,9.663611,20.0,0.038092851638793945,20,33772.055,-4.6636114,-2.0337632,0.02251431,,1
6.9965935,0.012914762,2,20,4074.0432,5.129321e-08,10.604988,-2.7245834,0.0007599088,3.0,8.330103,10.0,,,-6.660206,0.0064574066,40,9.663611,-2.9492018,10.413048,0.012914762,9.663611,20.0,0.7304739952087402,20,4074.1057,-3.330103,-2.8368926,0.062401798,,2
0.4952345,0.67420626,3,20,178.09454,6.3738285e-06,-7.2704325,-3.1236117,0.0003377373,3.0,5.7184796,-4.736842,,,-2.1554394,0.96352935,60,9.663611,-3.1304488,10.413048,2.2163754,9.663611,20.0,1.0364234447479248,20,185.43533,-0.71847963,-3.2029092,7.3407826,,3
6.703903,0.67904794,4,20,105.9579,0.0002217594,4.59635,-3.208569,0.0001899772,3.0,5.9648356,5.7894735,,,-3.8593426,0.4495502,80,9.663611,-3.0792527,10.413048,1.1188375,9.663611,20.0,1.3204011917114258,20,107.73747,-0.96483564,-3.1987772,1.779571,,4
1.2354329,2.79113,5,20,56.318493,0.37172955,-0.3654107,-3.2749124,0.00012158541,3.0,5.018955,-1.5789474,,,-0.09477615,0.83396405,100,9.663611,-3.1465344,10.413048,2.79113,9.663611,20.0,1.5718176364898682,20,63.177547,-0.01895523,-3.2861412,6.8590546,,5
18.18269,0.05604827,6,20,99.66593,0.11188684,-10.128941,-3.013686,8.443432e-05,3.0,7.212911,-7.894737,,,-13.277466,1.3347124,120,18.18269,-2.9767697,19.971088,4.0490212,18.18269,20.0,1.8243558406829834,20,109.05239,-2.2129111,-3.2687025,9.386461,,6
5.743498,1.7566081,7,20,93.514114,8.833961e-05,2.302407,-3.1585386,6.203337e-05,3.0,7.0029945,3.6842105,,,-14.020962,1.0284144,140,18.18269,-3.2834058,19.971088,3.8474963,18.18269,20.0,2.1072652339935303,20,99.77247,-2.0029945,-3.2553227,6.2583537,,7
1.6273316,0.018209781,8,20,93.427536,0.10417655,9.219409,-3.0681715,4.74943e-05,3.0,6.3310366,10.0,,,-10.648293,0.8253853,160,18.18269,-3.0477123,19.971088,5.886422,18.18269,20.0,2.400308847427368,20,93.94207,-1.3310366,-3.2368329,0.51453537,,8
0.59017754,0.0073573603,9,20,78.78609,4.138775e-09,-5.773703,-3.1836808,3.7526363e-05,3.0,5.6931634,-10.0,,,-6.238472,1.0827454,180,18.18269,-3.23611,19.971088,4.5550337,18.18269,20.0,2.6170566082000732,20,85.6761,-0.6931634,-3.270515,6.8900123,,9
7.2500253,1.3724945,10,20,77.5028,2.6831613,-5.7997503,-3.2882242,3.0396353e-05,3.0,5.8488493,-3.6842105,,,-8.488495,0.96104413,200,18.18269,-3.2471008,19.971088,2.6831613,18.18269,20.0,2.8502004146575928,20,86.48015,-0.8488493,-3.2713501,8.97735,,10
7.310345,3.4456935,11,20,70.54656,0.32106745,-0.05015987,-3.2549217,2.5120953e-05,3.0,5.981713,0.5263158,,,-10.798843,1.0989921,220,18.18269,-3.1047306,19.971088,3.4456935,18.18269,20.0,3.113147258758545,20,80.01102,-0.9817128,-3.2623093,9.464451,,11
18.188099,0.29786566,12,20,75.46896,0.20238021,6.273746,-3.069432,2.110858e-05,3.0,6.9989114,6.8421054,,,-23.986938,0.83512765,240,18.188099,-3.0590167,19.977787,3.2759247,18.188099,20.0,3.3475842475891113,20,76.929214,-1.9989114,-3.2433956,1.4602505,,12
1.0553846,0.34568536,13,20,65.88608,0.001003494,-8.788134,-3.1249557,1.7986009e-05,3.0,6.5417175,-5.7894735,,,-20.042328,1.2081298,260,18.188099,-3.1977966,19.977787,3.405601,18.188099,20.0,3.57875919342041,20,75.23106,-1.5417175,-3.255314,9.344979,,13
6.0555882,3.007912,14,20,59.015278,0.07675877,-0.49348456,-3.1728199,1.5508342e-05,3.0,6.506994,-0.5263158,,,-21.097916,1.0132967,280,18.188099,-3.2425542,19.977787,3.1049948,18.188099,20.0,3.826570749282837,20,70.37308,-1.5069938,-3.2448943,11.357799,,14
18.19434,0.006418679,15,20,63.52355,0.017944397,-7.8677883,-3.0471914,1.3509492e-05,3.0,7.28615,-10.0,,,-34.29225,0.9793643,300,18.19434,-3.017842,19.98435,4.3670197,18.19434,20.0,4.096408367156982,20,69.83629,-2.28615,-3.2317636,6.312744,,15
