MinEpLen,InvPendulum_mu2_higher,DenMISEMeanLog,IWMax,GridSize,IWLastEpisode,IWMin,IWMean,ReturnMean,Regret,Delta,ReturnMax,InvPendulum_mu3_higher,ReturnStepMax,InvPendulum_std0_higher,ActionIn1,DenMISELogLast,IWFirstEpisode,TimeElapsed,TimestepsSoFar,AvgEpLen,ReturnAbsMax,InvPendulum_std2_higher,InvPendulum_mu1_higher,ReturnLastEpisode,Iteration,DenMISELogFirst,Regret/t,BoundBonus,InvPendulum_std1_higher,InvPendulum_mu0_higher,NumTrainableParams,NumTrajectories,ReturnMin,BoundMISE,InvPendulum_std3_higher,Bound
15,-1.0,10.7408495,,1,,,,-109.68108,114.68108,0.060792707,,-1.0,109.68108,0.01,-3.971731,10.7408495,,0.026615381240844727,15,15.0,109.68108,0.01,-1.0,-109.68108,1,10.7408495,114.68108,inf,0.01,-1.0,4,1,-109.68108,,0.01,inf
15,-1.0,10.440804,,16,,,,-110.98154,231.96307,0.001788021,,1.0,112.28198,0.01,-2.0258608,10.833905,,0.18711256980895996,67,33.5,112.28198,0.01,-1.0,-112.28198,2,10.047702,115.98154,inf,0.01,-1.0,,2,-112.28198,,0.01,inf
15,1.0,10.394271,,16,,,,-115.37213,361.1164,0.000794676,,-1.0,124.15334,0.01,-2.0137002,11.112136,,0.24834489822387695,95,31.666666666666668,124.15334,0.01,-1.0,-124.15334,3,9.642237,120.37213,inf,0.01,-1.0,,3,-124.15334,,0.01,inf
15,1.0,9.751617,,16,,,,-115.115585,480.46234,0.00044700524,,1.0,124.15334,0.01,0.00411582,8.686706,,0.3077576160430908,153,38.25,124.15334,0.01,-1.0,-114.34594,4,9.354555,120.115585,inf,0.01,-1.0,,4,-124.15334,,0.01,inf
15,-1.0,8.977369,,16,,,,-116.679054,608.39526,0.00028608335,,-1.0,124.15334,0.01,-1.9964089,6.772953,,0.3497467041015625,180,36.0,124.15334,0.01,-1.0,-122.9329,5,9.131412,121.679054,inf,0.01,1.0,,5,-124.15334,,0.01,inf
15,-1.0,9.344684,,16,,,,-114.79008,718.7405,0.000198669,,1.0,124.15334,0.01,0.01699549,12.092859,,0.3887808322906494,198,33.0,124.15334,0.01,-1.0,-105.34522,6,8.94909,119.79008,inf,0.01,1.0,,6,-124.15334,,0.01,inf
15,1.0,9.570949,,16,,,,-115.21966,841.5376,0.00014596088,,-1.0,124.15334,0.01,0.0060794353,11.853454,,0.42780208587646484,219,31.285714285714285,124.15334,0.01,-1.0,-117.79714,7,8.794939,120.21966,inf,0.01,1.0,,7,-124.15334,,0.01,inf
15,1.0,9.380112,,16,,,,-112.71599,941.7279,0.00011175131,,1.0,124.15334,0.01,2.0003672,8.978953,,0.47564244270324707,251,31.375,124.15334,0.01,-1.0,-95.190285,8,8.661407,117.71599,inf,0.01,1.0,,8,-124.15334,,0.01,inf
15,-1.0,9.540859,,16,,,,-114.038155,1071.3434,8.829733e-05,,-1.0,124.615524,0.01,-2.0155492,11.769111,,0.5220263004302979,280,31.11111111111111,124.615524,0.01,1.0,-124.615524,9,8.543625,119.038155,inf,0.01,-1.0,,9,-124.615524,,0.01,inf
14,-1.0,9.470469,,16,,,,-113.59874,1185.9874,7.152084e-05,,1.0,124.615524,0.01,0.025981903,9.785208,,0.5589737892150879,294,29.4,124.615524,0.01,1.0,-109.64401,10,8.438265,118.59874,inf,0.01,-1.0,,10,-124.615524,,0.01,inf
11,1.0,9.4653845,,16,,,,-112.60949,1293.7043,5.9108123e-05,,-1.0,124.615524,0.01,0.01648736,10.367632,,0.5953333377838135,305,27.727272727272727,124.615524,0.01,1.0,-102.71698,11,8.342955,117.60949,inf,0.01,-1.0,,11,-124.615524,,0.01,inf
11,1.0,9.517983,,16,,,,-112.2822,1407.3865,4.966725e-05,,1.0,124.615524,0.01,2.0132062,11.053713,,0.6381657123565674,326,27.166666666666668,124.615524,0.01,1.0,-108.682076,12,8.255942,117.2822,inf,0.01,-1.0,,12,-124.615524,,0.01,inf
11,-1.0,9.624547,,16,,,,-111.89395,1519.6213,4.232002e-05,,-1.0,124.615524,0.01,-0.0055384636,11.863812,,0.6767101287841797,339,26.076923076923077,124.615524,0.01,1.0,-107.234795,13,8.1759,116.89395,inf,0.01,1.0,,13,-124.615524,,0.01,inf
11,-1.0,9.639566,,16,,,,-111.675156,1633.4521,3.649022e-05,,1.0,124.615524,0.01,1.9967418,10.798222,,0.7204041481018066,361,25.785714285714285,124.615524,0.01,1.0,-108.830864,14,8.101792,116.675156,inf,0.01,1.0,,14,-124.615524,,0.01,inf
11,1.0,9.63109,,16,,,,-111.53164,1747.9746,3.178704e-05,,-1.0,124.615524,0.01,2.0049272,10.478314,,0.7635071277618408,380,25.333333333333332,124.615524,0.01,1.0,-109.52243,15,8.0328,116.53164,inf,0.01,1.0,,15,-124.615524,,0.01,inf
11,1.0,9.584425,,16,,,,-111.156876,1858.51,2.7937827e-05,,1.0,124.615524,0.01,4.01651,9.852524,,0.8045713901519775,393,24.5625,124.615524,0.01,1.0,-105.53552,16,7.968261,116.156876,inf,0.01,1.0,,16,-124.615524,,0.01,inf
11,1.0,9.545981,17.000008,16,,,1.0000005,-111.053856,1972.9155,2.4747693e-05,,-1.0,124.615524,0.01,0.0077855587,9.900879,,0.8447508811950684,408,24.0,124.615524,0.01,-1.0,-109.40544,17,7.907636,116.053856,709.2392,0.01,1.0,,17,-124.615524,-75.033554,0.01,634.2056
11,-1.0,9.669967,17.999992,16,,,0.9999996,-110.66911,2082.044,2.2074333e-05,,1.0,124.615524,0.01,0.0033134818,12.05626,,0.887916088104248,425,23.61111111111111,124.615524,0.01,1.0,-104.12846,18,7.8504777,115.66911,713.05096,0.01,-1.0,,18,-124.615524,-80.96646,0.01,632.0845
11,-1.0,9.786083,19.0,16,,,1.0,-110.45558,2193.656,1.9811867e-05,,-1.0,124.615524,0.01,-1.9848568,12.15624,,0.9315741062164307,441,23.210526315789473,124.615524,0.01,-1.0,-106.611916,19,7.7964106,115.45558,716.6379,0.01,1.0,,19,-124.615524,-83.03816,0.01,633.59973
11,1.0,9.874974,20.0,16,,,1.0,-110.191795,2303.836,1.788021e-05,,-1.0,124.615524,0.01,1.9675105,11.84534,,0.9721603393554688,453,22.65,124.615524,0.01,1.0,-105.17995,20,7.745117,115.191795,720.0243,0.01,1.0,,20,-124.615524,-83.18816,0.01,636.8361
11,1.0,9.870397,20.999996,16,,,0.9999998,-109.906456,2413.0356,1.6217875e-05,,1.0,124.615524,0.01,2.0096538,10.061491,,1.0199360847473145,473,22.523809523809526,124.615524,0.01,1.0,-104.19975,21,7.696327,114.906456,723.2307,0.01,-1.0,,21,-124.615524,-84.52761,0.01,638.7031
11,1.0,9.867452,22.000002,16,,,1.0000001,-109.8313,2526.2886,1.4777031e-05,,-1.0,124.615524,0.01,-0.011484742,10.089392,,1.0710639953613281,499,22.681818181818183,124.615524,0.01,1.0,-108.25288,22,7.649807,114.8313,726.2748,0.01,-1.0,,22,-124.615524,-85.66843,0.01,640.6063
11,-1.0,9.913804,23.0,16,,,1.0,-109.61526,2636.151,1.3520007e-05,,-1.0,124.615524,0.01,-0.016345501,11.218351,,1.1135907173156738,512,22.26086956521739,124.615524,0.01,1.0,-104.862686,23,7.6053553,114.61526,729.1716,0.01,1.0,,23,-124.615524,-85.785706,0.01,643.38586
11,1.0,9.970131,24.0,16,,,1.0,-109.411964,2745.8872,1.2416813e-05,,1.0,124.615524,0.01,4.008533,11.5513735,,1.1559150218963623,527,21.958333333333332,124.615524,0.01,1.0,-104.736244,24,7.5627956,114.411964,731.9344,0.01,1.0,,24,-124.615524,-86.23862,0.01,645.6958
11,-1.0,10.023419,25.000002,16,,,1.0000001,-109.64191,2866.0476,1.1443334e-05,,1.0,124.615524,0.01,1.979692,11.58894,,1.2051146030426025,547,21.88,124.615524,0.01,1.0,-115.16031,25,7.5219736,114.64191,734.5746,0.01,1.0,,25,-124.615524,-86.33084,0.01,648.2438
11,-1.0,9.9936285,26.000004,16,,,1.0000001,-109.70113,2982.2295,1.0580005e-05,,-1.0,124.615524,0.01,-1.9973028,9.536217,,1.2517883777618408,563,21.653846153846153,124.615524,0.01,1.0,-111.1818,26,7.482753,114.70113,737.10236,0.01,-1.0,,26,-124.615524,-86.426674,0.01,650.67566
11,-1.0,9.971009,26.999989,16,,,0.9999996,-109.70376,3097.0015,9.810813e-06,,-1.0,124.615524,0.01,-4.0142384,9.671013,,1.3031988143920898,585,21.666666666666668,124.615524,0.01,-1.0,-109.77209,27,7.4450126,114.70376,739.52655,0.01,-1.0,,27,-124.615524,-88.50605,0.01,651.0205
11,1.0,10.016914,27.999996,16,,,0.9999999,-109.63733,3209.8452,9.122555e-06,,-1.0,124.615524,0.01,-2.0164971,11.545113,,1.3675410747528076,630,22.5,124.615524,0.01,-1.0,-107.84365,28,7.408645,114.63733,741.8551,0.01,-1.0,,28,-124.615524,-90.13296,0.01,651.72217
11,-1.0,9.979278,29.000011,16,,,1.0000004,-109.5358,3321.538,8.504261e-06,,1.0,124.615524,0.01,0.032114625,9.214875,,1.4164505004882812,648,22.344827586206897,124.615524,0.01,-1.0,-106.692726,29,7.3735538,114.5358,744.095,0.01,1.0,,29,-124.615524,-92.85336,0.01,651.2416
11,1.0,9.848644,30.000002,16,,,1.0000001,-109.61972,3438.5916,7.94676e-06,,1.0,124.615524,0.01,-0.012832522,6.350246,,1.4639475345611572,664,22.133333333333333,124.615524,0.01,-1.0,-112.05362,30,7.339652,114.61972,746.2525,0.01,-1.0,,30,-124.615524,-96.90161,0.01,649.3509
11,-1.0,9.85615,31.000013,16,,,1.0000005,-110.40486,3577.5508,7.4423347e-06,,1.0,133.95932,0.01,-2.0130236,10.371885,,1.5229732990264893,702,22.64516129032258,133.95932,0.01,-1.0,-133.95932,31,7.3068624,115.40486,804.44415,0.01,-1.0,,31,-133.95932,-97.863625,0.01,706.5805
11,1.0,9.873765,31.999985,16,,,0.9999995,-110.539925,3697.2776,6.984457e-06,,1.0,133.95932,0.01,1.9856768,10.710903,,1.5741157531738281,721,22.53125,133.95932,0.01,-1.0,-114.72678,32,7.2751136,115.539925,806.6042,0.01,1.0,,32,-133.95932,-98.227936,0.01,708.3762
11,-1.0,9.899535,,81,,,,-111.02057,3828.6787,1.3615693e-06,,,133.95932,0.01,-3.010418,11.015722,,1.6331162452697754,754,22.848484848484848,133.95932,0.01,-1.0,-126.40106,33,7.244342,116.02057,inf,0.01,-1.0,,33,-133.95932,,0.01,inf
11,,9.90059,,81,,,,-111.34024,3955.568,1.2826548e-06,,-1.0,133.95932,0.01,-2.996439,10.920569,,2.960681676864624,799,23.5,133.95932,0.01,-1.0,-121.88939,34,7.214489,116.34024,inf,0.01,-1.0,,34,-133.95932,,0.01,inf
11,,9.831768,,81,,,,-110.680626,4048.822,1.2104073e-06,,,133.95932,0.01,-2.0126817,8.477356,,3.1275012493133545,861,24.6,133.95932,0.01,-1.0,-88.25388,35,7.1855016,115.680626,inf,0.01,-1.0,,35,-133.95932,,0.01,inf
11,,9.787583,,81,,,,-120.606606,4521.838,1.1440965e-06,,1.0,468.01556,0.01,-1.0016809,9.227108,,3.516754388809204,1361,37.80555555555556,468.01556,0.01,-1.0,-468.01556,36,7.1573305,125.606606,inf,0.01,-1.0,,36,-468.01556,,0.01,inf
11,1.0,9.694026,,81,,,,-130.72147,5021.6943,1.0830892e-06,,,494.85684,0.01,-1.0436547,7.312314,,3.9036295413970947,1861,50.2972972972973,494.85684,0.01,-1.0,-494.85684,37,7.1299314,135.72147,inf,0.01,-1.0,,37,-494.85684,,0.01,inf
11,-1.0,9.633459,,81,,,,-131.22488,5176.5454,1.0268345e-06,,-1.0,494.85684,0.01,-3.0253515,8.379235,,4.062939882278442,1919,50.5,494.85684,0.01,-1.0,-149.85115,38,7.1032634,136.22488,inf,0.01,,,38,-494.85684,,0.01,inf
11,-1.0,9.577939,,81,,,,-130.683,5291.6367,9.748514e-07,,,494.85684,0.01,-2.0480373,8.45524,,4.199532985687256,1937,49.666666666666664,494.85684,0.01,-1.0,-110.09119,39,7.0772877,135.683,inf,0.01,,,39,-494.85684,,0.01,inf
11,-1.0,9.495745,,81,,,,-130.16867,5406.747,9.267181e-07,,1.0,494.85684,0.01,-1.0118344,7.2775664,,4.356786251068115,1953,48.825,494.85684,0.01,-1.0,-110.110245,40,7.05197,135.16867,inf,0.01,,,40,-494.85684,,0.01,inf
11,,9.496129,,81,,,,-129.8116,5527.276,8.820637e-07,,-1.0,494.85684,0.01,-2.0002313,10.499205,,4.516862630844116,1972,48.09756097560975,494.85684,0.01,-1.0,-115.5289,41,7.0272775,134.8116,inf,0.01,,,41,-494.85684,,0.01,inf
11,,9.497687,,81,,,,-129.38968,5644.366,8.405606e-07,,,494.85684,0.01,-1.0047605,10.5495825,,4.677578449249268,2028,48.285714285714285,494.85684,0.01,-1.0,-112.09075,42,7.00318,134.38968,inf,0.01,,,42,-494.85684,,0.01,inf
11,,9.477316,,81,,,,-137.77911,6139.502,8.019195e-07,,1.0,494.85684,0.01,0.00214535,9.610016,,5.118541955947876,2528,58.7906976744186,494.85684,0.01,-1.0,-490.13565,43,6.9796495,142.77911,inf,0.01,,,43,-494.85684,,0.01,inf
11,1.0,9.455288,,81,,,,-145.81915,6636.043,7.658827e-07,,-1.0,494.85684,0.01,-0.98788846,9.496586,,5.529998302459717,3028,68.81818181818181,494.85684,0.01,-1.0,-491.5405,44,6.95666,150.81915,inf,0.01,,,44,-494.85684,,0.01,inf
11,1.0,9.442739,,81,,,,-145.06902,6753.1055,7.3222174e-07,,,494.85684,0.01,-0.00067794014,9.879363,,5.678161859512329,3058,67.95555555555555,494.85684,0.01,-1.0,-112.06241,45,6.934187,150.06902,inf,0.01,,,45,-494.85684,,0.01,inf
11,1.0,9.445004,,81,,,,-144.41188,6872.9463,7.0073213e-07,,1.0,494.85684,0.01,1.0122633,10.536038,,5.81994104385376,3076,66.8695652173913,494.85684,0.01,-1.0,-114.840965,46,6.912208,149.41188,inf,0.01,,,46,-494.85684,,0.01,inf
11,-1.0,9.44504,,81,,,,-144.06158,7005.8945,6.7123085e-07,,,494.85684,0.01,-0.9693866,10.435947,,5.967662811279297,3109,66.14893617021276,494.85684,0.01,-1.0,-127.948364,47,6.890702,149.06158,inf,0.01,1.0,,47,-494.85684,,0.01,inf
