BoundBonus,ReturnMax,MountainCar_mu0_higher,BoundMISE,DenMISELogLast,TimestepsSoFar,MountainCar_std1_higher,IWMax,MountainCar_mu1_higher,DenMISELogFirst,AvgEpLen,Regret/t,IWFirstEpisode,Iteration,MinEpLen,Bound,ActionIn1,TimeElapsed,Delta,ReturnLastEpisode,IWMin,IWLastEpisode,ReturnAbsMax,NumTrajectories,GridSize,ReturnMin,IWMean,ReturnMean,NumTrainableParams,DenMISEMeanLog,Regret,ReturnStepMax,MountainCar_std0_higher
inf,,-1.0,-2.508794e-24,-1.5600768,500,3.0,2.8830496e-24,-10.0,-1.5600768,500.0,5.8701878,2.8830496e-24,1,500,inf,-19.119667,0.3100597858428955,0.060792707,-0.87018764,,2.8830496e-24,0.87018764,1,1,-0.87018764,2.8830496e-24,-0.87018764,2,-1.5600768,5.8701878,4.3767467,0.14999999
40921530000.0,,-1.0,-9.9911846e-18,-5.6384563,1000,3.0,8.6301705e-18,10.0,-2.253224,500.0,6.592798,3.421093e-25,2,500,40921530000.0,7.0185003,1.010108232498169,0.0060792705,-2.3154085,,8.6301705e-18,2.3154085,2,4,-2.3154085,4.3150853e-18,-1.592798,,-3.9458401,13.185596,11.557215,0.14999999
21860210.0,,1.0,-9.660649e-05,-2.4514902,1500,3.0,0.000333054,-10.0,-2.658689,500.0,6.6508183,0.000333054,3,500,21860210.0,-6.399949,1.2647533416748047,0.0027018983,-1.7668583,,,2.3154085,3,4,-2.3154085,0.000111017995,-1.6508182,,-3.7180336,19.952454,11.557215,0.14999999
4551769.5,,1.0,-6.027878e-06,-2.9274633,2000,3.0,2.6344364e-05,10.0,-2.9462602,500.0,7.1198816,2.6344364e-05,4,500,4551769.5,11.644443,1.4230670928955078,0.0015198176,-3.5270734,,3.365317e-07,3.5270734,4,4,-3.5270734,6.6702237e-06,-2.1198819,,-3.7361248,28.479527,18.131842,0.14999999
39.670063,,-1.0,-1.3927226,-3.6515393,2500,3.0,4.9999995,10.0,-3.169397,500.0,8.419864,8.551718e-25,5,500,38.27734,10.201288,1.5655617713928223,0.0009726833,-8.61979,,,8.61979,5,4,-8.61979,0.9999999,-3.4198635,,-3.897721,42.09932,46.606693,0.14999999
40.699566,,-1.0,-1.825116,-2.2405093,2886,3.0,6.0,-10.0,-3.3517187,481.0,7.85814,1.7296252e-23,6,386,38.87445,-14.384443,1.6956408023834229,0.0006754746,-0.04952138,,4.354653e-11,8.61979,6,4,-8.61979,1.0,-2.8581398,,-3.6579294,47.148838,88.77205,0.14999999
41.550102,,1.0,-2.7803054,-3.3729112,3386,3.0,6.999494,-10.0,-3.5058694,483.7142857142857,7.780152,0.0007770343,7,386,38.7698,-8.082328,1.854386568069458,0.00049626693,-2.3122241,,,8.61979,7,4,-8.61979,1.0000387,-2.7801518,,-3.6503205,54.461063,88.77205,0.14999999
42.27304,,1.0,-6.794538,-2.7147827,3886,3.0,8.0,10.0,-3.6392899,485.75,8.126733,5.268252e-05,8,386,35.478504,10.729962,2.0002758502960205,0.0003799544,-5.5527983,,5.417857e-09,8.61979,8,4,-8.61979,1.0000066,-3.1267328,,-3.5635657,65.01386,88.77205,0.14999999
1179208.8,,,-6.969075e-05,-2.5695446,4386,3.0,0.0007206955,-10.0,-3.7570662,487.3333333333333,8.285058,0.0007206955,9,386,1179208.8,-5.1278234,2.184783935546875,0.00015010545,-4.5516615,,1.589433e-18,8.61979,9,9,-8.61979,8.0079684e-05,-3.2850583,,-3.4807978,74.56552,88.77205,0.14999999
155705.75,,,-4.7560243e-06,-5.167681,4886,3.0,4.750699e-05,10.0,-3.8623466,488.6,7.9696,4.750699e-05,10,386,155705.75,9.122389,2.3648600578308105,0.00012158541,-0.13047704,,4.7286136e-05,8.61979,10,9,-8.61979,9.481466e-06,-2.9696002,,-3.7443023,79.696,88.77205,0.14999999
