AvgEpLen,TimestepsSoFar,MinEpLen,LQGmu1_higher,Iteration,NumTrajectories,NumTrainableParams,LQGsigma_higher,LQGmu1_actor,ReturnMean,TimeElapsed
20.0,20,20,-0.67,1,1,1,0.14999999,-0.562906,0.04584367,0.026137590408325195
20.0,40,20,-0.67,2,2,,0.14999999,-0.6397506,0.045848828,0.07512331008911133
20.0,60,20,-0.67,3,3,,0.14999999,-0.7966795,0.04584879,0.0835878849029541
20.0,80,20,-0.67,4,4,,0.14999999,-0.72965616,0.045850176,0.0928351879119873
20.0,100,20,-0.67,5,5,,0.14999999,-0.6093232,0.045849588,0.1016080379486084
20.0,120,20,-0.67,6,6,,0.14999999,-0.78171015,0.045845736,0.11038589477539062
20.0,140,20,-0.67,7,7,,0.14999999,-0.7390902,0.045843806,0.12143588066101074
20.0,160,20,-0.67,8,8,,0.14999999,-0.70902956,0.045843244,0.13028764724731445
20.0,180,20,-0.67,9,9,,0.14999999,-0.45868516,0.04584436,0.1433107852935791
20.0,200,20,-0.67,10,10,,0.14999999,-0.775777,0.04583137,0.1509549617767334
20.0,220,20,-0.67,11,11,,0.14999999,-0.6988238,0.045832455,0.1593797206878662
20.0,240,20,-0.67,12,12,,0.14999999,-0.69841796,0.045833558,0.16892790794372559
20.0,260,20,-0.67,13,13,,0.14999999,-0.819933,0.045834832,0.1783444881439209
20.0,280,20,-0.67,14,14,,0.14999999,-0.66835845,0.045831222,0.18825912475585938
20.0,300,20,-0.67,15,15,,0.14999999,-0.5633894,0.04583264,0.20126700401306152
20.0,320,20,-0.67,16,16,,0.14999999,-0.7526013,0.04583397,0.21039748191833496
20.0,340,20,-0.67,17,17,,0.14999999,-0.7021426,0.045832377,0.22397375106811523
20.0,360,20,-0.67,18,18,,0.14999999,-0.5023213,0.04583341,0.23321247100830078
20.0,380,20,-0.67,19,19,,0.14999999,-0.4565607,0.045834273,0.24160981178283691
20.0,400,20,-0.67,20,20,,0.14999999,-0.6498388,0.04583182,0.25069284439086914
20.0,420,20,-0.67,21,21,,0.14999999,-0.5573872,0.045827895,0.2610437870025635
20.0,440,20,-0.67,22,22,,0.14999999,-0.62955916,0.045828875,0.2703368663787842
20.0,460,20,-0.67,23,23,,0.14999999,-0.61192614,0.045829907,0.28065919876098633
20.0,480,20,-0.67,24,24,,0.14999999,-0.65370417,0.045830246,0.2910480499267578
20.0,500,20,-0.67,25,25,,0.14999999,-0.7118437,0.045830965,0.3008263111114502
20.0,520,20,-0.67,26,26,,0.14999999,-0.7569254,0.045828946,0.31014323234558105
20.0,540,20,-0.67,27,27,,0.14999999,-0.5836877,0.045829874,0.3304014205932617
20.0,560,20,-0.67,28,28,,0.14999999,-0.7168107,0.045829277,0.34377598762512207
