InvPendulum_std0_higher,ActionIn1,ReturnMean,InvPendulum_mu3_higher,NumTrainableParams,TimestepsSoFar,InvPendulum_mu2_higher,InvPendulum_std3_higher,InvPendulum_std1_higher,NumTrajectories,InvPendulum_std2_higher,AvgEpLen,InvPendulum_mu0_higher,InvPendulum_mu1_higher,Iteration,TimeElapsed,MinEpLen
0.01,-0.37208194,15.145735,-0.10712334,4,500,0.0034825685,0.01,0.01,1,0.01,500.0,-0.18568558,-0.11102458,1,0.278517484664917,500
0.01,-0.4262117,-26.285637,-0.10712334,,812,0.0034825685,0.01,0.01,2,0.01,406.0,-0.18568558,-0.11102458,2,0.4642767906188965,312
0.01,-0.41405118,-57.489227,-0.10712334,,987,0.0034825685,0.01,0.01,3,0.01,329.0,-0.18568558,-0.11102458,3,0.5589463710784912,175
0.01,-0.3962352,-67.17213,-0.10712334,,1055,0.0034825685,0.01,0.01,4,0.01,263.75,-0.18568558,-0.11102458,4,0.5988686084747314,68
0.01,-0.39675993,-64.74443,-0.10712334,,1442,0.0034825685,0.01,0.01,5,0.01,288.4,-0.18568558,-0.11102458,5,0.7968008518218994,68
0.01,-0.38335535,-45.551548,-0.10712334,,1942,0.0034825685,0.01,0.01,6,0.01,323.6666666666667,-0.18568558,-0.11102458,6,1.054330587387085,68
0.01,-0.3942715,-43.88473,-0.10712334,,2414,0.0034825685,0.01,0.01,7,0.01,344.85714285714283,-0.18568558,-0.11102458,7,1.2971296310424805,68
0.01,-0.39998388,-28.976961,-0.10712334,,2914,0.0034825685,0.01,0.01,8,0.01,364.25,-0.18568558,-0.11102458,8,1.5579144954681396,68
0.01,-0.41590023,-17.947165,-0.10712334,,3414,0.0034825685,0.01,0.01,9,0.01,379.3333333333333,-0.18568558,-0.11102458,9,1.8163564205169678,68
0.01,-0.37436908,-14.942514,-0.10712334,,3914,0.0034825685,0.01,0.01,10,0.01,391.4,-0.18568558,-0.11102458,10,2.074533700942993,68
0.01,-0.38386354,-13.382776,-0.10712334,,4414,0.0034825685,0.01,0.01,11,0.01,401.27272727272725,-0.18568558,-0.11102458,11,2.336707830429077,68
0.01,-0.38714457,-8.167231,-0.10712334,,4914,0.0034825685,0.01,0.01,12,0.01,409.5,-0.18568558,-0.11102458,12,2.6073033809661865,68
0.01,-0.40588936,0.5836874,-0.10712334,,5414,0.0034825685,0.01,0.01,13,0.01,416.46153846153845,-0.18568558,-0.11102458,13,2.894493579864502,68
0.01,-0.403609,-0.58579093,-0.10712334,,5803,0.0034825685,0.01,0.01,14,0.01,414.5,-0.18568558,-0.11102458,14,3.1044657230377197,68
